Simulation,QBC,WiGS (SAC),EGAL,GSy,WiGS (Static w_x=0.25),GSx,"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Exponential)",WiGS (Static w_x=0.75),"WiGS (MAB-UCB1, c=5.0)",Uncertainty Sampling,EMCM,Passive Learning,iGS,WiGS (Static w_x=0.5)
0,6.4901123046875,6.370541095733643,4.544206857681274,4.498474836349487,4.519305467605591,4.397020101547241,4.538163661956787,4.547505140304565,4.543072462081909,4.554666996002197,4.54223895072937,4.678441762924194,4.462360382080078,4.31339955329895,4.274215459823608,4.550579309463501,4.555665731430054
1,7.9118123054504395,7.986373424530029,5.302652359008789,5.374512434005737,5.361333131790161,4.94509744644165,5.449302911758423,5.379126310348511,5.400914430618286,5.353649139404297,5.457791805267334,5.583897113800049,5.093382358551025,5.045888423919678,4.1924426555633545,5.387157440185547,5.4167799949646
2,6.545209169387817,6.682782173156738,4.605899095535278,4.495110988616943,4.580001592636108,4.369888544082642,4.568370580673218,4.5865442752838135,4.569284677505493,4.573493480682373,4.570958375930786,4.709445476531982,4.438612222671509,4.32588267326355,4.258659362792969,4.5692055225372314,4.578145265579224
3,6.411744594573975,6.255911111831665,4.496233940124512,4.442122220993042,4.470218181610107,4.313965797424316,4.498298168182373,4.496801137924194,4.500281572341919,4.5032830238342285,4.500664710998535,4.605274438858032,4.366392612457275,4.260842561721802,4.170114517211914,4.476126194000244,4.474062442779541
4,11.712178230285645,12.37255573272705,7.303160190582275,6.98737096786499,6.85478401184082,7.41477108001709,6.866976261138916,7.097984313964844,7.555400848388672,6.830623626708984,6.473438739776611,7.661218881607056,6.966524600982666,6.701113939285278,7.1290178298950195,7.3007283210754395,6.3660194873809814
5,6.443105459213257,7.509857892990112,4.598454475402832,4.463293790817261,4.532119989395142,4.333338499069214,4.5489819049835205,4.546766996383667,4.54694676399231,4.5541932582855225,4.5398571491241455,4.674465894699097,4.3996422290802,4.285423994064331,4.233229875564575,4.520925521850586,4.5388171672821045
6,6.490922927856445,6.457084894180298,4.549931764602661,4.46140456199646,4.506530523300171,4.332345247268677,4.497360944747925,4.509375095367432,4.4990010261535645,4.495748519897461,4.5096752643585205,4.4955360889434814,4.423266410827637,4.306667804718018,4.200412750244141,4.514729022979736,4.506129503250122
7,6.478841304779053,7.027563095092773,4.615333795547485,4.505819082260132,4.545354843139648,4.364856719970703,4.578016996383667,4.580568313598633,4.6001057624816895,4.575021028518677,4.545255184173584,4.675899028778076,4.4649834632873535,4.357012510299683,4.281180143356323,4.557892084121704,4.543778419494629
8,6.580362558364868,6.400371789932251,4.564403772354126,4.53106164932251,4.568268299102783,4.378942012786865,4.542474746704102,4.5659215450286865,4.555964708328247,4.557141304016113,4.546703577041626,4.68221116065979,4.474863529205322,4.345229625701904,4.236286640167236,4.569975137710571,4.548747539520264
9,6.4745166301727295,7.277365684509277,4.569830894470215,4.480799198150635,4.509393215179443,4.3352134227752686,4.513675212860107,4.5454018115997314,4.538316488265991,4.542638063430786,4.50610613822937,4.68466591835022,4.407877206802368,4.277958869934082,4.200351238250732,4.519535064697266,4.513094425201416
