Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[38.0],[41.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[41.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[41.0],[38.0],[38.0],[38.0],[38.0],[41.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[41.0],[38.0],[38.0],[38.0],[41.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[41.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[41.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[38.0],[41.0],[38.0],[38.0],[41.0],[38.0],[38.0],[38.0],[38.0],[38.0],[41.0],[38.0],[38.0],[38.0],[41.0]
1,[41.0],[38.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[38.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[38.0],[41.0],[41.0],[41.0],[41.0],[38.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[38.0],[41.0],[41.0],[41.0],[38.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[38.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[38.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[41.0],[34.0],[41.0],[41.0],[38.0],[41.0],[41.0],[38.0],[41.0],[41.0],[41.0],[41.0],[41.0],[38.0],[41.0],[41.0],[41.0],[38.0]
2,[40.0],[225.0],[40.0],[30.0],[40.0],[225.0],[40.0],[40.0],[174.0],[40.0],[40.0],[158.0],[30.0],[40.0],[44.0],[151.0],[40.0],[40.0],[40.0],[85.0],[34.0],[181.0],[85.0],[85.0],[85.0],[225.0],[40.0],[181.0],[225.0],[85.0],[225.0],[181.0],[40.0],[85.0],[181.0],[40.0],[40.0],[40.0],[181.0],[40.0],[40.0],[191.0],[181.0],[40.0],[174.0],[40.0],[40.0],[40.0],[40.0],[40.0],[85.0],[40.0],[85.0],[225.0],[40.0],[40.0],[40.0],[40.0],[151.0],[85.0],[85.0],[40.0],[225.0],[40.0],[40.0],[40.0],[34.0],[40.0],[151.0],[181.0],[225.0],[181.0],[85.0],[40.0],[40.0],[30.0],[40.0],[181.0],[85.0],[40.0],[30.0],[85.0],[174.0],[85.0],[40.0],[40.0],[40.0],[40.0],[40.0],[44.0],[225.0],[40.0],[40.0],[181.0],[40.0],[181.0],[181.0],[40.0],[40.0],[174.0]
3,[85.0],[85.0],[191.0],[44.0],[85.0],[30.0],[30.0],[30.0],[85.0],[30.0],[225.0],[30.0],[174.0],[85.0],[85.0],[251.0],[215.0],[181.0],[85.0],[174.0],[85.0],[30.0],[2.0],[181.0],[225.0],[40.0],[85.0],[40.0],[85.0],[40.0],[30.0],[40.0],[30.0],[174.0],[30.0],[30.0],[225.0],[85.0],[158.0],[30.0],[174.0],[85.0],[30.0],[30.0],[30.0],[85.0],[225.0],[30.0],[246.0],[85.0],[40.0],[174.0],[225.0],[40.0],[225.0],[85.0],[85.0],[225.0],[30.0],[40.0],[40.0],[30.0],[85.0],[30.0],[30.0],[44.0],[30.0],[181.0],[85.0],[30.0],[40.0],[85.0],[40.0],[243.0],[44.0],[40.0],[181.0],[30.0],[151.0],[85.0],[191.0],[225.0],[30.0],[174.0],[85.0],[85.0],[44.0],[215.0],[85.0],[85.0],[179.0],[181.0],[225.0],[40.0],[181.0],[85.0],[30.0],[85.0],[85.0],[225.0]
4,[251.0],[40.0],[225.0],[174.0],[95.0],[40.0],[251.0],[225.0],[151.0],[174.0],[85.0],[44.0],[40.0],[246.0],[133.0],[30.0],[85.0],[30.0],[158.0],[40.0],[35.0],[174.0],[44.0],[174.0],[158.0],[158.0],[174.0],[30.0],[105.0],[174.0],[40.0],[78.0],[174.0],[246.0],[40.0],[174.0],[30.0],[243.0],[251.0],[174.0],[151.0],[174.0],[15.0],[149.0],[225.0],[35.0],[85.0],[174.0],[30.0],[174.0],[181.0],[85.0],[174.0],[85.0],[30.0],[35.0],[251.0],[30.0],[181.0],[95.0],[151.0],[151.0],[158.0],[174.0],[215.0],[174.0],[158.0],[174.0],[40.0],[158.0],[85.0],[174.0],[249.0],[85.0],[35.0],[243.0],[85.0],[158.0],[174.0],[221.0],[174.0],[40.0],[151.0],[87.0],[174.0],[151.0],[30.0],[30.0],[243.0],[174.0],[85.0],[85.0],[174.0],[30.0],[243.0],[234.0],[40.0],[174.0],[151.0],[40.0]
5,[249.0],[24.0],[30.0],[151.0],[149.0],[247.0],[44.0],[35.0],[251.0],[146.0],[174.0],[40.0],[35.0],[174.0],[4.0],[174.0],[133.0],[174.0],[174.0],[158.0],[174.0],[144.0],[40.0],[95.0],[40.0],[85.0],[181.0],[158.0],[40.0],[105.0],[158.0],[30.0],[246.0],[40.0],[174.0],[249.0],[174.0],[174.0],[77.0],[151.0],[30.0],[73.0],[158.0],[181.0],[40.0],[174.0],[151.0],[35.0],[174.0],[221.0],[174.0],[151.0],[105.0],[35.0],[174.0],[181.0],[174.0],[35.0],[215.0],[174.0],[251.0],[174.0],[251.0],[151.0],[240.0],[30.0],[35.0],[30.0],[174.0],[174.0],[158.0],[40.0],[247.0],[151.0],[85.0],[174.0],[241.0],[174.0],[40.0],[225.0],[181.0],[174.0],[105.0],[225.0],[215.0],[215.0],[243.0],[174.0],[174.0],[158.0],[40.0],[174.0],[151.0],[158.0],[30.0],[40.0],[174.0],[191.0],[215.0],[30.0]
6,[34.0],[158.0],[105.0],[40.0],[239.0],[174.0],[35.0],[158.0],[40.0],[35.0],[158.0],[4.0],[146.0],[83.0],[174.0],[53.0],[221.0],[158.0],[151.0],[30.0],[239.0],[247.0],[35.0],[105.0],[204.0],[215.0],[250.0],[251.0],[174.0],[35.0],[2.0],[158.0],[9.0],[225.0],[158.0],[151.0],[158.0],[112.0],[53.0],[251.0],[249.0],[17.0],[174.0],[205.0],[2.0],[84.0],[174.0],[151.0],[225.0],[181.0],[158.0],[225.0],[249.0],[221.0],[158.0],[174.0],[78.0],[174.0],[40.0],[151.0],[247.0],[251.0],[174.0],[35.0],[243.0],[167.0],[4.0],[246.0],[204.0],[9.0],[174.0],[78.0],[174.0],[224.0],[243.0],[151.0],[95.0],[2.0],[35.0],[174.0],[4.0],[158.0],[107.0],[4.0],[151.0],[174.0],[151.0],[225.0],[35.0],[230.0],[205.0],[243.0],[2.0],[2.0],[174.0],[158.0],[2.0],[35.0],[174.0],[205.0]
7,[174.0],[30.0],[250.0],[158.0],[174.0],[204.0],[174.0],[149.0],[58.0],[205.0],[243.0],[243.0],[251.0],[11.0],[76.0],[204.0],[225.0],[53.0],[215.0],[9.0],[11.0],[158.0],[158.0],[9.0],[174.0],[238.0],[53.0],[53.0],[167.0],[84.0],[243.0],[246.0],[158.0],[158.0],[53.0],[247.0],[151.0],[35.0],[40.0],[16.0],[107.0],[53.0],[40.0],[251.0],[243.0],[151.0],[215.0],[241.0],[215.0],[158.0],[53.0],[243.0],[40.0],[84.0],[151.0],[193.0],[179.0],[2.0],[251.0],[105.0],[174.0],[204.0],[9.0],[181.0],[53.0],[168.0],[167.0],[80.0],[53.0],[53.0],[151.0],[251.0],[2.0],[35.0],[174.0],[181.0],[217.0],[84.0],[108.0],[35.0],[40.0],[30.0],[225.0],[167.0],[53.0],[15.0],[249.0],[191.0],[151.0],[108.0],[28.0],[144.0],[35.0],[35.0],[151.0],[30.0],[158.0],[239.0],[28.0],[204.0]
8,[181.0],[151.0],[158.0],[4.0],[144.0],[4.0],[105.0],[174.0],[4.0],[158.0],[151.0],[144.0],[225.0],[215.0],[34.0],[240.0],[174.0],[205.0],[230.0],[215.0],[243.0],[40.0],[221.0],[40.0],[2.0],[250.0],[35.0],[174.0],[215.0],[243.0],[205.0],[53.0],[151.0],[2.0],[233.0],[185.0],[35.0],[151.0],[2.0],[35.0],[181.0],[238.0],[155.0],[158.0],[95.0],[246.0],[247.0],[4.0],[250.0],[205.0],[243.0],[215.0],[11.0],[152.0],[15.0],[158.0],[35.0],[158.0],[158.0],[215.0],[181.0],[53.0],[40.0],[4.0],[151.0],[85.0],[181.0],[215.0],[251.0],[151.0],[241.0],[105.0],[250.0],[174.0],[158.0],[144.0],[174.0],[40.0],[234.0],[2.0],[17.0],[251.0],[85.0],[215.0],[181.0],[53.0],[158.0],[84.0],[224.0],[105.0],[174.0],[158.0],[251.0],[53.0],[105.0],[53.0],[78.0],[230.0],[4.0],[105.0]
9,[105.0],[247.0],[53.0],[35.0],[168.0],[53.0],[151.0],[179.0],[35.0],[251.0],[247.0],[174.0],[53.0],[198.0],[107.0],[158.0],[238.0],[243.0],[2.0],[240.0],[158.0],[5.0],[95.0],[2.0],[50.0],[230.0],[158.0],[105.0],[238.0],[225.0],[53.0],[215.0],[181.0],[95.0],[35.0],[204.0],[243.0],[32.0],[35.0],[103.0],[251.0],[204.0],[215.0],[35.0],[168.0],[4.0],[4.0],[225.0],[158.0],[215.0],[151.0],[158.0],[53.0],[53.0],[243.0],[78.0],[105.0],[151.0],[111.0],[53.0],[35.0],[158.0],[105.0],[53.0],[158.0],[158.0],[250.0],[9.0],[44.0],[233.0],[31.0],[53.0],[243.0],[105.0],[247.0],[35.0],[158.0],[53.0],[246.0],[151.0],[250.0],[53.0],[158.0],[40.0],[238.0],[158.0],[85.0],[151.0],[53.0],[247.0],[53.0],[168.0],[53.0],[243.0],[2.0],[249.0],[243.0],[251.0],[198.0],[78.0]
