Simulation,QBC,WiGS (SAC),EGAL,GSy,WiGS (Static w_x=0.25),GSx,"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Exponential)",WiGS (Static w_x=0.75),"WiGS (MAB-UCB1, c=5.0)",Uncertainty Sampling,EMCM,Passive Learning,iGS,WiGS (Static w_x=0.5)
0,18.382543325424194,21.872985124588013,19.379770278930664,13.195897817611694,16.629326105117798,12.799790143966675,16.609400510787964,16.572203159332275,16.34514021873474,16.57116961479187,16.542585849761963,16.54018211364746,12.468324899673462,12.376399278640747,11.735095739364624,14.359199285507202,16.504663467407227
1,19.313236951828003,21.14891505241394,19.070154905319214,14.381956100463867,16.458600282669067,14.044934034347534,15.411756753921509,15.363370895385742,15.42923617362976,15.409056186676025,16.066907167434692,15.43318247795105,14.214001655578613,13.929642915725708,12.784323930740356,15.443482398986816,16.35503363609314
2,18.01864266395569,20.359485387802124,18.151962995529175,13.515917778015137,15.249305486679077,13.066335439682007,15.2791109085083,15.207889795303345,15.088318586349487,15.140592098236084,15.366853713989258,15.18392276763916,12.896068334579468,12.21775197982788,12.029676914215088,14.628845930099487,15.162481546401978
3,18.527904272079468,18.63302445411682,18.75778555870056,13.700960636138916,15.68028473854065,13.445459127426147,15.707428932189941,15.230316400527954,14.703711986541748,15.703158617019653,15.685532569885254,13.860222578048706,13.291808366775513,13.27115273475647,12.344767332077026,14.623973608016968,15.654459476470947
4,18.305627822875977,20.200860023498535,18.110057592391968,13.521353721618652,15.271764278411865,13.03869366645813,15.299099683761597,15.22885251045227,15.085631132125854,15.164991617202759,15.325543880462646,15.156504154205322,12.83665943145752,12.348072290420532,12.051438093185425,14.436367273330688,15.15090012550354
5,17.988799810409546,19.58130693435669,16.75600552558899,12.694940090179443,13.946698665618896,12.314127683639526,14.13798213005066,14.28398084640503,14.340329885482788,14.227069854736328,13.929615020751953,14.182136058807373,12.157922506332397,11.87771224975586,11.567096471786499,13.365699768066406,14.025357007980347
6,18.40539288520813,19.449126720428467,16.83384680747986,13.176318407058716,14.381807565689087,12.866810321807861,14.433693885803223,14.558458805084229,14.442654848098755,14.701453924179077,14.48380994796753,14.464556455612183,12.311572551727295,12.04165267944336,12.076184272766113,14.12694787979126,14.347813606262207
7,17.51380729675293,18.72418737411499,16.619394302368164,12.619560480117798,14.104667663574219,12.206117630004883,14.182313442230225,14.172372102737427,14.01496696472168,14.204625368118286,14.11025619506836,14.098693132400513,11.98829197883606,11.762648582458496,11.403380155563354,13.37892746925354,14.094032049179077
8,18.512911558151245,21.941565990447998,19.270163536071777,13.291362524032593,16.65725564956665,12.860798597335815,16.60887384414673,16.623987674713135,16.317290782928467,16.5666401386261,16.52829647064209,16.546733140945435,12.517463207244873,12.487195014953613,11.822703838348389,14.388710498809814,16.504004955291748
9,17.69968581199646,18.66213297843933,16.75600790977478,12.715821981430054,14.11103367805481,12.293382406234741,14.109591007232666,14.186896085739136,14.159125328063965,14.227698564529419,14.192349910736084,14.1351637840271,12.07429838180542,11.829546689987183,11.545902967453003,13.44316029548645,14.155491352081299
10,18.37529683113098,21.89584255218506,19.28823447227478,13.258732080459595,16.654221534729004,12.85011887550354,16.620787858963013,16.61388850212097,16.321876049041748,16.553078174591064,16.52051329612732,16.52986168861389,12.501728296279907,12.424299716949463,11.80849289894104,14.34847903251648,16.516202926635742
11,18.336877822875977,19.404477834701538,17.068952560424805,13.037056922912598,14.41159462928772,12.693676948547363,14.362301588058472,14.248858213424683,14.36391282081604,14.329855680465698,14.347442150115967,14.238577365875244,12.454821586608887,12.327076196670532,11.764830827713013,13.845333814620972,14.339420795440674
12,18.332902908325195,19.482725858688354,17.150208711624146,13.164908409118652,14.550451278686523,12.8169105052948,14.477399110794067,14.430285930633545,14.473812818527222,14.412522077560425,14.471939325332642,14.38215970993042,12.514745235443115,12.280038595199585,11.890671491622925,14.02739691734314,14.469143629074097
13,18.099870443344116,20.237067461013794,17.961694955825806,13.610347986221313,16.107184410095215,13.041771650314331,15.826782464981079,15.995889902114868,15.764739274978638,15.90959906578064,15.896706342697144,15.587029218673706,13.502934217453003,13.409308910369873,11.985503196716309,15.00209093093872,15.773033142089844
14,17.770848274230957,26.67073965072632,16.86208724975586,12.645114183425903,14.30164885520935,12.291444778442383,14.28256344795227,14.045486688613892,14.133069276809692,14.430996417999268,14.391444683074951,14.149126052856445,12.356673955917358,11.815537691116333,11.631683111190796,13.425206661224365,14.420434951782227
15,17.664292812347412,18.99819850921631,17.04995322227478,12.64814567565918,14.327815771102905,12.233492136001587,14.205020904541016,14.282955884933472,14.179022312164307,14.392531633377075,14.31785273551941,14.28890609741211,12.04239010810852,11.805083513259888,11.447828531265259,13.380733489990234,14.255736827850342
16,17.449102640151978,18.54822564125061,16.70321559906006,12.568670749664307,13.951018810272217,12.160650253295898,13.969740152359009,14.024368047714233,14.028254985809326,14.06026577949524,14.074028015136719,13.988353252410889,11.96002984046936,11.689543008804321,11.382033109664917,13.272413730621338,14.025059461593628
17,17.68799591064453,18.777443408966064,16.705694913864136,12.75207781791687,14.183493614196777,12.361870765686035,14.25903034210205,14.267640352249146,14.144850730895996,14.285212755203247,14.179328441619873,14.244170904159546,12.14140248298645,11.849583625793457,11.5467689037323,13.51532530784607,14.185758590698242
18,18.04132580757141,20.589241981506348,18.53647232055664,13.083763599395752,15.515270233154297,12.631982564926147,15.625830173492432,15.609010219573975,15.494818687438965,15.5202796459198,15.644154787063599,15.500737428665161,12.535858869552612,12.138663053512573,11.702648639678955,13.907360553741455,15.319824695587158
19,17.969605445861816,18.628416299819946,16.796371698379517,13.0634925365448,14.02135968208313,12.602916479110718,14.022221088409424,13.99875283241272,13.995375156402588,14.067692518234253,13.936515092849731,14.04592227935791,12.386950731277466,12.133395671844482,11.871301174163818,13.601197004318237,13.905344247817993
20,18.115389823913574,20.23240637779236,17.616583347320557,13.355830192565918,15.297775506973267,12.766623973846436,14.974324226379395,15.32302451133728,15.206414937973022,15.120585680007935,15.169780969619751,15.183470964431763,13.191356420516968,12.600493669509888,11.854062557220459,14.001978874206543,15.312363147735596
21,19.63696312904358,21.655906200408936,17.432215213775635,13.520857334136963,15.51689887046814,13.122576475143433,15.823808670043945,15.49036693572998,16.448797941207886,16.037514686584473,15.829151153564453,16.3226215839386,12.574291467666626,12.623746395111084,12.263069868087769,14.422242879867554,15.513645648956299
22,18.37528109550476,20.59670639038086,17.92564296722412,13.119034767150879,14.789638042449951,12.686519384384155,15.117600440979004,15.212497472763062,15.340222120285034,15.074002265930176,15.304163455963135,15.316497087478638,12.53691053390503,12.267608642578125,11.683815479278564,14.035161972045898,15.364136219024658
