Index_Position,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,318,341,187,790,293,237,316,651,260,263,347,451,307,9,720,952,992,469,121,381,358,663,31,336,407,772,393,17,580,361,577,904,441,622,626,87,577,402,264,960,733,61,42,376,347,362,642,650,806,238,48,432,849,954,721,141,948,834,404,82,663,356,317,975,920,112,714,762,715,601,185,22,407,234,207,763,161,610,290,549,160,670,583,388,751,879,40,946,521,958,895,991,901,863,733,71,723,674,347,869
1,848,117,657,843,649,845,861,453,837,360,460,675,661,278,59,121,229,407,614,58,774,536,278,737,947,415,818,903,163,436,810,596,736,482,839,233,125,805,578,847,252,102,893,31,37,678,343,668,71,576,703,844,34,748,40,537,197,671,116,904,1,17,566,549,369,865,659,255,199,23,348,547,375,965,123,821,921,700,454,490,986,588,673,432,994,282,509,940,352,743,831,651,453,384,985,252,9,913,334,804
2,362,436,307,404,812,560,715,547,179,75,237,634,858,561,23,605,70,601,20,412,989,668,941,223,192,381,456,312,725,734,123,491,927,543,268,654,918,570,242,645,28,195,689,48,823,321,420,746,708,109,360,963,966,153,696,24,68,330,541,442,104,181,66,595,361,574,789,188,667,737,615,859,470,928,356,898,756,419,966,156,77,27,332,123,84,207,610,151,819,740,500,744,908,57,156,403,359,121,256,494
3,335,896,16,393,986,85,658,324,284,466,31,22,79,404,848,662,132,243,700,911,184,240,752,530,140,452,599,320,957,917,34,502,664,982,705,122,763,452,174,715,826,57,451,85,957,323,770,358,65,206,851,259,26,756,98,293,722,308,696,101,594,58,481,564,864,613,256,771,156,258,919,905,3,503,129,919,931,120,832,777,723,649,269,227,96,837,335,255,902,8,662,249,882,821,123,88,707,72,529,797
4,365,59,58,218,250,609,403,85,199,299,488,437,717,439,691,178,990,321,71,710,327,236,313,296,87,635,360,737,607,528,510,358,293,349,306,235,56,679,945,905,663,201,971,819,541,392,773,761,985,380,136,642,960,866,632,752,744,19,310,299,728,267,609,997,808,916,968,296,384,900,211,985,818,924,145,140,917,368,944,132,102,680,951,582,899,734,385,886,6,73,189,448,756,207,369,958,763,99,288,116
5,618,316,277,924,161,207,442,758,949,534,950,988,122,602,584,323,289,80,106,907,725,202,406,552,259,321,897,23,544,709,175,356,235,973,440,418,950,323,702,767,610,658,75,54,893,784,958,327,603,501,986,241,136,742,79,824,713,936,105,534,148,115,628,563,546,362,952,996,887,316,579,7,522,86,401,500,910,48,347,830,961,99,337,916,571,869,42,317,251,400,763,959,182,363,320,892,835,399,338,861
6,980,792,817,223,936,152,372,873,691,584,969,251,51,619,264,357,109,994,270,18,296,932,390,55,32,581,709,783,892,969,16,960,980,411,165,192,501,671,837,72,894,578,942,166,968,394,118,406,447,312,133,253,465,528,406,543,168,354,40,877,835,905,364,708,509,433,643,256,645,467,502,453,211,151,343,813,25,772,452,201,432,796,91,64,173,74,282,143,143,118,421,33,501,663,527,310,192,394,215,210
7,227,114,255,271,926,388,552,490,105,493,40,844,631,969,327,192,907,908,860,835,575,423,143,11,278,121,439,898,643,736,930,812,596,999,7,399,638,626,120,908,16,728,824,119,295,942,531,268,180,857,361,390,19,74,5,840,185,757,919,132,74,593,422,909,236,975,249,807,908,53,537,714,934,525,192,941,791,824,337,137,774,428,80,41,753,46,384,474,699,701,885,951,424,205,996,901,629,582,139,874
8,713,214,320,474,610,347,837,122,419,527,742,363,828,203,902,338,480,931,435,42,117,498,241,941,517,238,174,325,414,485,530,132,607,450,219,484,348,669,275,235,599,391,705,998,666,146,297,344,554,753,340,667,368,176,726,696,35,622,470,286,189,24,986,160,371,288,664,535,757,843,196,821,188,779,899,421,544,207,563,859,318,864,703,105,419,787,391,318,333,206,797,271,685,428,125,555,559,65,116,686
9,906,334,836,355,645,421,189,417,90,168,595,911,20,54,135,699,688,960,102,122,814,831,623,107,257,681,122,111,971,57,611,885,727,131,326,853,382,859,298,37,722,20,835,452,461,918,406,619,474,938,451,843,248,338,975,19,641,605,709,915,343,530,84,362,981,984,874,82,456,417,175,835,175,668,418,805,803,969,512,926,821,148,921,393,788,472,673,132,486,867,537,713,426,177,265,727,684,205,44,178
