Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[478.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[86.0],[209.0],[209.0],[646.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[179.0],[209.0],[262.0],[209.0],[646.0],[822.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[262.0]
1,[262.0],[262.0],[262.0],[478.0],[209.0],[262.0],[478.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[209.0],[262.0],[478.0],[478.0],[262.0],[262.0],[262.0],[125.0],[262.0],[478.0],[478.0],[262.0],[262.0],[262.0],[262.0],[262.0],[209.0],[209.0],[478.0],[262.0],[262.0],[262.0],[478.0],[262.0],[262.0],[209.0],[478.0],[209.0],[209.0],[478.0],[262.0],[209.0],[262.0],[262.0],[262.0],[478.0],[478.0],[262.0],[262.0],[262.0],[262.0],[478.0],[478.0],[262.0],[478.0],[478.0],[478.0],[179.0],[478.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[209.0],[478.0],[262.0],[262.0],[478.0],[209.0],[262.0],[262.0],[262.0],[478.0],[262.0],[262.0],[478.0],[209.0],[478.0],[262.0],[478.0],[262.0],[262.0],[478.0],[209.0],[262.0],[262.0],[478.0],[209.0]
2,[179.0],[478.0],[478.0],[262.0],[478.0],[646.0],[262.0],[478.0],[209.0],[179.0],[646.0],[478.0],[478.0],[646.0],[646.0],[209.0],[478.0],[646.0],[262.0],[478.0],[262.0],[262.0],[478.0],[478.0],[179.0],[262.0],[977.0],[262.0],[262.0],[478.0],[478.0],[478.0],[478.0],[646.0],[478.0],[668.0],[262.0],[478.0],[478.0],[945.0],[262.0],[209.0],[478.0],[478.0],[262.0],[262.0],[262.0],[262.0],[478.0],[646.0],[478.0],[478.0],[478.0],[262.0],[262.0],[478.0],[478.0],[478.0],[478.0],[262.0],[262.0],[179.0],[262.0],[262.0],[262.0],[262.0],[262.0],[646.0],[646.0],[478.0],[478.0],[478.0],[478.0],[46.0],[478.0],[977.0],[262.0],[478.0],[478.0],[262.0],[668.0],[478.0],[646.0],[478.0],[262.0],[478.0],[668.0],[262.0],[74.0],[262.0],[478.0],[262.0],[646.0],[478.0],[262.0],[74.0],[646.0],[646.0],[262.0],[646.0]
3,[953.0],[646.0],[646.0],[646.0],[646.0],[478.0],[266.0],[646.0],[819.0],[646.0],[478.0],[646.0],[646.0],[478.0],[478.0],[478.0],[668.0],[478.0],[442.0],[646.0],[156.0],[239.0],[646.0],[646.0],[646.0],[478.0],[130.0],[646.0],[646.0],[646.0],[646.0],[646.0],[646.0],[478.0],[646.0],[79.0],[646.0],[373.0],[996.0],[646.0],[156.0],[646.0],[74.0],[646.0],[156.0],[382.0],[478.0],[646.0],[220.0],[478.0],[646.0],[646.0],[646.0],[646.0],[372.0],[646.0],[646.0],[955.0],[668.0],[646.0],[20.0],[177.0],[646.0],[388.0],[646.0],[646.0],[646.0],[671.0],[478.0],[646.0],[393.0],[646.0],[646.0],[117.0],[646.0],[578.0],[646.0],[646.0],[646.0],[646.0],[478.0],[74.0],[471.0],[646.0],[894.0],[328.0],[478.0],[418.0],[478.0],[436.0],[646.0],[812.0],[478.0],[646.0],[854.0],[740.0],[478.0],[478.0],[646.0],[478.0]
4,[898.0],[378.0],[668.0],[977.0],[284.0],[668.0],[646.0],[668.0],[579.0],[668.0],[668.0],[668.0],[364.0],[471.0],[471.0],[646.0],[646.0],[668.0],[668.0],[767.0],[646.0],[767.0],[156.0],[583.0],[473.0],[854.0],[478.0],[382.0],[769.0],[220.0],[869.0],[668.0],[875.0],[145.0],[668.0],[408.0],[616.0],[646.0],[953.0],[474.0],[646.0],[253.0],[646.0],[179.0],[609.0],[290.0],[646.0],[975.0],[890.0],[179.0],[436.0],[677.0],[256.0],[709.0],[931.0],[668.0],[530.0],[646.0],[646.0],[323.0],[646.0],[924.0],[909.0],[646.0],[220.0],[826.0],[869.0],[530.0],[854.0],[709.0],[646.0],[668.0],[668.0],[478.0],[668.0],[478.0],[37.0],[668.0],[373.0],[256.0],[822.0],[646.0],[162.0],[668.0],[646.0],[646.0],[709.0],[646.0],[220.0],[646.0],[683.0],[646.0],[234.0],[668.0],[646.0],[478.0],[668.0],[907.0],[420.0],[668.0]
5,[786.0],[862.0],[74.0],[616.0],[822.0],[115.0],[179.0],[252.0],[646.0],[74.0],[511.0],[74.0],[668.0],[179.0],[614.0],[977.0],[880.0],[179.0],[118.0],[668.0],[179.0],[646.0],[755.0],[668.0],[667.0],[875.0],[762.0],[529.0],[234.0],[179.0],[755.0],[718.0],[668.0],[179.0],[382.0],[646.0],[668.0],[668.0],[252.0],[988.0],[179.0],[544.0],[431.0],[668.0],[323.0],[977.0],[668.0],[425.0],[179.0],[668.0],[378.0],[668.0],[420.0],[668.0],[125.0],[323.0],[115.0],[691.0],[220.0],[668.0],[668.0],[478.0],[668.0],[501.0],[179.0],[668.0],[875.0],[668.0],[179.0],[179.0],[614.0],[179.0],[74.0],[646.0],[74.0],[744.0],[420.0],[822.0],[707.0],[762.0],[646.0],[668.0],[800.0],[74.0],[179.0],[903.0],[646.0],[179.0],[646.0],[179.0],[179.0],[179.0],[179.0],[74.0],[460.0],[583.0],[977.0],[179.0],[220.0],[74.0]
6,[646.0],[471.0],[975.0],[654.0],[977.0],[471.0],[739.0],[442.0],[668.0],[740.0],[471.0],[460.0],[250.0],[623.0],[281.0],[868.0],[382.0],[708.0],[680.0],[220.0],[668.0],[471.0],[575.0],[866.0],[575.0],[445.0],[646.0],[471.0],[220.0],[471.0],[544.0],[933.0],[933.0],[471.0],[420.0],[273.0],[370.0],[212.0],[646.0],[473.0],[734.0],[668.0],[706.0],[79.0],[394.0],[478.0],[74.0],[734.0],[646.0],[37.0],[471.0],[79.0],[977.0],[13.0],[524.0],[732.0],[471.0],[762.0],[382.0],[590.0],[575.0],[646.0],[150.0],[164.0],[544.0],[314.0],[668.0],[951.0],[933.0],[382.0],[977.0],[933.0],[740.0],[197.0],[284.0],[646.0],[880.0],[491.0],[287.0],[668.0],[740.0],[429.0],[478.0],[708.0],[737.0],[668.0],[671.0],[226.0],[285.0],[961.0],[74.0],[222.0],[575.0],[740.0],[220.0],[646.0],[110.0],[933.0],[668.0],[636.0]
7,[668.0],[360.0],[769.0],[544.0],[668.0],[784.0],[887.0],[284.0],[920.0],[282.0],[443.0],[614.0],[420.0],[282.0],[526.0],[668.0],[74.0],[326.0],[691.0],[869.0],[491.0],[897.0],[609.0],[134.0],[668.0],[646.0],[828.0],[252.0],[564.0],[64.0],[668.0],[984.0],[739.0],[649.0],[933.0],[870.0],[37.0],[412.0],[179.0],[913.0],[860.0],[382.0],[17.0],[438.0],[646.0],[555.0],[933.0],[755.0],[503.0],[74.0],[501.0],[74.0],[466.0],[220.0],[646.0],[841.0],[774.0],[259.0],[460.0],[311.0],[378.0],[668.0],[44.0],[732.0],[14.0],[460.0],[303.0],[229.0],[259.0],[977.0],[74.0],[767.0],[420.0],[755.0],[382.0],[668.0],[351.0],[74.0],[668.0],[471.0],[898.0],[583.0],[668.0],[428.0],[471.0],[288.0],[880.0],[977.0],[651.0],[460.0],[668.0],[544.0],[668.0],[614.0],[34.0],[17.0],[343.0],[963.0],[471.0],[786.0]
8,[74.0],[519.0],[565.0],[408.0],[471.0],[873.0],[668.0],[179.0],[382.0],[598.0],[673.0],[856.0],[74.0],[382.0],[815.0],[236.0],[544.0],[74.0],[145.0],[179.0],[236.0],[252.0],[179.0],[402.0],[74.0],[972.0],[522.0],[745.0],[141.0],[754.0],[74.0],[179.0],[74.0],[668.0],[35.0],[74.0],[179.0],[800.0],[668.0],[465.0],[117.0],[37.0],[179.0],[319.0],[907.0],[782.0],[203.0],[894.0],[577.0],[544.0],[179.0],[643.0],[677.0],[508.0],[245.0],[466.0],[291.0],[352.0],[179.0],[137.0],[706.0],[74.0],[311.0],[898.0],[933.0],[434.0],[753.0],[815.0],[668.0],[544.0],[770.0],[74.0],[389.0],[74.0],[442.0],[74.0],[179.0],[748.0],[74.0],[138.0],[800.0],[544.0],[74.0],[906.0],[668.0],[544.0],[179.0],[956.0],[179.0],[668.0],[544.0],[164.0],[74.0],[84.0],[179.0],[507.0],[845.0],[327.0],[677.0],[179.0]
9,[991.0],[110.0],[629.0],[668.0],[656.0],[755.0],[866.0],[769.0],[739.0],[193.0],[179.0],[933.0],[330.0],[800.0],[86.0],[74.0],[624.0],[203.0],[478.0],[977.0],[520.0],[220.0],[608.0],[977.0],[526.0],[281.0],[471.0],[880.0],[668.0],[242.0],[197.0],[208.0],[755.0],[357.0],[660.0],[271.0],[656.0],[633.0],[471.0],[668.0],[694.0],[471.0],[769.0],[436.0],[55.0],[79.0],[502.0],[972.0],[1.0],[609.0],[967.0],[654.0],[471.0],[667.0],[668.0],[471.0],[880.0],[74.0],[37.0],[74.0],[967.0],[382.0],[140.0],[668.0],[438.0],[478.0],[321.0],[478.0],[960.0],[961.0],[708.0],[976.0],[314.0],[385.0],[558.0],[24.0],[668.0],[471.0],[471.0],[546.0],[117.0],[494.0],[436.0],[755.0],[67.0],[999.0],[420.0],[914.0],[830.0],[898.0],[535.0],[649.0],[854.0],[40.0],[668.0],[211.0],[880.0],[525.0],[388.0],[471.0]
