Simulation,iGS,WiGS (Static w_x=0.25),Passive Learning,"WiGS (MAB-UCB1, c=5.0)",EMCM,WiGS (Static w_x=0.75),WiGS (SAC),Uncertainty Sampling,WiGS (Static w_x=0.5),"WiGS (Time-Decay, Exponential)",EGAL,QBC,GSy,GSx,"WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Linear)"
0,1.22505784034729,1.2185871601104736,1.1477012634277344,1.2214515209197998,1.182882308959961,1.2175626754760742,2.674741744995117,1.210099220275879,1.2144780158996582,1.2217040061950684,1.215453863143921,1.8051812648773193,1.2181034088134766,1.1800041198730469,1.2174649238586426,1.2238523960113525,1.219081163406372
1,1.2208771705627441,1.2152349948883057,1.1447415351867676,1.217846393585205,1.178523063659668,1.2161345481872559,2.733977794647217,1.2050693035125732,1.2125208377838135,1.2166588306427002,1.213923692703247,1.8013803958892822,1.2165477275848389,1.1778953075408936,1.2124063968658447,1.217893123626709,1.2150018215179443
2,1.2101283073425293,1.2552807331085205,1.1483118534088135,1.241955041885376,1.197084665298462,1.207446575164795,2.259563446044922,1.2020161151885986,1.223851203918457,1.2189152240753174,1.2209992408752441,1.8099660873413086,1.213196039199829,1.1831176280975342,1.2276239395141602,1.2201244831085205,1.217616081237793
3,1.2494349479675293,1.2263500690460205,1.1893682479858398,1.2503163814544678,1.225081443786621,1.234323501586914,2.423068046569824,1.230736494064331,1.2200233936309814,1.2581331729888916,1.2853343486785889,1.854081392288208,1.24696683883667,1.208916187286377,1.2676386833190918,1.2601819038391113,1.2355561256408691
4,1.1997451782226562,1.188305139541626,1.1331400871276855,1.1901116371154785,1.1494195461273193,1.1891510486602783,2.9709954261779785,1.2237780094146729,1.1932470798492432,1.193242073059082,1.1986632347106934,1.7575559616088867,1.2030997276306152,1.157942771911621,1.1922075748443604,1.1917200088500977,1.1956307888031006
5,1.22406005859375,1.2285149097442627,1.1931707859039307,1.2796311378479004,1.181098461151123,1.230186939239502,2.440669298171997,1.2095012664794922,1.2280011177062988,1.2493517398834229,1.2192916870117188,1.8340039253234863,1.2229726314544678,1.185802936553955,1.2773675918579102,1.261915922164917,1.2181062698364258
6,1.2147753238677979,1.1914923191070557,1.1401174068450928,1.2088203430175781,1.1649854183197021,1.184664011001587,2.2054920196533203,1.2127699851989746,1.1871216297149658,1.1895453929901123,1.2214398384094238,1.8071424961090088,1.2071599960327148,1.1705548763275146,1.2003834247589111,1.205960988998413,1.1845154762268066
7,1.2146241664886475,1.245495080947876,1.155750036239624,1.215911626815796,1.1986708641052246,1.245295763015747,2.2065837383270264,1.2130639553070068,1.2448337078094482,1.236832857131958,1.2311286926269531,1.8081133365631104,1.2067384719848633,1.1774661540985107,1.2353169918060303,1.224726915359497,1.2405204772949219
8,1.2143280506134033,1.2146062850952148,1.1622257232666016,1.2422699928283691,1.1658165454864502,1.216033935546875,2.2478768825531006,1.201289176940918,1.2153346538543701,1.2141740322113037,1.2045581340789795,1.8045470714569092,1.204469919204712,1.171102523803711,1.2370963096618652,1.2212560176849365,1.211958885192871
9,1.2218220233917236,1.2544209957122803,1.1783549785614014,1.2424299716949463,1.204401969909668,1.22184157371521,2.3553736209869385,1.2092905044555664,1.2339246273040771,1.25368332862854,1.222219467163086,1.8016529083251953,1.2198326587677002,1.2513277530670166,1.2494690418243408,1.2275888919830322,1.2352023124694824
