Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[79.0],[34.0],[9.0],[83.0],[17.0],[87.0],[23.0],[75.0],[100.0],[25.0],[45.0],[22.0],[57.0],[25.0],[56.0],[80.0],[62.0],[20.0],[87.0],[54.0],[79.0],[65.0],[35.0],[42.0],[86.0],[33.0],[60.0],[1.0],[17.0],[6.0],[2.0],[2.0],[98.0],[87.0],[37.0],[61.0],[17.0],[51.0],[5.0],[31.0],[74.0],[52.0],[38.0],[76.0],[102.0],[98.0],[26.0],[81.0],[47.0],[99.0],[27.0],[41.0],[8.0],[57.0],[7.0],[30.0],[78.0],[75.0],[28.0],[72.0],[98.0],[91.0],[70.0],[9.0],[42.0],[24.0],[46.0],[35.0],[83.0],[92.0],[37.0],[55.0],[13.0],[70.0],[64.0],[73.0],[49.0],[76.0],[77.0],[76.0],[46.0],[39.0],[29.0],[94.0],[56.0],[41.0],[34.0],[38.0],[9.0],[6.0],[8.0],[24.0],[0.0],[12.0],[0.0],[30.0],[17.0],[64.0],[31.0],[82.0]
1,[3.0],[14.0],[6.0],[81.0],[52.0],[7.0],[92.0],[6.0],[55.0],[13.0],[65.0],[92.0],[37.0],[6.0],[55.0],[3.0],[31.0],[22.0],[14.0],[83.0],[55.0],[66.0],[3.0],[59.0],[80.0],[7.0],[7.0],[34.0],[3.0],[13.0],[49.0],[78.0],[78.0],[6.0],[31.0],[72.0],[60.0],[13.0],[37.0],[16.0],[80.0],[81.0],[51.0],[40.0],[51.0],[7.0],[41.0],[3.0],[6.0],[82.0],[93.0],[14.0],[52.0],[3.0],[6.0],[78.0],[51.0],[59.0],[86.0],[71.0],[51.0],[44.0],[99.0],[6.0],[3.0],[22.0],[3.0],[13.0],[41.0],[11.0],[34.0],[3.0],[40.0],[67.0],[84.0],[6.0],[84.0],[6.0],[94.0],[6.0],[6.0],[69.0],[51.0],[93.0],[88.0],[78.0],[41.0],[69.0],[14.0],[13.0],[7.0],[55.0],[11.0],[89.0],[13.0],[78.0],[78.0],[66.0],[6.0],[7.0]
2,[6.0],[3.0],[7.0],[69.0],[7.0],[11.0],[13.0],[8.0],[51.0],[95.0],[6.0],[7.0],[22.0],[31.0],[10.0],[78.0],[92.0],[6.0],[7.0],[8.0],[7.0],[59.0],[80.0],[72.0],[3.0],[6.0],[34.0],[6.0],[69.0],[3.0],[59.0],[80.0],[51.0],[7.0],[7.0],[78.0],[78.0],[66.0],[92.0],[22.0],[32.0],[80.0],[8.0],[7.0],[83.0],[93.0],[78.0],[6.0],[8.0],[93.0],[6.0],[3.0],[3.0],[13.0],[8.0],[84.0],[55.0],[48.0],[52.0],[88.0],[93.0],[92.0],[83.0],[69.0],[31.0],[13.0],[6.0],[3.0],[78.0],[44.0],[3.0],[69.0],[3.0],[48.0],[80.0],[11.0],[41.0],[31.0],[71.0],[79.0],[11.0],[66.0],[6.0],[8.0],[41.0],[7.0],[78.0],[59.0],[22.0],[3.0],[13.0],[66.0],[51.0],[6.0],[98.0],[66.0],[81.0],[69.0],[3.0],[3.0]
3,[59.0],[67.0],[3.0],[55.0],[3.0],[44.0],[37.0],[13.0],[13.0],[78.0],[69.0],[55.0],[51.0],[11.0],[41.0],[59.0],[6.0],[3.0],[13.0],[37.0],[37.0],[48.0],[69.0],[69.0],[6.0],[14.0],[22.0],[14.0],[92.0],[7.0],[14.0],[81.0],[55.0],[92.0],[13.0],[51.0],[3.0],[34.0],[11.0],[6.0],[59.0],[82.0],[13.0],[78.0],[55.0],[3.0],[52.0],[69.0],[48.0],[13.0],[3.0],[6.0],[68.0],[66.0],[93.0],[83.0],[11.0],[34.0],[69.0],[78.0],[55.0],[37.0],[13.0],[13.0],[6.0],[8.0],[84.0],[11.0],[3.0],[68.0],[14.0],[6.0],[34.0],[78.0],[3.0],[31.0],[55.0],[78.0],[78.0],[3.0],[3.0],[52.0],[78.0],[88.0],[67.0],[8.0],[66.0],[48.0],[3.0],[14.0],[48.0],[13.0],[84.0],[13.0],[78.0],[6.0],[52.0],[67.0],[13.0],[44.0]
4,[7.0],[48.0],[34.0],[3.0],[22.0],[6.0],[55.0],[32.0],[66.0],[93.0],[78.0],[68.0],[48.0],[13.0],[48.0],[69.0],[3.0],[34.0],[3.0],[102.0],[92.0],[3.0],[13.0],[37.0],[37.0],[78.0],[48.0],[23.0],[78.0],[55.0],[69.0],[11.0],[13.0],[98.0],[6.0],[52.0],[40.0],[12.0],[6.0],[3.0],[78.0],[8.0],[11.0],[11.0],[3.0],[14.0],[3.0],[78.0],[13.0],[14.0],[7.0],[59.0],[34.0],[80.0],[3.0],[13.0],[102.0],[22.0],[7.0],[102.0],[66.0],[7.0],[11.0],[78.0],[89.0],[14.0],[7.0],[8.0],[69.0],[66.0],[13.0],[10.0],[14.0],[41.0],[6.0],[8.0],[10.0],[3.0],[51.0],[69.0],[13.0],[7.0],[22.0],[51.0],[72.0],[13.0],[6.0],[51.0],[13.0],[83.0],[3.0],[51.0],[67.0],[7.0],[3.0],[31.0],[13.0],[51.0],[2.0],[6.0]
5,[48.0],[13.0],[84.0],[59.0],[93.0],[78.0],[3.0],[102.0],[37.0],[79.0],[8.0],[59.0],[49.0],[12.0],[6.0],[53.0],[48.0],[81.0],[37.0],[3.0],[97.0],[31.0],[59.0],[14.0],[22.0],[12.0],[6.0],[12.0],[14.0],[78.0],[8.0],[69.0],[6.0],[93.0],[65.0],[7.0],[66.0],[78.0],[3.0],[2.0],[3.0],[67.0],[48.0],[59.0],[8.0],[94.0],[59.0],[51.0],[22.0],[55.0],[78.0],[8.0],[59.0],[34.0],[94.0],[3.0],[14.0],[78.0],[6.0],[7.0],[48.0],[13.0],[48.0],[3.0],[59.0],[98.0],[59.0],[12.0],[13.0],[34.0],[55.0],[78.0],[6.0],[37.0],[34.0],[51.0],[14.0],[8.0],[92.0],[51.0],[59.0],[13.0],[55.0],[78.0],[22.0],[3.0],[44.0],[37.0],[6.0],[7.0],[101.0],[31.0],[48.0],[52.0],[83.0],[11.0],[55.0],[95.0],[88.0],[14.0]
6,[14.0],[7.0],[37.0],[13.0],[37.0],[13.0],[78.0],[34.0],[7.0],[7.0],[55.0],[48.0],[81.0],[78.0],[66.0],[11.0],[13.0],[23.0],[8.0],[78.0],[68.0],[55.0],[6.0],[101.0],[8.0],[13.0],[3.0],[13.0],[6.0],[68.0],[93.0],[6.0],[34.0],[48.0],[80.0],[92.0],[7.0],[3.0],[48.0],[13.0],[6.0],[93.0],[18.0],[82.0],[6.0],[13.0],[92.0],[92.0],[19.0],[102.0],[34.0],[84.0],[37.0],[8.0],[55.0],[11.0],[6.0],[102.0],[92.0],[92.0],[13.0],[3.0],[59.0],[37.0],[11.0],[3.0],[13.0],[78.0],[7.0],[52.0],[88.0],[102.0],[84.0],[34.0],[7.0],[93.0],[93.0],[13.0],[8.0],[7.0],[78.0],[22.0],[3.0],[13.0],[31.0],[6.0],[53.0],[3.0],[23.0],[48.0],[14.0],[37.0],[49.0],[41.0],[6.0],[59.0],[6.0],[14.0],[22.0],[81.0]
7,[13.0],[22.0],[8.0],[10.0],[98.0],[48.0],[48.0],[3.0],[3.0],[3.0],[48.0],[13.0],[40.0],[92.0],[7.0],[102.0],[78.0],[69.0],[68.0],[59.0],[78.0],[78.0],[7.0],[82.0],[13.0],[63.0],[49.0],[93.0],[2.0],[48.0],[84.0],[48.0],[32.0],[78.0],[11.0],[3.0],[13.0],[11.0],[69.0],[93.0],[13.0],[6.0],[6.0],[14.0],[69.0],[52.0],[55.0],[32.0],[40.0],[66.0],[13.0],[11.0],[83.0],[7.0],[13.0],[7.0],[3.0],[13.0],[93.0],[55.0],[11.0],[6.0],[37.0],[82.0],[82.0],[7.0],[48.0],[92.0],[6.0],[65.0],[67.0],[59.0],[22.0],[7.0],[96.0],[13.0],[94.0],[55.0],[3.0],[34.0],[84.0],[11.0],[34.0],[6.0],[55.0],[48.0],[13.0],[34.0],[67.0],[68.0],[37.0],[7.0],[7.0],[67.0],[82.0],[14.0],[8.0],[23.0],[44.0],[13.0]
8,[19.0],[81.0],[48.0],[40.0],[13.0],[98.0],[59.0],[48.0],[48.0],[69.0],[59.0],[3.0],[93.0],[93.0],[68.0],[55.0],[34.0],[59.0],[59.0],[69.0],[59.0],[37.0],[82.0],[78.0],[48.0],[101.0],[59.0],[3.0],[7.0],[83.0],[13.0],[102.0],[22.0],[13.0],[59.0],[34.0],[22.0],[59.0],[18.0],[8.0],[93.0],[94.0],[82.0],[55.0],[59.0],[55.0],[11.0],[48.0],[78.0],[3.0],[22.0],[102.0],[65.0],[93.0],[22.0],[55.0],[93.0],[6.0],[34.0],[53.0],[49.0],[48.0],[3.0],[59.0],[84.0],[68.0],[52.0],[82.0],[44.0],[59.0],[11.0],[13.0],[8.0],[22.0],[92.0],[48.0],[7.0],[59.0],[6.0],[13.0],[37.0],[48.0],[31.0],[55.0],[6.0],[69.0],[48.0],[7.0],[55.0],[69.0],[93.0],[48.0],[6.0],[37.0],[55.0],[93.0],[101.0],[59.0],[7.0],[8.0]
9,[55.0],[82.0],[13.0],[14.0],[14.0],[3.0],[68.0],[11.0],[49.0],[48.0],[93.0],[11.0],[3.0],[48.0],[84.0],[93.0],[7.0],[2.0],[66.0],[93.0],[48.0],[93.0],[48.0],[11.0],[32.0],[11.0],[51.0],[7.0],[34.0],[59.0],[37.0],[32.0],[65.0],[14.0],[3.0],[48.0],[59.0],[22.0],[93.0],[48.0],[44.0],[59.0],[59.0],[32.0],[82.0],[92.0],[13.0],[8.0],[66.0],[68.0],[23.0],[78.0],[22.0],[48.0],[37.0],[59.0],[94.0],[14.0],[48.0],[3.0],[3.0],[78.0],[82.0],[7.0],[52.0],[84.0],[78.0],[6.0],[82.0],[78.0],[31.0],[92.0],[92.0],[93.0],[13.0],[59.0],[68.0],[48.0],[34.0],[55.0],[7.0],[3.0],[13.0],[11.0],[44.0],[14.0],[49.0],[82.0],[2.0],[22.0],[80.0],[3.0],[40.0],[84.0],[59.0],[20.0],[92.0],[81.0],[48.0],[34.0]
10,[22.0],[80.0],[11.0],[8.0],[48.0],[68.0],[7.0],[81.0],[59.0],[55.0],[13.0],[93.0],[11.0],[94.0],[13.0],[6.0],[8.0],[92.0],[22.0],[6.0],[3.0],[8.0],[37.0],[6.0],[67.0],[8.0],[93.0],[48.0],[51.0],[84.0],[34.0],[55.0],[92.0],[65.0],[102.0],[12.0],[48.0],[98.0],[2.0],[11.0],[67.0],[44.0],[92.0],[69.0],[34.0],[59.0],[6.0],[34.0],[55.0],[78.0],[52.0],[55.0],[7.0],[92.0],[31.0],[37.0],[59.0],[93.0],[37.0],[8.0],[94.0],[34.0],[67.0],[48.0],[37.0],[32.0],[11.0],[93.0],[102.0],[14.0],[48.0],[93.0],[82.0],[31.0],[44.0],[14.0],[3.0],[68.0],[81.0],[95.0],[67.0],[93.0],[59.0],[48.0],[82.0],[101.0],[10.0],[6.0],[48.0],[8.0],[11.0],[18.0],[52.0],[68.0],[44.0],[80.0],[3.0],[3.0],[76.0],[48.0]
11,[2.0],[68.0],[2.0],[6.0],[66.0],[93.0],[14.0],[63.0],[93.0],[59.0],[34.0],[6.0],[6.0],[83.0],[3.0],[14.0],[91.0],[8.0],[65.0],[68.0],[6.0],[94.0],[41.0],[87.0],[93.0],[3.0],[27.0],[65.0],[101.0],[32.0],[3.0],[7.0],[48.0],[49.0],[93.0],[6.0],[6.0],[6.0],[13.0],[18.0],[92.0],[11.0],[3.0],[3.0],[13.0],[69.0],[23.0],[93.0],[68.0],[59.0],[14.0],[32.0],[6.0],[22.0],[66.0],[93.0],[81.0],[94.0],[3.0],[68.0],[7.0],[31.0],[8.0],[14.0],[14.0],[52.0],[22.0],[48.0],[87.0],[93.0],[80.0],[53.0],[11.0],[3.0],[48.0],[3.0],[23.0],[44.0],[11.0],[32.0],[48.0],[59.0],[82.0],[92.0],[76.0],[32.0],[93.0],[68.0],[8.0],[82.0],[18.0],[82.0],[3.0],[23.0],[99.0],[22.0],[66.0],[37.0],[8.0],[55.0]
12,[78.0],[11.0],[59.0],[49.0],[11.0],[59.0],[53.0],[82.0],[52.0],[92.0],[3.0],[2.0],[32.0],[65.0],[18.0],[8.0],[93.0],[93.0],[93.0],[41.0],[13.0],[13.0],[55.0],[48.0],[51.0],[59.0],[55.0],[49.0],[82.0],[2.0],[82.0],[93.0],[3.0],[19.0],[48.0],[2.0],[65.0],[82.0],[94.0],[59.0],[98.0],[95.0],[34.0],[86.0],[48.0],[6.0],[34.0],[102.0],[11.0],[41.0],[55.0],[15.0],[89.0],[78.0],[65.0],[53.0],[32.0],[11.0],[97.0],[59.0],[37.0],[79.0],[34.0],[93.0],[65.0],[6.0],[34.0],[55.0],[68.0],[58.0],[69.0],[11.0],[80.0],[23.0],[59.0],[92.0],[102.0],[65.0],[13.0],[92.0],[98.0],[92.0],[2.0],[3.0],[13.0],[2.0],[37.0],[13.0],[93.0],[2.0],[51.0],[61.0],[13.0],[22.0],[48.0],[94.0],[93.0],[41.0],[59.0],[92.0]
13,[68.0],[93.0],[51.0],[65.0],[94.0],[53.0],[86.0],[71.0],[8.0],[49.0],[40.0],[8.0],[41.0],[27.0],[22.0],[94.0],[55.0],[48.0],[89.0],[11.0],[14.0],[7.0],[49.0],[51.0],[53.0],[93.0],[13.0],[81.0],[48.0],[49.0],[7.0],[34.0],[82.0],[34.0],[94.0],[102.0],[67.0],[48.0],[34.0],[49.0],[11.0],[37.0],[93.0],[31.0],[92.0],[23.0],[14.0],[59.0],[18.0],[69.0],[41.0],[7.0],[14.0],[11.0],[48.0],[6.0],[95.0],[3.0],[80.0],[34.0],[22.0],[2.0],[78.0],[102.0],[88.0],[69.0],[37.0],[59.0],[14.0],[3.0],[49.0],[51.0],[93.0],[80.0],[78.0],[81.0],[6.0],[66.0],[48.0],[23.0],[51.0],[94.0],[68.0],[7.0],[68.0],[44.0],[14.0],[55.0],[7.0],[98.0],[59.0],[78.0],[55.0],[92.0],[15.0],[92.0],[14.0],[92.0],[32.0],[32.0]
