Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[100.0],[29.0],[88.0],[11.0],[49.0],[88.0],[47.0],[61.0],[99.0],[39.0],[71.0],[1.0],[4.0],[4.0],[29.0],[11.0],[26.0],[83.0],[85.0],[61.0],[87.0],[76.0],[18.0],[83.0],[21.0],[17.0],[29.0],[21.0],[23.0],[86.0],[100.0],[27.0],[9.0],[29.0],[21.0],[47.0],[9.0],[76.0],[96.0],[27.0],[85.0],[54.0],[47.0],[61.0],[59.0],[61.0],[83.0],[26.0],[31.0],[49.0],[39.0],[53.0],[67.0],[9.0],[47.0],[72.0],[29.0],[47.0],[47.0],[11.0],[71.0],[39.0],[17.0],[9.0],[85.0],[100.0],[87.0],[96.0],[4.0],[24.0],[21.0],[23.0],[16.0],[87.0],[17.0],[12.0],[1.0],[27.0],[23.0],[29.0],[71.0],[53.0],[59.0],[39.0],[21.0],[4.0],[54.0],[82.0],[29.0],[98.0],[61.0],[87.0],[11.0],[9.0],[82.0],[85.0],[17.0],[58.0],[47.0],[21.0]
1,[45.0],[94.0],[59.0],[83.0],[10.0],[59.0],[79.0],[81.0],[8.0],[41.0],[61.0],[72.0],[68.0],[35.0],[90.0],[89.0],[24.0],[1.0],[15.0],[81.0],[86.0],[4.0],[71.0],[1.0],[23.0],[14.0],[90.0],[23.0],[58.0],[67.0],[35.0],[55.0],[72.0],[94.0],[23.0],[79.0],[84.0],[4.0],[21.0],[55.0],[87.0],[71.0],[79.0],[81.0],[80.0],[90.0],[1.0],[24.0],[16.0],[10.0],[23.0],[2.0],[55.0],[22.0],[79.0],[76.0],[94.0],[79.0],[79.0],[83.0],[61.0],[23.0],[58.0],[84.0],[15.0],[35.0],[86.0],[21.0],[72.0],[45.0],[23.0],[85.0],[45.0],[86.0],[14.0],[1.0],[72.0],[55.0],[85.0],[94.0],[61.0],[2.0],[23.0],[40.0],[23.0],[10.0],[71.0],[79.0],[94.0],[53.0],[81.0],[86.0],[83.0],[72.0],[79.0],[15.0],[58.0],[71.0],[79.0],[23.0]
2,[92.0],[40.0],[15.0],[18.0],[45.0],[15.0],[67.0],[31.0],[35.0],[37.0],[59.0],[84.0],[89.0],[89.0],[40.0],[22.0],[14.0],[32.0],[14.0],[31.0],[49.0],[56.0],[93.0],[32.0],[27.0],[23.0],[40.0],[27.0],[65.0],[31.0],[97.0],[83.0],[84.0],[40.0],[27.0],[69.0],[12.0],[56.0],[76.0],[83.0],[61.0],[8.0],[69.0],[31.0],[82.0],[23.0],[32.0],[14.0],[62.0],[45.0],[53.0],[52.0],[61.0],[94.0],[69.0],[30.0],[40.0],[69.0],[69.0],[18.0],[59.0],[53.0],[14.0],[12.0],[14.0],[97.0],[49.0],[76.0],[102.0],[16.0],[48.0],[59.0],[97.0],[49.0],[23.0],[63.0],[84.0],[83.0],[59.0],[40.0],[59.0],[52.0],[93.0],[49.0],[48.0],[45.0],[1.0],[69.0],[40.0],[68.0],[31.0],[49.0],[18.0],[84.0],[69.0],[14.0],[14.0],[82.0],[69.0],[59.0]
3,[61.0],[76.0],[8.0],[2.0],[88.0],[8.0],[69.0],[19.0],[58.0],[1.0],[25.0],[12.0],[57.0],[82.0],[20.0],[40.0],[100.0],[74.0],[27.0],[19.0],[1.0],[75.0],[75.0],[74.0],[48.0],[59.0],[20.0],[48.0],[10.0],[49.0],[74.0],[21.0],[12.0],[76.0],[48.0],[59.0],[51.0],[75.0],[19.0],[21.0],[1.0],[74.0],[59.0],[19.0],[63.0],[69.0],[74.0],[100.0],[49.0],[88.0],[91.0],[98.0],[40.0],[10.0],[59.0],[82.0],[76.0],[59.0],[59.0],[1.0],[25.0],[91.0],[23.0],[51.0],[27.0],[74.0],[1.0],[19.0],[24.0],[49.0],[74.0],[11.0],[49.0],[1.0],[59.0],[58.0],[12.0],[21.0],[11.0],[76.0],[25.0],[98.0],[69.0],[53.0],[74.0],[88.0],[75.0],[59.0],[76.0],[49.0],[19.0],[1.0],[2.0],[12.0],[59.0],[27.0],[23.0],[22.0],[59.0],[76.0]
4,[4.0],[51.0],[48.0],[87.0],[24.0],[48.0],[59.0],[99.0],[32.0],[53.0],[53.0],[18.0],[82.0],[69.0],[11.0],[49.0],[12.0],[55.0],[48.0],[99.0],[68.0],[98.0],[53.0],[55.0],[40.0],[30.0],[11.0],[40.0],[51.0],[40.0],[14.0],[40.0],[18.0],[52.0],[40.0],[40.0],[91.0],[98.0],[55.0],[40.0],[27.0],[15.0],[40.0],[99.0],[40.0],[74.0],[55.0],[30.0],[41.0],[24.0],[48.0],[18.0],[84.0],[76.0],[40.0],[53.0],[51.0],[40.0],[40.0],[87.0],[53.0],[48.0],[30.0],[91.0],[48.0],[14.0],[68.0],[55.0],[80.0],[12.0],[1.0],[47.0],[12.0],[68.0],[30.0],[97.0],[18.0],[40.0],[47.0],[52.0],[53.0],[18.0],[42.0],[5.0],[1.0],[24.0],[31.0],[40.0],[52.0],[15.0],[99.0],[68.0],[87.0],[18.0],[40.0],[48.0],[30.0],[98.0],[40.0],[75.0]
5,[24.0],[11.0],[40.0],[44.0],[97.0],[40.0],[21.0],[12.0],[79.0],[51.0],[12.0],[4.0],[24.0],[76.0],[59.0],[69.0],[50.0],[26.0],[42.0],[12.0],[11.0],[82.0],[2.0],[26.0],[76.0],[67.0],[59.0],[76.0],[1.0],[46.0],[76.0],[44.0],[4.0],[11.0],[76.0],[5.0],[44.0],[82.0],[30.0],[44.0],[41.0],[92.0],[11.0],[12.0],[95.0],[53.0],[26.0],[12.0],[74.0],[97.0],[35.0],[82.0],[102.0],[41.0],[11.0],[37.0],[11.0],[5.0],[11.0],[44.0],[12.0],[35.0],[53.0],[44.0],[42.0],[76.0],[11.0],[30.0],[12.0],[17.0],[13.0],[69.0],[4.0],[11.0],[67.0],[44.0],[4.0],[44.0],[69.0],[11.0],[12.0],[82.0],[78.0],[58.0],[13.0],[97.0],[4.0],[5.0],[11.0],[58.0],[12.0],[11.0],[44.0],[4.0],[5.0],[42.0],[53.0],[29.0],[5.0],[14.0]
6,[74.0],[35.0],[97.0],[37.0],[47.0],[97.0],[40.0],[22.0],[37.0],[96.0],[81.0],[37.0],[9.0],[20.0],[18.0],[67.0],[58.0],[44.0],[75.0],[22.0],[74.0],[13.0],[82.0],[44.0],[75.0],[53.0],[18.0],[75.0],[79.0],[11.0],[49.0],[75.0],[37.0],[58.0],[75.0],[31.0],[48.0],[13.0],[34.0],[75.0],[5.0],[93.0],[67.0],[22.0],[31.0],[1.0],[44.0],[72.0],[93.0],[47.0],[79.0],[68.0],[69.0],[44.0],[67.0],[11.0],[35.0],[31.0],[67.0],[55.0],[81.0],[79.0],[67.0],[48.0],[75.0],[49.0],[74.0],[34.0],[13.0],[4.0],[52.0],[40.0],[76.0],[74.0],[53.0],[37.0],[37.0],[75.0],[40.0],[58.0],[81.0],[68.0],[11.0],[37.0],[52.0],[47.0],[37.0],[31.0],[58.0],[52.0],[22.0],[74.0],[37.0],[37.0],[31.0],[75.0],[67.0],[1.0],[31.0],[40.0]
7,[80.0],[58.0],[101.0],[95.0],[74.0],[101.0],[55.0],[67.0],[44.0],[79.0],[20.0],[75.0],[11.0],[11.0],[55.0],[58.0],[43.0],[87.0],[97.0],[67.0],[66.0],[1.0],[37.0],[87.0],[14.0],[7.0],[55.0],[14.0],[44.0],[37.0],[23.0],[48.0],[75.0],[14.0],[14.0],[66.0],[75.0],[1.0],[1.0],[48.0],[37.0],[13.0],[55.0],[67.0],[67.0],[82.0],[87.0],[58.0],[33.0],[74.0],[82.0],[37.0],[20.0],[51.0],[55.0],[1.0],[58.0],[66.0],[55.0],[68.0],[20.0],[82.0],[7.0],[75.0],[97.0],[23.0],[66.0],[1.0],[99.0],[93.0],[47.0],[76.0],[22.0],[66.0],[7.0],[89.0],[75.0],[48.0],[76.0],[14.0],[20.0],[37.0],[87.0],[68.0],[47.0],[74.0],[93.0],[66.0],[14.0],[80.0],[67.0],[66.0],[95.0],[75.0],[66.0],[97.0],[7.0],[78.0],[66.0],[0.0]
8,[68.0],[44.0],[67.0],[55.0],[68.0],[67.0],[11.0],[28.0],[40.0],[82.0],[75.0],[47.0],[47.0],[74.0],[79.0],[87.0],[55.0],[95.0],[67.0],[28.0],[53.0],[48.0],[68.0],[95.0],[52.0],[11.0],[79.0],[52.0],[13.0],[65.0],[40.0],[37.0],[47.0],[80.0],[52.0],[48.0],[47.0],[48.0],[11.0],[37.0],[73.0],[67.0],[65.0],[28.0],[65.0],[17.0],[95.0],[37.0],[53.0],[68.0],[14.0],[59.0],[12.0],[48.0],[65.0],[80.0],[44.0],[48.0],[65.0],[37.0],[75.0],[14.0],[11.0],[47.0],[67.0],[40.0],[53.0],[11.0],[28.0],[47.0],[41.0],[48.0],[93.0],[53.0],[11.0],[17.0],[47.0],[37.0],[48.0],[80.0],[75.0],[59.0],[28.0],[93.0],[41.0],[68.0],[81.0],[48.0],[80.0],[40.0],[28.0],[53.0],[55.0],[47.0],[48.0],[67.0],[11.0],[11.0],[48.0],[48.0]
9,[37.0],[80.0],[13.0],[40.0],[40.0],[13.0],[65.0],[72.0],[53.0],[14.0],[28.0],[68.0],[40.0],[101.0],[69.0],[14.0],[37.0],[37.0],[63.0],[72.0],[55.0],[81.0],[16.0],[37.0],[8.0],[43.0],[69.0],[8.0],[100.0],[75.0],[46.0],[63.0],[68.0],[47.0],[8.0],[22.0],[41.0],[81.0],[80.0],[63.0],[76.0],[78.0],[13.0],[72.0],[37.0],[28.0],[37.0],[19.0],[28.0],[40.0],[5.0],[14.0],[15.0],[1.0],[13.0],[68.0],[80.0],[22.0],[13.0],[95.0],[28.0],[5.0],[43.0],[41.0],[63.0],[46.0],[55.0],[80.0],[37.0],[66.0],[76.0],[13.0],[47.0],[55.0],[43.0],[79.0],[68.0],[63.0],[13.0],[47.0],[28.0],[14.0],[39.0],[87.0],[76.0],[40.0],[10.0],[22.0],[47.0],[14.0],[72.0],[55.0],[40.0],[68.0],[22.0],[63.0],[43.0],[14.0],[22.0],[52.0]
