Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[854.0],[854.0],[854.0],[325.0],[854.0],[854.0],[1457.0],[929.0],[854.0],[1457.0],[854.0],[727.0],[64.0],[477.0],[854.0],[854.0],[80.0],[606.0],[1457.0],[1046.0],[300.0],[254.0],[759.0],[240.0],[1178.0],[854.0],[854.0],[805.0],[854.0],[512.0],[452.0],[1457.0],[1457.0],[829.0],[74.0],[854.0],[854.0],[350.0],[854.0],[854.0],[854.0],[1388.0],[1457.0],[854.0],[1457.0],[854.0],[854.0],[1457.0],[854.0],[1457.0],[854.0],[854.0],[854.0],[854.0],[854.0],[21.0],[1457.0],[854.0],[784.0],[854.0],[854.0],[1024.0],[1087.0],[1457.0],[854.0],[594.0],[1333.0],[972.0],[434.0],[356.0],[854.0],[1457.0],[854.0],[1496.0],[854.0],[854.0],[854.0],[854.0],[1225.0],[356.0],[854.0],[1457.0],[854.0],[854.0],[1457.0],[1103.0],[854.0],[854.0],[854.0],[854.0],[1457.0],[854.0],[854.0],[854.0],[805.0],[1457.0],[1002.0],[1457.0],[1457.0],[854.0]
1,[1450.0],[929.0],[459.0],[62.0],[1450.0],[1486.0],[711.0],[1363.0],[485.0],[909.0],[727.0],[170.0],[1152.0],[533.0],[1457.0],[1111.0],[854.0],[854.0],[711.0],[928.0],[533.0],[721.0],[1486.0],[755.0],[523.0],[233.0],[1100.0],[854.0],[1414.0],[727.0],[1311.0],[1221.0],[711.0],[854.0],[1457.0],[264.0],[629.0],[1498.0],[264.0],[1457.0],[1022.0],[854.0],[1294.0],[1153.0],[711.0],[1111.0],[1457.0],[711.0],[727.0],[711.0],[659.0],[1457.0],[1087.0],[12.0],[547.0],[854.0],[76.0],[1285.0],[872.0],[346.0],[928.0],[1333.0],[854.0],[854.0],[515.0],[196.0],[1315.0],[1486.0],[996.0],[527.0],[676.0],[711.0],[1457.0],[854.0],[959.0],[587.0],[1400.0],[1450.0],[345.0],[727.0],[1104.0],[1263.0],[573.0],[1433.0],[1163.0],[1457.0],[972.0],[662.0],[1458.0],[368.0],[854.0],[1471.0],[1038.0],[1337.0],[687.0],[26.0],[861.0],[854.0],[711.0],[719.0]
2,[265.0],[696.0],[1104.0],[1087.0],[265.0],[959.0],[976.0],[959.0],[1458.0],[1050.0],[237.0],[1056.0],[1294.0],[302.0],[1289.0],[1386.0],[408.0],[1450.0],[310.0],[1294.0],[244.0],[1457.0],[221.0],[1359.0],[1103.0],[644.0],[1457.0],[891.0],[177.0],[1022.0],[1253.0],[711.0],[410.0],[1457.0],[779.0],[576.0],[1294.0],[1435.0],[1450.0],[116.0],[1457.0],[1149.0],[32.0],[1310.0],[310.0],[959.0],[711.0],[310.0],[1015.0],[310.0],[1225.0],[711.0],[1012.0],[868.0],[1087.0],[1300.0],[711.0],[412.0],[62.0],[628.0],[470.0],[1498.0],[1300.0],[926.0],[1315.0],[854.0],[854.0],[1498.0],[345.0],[170.0],[801.0],[310.0],[402.0],[138.0],[1457.0],[1485.0],[1409.0],[116.0],[1058.0],[854.0],[629.0],[1087.0],[976.0],[263.0],[558.0],[854.0],[534.0],[369.0],[1093.0],[459.0],[711.0],[1450.0],[1301.0],[1390.0],[854.0],[1087.0],[854.0],[711.0],[477.0],[1225.0]
3,[16.0],[792.0],[924.0],[240.0],[1457.0],[32.0],[399.0],[263.0],[163.0],[573.0],[163.0],[846.0],[387.0],[770.0],[1149.0],[1315.0],[594.0],[265.0],[1294.0],[1209.0],[854.0],[854.0],[772.0],[686.0],[1183.0],[1450.0],[491.0],[517.0],[369.0],[1496.0],[1327.0],[1459.0],[310.0],[1040.0],[854.0],[1152.0],[506.0],[854.0],[265.0],[562.0],[976.0],[343.0],[711.0],[233.0],[804.0],[1315.0],[78.0],[443.0],[1129.0],[135.0],[452.0],[57.0],[576.0],[1369.0],[1090.0],[938.0],[1482.0],[14.0],[1087.0],[1457.0],[1494.0],[531.0],[482.0],[711.0],[264.0],[562.0],[976.0],[1370.0],[1164.0],[1141.0],[1450.0],[135.0],[976.0],[96.0],[1386.0],[864.0],[921.0],[1390.0],[1386.0],[1129.0],[528.0],[913.0],[1450.0],[173.0],[1360.0],[429.0],[233.0],[1386.0],[1471.0],[1018.0],[466.0],[1294.0],[1372.0],[1140.0],[1038.0],[1294.0],[54.0],[492.0],[1087.0],[1190.0]
4,[1457.0],[1450.0],[594.0],[1294.0],[711.0],[134.0],[1319.0],[1100.0],[449.0],[676.0],[189.0],[1035.0],[1087.0],[387.0],[1311.0],[727.0],[436.0],[369.0],[672.0],[240.0],[1457.0],[1311.0],[1498.0],[599.0],[1373.0],[429.0],[1087.0],[596.0],[644.0],[854.0],[854.0],[750.0],[135.0],[695.0],[1225.0],[728.0],[141.0],[173.0],[977.0],[265.0],[1015.0],[449.0],[1022.0],[440.0],[1412.0],[237.0],[220.0],[135.0],[470.0],[765.0],[1255.0],[310.0],[1071.0],[1310.0],[1294.0],[1138.0],[854.0],[611.0],[1294.0],[711.0],[96.0],[235.0],[1440.0],[284.0],[1141.0],[330.0],[1494.0],[701.0],[355.0],[1263.0],[1038.0],[253.0],[533.0],[928.0],[83.0],[755.0],[662.0],[997.0],[1448.0],[54.0],[527.0],[1294.0],[874.0],[237.0],[734.0],[772.0],[355.0],[959.0],[113.0],[51.0],[310.0],[770.0],[1333.0],[522.0],[1447.0],[449.0],[1461.0],[1255.0],[1012.0],[71.0]
5,[711.0],[1061.0],[83.0],[1012.0],[85.0],[1016.0],[1035.0],[976.0],[1016.0],[1408.0],[1457.0],[998.0],[548.0],[289.0],[1141.0],[1046.0],[864.0],[569.0],[1087.0],[1012.0],[928.0],[479.0],[854.0],[1087.0],[1457.0],[1333.0],[1012.0],[1450.0],[501.0],[1448.0],[1121.0],[310.0],[661.0],[711.0],[465.0],[976.0],[548.0],[94.0],[300.0],[196.0],[1035.0],[874.0],[1123.0],[1285.0],[854.0],[1129.0],[310.0],[31.0],[1087.0],[253.0],[1153.0],[1399.0],[1283.0],[1443.0],[477.0],[1022.0],[1092.0],[134.0],[240.0],[401.0],[49.0],[854.0],[58.0],[1219.0],[1087.0],[434.0],[1087.0],[854.0],[854.0],[1087.0],[347.0],[673.0],[1087.0],[595.0],[392.0],[1294.0],[1315.0],[608.0],[170.0],[864.0],[1447.0],[1012.0],[1087.0],[1115.0],[429.0],[1498.0],[659.0],[402.0],[266.0],[356.0],[601.0],[240.0],[1015.0],[801.0],[1457.0],[854.0],[1225.0],[623.0],[1209.0],[440.0]
6,[310.0],[972.0],[889.0],[994.0],[1285.0],[283.0],[998.0],[1494.0],[1090.0],[854.0],[138.0],[214.0],[240.0],[94.0],[872.0],[1015.0],[1337.0],[402.0],[1160.0],[994.0],[1087.0],[1285.0],[392.0],[1393.0],[133.0],[785.0],[764.0],[1096.0],[647.0],[305.0],[1390.0],[695.0],[253.0],[1353.0],[512.0],[784.0],[913.0],[1093.0],[1277.0],[801.0],[998.0],[62.0],[176.0],[1164.0],[135.0],[1471.0],[302.0],[1278.0],[1012.0],[167.0],[371.0],[163.0],[1403.0],[116.0],[240.0],[1141.0],[909.0],[1140.0],[1209.0],[310.0],[1123.0],[164.0],[1457.0],[1129.0],[1457.0],[794.0],[1294.0],[325.0],[1092.0],[1294.0],[1457.0],[994.0],[1103.0],[1087.0],[1408.0],[245.0],[659.0],[347.0],[854.0],[1337.0],[1496.0],[854.0],[265.0],[1046.0],[356.0],[1015.0],[531.0],[392.0],[1494.0],[1370.0],[135.0],[1263.0],[1370.0],[51.0],[711.0],[49.0],[924.0],[426.0],[1089.0],[1255.0]
7,[135.0],[1040.0],[1074.0],[1209.0],[377.0],[321.0],[1425.0],[1087.0],[1149.0],[1239.0],[1090.0],[864.0],[141.0],[138.0],[245.0],[1141.0],[83.0],[283.0],[135.0],[1087.0],[1294.0],[1058.0],[305.0],[860.0],[711.0],[1413.0],[1472.0],[15.0],[959.0],[1277.0],[1177.0],[184.0],[695.0],[1277.0],[531.0],[1319.0],[1260.0],[300.0],[134.0],[644.0],[87.0],[369.0],[783.0],[355.0],[253.0],[1450.0],[1087.0],[445.0],[1338.0],[273.0],[623.0],[1413.0],[244.0],[1285.0],[1485.0],[1471.0],[1058.0],[996.0],[1012.0],[783.0],[368.0],[1370.0],[6.0],[256.0],[1450.0],[16.0],[1012.0],[1141.0],[662.0],[1012.0],[521.0],[854.0],[366.0],[1294.0],[63.0],[83.0],[189.0],[196.0],[42.0],[807.0],[1315.0],[240.0],[1103.0],[300.0],[921.0],[531.0],[1255.0],[16.0],[300.0],[426.0],[31.0],[994.0],[527.0],[134.0],[284.0],[711.0],[16.0],[864.0],[310.0],[1372.0]
8,[570.0],[196.0],[1413.0],[1089.0],[452.0],[1012.0],[824.0],[264.0],[42.0],[392.0],[1022.0],[976.0],[854.0],[264.0],[1229.0],[1471.0],[1479.0],[1087.0],[1012.0],[913.0],[1012.0],[1092.0],[784.0],[192.0],[370.0],[237.0],[1209.0],[265.0],[339.0],[173.0],[1015.0],[140.0],[783.0],[399.0],[1015.0],[220.0],[1160.0],[874.0],[377.0],[1450.0],[76.0],[1478.0],[1209.0],[1333.0],[913.0],[1485.0],[1100.0],[1413.0],[1294.0],[1031.0],[1177.0],[263.0],[802.0],[1479.0],[1309.0],[928.0],[266.0],[1255.0],[994.0],[1450.0],[1485.0],[1457.0],[1141.0],[576.0],[814.0],[355.0],[240.0],[1458.0],[884.0],[240.0],[1215.0],[300.0],[711.0],[244.0],[711.0],[1494.0],[587.0],[1225.0],[49.0],[1015.0],[1115.0],[1209.0],[1359.0],[477.0],[1498.0],[711.0],[157.0],[1408.0],[283.0],[514.0],[1450.0],[576.0],[1413.0],[1164.0],[310.0],[1037.0],[1176.0],[173.0],[755.0],[356.0]
9,[253.0],[16.0],[1015.0],[1457.0],[402.0],[1457.0],[1361.0],[1294.0],[94.0],[118.0],[414.0],[42.0],[1373.0],[189.0],[547.0],[928.0],[92.0],[1294.0],[505.0],[1089.0],[240.0],[170.0],[263.0],[854.0],[310.0],[160.0],[1089.0],[1481.0],[1315.0],[121.0],[233.0],[1045.0],[935.0],[196.0],[235.0],[1413.0],[1275.0],[1471.0],[608.0],[1372.0],[711.0],[1278.0],[649.0],[63.0],[994.0],[1309.0],[135.0],[1016.0],[1209.0],[783.0],[1450.0],[1090.0],[1324.0],[829.0],[1012.0],[1087.0],[947.0],[644.0],[1089.0],[456.0],[1087.0],[662.0],[928.0],[310.0],[32.0],[531.0],[1209.0],[1496.0],[263.0],[1209.0],[1480.0],[928.0],[414.0],[1012.0],[676.0],[1364.0],[770.0],[134.0],[283.0],[872.0],[1132.0],[994.0],[160.0],[576.0],[785.0],[1333.0],[727.0],[676.0],[321.0],[263.0],[1392.0],[913.0],[237.0],[1409.0],[135.0],[545.0],[1164.0],[1016.0],[244.0],[392.0]
