Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[418.0],[412.0],[418.0],[418.0],[418.0],[418.0],[412.0],[380.0],[380.0],[380.0],[418.0],[380.0],[374.0],[450.0],[418.0],[405.0],[380.0],[418.0],[380.0],[380.0],[354.0],[418.0],[450.0],[418.0],[57.0],[450.0],[204.0],[380.0],[412.0],[423.0],[156.0],[418.0],[57.0],[380.0],[364.0],[423.0],[418.0],[204.0],[418.0],[418.0],[380.0],[380.0],[380.0],[424.0],[450.0],[410.0],[418.0],[380.0],[410.0],[424.0],[418.0],[354.0],[380.0],[418.0],[380.0],[418.0],[418.0],[57.0],[380.0],[204.0],[380.0],[380.0],[204.0],[418.0],[57.0],[141.0],[418.0],[418.0],[380.0],[418.0],[380.0],[418.0],[380.0],[418.0],[57.0],[418.0],[450.0],[204.0],[418.0],[418.0],[418.0],[418.0],[380.0],[418.0],[204.0],[423.0],[418.0],[380.0],[380.0],[204.0],[418.0],[380.0],[418.0],[450.0],[204.0],[418.0],[410.0],[380.0],[380.0],[197.0]
1,[410.0],[380.0],[423.0],[414.0],[410.0],[414.0],[57.0],[418.0],[450.0],[418.0],[410.0],[374.0],[380.0],[257.0],[410.0],[365.0],[424.0],[380.0],[418.0],[418.0],[418.0],[410.0],[57.0],[380.0],[48.0],[418.0],[203.0],[405.0],[380.0],[418.0],[380.0],[450.0],[355.0],[418.0],[424.0],[418.0],[450.0],[418.0],[380.0],[424.0],[418.0],[418.0],[450.0],[450.0],[380.0],[225.0],[410.0],[405.0],[380.0],[380.0],[380.0],[374.0],[418.0],[57.0],[405.0],[380.0],[225.0],[257.0],[283.0],[418.0],[418.0],[418.0],[450.0],[380.0],[418.0],[380.0],[380.0],[450.0],[155.0],[410.0],[204.0],[380.0],[418.0],[374.0],[253.0],[380.0],[418.0],[283.0],[380.0],[380.0],[380.0],[380.0],[204.0],[410.0],[354.0],[418.0],[424.0],[410.0],[410.0],[203.0],[283.0],[450.0],[380.0],[454.0],[418.0],[380.0],[380.0],[412.0],[57.0],[424.0]
2,[427.0],[418.0],[380.0],[380.0],[364.0],[380.0],[354.0],[450.0],[204.0],[450.0],[427.0],[418.0],[364.0],[141.0],[412.0],[450.0],[418.0],[354.0],[298.0],[424.0],[257.0],[380.0],[410.0],[450.0],[253.0],[380.0],[450.0],[450.0],[405.0],[380.0],[257.0],[380.0],[418.0],[262.0],[380.0],[380.0],[257.0],[283.0],[450.0],[380.0],[405.0],[405.0],[418.0],[418.0],[414.0],[418.0],[380.0],[412.0],[374.0],[418.0],[410.0],[418.0],[412.0],[364.0],[374.0],[424.0],[416.0],[225.0],[418.0],[410.0],[410.0],[66.0],[365.0],[283.0],[365.0],[257.0],[405.0],[380.0],[450.0],[380.0],[418.0],[456.0],[405.0],[380.0],[412.0],[450.0],[380.0],[418.0],[410.0],[410.0],[141.0],[410.0],[418.0],[380.0],[374.0],[416.0],[364.0],[405.0],[364.0],[57.0],[354.0],[418.0],[450.0],[380.0],[203.0],[253.0],[450.0],[57.0],[374.0],[410.0]
3,[380.0],[374.0],[450.0],[456.0],[374.0],[283.0],[355.0],[257.0],[418.0],[374.0],[380.0],[163.0],[418.0],[410.0],[204.0],[352.0],[353.0],[156.0],[57.0],[456.0],[380.0],[145.0],[163.0],[454.0],[410.0],[257.0],[380.0],[418.0],[204.0],[204.0],[204.0],[410.0],[450.0],[57.0],[365.0],[48.0],[204.0],[456.0],[225.0],[48.0],[364.0],[412.0],[57.0],[380.0],[201.0],[204.0],[450.0],[423.0],[414.0],[410.0],[405.0],[380.0],[374.0],[410.0],[450.0],[412.0],[380.0],[418.0],[405.0],[380.0],[416.0],[456.0],[454.0],[57.0],[380.0],[364.0],[365.0],[405.0],[354.0],[450.0],[203.0],[450.0],[424.0],[365.0],[450.0],[144.0],[57.0],[257.0],[438.0],[204.0],[367.0],[437.0],[283.0],[412.0],[380.0],[380.0],[380.0],[456.0],[253.0],[380.0],[204.0],[405.0],[253.0],[405.0],[380.0],[57.0],[457.0],[418.0],[418.0],[355.0]
4,[405.0],[57.0],[454.0],[450.0],[405.0],[204.0],[450.0],[57.0],[257.0],[225.0],[405.0],[142.0],[144.0],[144.0],[225.0],[57.0],[412.0],[102.0],[405.0],[364.0],[405.0],[450.0],[380.0],[405.0],[380.0],[57.0],[418.0],[283.0],[354.0],[156.0],[57.0],[424.0],[380.0],[410.0],[450.0],[364.0],[380.0],[380.0],[257.0],[405.0],[365.0],[152.0],[405.0],[365.0],[418.0],[380.0],[490.0],[257.0],[364.0],[364.0],[424.0],[450.0],[353.0],[450.0],[367.0],[405.0],[423.0],[374.0],[423.0],[405.0],[364.0],[405.0],[418.0],[354.0],[410.0],[354.0],[410.0],[424.0],[405.0],[423.0],[152.0],[405.0],[225.0],[412.0],[418.0],[147.0],[405.0],[380.0],[57.0],[354.0],[365.0],[365.0],[354.0],[57.0],[405.0],[405.0],[64.0],[412.0],[405.0],[418.0],[144.0],[365.0],[55.0],[257.0],[364.0],[354.0],[253.0],[405.0],[456.0],[380.0]
5,[412.0],[456.0],[354.0],[405.0],[438.0],[450.0],[380.0],[156.0],[354.0],[405.0],[257.0],[152.0],[352.0],[380.0],[380.0],[367.0],[355.0],[57.0],[147.0],[225.0],[450.0],[364.0],[144.0],[374.0],[257.0],[262.0],[454.0],[355.0],[364.0],[364.0],[144.0],[204.0],[253.0],[54.0],[423.0],[450.0],[354.0],[257.0],[423.0],[450.0],[48.0],[145.0],[204.0],[374.0],[364.0],[412.0],[225.0],[418.0],[412.0],[374.0],[353.0],[456.0],[147.0],[204.0],[410.0],[365.0],[156.0],[380.0],[204.0],[57.0],[438.0],[214.0],[141.0],[410.0],[374.0],[355.0],[364.0],[352.0],[410.0],[365.0],[144.0],[414.0],[457.0],[97.0],[380.0],[405.0],[374.0],[225.0],[204.0],[416.0],[416.0],[204.0],[450.0],[54.0],[437.0],[354.0],[405.0],[365.0],[57.0],[354.0],[380.0],[412.0],[197.0],[410.0],[424.0],[364.0],[353.0],[364.0],[364.0],[253.0]
6,[155.0],[405.0],[144.0],[8.0],[142.0],[354.0],[454.0],[364.0],[203.0],[365.0],[424.0],[405.0],[204.0],[364.0],[365.0],[252.0],[365.0],[410.0],[257.0],[152.0],[364.0],[283.0],[412.0],[365.0],[262.0],[410.0],[405.0],[147.0],[156.0],[225.0],[48.0],[342.0],[374.0],[423.0],[418.0],[365.0],[57.0],[410.0],[353.0],[214.0],[152.0],[353.0],[398.0],[197.0],[483.0],[364.0],[259.0],[262.0],[283.0],[365.0],[214.0],[353.0],[354.0],[380.0],[364.0],[145.0],[257.0],[410.0],[412.0],[257.0],[412.0],[57.0],[380.0],[142.0],[364.0],[423.0],[368.0],[147.0],[142.0],[364.0],[257.0],[353.0],[257.0],[405.0],[204.0],[454.0],[364.0],[374.0],[416.0],[283.0],[144.0],[57.0],[355.0],[374.0],[410.0],[204.0],[365.0],[414.0],[155.0],[144.0],[374.0],[364.0],[410.0],[57.0],[374.0],[410.0],[365.0],[414.0],[405.0],[283.0]
7,[163.0],[155.0],[293.0],[365.0],[355.0],[156.0],[405.0],[405.0],[66.0],[214.0],[353.0],[438.0],[373.0],[354.0],[354.0],[257.0],[225.0],[152.0],[214.0],[405.0],[454.0],[204.0],[152.0],[48.0],[145.0],[364.0],[98.0],[144.0],[203.0],[293.0],[353.0],[353.0],[199.0],[144.0],[155.0],[355.0],[364.0],[438.0],[57.0],[152.0],[257.0],[374.0],[162.0],[151.0],[365.0],[152.0],[199.0],[144.0],[152.0],[152.0],[257.0],[147.0],[296.0],[405.0],[416.0],[374.0],[353.0],[456.0],[364.0],[354.0],[214.0],[8.0],[354.0],[274.0],[152.0],[418.0],[214.0],[152.0],[57.0],[152.0],[364.0],[159.0],[200.0],[355.0],[457.0],[424.0],[365.0],[405.0],[353.0],[364.0],[355.0],[214.0],[412.0],[405.0],[257.0],[253.0],[410.0],[367.0],[142.0],[410.0],[373.0],[145.0],[57.0],[197.0],[144.0],[345.0],[418.0],[353.0],[365.0],[405.0]
8,[353.0],[152.0],[8.0],[353.0],[145.0],[365.0],[418.0],[353.0],[141.0],[353.0],[98.0],[257.0],[423.0],[418.0],[214.0],[155.0],[450.0],[416.0],[365.0],[163.0],[365.0],[64.0],[405.0],[364.0],[102.0],[412.0],[355.0],[410.0],[283.0],[155.0],[488.0],[257.0],[414.0],[147.0],[405.0],[283.0],[295.0],[262.0],[374.0],[355.0],[57.0],[214.0],[214.0],[405.0],[368.0],[358.0],[203.0],[57.0],[354.0],[353.0],[204.0],[357.0],[204.0],[454.0],[98.0],[364.0],[405.0],[405.0],[365.0],[355.0],[374.0],[262.0],[364.0],[405.0],[283.0],[365.0],[457.0],[159.0],[414.0],[8.0],[283.0],[253.0],[141.0],[156.0],[405.0],[354.0],[8.0],[412.0],[214.0],[450.0],[253.0],[225.0],[405.0],[364.0],[364.0],[183.0],[152.0],[253.0],[203.0],[364.0],[102.0],[352.0],[48.0],[200.0],[283.0],[142.0],[203.0],[155.0],[292.0],[257.0]
9,[156.0],[355.0],[268.0],[204.0],[283.0],[155.0],[365.0],[365.0],[405.0],[352.0],[364.0],[48.0],[353.0],[355.0],[8.0],[418.0],[156.0],[48.0],[354.0],[354.0],[43.0],[353.0],[211.0],[163.0],[450.0],[405.0],[353.0],[342.0],[257.0],[97.0],[450.0],[152.0],[405.0],[364.0],[203.0],[410.0],[144.0],[253.0],[355.0],[354.0],[142.0],[354.0],[364.0],[204.0],[155.0],[352.0],[358.0],[353.0],[142.0],[283.0],[155.0],[152.0],[123.0],[265.0],[353.0],[368.0],[410.0],[365.0],[368.0],[365.0],[152.0],[365.0],[423.0],[364.0],[147.0],[410.0],[152.0],[365.0],[214.0],[159.0],[405.0],[410.0],[365.0],[346.0],[364.0],[353.0],[152.0],[410.0],[364.0],[144.0],[405.0],[155.0],[66.0],[257.0],[159.0],[355.0],[258.0],[204.0],[214.0],[365.0],[355.0],[292.0],[163.0],[297.0],[405.0],[199.0],[141.0],[365.0],[204.0],[364.0]
