Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[236.0],[124.0],[124.0],[236.0],[124.0],[124.0],[124.0],[82.0],[124.0],[249.0],[124.0],[124.0],[124.0],[236.0],[124.0],[124.0],[124.0],[249.0],[249.0],[124.0],[124.0],[236.0],[320.0],[124.0],[149.0],[320.0],[124.0],[124.0],[193.0],[493.0],[320.0],[124.0],[124.0],[124.0],[124.0],[149.0],[124.0],[124.0],[116.0],[110.0],[124.0],[277.0],[149.0],[148.0],[249.0],[124.0],[124.0],[124.0],[236.0],[146.0],[124.0],[313.0],[82.0],[249.0],[282.0],[124.0],[249.0],[124.0],[249.0],[124.0],[124.0],[124.0],[148.0],[124.0],[124.0],[124.0],[269.0],[249.0],[124.0],[146.0],[82.0],[124.0],[249.0],[249.0],[179.0],[236.0],[320.0],[124.0],[113.0],[124.0],[124.0],[445.0],[124.0],[124.0],[124.0],[236.0],[267.0],[47.0],[459.0],[267.0],[124.0],[124.0],[359.0],[249.0],[320.0],[124.0],[124.0],[249.0],[124.0],[124.0]
1,[146.0],[238.0],[149.0],[242.0],[110.0],[110.0],[113.0],[282.0],[117.0],[146.0],[17.0],[168.0],[282.0],[390.0],[359.0],[110.0],[146.0],[124.0],[276.0],[113.0],[110.0],[441.0],[249.0],[242.0],[124.0],[249.0],[493.0],[359.0],[124.0],[107.0],[249.0],[313.0],[17.0],[493.0],[238.0],[236.0],[15.0],[249.0],[445.0],[124.0],[459.0],[124.0],[124.0],[249.0],[267.0],[94.0],[320.0],[360.0],[102.0],[124.0],[119.0],[73.0],[124.0],[193.0],[249.0],[359.0],[282.0],[267.0],[277.0],[149.0],[359.0],[390.0],[282.0],[249.0],[249.0],[119.0],[124.0],[267.0],[390.0],[124.0],[236.0],[89.0],[124.0],[124.0],[459.0],[249.0],[359.0],[267.0],[124.0],[249.0],[249.0],[249.0],[249.0],[110.0],[249.0],[110.0],[124.0],[459.0],[276.0],[249.0],[249.0],[149.0],[124.0],[149.0],[445.0],[249.0],[249.0],[320.0],[485.0],[106.0]
2,[276.0],[277.0],[485.0],[485.0],[313.0],[313.0],[52.0],[186.0],[242.0],[124.0],[498.0],[372.0],[390.0],[485.0],[459.0],[493.0],[110.0],[282.0],[470.0],[445.0],[359.0],[82.0],[359.0],[100.0],[161.0],[359.0],[15.0],[267.0],[249.0],[320.0],[146.0],[47.0],[276.0],[249.0],[249.0],[453.0],[249.0],[115.0],[16.0],[313.0],[498.0],[149.0],[15.0],[359.0],[313.0],[249.0],[115.0],[249.0],[313.0],[249.0],[390.0],[498.0],[493.0],[175.0],[161.0],[149.0],[146.0],[242.0],[15.0],[432.0],[149.0],[94.0],[146.0],[359.0],[445.0],[46.0],[249.0],[110.0],[282.0],[267.0],[390.0],[442.0],[282.0],[470.0],[439.0],[146.0],[282.0],[107.0],[359.0],[269.0],[485.0],[15.0],[193.0],[498.0],[282.0],[493.0],[15.0],[124.0],[320.0],[124.0],[15.0],[196.0],[238.0],[485.0],[249.0],[282.0],[146.0],[485.0],[390.0],[249.0]
3,[110.0],[286.0],[359.0],[149.0],[493.0],[453.0],[375.0],[445.0],[102.0],[390.0],[359.0],[149.0],[172.0],[445.0],[485.0],[313.0],[432.0],[172.0],[149.0],[96.0],[485.0],[89.0],[119.0],[390.0],[247.0],[119.0],[249.0],[96.0],[445.0],[249.0],[119.0],[390.0],[498.0],[498.0],[110.0],[249.0],[453.0],[390.0],[124.0],[249.0],[134.0],[235.0],[390.0],[193.0],[179.0],[282.0],[313.0],[196.0],[453.0],[493.0],[360.0],[365.0],[179.0],[124.0],[313.0],[249.0],[485.0],[485.0],[47.0],[390.0],[453.0],[149.0],[47.0],[306.0],[313.0],[313.0],[267.0],[189.0],[116.0],[249.0],[485.0],[313.0],[359.0],[113.0],[318.0],[313.0],[485.0],[432.0],[197.0],[493.0],[359.0],[493.0],[375.0],[282.0],[36.0],[15.0],[89.0],[372.0],[100.0],[498.0],[110.0],[493.0],[306.0],[15.0],[359.0],[390.0],[493.0],[282.0],[15.0],[390.0]
4,[69.0],[249.0],[161.0],[277.0],[441.0],[119.0],[359.0],[249.0],[266.0],[129.0],[117.0],[249.0],[249.0],[313.0],[498.0],[453.0],[359.0],[276.0],[251.0],[47.0],[498.0],[249.0],[282.0],[80.0],[249.0],[227.0],[17.0],[115.0],[498.0],[15.0],[236.0],[36.0],[375.0],[306.0],[359.0],[276.0],[96.0],[359.0],[146.0],[96.0],[249.0],[249.0],[249.0],[204.0],[269.0],[276.0],[69.0],[485.0],[352.0],[175.0],[36.0],[110.0],[359.0],[149.0],[119.0],[15.0],[359.0],[390.0],[266.0],[445.0],[235.0],[249.0],[432.0],[352.0],[267.0],[36.0],[36.0],[102.0],[249.0],[432.0],[249.0],[36.0],[146.0],[276.0],[313.0],[282.0],[276.0],[249.0],[249.0],[365.0],[377.0],[107.0],[445.0],[161.0],[313.0],[498.0],[390.0],[360.0],[227.0],[470.0],[53.0],[12.0],[498.0],[106.0],[15.0],[188.0],[470.0],[193.0],[161.0],[155.0]
5,[306.0],[459.0],[390.0],[249.0],[360.0],[249.0],[16.0],[288.0],[113.0],[282.0],[82.0],[352.0],[269.0],[249.0],[453.0],[249.0],[249.0],[36.0],[485.0],[249.0],[249.0],[276.0],[266.0],[249.0],[129.0],[149.0],[36.0],[170.0],[485.0],[146.0],[361.0],[146.0],[113.0],[445.0],[365.0],[320.0],[36.0],[420.0],[282.0],[117.0],[110.0],[320.0],[452.0],[192.0],[148.0],[320.0],[442.0],[282.0],[277.0],[313.0],[359.0],[236.0],[352.0],[320.0],[92.0],[378.0],[498.0],[36.0],[148.0],[36.0],[117.0],[320.0],[189.0],[36.0],[83.0],[249.0],[149.0],[146.0],[320.0],[445.0],[447.0],[235.0],[398.0],[320.0],[197.0],[352.0],[197.0],[36.0],[420.0],[498.0],[36.0],[146.0],[134.0],[445.0],[110.0],[282.0],[249.0],[320.0],[110.0],[485.0],[117.0],[306.0],[249.0],[400.0],[110.0],[170.0],[498.0],[359.0],[281.0],[110.0]
6,[498.0],[359.0],[193.0],[365.0],[89.0],[179.0],[224.0],[359.0],[390.0],[313.0],[36.0],[359.0],[96.0],[82.0],[277.0],[236.0],[36.0],[110.0],[365.0],[110.0],[267.0],[377.0],[82.0],[110.0],[498.0],[276.0],[148.0],[148.0],[94.0],[217.0],[276.0],[282.0],[267.0],[121.0],[498.0],[247.0],[498.0],[452.0],[249.0],[100.0],[193.0],[267.0],[479.0],[124.0],[124.0],[342.0],[86.0],[193.0],[485.0],[387.0],[249.0],[249.0],[249.0],[86.0],[320.0],[352.0],[185.0],[276.0],[407.0],[283.0],[439.0],[276.0],[420.0],[441.0],[277.0],[65.0],[449.0],[276.0],[276.0],[420.0],[320.0],[352.0],[420.0],[352.0],[189.0],[102.0],[283.0],[110.0],[412.0],[235.0],[16.0],[432.0],[236.0],[249.0],[224.0],[249.0],[498.0],[249.0],[236.0],[110.0],[318.0],[320.0],[110.0],[236.0],[282.0],[320.0],[359.0],[236.0],[148.0],[383.0]
7,[249.0],[110.0],[249.0],[498.0],[242.0],[498.0],[249.0],[36.0],[276.0],[269.0],[352.0],[47.0],[192.0],[407.0],[352.0],[390.0],[267.0],[441.0],[124.0],[359.0],[36.0],[320.0],[452.0],[383.0],[396.0],[124.0],[146.0],[16.0],[359.0],[36.0],[186.0],[249.0],[445.0],[421.0],[15.0],[390.0],[432.0],[117.0],[277.0],[282.0],[313.0],[32.0],[117.0],[498.0],[82.0],[352.0],[249.0],[388.0],[36.0],[149.0],[388.0],[82.0],[36.0],[388.0],[352.0],[247.0],[36.0],[320.0],[452.0],[249.0],[148.0],[148.0],[320.0],[85.0],[199.0],[146.0],[148.0],[361.0],[359.0],[304.0],[247.0],[242.0],[493.0],[359.0],[249.0],[242.0],[400.0],[485.0],[146.0],[116.0],[148.0],[420.0],[320.0],[94.0],[151.0],[179.0],[299.0],[82.0],[493.0],[320.0],[452.0],[148.0],[388.0],[352.0],[377.0],[276.0],[286.0],[498.0],[36.0],[269.0]
8,[465.0],[193.0],[36.0],[197.0],[148.0],[407.0],[36.0],[102.0],[36.0],[441.0],[242.0],[498.0],[69.0],[320.0],[224.0],[282.0],[224.0],[320.0],[274.0],[388.0],[282.0],[36.0],[236.0],[320.0],[398.0],[36.0],[107.0],[249.0],[110.0],[149.0],[277.0],[266.0],[352.0],[146.0],[36.0],[448.0],[110.0],[282.0],[313.0],[470.0],[148.0],[189.0],[146.0],[100.0],[17.0],[36.0],[282.0],[267.0],[196.0],[418.0],[320.0],[148.0],[377.0],[102.0],[277.0],[452.0],[109.0],[313.0],[498.0],[320.0],[249.0],[36.0],[274.0],[161.0],[320.0],[15.0],[313.0],[224.0],[47.0],[359.0],[498.0],[318.0],[189.0],[149.0],[236.0],[498.0],[53.0],[498.0],[48.0],[352.0],[107.0],[378.0],[422.0],[420.0],[441.0],[146.0],[420.0],[276.0],[359.0],[359.0],[498.0],[276.0],[80.0],[46.0],[119.0],[420.0],[110.0],[199.0],[242.0],[266.0]
9,[313.0],[498.0],[80.0],[36.0],[407.0],[109.0],[110.0],[286.0],[146.0],[242.0],[313.0],[146.0],[324.0],[296.0],[193.0],[15.0],[313.0],[100.0],[442.0],[352.0],[247.0],[493.0],[267.0],[276.0],[313.0],[442.0],[441.0],[432.0],[36.0],[102.0],[359.0],[437.0],[249.0],[77.0],[318.0],[66.0],[365.0],[266.0],[36.0],[53.0],[441.0],[313.0],[148.0],[110.0],[276.0],[277.0],[454.0],[27.0],[80.0],[450.0],[80.0],[301.0],[447.0],[189.0],[82.0],[407.0],[82.0],[146.0],[155.0],[110.0],[365.0],[313.0],[123.0],[100.0],[82.0],[113.0],[452.0],[281.0],[36.0],[196.0],[481.0],[400.0],[313.0],[36.0],[493.0],[266.0],[341.0],[100.0],[15.0],[113.0],[15.0],[482.0],[359.0],[450.0],[6.0],[378.0],[148.0],[352.0],[485.0],[135.0],[282.0],[39.0],[318.0],[359.0],[318.0],[445.0],[474.0],[448.0],[249.0],[462.0]
