Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[228.0],[276.0],[420.0],[420.0],[420.0],[255.0],[420.0],[297.0],[431.0],[420.0],[420.0],[487.0],[420.0],[328.0],[487.0],[23.0],[23.0],[420.0],[36.0],[420.0],[86.0],[420.0],[129.0],[420.0],[420.0],[420.0],[276.0],[255.0],[420.0],[348.0],[255.0],[420.0],[420.0],[358.0],[466.0],[220.0],[420.0],[36.0],[86.0],[420.0],[487.0],[420.0],[420.0],[420.0],[420.0],[420.0],[490.0],[86.0],[433.0],[228.0],[420.0],[420.0],[338.0],[420.0],[131.0],[420.0],[221.0],[338.0],[420.0],[420.0],[49.0],[228.0],[23.0],[420.0],[431.0],[401.0],[420.0],[420.0],[129.0],[420.0],[255.0],[420.0],[51.0],[420.0],[255.0],[487.0],[420.0],[49.0],[420.0],[420.0],[36.0],[253.0],[420.0],[255.0],[255.0],[487.0],[420.0],[86.0],[255.0],[73.0],[420.0],[221.0],[420.0],[255.0],[420.0],[420.0],[2.0],[420.0],[420.0],[420.0]
1,[255.0],[420.0],[243.0],[72.0],[401.0],[328.0],[221.0],[2.0],[420.0],[86.0],[86.0],[344.0],[179.0],[420.0],[179.0],[255.0],[221.0],[23.0],[420.0],[255.0],[221.0],[86.0],[255.0],[343.0],[289.0],[436.0],[2.0],[420.0],[86.0],[255.0],[36.0],[94.0],[211.0],[297.0],[420.0],[86.0],[255.0],[420.0],[289.0],[401.0],[431.0],[255.0],[129.0],[255.0],[86.0],[23.0],[255.0],[253.0],[29.0],[255.0],[321.0],[431.0],[401.0],[36.0],[420.0],[427.0],[420.0],[420.0],[36.0],[255.0],[253.0],[420.0],[420.0],[348.0],[255.0],[255.0],[86.0],[23.0],[420.0],[255.0],[49.0],[360.0],[338.0],[86.0],[487.0],[420.0],[487.0],[420.0],[86.0],[86.0],[221.0],[73.0],[220.0],[221.0],[490.0],[255.0],[86.0],[235.0],[29.0],[88.0],[86.0],[181.0],[360.0],[420.0],[23.0],[24.0],[15.0],[297.0],[255.0],[487.0]
2,[328.0],[289.0],[487.0],[23.0],[249.0],[94.0],[436.0],[255.0],[204.0],[466.0],[88.0],[4.0],[344.0],[257.0],[420.0],[420.0],[288.0],[203.0],[49.0],[129.0],[276.0],[15.0],[420.0],[179.0],[255.0],[96.0],[220.0],[94.0],[68.0],[365.0],[401.0],[83.0],[23.0],[36.0],[255.0],[365.0],[88.0],[487.0],[23.0],[253.0],[427.0],[222.0],[243.0],[49.0],[276.0],[255.0],[23.0],[23.0],[255.0],[487.0],[29.0],[23.0],[23.0],[235.0],[29.0],[487.0],[203.0],[202.0],[362.0],[68.0],[188.0],[401.0],[36.0],[86.0],[51.0],[221.0],[289.0],[235.0],[466.0],[96.0],[497.0],[255.0],[83.0],[88.0],[420.0],[344.0],[228.0],[431.0],[431.0],[36.0],[23.0],[272.0],[401.0],[420.0],[2.0],[344.0],[215.0],[222.0],[215.0],[228.0],[23.0],[276.0],[254.0],[86.0],[228.0],[401.0],[36.0],[494.0],[276.0],[204.0]
3,[36.0],[255.0],[494.0],[255.0],[289.0],[420.0],[487.0],[344.0],[68.0],[290.0],[221.0],[188.0],[23.0],[23.0],[352.0],[86.0],[420.0],[86.0],[433.0],[2.0],[420.0],[23.0],[222.0],[68.0],[348.0],[289.0],[420.0],[86.0],[362.0],[487.0],[358.0],[401.0],[289.0],[221.0],[276.0],[420.0],[68.0],[51.0],[420.0],[255.0],[23.0],[436.0],[86.0],[262.0],[23.0],[221.0],[96.0],[289.0],[420.0],[71.0],[290.0],[254.0],[420.0],[65.0],[86.0],[29.0],[23.0],[221.0],[436.0],[289.0],[420.0],[86.0],[2.0],[221.0],[2.0],[362.0],[221.0],[289.0],[212.0],[72.0],[420.0],[23.0],[4.0],[253.0],[303.0],[23.0],[255.0],[290.0],[68.0],[487.0],[215.0],[420.0],[94.0],[86.0],[420.0],[215.0],[262.0],[348.0],[86.0],[420.0],[188.0],[420.0],[290.0],[83.0],[348.0],[68.0],[228.0],[49.0],[49.0],[401.0]
4,[420.0],[303.0],[23.0],[490.0],[68.0],[88.0],[2.0],[289.0],[23.0],[348.0],[401.0],[71.0],[204.0],[348.0],[243.0],[285.0],[255.0],[344.0],[276.0],[68.0],[105.0],[215.0],[436.0],[289.0],[494.0],[23.0],[86.0],[272.0],[494.0],[420.0],[436.0],[49.0],[203.0],[471.0],[390.0],[221.0],[29.0],[220.0],[29.0],[2.0],[49.0],[401.0],[348.0],[401.0],[222.0],[204.0],[73.0],[228.0],[23.0],[436.0],[246.0],[408.0],[490.0],[494.0],[289.0],[255.0],[436.0],[203.0],[46.0],[96.0],[390.0],[72.0],[431.0],[2.0],[420.0],[276.0],[390.0],[228.0],[29.0],[431.0],[2.0],[86.0],[2.0],[487.0],[2.0],[86.0],[2.0],[68.0],[221.0],[204.0],[276.0],[96.0],[221.0],[148.0],[23.0],[53.0],[68.0],[203.0],[400.0],[255.0],[71.0],[86.0],[228.0],[128.0],[255.0],[289.0],[436.0],[253.0],[362.0],[88.0]
5,[246.0],[427.0],[228.0],[427.0],[225.0],[309.0],[96.0],[307.0],[297.0],[243.0],[253.0],[221.0],[88.0],[290.0],[49.0],[319.0],[254.0],[221.0],[362.0],[348.0],[49.0],[53.0],[221.0],[221.0],[344.0],[362.0],[185.0],[401.0],[249.0],[494.0],[290.0],[436.0],[191.0],[436.0],[29.0],[255.0],[49.0],[307.0],[442.0],[348.0],[255.0],[221.0],[255.0],[23.0],[303.0],[71.0],[362.0],[401.0],[289.0],[235.0],[253.0],[105.0],[304.0],[348.0],[23.0],[129.0],[68.0],[23.0],[285.0],[343.0],[221.0],[255.0],[255.0],[288.0],[188.0],[436.0],[372.0],[497.0],[150.0],[289.0],[86.0],[289.0],[307.0],[358.0],[401.0],[203.0],[276.0],[105.0],[288.0],[68.0],[487.0],[203.0],[358.0],[401.0],[86.0],[191.0],[255.0],[420.0],[23.0],[49.0],[255.0],[289.0],[358.0],[348.0],[72.0],[362.0],[289.0],[73.0],[222.0],[276.0]
6,[179.0],[49.0],[129.0],[105.0],[436.0],[436.0],[86.0],[88.0],[215.0],[274.0],[23.0],[36.0],[228.0],[53.0],[23.0],[307.0],[222.0],[215.0],[171.0],[431.0],[289.0],[228.0],[487.0],[94.0],[228.0],[221.0],[83.0],[436.0],[401.0],[221.0],[222.0],[497.0],[222.0],[68.0],[88.0],[436.0],[285.0],[290.0],[96.0],[276.0],[29.0],[276.0],[16.0],[258.0],[105.0],[2.0],[431.0],[73.0],[487.0],[53.0],[243.0],[49.0],[272.0],[68.0],[288.0],[234.0],[432.0],[228.0],[23.0],[487.0],[203.0],[436.0],[221.0],[203.0],[88.0],[348.0],[83.0],[401.0],[255.0],[195.0],[401.0],[401.0],[420.0],[68.0],[49.0],[228.0],[105.0],[36.0],[289.0],[255.0],[222.0],[2.0],[436.0],[222.0],[49.0],[235.0],[309.0],[344.0],[53.0],[221.0],[88.0],[105.0],[2.0],[105.0],[179.0],[309.0],[255.0],[480.0],[204.0],[290.0]
7,[436.0],[235.0],[288.0],[235.0],[195.0],[86.0],[390.0],[221.0],[2.0],[362.0],[49.0],[23.0],[348.0],[442.0],[88.0],[427.0],[86.0],[307.0],[105.0],[494.0],[358.0],[29.0],[212.0],[29.0],[332.0],[348.0],[49.0],[73.0],[246.0],[436.0],[362.0],[255.0],[49.0],[257.0],[408.0],[222.0],[289.0],[352.0],[348.0],[86.0],[289.0],[105.0],[303.0],[246.0],[289.0],[436.0],[204.0],[420.0],[96.0],[427.0],[348.0],[390.0],[262.0],[362.0],[427.0],[344.0],[129.0],[71.0],[195.0],[221.0],[289.0],[221.0],[436.0],[431.0],[289.0],[420.0],[23.0],[303.0],[88.0],[253.0],[431.0],[212.0],[228.0],[348.0],[348.0],[348.0],[427.0],[221.0],[246.0],[29.0],[427.0],[362.0],[352.0],[15.0],[290.0],[105.0],[249.0],[246.0],[150.0],[246.0],[304.0],[401.0],[86.0],[222.0],[68.0],[73.0],[96.0],[254.0],[348.0],[289.0]
8,[195.0],[211.0],[212.0],[53.0],[253.0],[289.0],[348.0],[487.0],[348.0],[228.0],[73.0],[90.0],[195.0],[289.0],[362.0],[253.0],[36.0],[4.0],[307.0],[222.0],[150.0],[204.0],[348.0],[338.0],[191.0],[68.0],[73.0],[221.0],[390.0],[68.0],[49.0],[372.0],[344.0],[253.0],[23.0],[303.0],[303.0],[362.0],[221.0],[289.0],[436.0],[73.0],[222.0],[179.0],[246.0],[73.0],[221.0],[150.0],[49.0],[49.0],[86.0],[490.0],[179.0],[195.0],[358.0],[307.0],[100.0],[348.0],[68.0],[23.0],[36.0],[46.0],[150.0],[215.0],[49.0],[23.0],[255.0],[272.0],[94.0],[191.0],[94.0],[358.0],[276.0],[365.0],[494.0],[105.0],[246.0],[203.0],[436.0],[348.0],[129.0],[16.0],[253.0],[136.0],[436.0],[362.0],[2.0],[68.0],[204.0],[436.0],[222.0],[49.0],[497.0],[319.0],[372.0],[23.0],[29.0],[362.0],[338.0],[105.0]
9,[401.0],[348.0],[49.0],[401.0],[72.0],[68.0],[243.0],[420.0],[427.0],[222.0],[487.0],[46.0],[358.0],[215.0],[215.0],[68.0],[234.0],[65.0],[235.0],[487.0],[73.0],[474.0],[390.0],[309.0],[36.0],[71.0],[105.0],[288.0],[221.0],[129.0],[348.0],[289.0],[150.0],[401.0],[288.0],[235.0],[105.0],[494.0],[431.0],[307.0],[72.0],[290.0],[2.0],[390.0],[96.0],[348.0],[303.0],[49.0],[18.0],[111.0],[255.0],[221.0],[436.0],[246.0],[255.0],[72.0],[16.0],[255.0],[212.0],[129.0],[246.0],[179.0],[68.0],[4.0],[288.0],[83.0],[53.0],[73.0],[307.0],[442.0],[348.0],[129.0],[253.0],[401.0],[215.0],[88.0],[362.0],[273.0],[253.0],[188.0],[348.0],[494.0],[86.0],[348.0],[427.0],[383.0],[204.0],[179.0],[348.0],[288.0],[243.0],[96.0],[243.0],[309.0],[225.0],[307.0],[420.0],[94.0],[23.0],[427.0]
