Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[162.0],[239.0],[304.0],[208.0],[447.0],[299.0],[444.0],[110.0],[406.0],[295.0],[452.0],[261.0],[404.0],[299.0],[77.0],[283.0],[305.0],[225.0],[470.0],[176.0],[105.0],[305.0],[477.0],[304.0],[34.0],[83.0],[93.0],[109.0],[70.0],[245.0],[392.0],[532.0],[8.0],[32.0],[95.0],[338.0],[40.0],[509.0],[273.0],[59.0],[170.0],[255.0],[386.0],[320.0],[89.0],[454.0],[89.0],[141.0],[305.0],[514.0],[279.0],[524.0],[365.0],[386.0],[454.0],[393.0],[159.0],[340.0],[105.0],[180.0],[20.0],[113.0],[8.0],[95.0],[524.0],[356.0],[180.0],[152.0],[471.0],[123.0],[408.0],[261.0],[258.0],[159.0],[392.0],[514.0],[463.0],[240.0],[202.0],[504.0],[287.0],[507.0],[454.0],[483.0],[322.0],[212.0],[81.0],[521.0],[123.0],[29.0],[110.0],[21.0],[20.0],[93.0],[324.0],[299.0],[313.0],[386.0],[167.0],[11.0]
1,[167.0],[386.0],[128.0],[514.0],[176.0],[112.0],[523.0],[30.0],[167.0],[312.0],[281.0],[173.0],[171.0],[311.0],[161.0],[461.0],[2.0],[302.0],[257.0],[28.0],[340.0],[153.0],[40.0],[89.0],[499.0],[146.0],[523.0],[160.0],[113.0],[491.0],[295.0],[390.0],[282.0],[62.0],[347.0],[387.0],[112.0],[514.0],[132.0],[386.0],[450.0],[351.0],[2.0],[537.0],[29.0],[484.0],[104.0],[455.0],[50.0],[331.0],[406.0],[2.0],[514.0],[153.0],[20.0],[455.0],[533.0],[272.0],[340.0],[162.0],[86.0],[440.0],[168.0],[16.0],[461.0],[470.0],[21.0],[160.0],[63.0],[523.0],[315.0],[180.0],[478.0],[514.0],[113.0],[132.0],[457.0],[247.0],[20.0],[16.0],[162.0],[64.0],[225.0],[122.0],[487.0],[311.0],[288.0],[79.0],[469.0],[215.0],[166.0],[288.0],[376.0],[514.0],[40.0],[509.0],[281.0],[31.0],[288.0],[92.0]
2,[406.0],[443.0],[365.0],[308.0],[477.0],[39.0],[305.0],[153.0],[345.0],[213.0],[358.0],[477.0],[489.0],[300.0],[9.0],[386.0],[52.0],[386.0],[331.0],[227.0],[483.0],[288.0],[86.0],[255.0],[163.0],[287.0],[285.0],[285.0],[180.0],[88.0],[288.0],[171.0],[236.0],[138.0],[112.0],[232.0],[365.0],[281.0],[130.0],[510.0],[350.0],[159.0],[364.0],[300.0],[461.0],[142.0],[288.0],[523.0],[341.0],[212.0],[512.0],[351.0],[112.0],[538.0],[93.0],[386.0],[144.0],[341.0],[461.0],[455.0],[153.0],[400.0],[2.0],[523.0],[160.0],[386.0],[300.0],[170.0],[408.0],[412.0],[140.0],[79.0],[452.0],[134.0],[400.0],[321.0],[187.0],[17.0],[216.0],[106.0],[108.0],[456.0],[406.0],[504.0],[165.0],[284.0],[392.0],[312.0],[392.0],[461.0],[350.0],[104.0],[461.0],[144.0],[163.0],[392.0],[215.0],[400.0],[104.0],[405.0]
3,[392.0],[17.0],[68.0],[273.0],[491.0],[477.0],[144.0],[300.0],[141.0],[538.0],[415.0],[28.0],[475.0],[353.0],[93.0],[92.0],[480.0],[483.0],[400.0],[538.0],[461.0],[144.0],[485.0],[302.0],[385.0],[320.0],[386.0],[415.0],[225.0],[475.0],[50.0],[140.0],[338.0],[386.0],[63.0],[347.0],[134.0],[452.0],[504.0],[531.0],[475.0],[514.0],[484.0],[470.0],[77.0],[514.0],[144.0],[468.0],[144.0],[378.0],[308.0],[49.0],[21.0],[17.0],[532.0],[328.0],[408.0],[489.0],[512.0],[118.0],[83.0],[61.0],[487.0],[531.0],[107.0],[250.0],[406.0],[81.0],[262.0],[358.0],[386.0],[477.0],[76.0],[391.0],[68.0],[300.0],[323.0],[28.0],[85.0],[538.0],[392.0],[354.0],[174.0],[470.0],[408.0],[160.0],[187.0],[308.0],[386.0],[358.0],[300.0],[128.0],[30.0],[456.0],[406.0],[456.0],[521.0],[443.0],[138.0],[28.0]
4,[487.0],[16.0],[514.0],[404.0],[386.0],[140.0],[295.0],[226.0],[393.0],[329.0],[63.0],[112.0],[59.0],[70.0],[386.0],[107.0],[296.0],[380.0],[134.0],[491.0],[491.0],[444.0],[386.0],[354.0],[526.0],[308.0],[456.0],[522.0],[389.0],[115.0],[187.0],[113.0],[63.0],[415.0],[239.0],[113.0],[407.0],[407.0],[180.0],[538.0],[59.0],[82.0],[381.0],[386.0],[300.0],[59.0],[176.0],[288.0],[240.0],[63.0],[393.0],[386.0],[300.0],[168.0],[407.0],[140.0],[392.0],[451.0],[50.0],[285.0],[255.0],[502.0],[390.0],[131.0],[37.0],[281.0],[386.0],[356.0],[82.0],[28.0],[16.0],[225.0],[345.0],[538.0],[16.0],[273.0],[281.0],[146.0],[395.0],[345.0],[351.0],[479.0],[141.0],[172.0],[470.0],[71.0],[466.0],[378.0],[342.0],[487.0],[273.0],[53.0],[179.0],[163.0],[211.0],[455.0],[63.0],[112.0],[392.0],[415.0]
5,[351.0],[524.0],[129.0],[161.0],[118.0],[52.0],[90.0],[61.0],[358.0],[322.0],[479.0],[94.0],[376.0],[153.0],[320.0],[165.0],[365.0],[321.0],[299.0],[443.0],[64.0],[160.0],[365.0],[300.0],[281.0],[300.0],[320.0],[322.0],[531.0],[455.0],[144.0],[393.0],[245.0],[225.0],[150.0],[114.0],[179.0],[163.0],[70.0],[53.0],[281.0],[356.0],[161.0],[406.0],[387.0],[28.0],[214.0],[236.0],[467.0],[48.0],[214.0],[287.0],[319.0],[470.0],[118.0],[153.0],[13.0],[283.0],[53.0],[20.0],[514.0],[107.0],[128.0],[514.0],[300.0],[541.0],[471.0],[504.0],[443.0],[167.0],[167.0],[16.0],[248.0],[169.0],[187.0],[456.0],[105.0],[452.0],[514.0],[241.0],[541.0],[273.0],[288.0],[273.0],[491.0],[415.0],[116.0],[63.0],[430.0],[464.0],[538.0],[246.0],[387.0],[142.0],[393.0],[391.0],[407.0],[240.0],[213.0],[443.0]
6,[443.0],[404.0],[354.0],[475.0],[452.0],[241.0],[451.0],[511.0],[300.0],[451.0],[218.0],[194.0],[281.0],[107.0],[456.0],[37.0],[281.0],[354.0],[484.0],[281.0],[320.0],[406.0],[255.0],[30.0],[358.0],[461.0],[142.0],[300.0],[82.0],[323.0],[232.0],[218.0],[470.0],[174.0],[514.0],[471.0],[364.0],[369.0],[300.0],[187.0],[392.0],[223.0],[147.0],[321.0],[458.0],[365.0],[182.0],[345.0],[116.0],[300.0],[141.0],[146.0],[20.0],[531.0],[67.0],[110.0],[478.0],[273.0],[152.0],[523.0],[404.0],[514.0],[365.0],[536.0],[307.0],[484.0],[89.0],[92.0],[60.0],[281.0],[487.0],[82.0],[456.0],[93.0],[166.0],[113.0],[514.0],[406.0],[477.0],[252.0],[107.0],[419.0],[49.0],[356.0],[68.0],[300.0],[477.0],[255.0],[266.0],[441.0],[67.0],[420.0],[345.0],[537.0],[97.0],[390.0],[415.0],[283.0],[176.0],[393.0]
7,[112.0],[273.0],[460.0],[172.0],[521.0],[404.0],[392.0],[12.0],[484.0],[351.0],[407.0],[50.0],[392.0],[251.0],[273.0],[329.0],[430.0],[283.0],[354.0],[338.0],[152.0],[365.0],[484.0],[214.0],[392.0],[484.0],[273.0],[454.0],[273.0],[70.0],[454.0],[153.0],[300.0],[214.0],[67.0],[369.0],[83.0],[458.0],[456.0],[491.0],[92.0],[172.0],[451.0],[534.0],[302.0],[213.0],[491.0],[79.0],[283.0],[465.0],[487.0],[378.0],[478.0],[255.0],[300.0],[61.0],[37.0],[471.0],[214.0],[406.0],[408.0],[354.0],[179.0],[180.0],[351.0],[365.0],[287.0],[48.0],[127.0],[10.0],[528.0],[514.0],[116.0],[79.0],[76.0],[169.0],[392.0],[49.0],[48.0],[129.0],[387.0],[13.0],[484.0],[392.0],[113.0],[524.0],[79.0],[471.0],[477.0],[504.0],[514.0],[512.0],[68.0],[400.0],[14.0],[359.0],[451.0],[20.0],[420.0],[451.0]
8,[174.0],[477.0],[14.0],[63.0],[454.0],[50.0],[149.0],[538.0],[134.0],[108.0],[386.0],[392.0],[389.0],[329.0],[144.0],[320.0],[454.0],[538.0],[58.0],[455.0],[266.0],[512.0],[392.0],[400.0],[13.0],[140.0],[167.0],[70.0],[369.0],[299.0],[28.0],[369.0],[126.0],[300.0],[300.0],[535.0],[251.0],[251.0],[82.0],[71.0],[525.0],[331.0],[456.0],[345.0],[214.0],[168.0],[118.0],[454.0],[452.0],[241.0],[491.0],[505.0],[537.0],[385.0],[218.0],[356.0],[108.0],[505.0],[525.0],[392.0],[475.0],[321.0],[118.0],[10.0],[153.0],[63.0],[350.0],[413.0],[320.0],[86.0],[273.0],[287.0],[323.0],[94.0],[322.0],[76.0],[35.0],[16.0],[255.0],[458.0],[63.0],[460.0],[128.0],[90.0],[307.0],[48.0],[528.0],[223.0],[354.0],[144.0],[391.0],[143.0],[107.0],[369.0],[511.0],[70.0],[169.0],[504.0],[464.0],[168.0]
9,[59.0],[424.0],[400.0],[52.0],[90.0],[346.0],[241.0],[345.0],[389.0],[283.0],[82.0],[406.0],[455.0],[240.0],[153.0],[236.0],[418.0],[114.0],[456.0],[456.0],[94.0],[194.0],[470.0],[391.0],[107.0],[362.0],[163.0],[538.0],[471.0],[68.0],[76.0],[356.0],[388.0],[126.0],[406.0],[531.0],[13.0],[345.0],[389.0],[475.0],[469.0],[2.0],[20.0],[287.0],[85.0],[455.0],[466.0],[458.0],[380.0],[273.0],[420.0],[487.0],[406.0],[241.0],[504.0],[441.0],[20.0],[514.0],[55.0],[475.0],[478.0],[369.0],[30.0],[113.0],[457.0],[400.0],[470.0],[283.0],[146.0],[514.0],[115.0],[354.0],[407.0],[68.0],[153.0],[398.0],[302.0],[390.0],[63.0],[48.0],[524.0],[70.0],[356.0],[386.0],[112.0],[408.0],[194.0],[48.0],[214.0],[250.0],[525.0],[108.0],[407.0],[479.0],[168.0],[89.0],[48.0],[50.0],[118.0],[76.0]
