Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[372.0],[372.0],[430.0],[155.0],[333.0],[437.0],[5.0],[317.0],[437.0],[437.0],[437.0],[5.0],[372.0],[372.0],[437.0],[372.0],[372.0],[372.0],[372.0],[372.0],[437.0],[24.0],[372.0],[372.0],[372.0],[372.0],[370.0],[437.0],[437.0],[372.0],[372.0],[437.0],[370.0],[437.0],[372.0],[437.0],[372.0],[5.0],[372.0],[372.0],[372.0],[24.0],[437.0],[372.0],[437.0],[24.0],[372.0],[437.0],[24.0],[437.0],[372.0],[372.0],[372.0],[372.0],[370.0],[372.0],[372.0],[372.0],[370.0],[372.0],[437.0],[437.0],[437.0],[370.0],[372.0],[24.0],[372.0],[372.0],[372.0],[437.0],[372.0],[24.0],[372.0],[437.0],[370.0],[372.0],[372.0],[437.0],[437.0],[437.0],[437.0],[370.0],[437.0],[372.0],[372.0],[372.0],[437.0],[437.0],[437.0],[372.0],[370.0],[437.0],[155.0],[437.0],[372.0],[24.0],[437.0],[437.0],[370.0],[437.0]
1,[24.0],[24.0],[437.0],[369.0],[437.0],[372.0],[372.0],[24.0],[155.0],[333.0],[372.0],[437.0],[24.0],[24.0],[396.0],[317.0],[437.0],[430.0],[241.0],[437.0],[127.0],[5.0],[471.0],[301.0],[332.0],[437.0],[24.0],[128.0],[372.0],[437.0],[437.0],[372.0],[437.0],[372.0],[219.0],[402.0],[301.0],[437.0],[24.0],[36.0],[24.0],[437.0],[372.0],[402.0],[219.0],[370.0],[219.0],[121.0],[155.0],[36.0],[301.0],[437.0],[155.0],[437.0],[396.0],[437.0],[5.0],[437.0],[333.0],[155.0],[372.0],[301.0],[396.0],[437.0],[437.0],[437.0],[437.0],[24.0],[437.0],[372.0],[24.0],[437.0],[241.0],[24.0],[5.0],[437.0],[437.0],[372.0],[333.0],[372.0],[155.0],[437.0],[372.0],[437.0],[437.0],[155.0],[24.0],[372.0],[36.0],[437.0],[437.0],[396.0],[24.0],[397.0],[437.0],[437.0],[372.0],[372.0],[396.0],[155.0]
2,[155.0],[239.0],[396.0],[437.0],[24.0],[430.0],[430.0],[219.0],[396.0],[372.0],[402.0],[430.0],[437.0],[437.0],[24.0],[219.0],[5.0],[437.0],[219.0],[473.0],[370.0],[372.0],[396.0],[437.0],[437.0],[36.0],[437.0],[372.0],[24.0],[301.0],[333.0],[396.0],[391.0],[155.0],[301.0],[255.0],[437.0],[372.0],[437.0],[437.0],[437.0],[155.0],[471.0],[437.0],[370.0],[437.0],[86.0],[392.0],[389.0],[372.0],[437.0],[24.0],[37.0],[396.0],[437.0],[155.0],[437.0],[134.0],[437.0],[317.0],[396.0],[372.0],[24.0],[155.0],[476.0],[372.0],[333.0],[437.0],[24.0],[24.0],[317.0],[372.0],[80.0],[219.0],[437.0],[392.0],[36.0],[476.0],[372.0],[349.0],[372.0],[87.0],[24.0],[36.0],[155.0],[24.0],[392.0],[5.0],[372.0],[24.0],[93.0],[372.0],[437.0],[317.0],[396.0],[372.0],[317.0],[332.0],[24.0],[372.0]
3,[5.0],[437.0],[317.0],[402.0],[372.0],[396.0],[437.0],[108.0],[5.0],[86.0],[317.0],[24.0],[301.0],[430.0],[5.0],[437.0],[24.0],[435.0],[437.0],[402.0],[24.0],[219.0],[437.0],[134.0],[155.0],[301.0],[132.0],[430.0],[317.0],[103.0],[453.0],[24.0],[332.0],[5.0],[402.0],[317.0],[396.0],[36.0],[219.0],[5.0],[396.0],[369.0],[504.0],[453.0],[396.0],[333.0],[24.0],[219.0],[396.0],[108.0],[402.0],[5.0],[24.0],[24.0],[24.0],[389.0],[396.0],[82.0],[132.0],[430.0],[301.0],[219.0],[487.0],[317.0],[24.0],[317.0],[86.0],[471.0],[471.0],[132.0],[402.0],[389.0],[5.0],[372.0],[24.0],[5.0],[5.0],[5.0],[24.0],[396.0],[5.0],[430.0],[395.0],[5.0],[453.0],[437.0],[372.0],[219.0],[24.0],[108.0],[24.0],[24.0],[349.0],[349.0],[301.0],[5.0],[396.0],[24.0],[392.0],[5.0]
4,[437.0],[317.0],[141.0],[24.0],[430.0],[36.0],[219.0],[372.0],[430.0],[24.0],[36.0],[372.0],[219.0],[5.0],[132.0],[471.0],[402.0],[24.0],[87.0],[435.0],[132.0],[87.0],[317.0],[5.0],[329.0],[24.0],[476.0],[87.0],[396.0],[155.0],[389.0],[132.0],[357.0],[402.0],[437.0],[396.0],[332.0],[219.0],[430.0],[402.0],[471.0],[389.0],[402.0],[128.0],[82.0],[396.0],[437.0],[372.0],[437.0],[5.0],[430.0],[389.0],[301.0],[103.0],[392.0],[334.0],[301.0],[430.0],[87.0],[396.0],[24.0],[402.0],[219.0],[108.0],[396.0],[219.0],[402.0],[395.0],[476.0],[127.0],[471.0],[317.0],[401.0],[301.0],[389.0],[219.0],[301.0],[405.0],[389.0],[24.0],[301.0],[24.0],[396.0],[24.0],[317.0],[317.0],[132.0],[402.0],[132.0],[335.0],[372.0],[301.0],[396.0],[372.0],[471.0],[219.0],[186.0],[241.0],[108.0],[430.0]
5,[349.0],[108.0],[37.0],[372.0],[219.0],[5.0],[301.0],[437.0],[372.0],[241.0],[219.0],[396.0],[471.0],[491.0],[389.0],[349.0],[108.0],[333.0],[333.0],[301.0],[396.0],[437.0],[219.0],[396.0],[24.0],[471.0],[372.0],[333.0],[430.0],[473.0],[318.0],[5.0],[300.0],[24.0],[24.0],[108.0],[219.0],[24.0],[87.0],[108.0],[284.0],[349.0],[24.0],[24.0],[24.0],[530.0],[127.0],[24.0],[349.0],[186.0],[24.0],[97.0],[396.0],[255.0],[219.0],[5.0],[317.0],[24.0],[389.0],[368.0],[5.0],[473.0],[288.0],[24.0],[108.0],[476.0],[98.0],[219.0],[473.0],[473.0],[284.0],[396.0],[219.0],[525.0],[430.0],[255.0],[82.0],[108.0],[108.0],[430.0],[396.0],[301.0],[430.0],[37.0],[349.0],[534.0],[5.0],[24.0],[389.0],[219.0],[471.0],[332.0],[301.0],[24.0],[453.0],[430.0],[389.0],[503.0],[395.0],[396.0]
6,[47.0],[255.0],[187.0],[5.0],[396.0],[333.0],[220.0],[367.0],[333.0],[530.0],[132.0],[155.0],[139.0],[504.0],[372.0],[292.0],[370.0],[317.0],[155.0],[332.0],[219.0],[164.0],[225.0],[370.0],[369.0],[219.0],[389.0],[471.0],[73.0],[24.0],[198.0],[486.0],[393.0],[118.0],[37.0],[425.0],[241.0],[389.0],[317.0],[24.0],[389.0],[372.0],[333.0],[306.0],[141.0],[331.0],[389.0],[248.0],[430.0],[456.0],[395.0],[232.0],[437.0],[69.0],[69.0],[134.0],[219.0],[396.0],[471.0],[402.0],[108.0],[24.0],[132.0],[396.0],[14.0],[36.0],[24.0],[87.0],[171.0],[68.0],[437.0],[430.0],[317.0],[240.0],[392.0],[301.0],[473.0],[370.0],[545.0],[282.0],[134.0],[521.0],[26.0],[430.0],[24.0],[530.0],[451.0],[301.0],[430.0],[389.0],[396.0],[59.0],[219.0],[108.0],[317.0],[301.0],[239.0],[218.0],[389.0],[219.0]
7,[389.0],[105.0],[386.0],[389.0],[301.0],[309.0],[309.0],[389.0],[140.0],[369.0],[370.0],[490.0],[473.0],[370.0],[491.0],[24.0],[66.0],[389.0],[264.0],[396.0],[486.0],[389.0],[386.0],[128.0],[389.0],[473.0],[128.0],[162.0],[252.0],[86.0],[155.0],[238.0],[65.0],[284.0],[453.0],[302.0],[510.0],[486.0],[389.0],[473.0],[538.0],[2.0],[118.0],[373.0],[217.0],[142.0],[330.0],[471.0],[47.0],[455.0],[219.0],[370.0],[335.0],[389.0],[44.0],[366.0],[306.0],[333.0],[453.0],[24.0],[360.0],[453.0],[82.0],[99.0],[301.0],[367.0],[374.0],[103.0],[118.0],[332.0],[131.0],[491.0],[226.0],[218.0],[453.0],[373.0],[302.0],[390.0],[471.0],[491.0],[533.0],[211.0],[453.0],[520.0],[533.0],[389.0],[394.0],[470.0],[331.0],[368.0],[538.0],[36.0],[134.0],[370.0],[522.0],[396.0],[370.0],[389.0],[331.0],[473.0]
8,[140.0],[392.0],[455.0],[364.0],[376.0],[24.0],[252.0],[106.0],[134.0],[100.0],[430.0],[166.0],[486.0],[473.0],[155.0],[284.0],[487.0],[87.0],[272.0],[219.0],[389.0],[415.0],[187.0],[219.0],[430.0],[430.0],[373.0],[396.0],[179.0],[430.0],[38.0],[108.0],[425.0],[86.0],[395.0],[430.0],[155.0],[461.0],[306.0],[476.0],[473.0],[396.0],[108.0],[219.0],[161.0],[430.0],[331.0],[331.0],[164.0],[402.0],[272.0],[160.0],[333.0],[132.0],[213.0],[99.0],[252.0],[440.0],[391.0],[369.0],[174.0],[370.0],[186.0],[467.0],[317.0],[155.0],[219.0],[394.0],[456.0],[108.0],[118.0],[155.0],[24.0],[134.0],[504.0],[24.0],[219.0],[248.0],[396.0],[25.0],[476.0],[268.0],[471.0],[476.0],[267.0],[366.0],[248.0],[410.0],[533.0],[329.0],[394.0],[447.0],[37.0],[155.0],[36.0],[321.0],[486.0],[392.0],[367.0],[349.0]
9,[430.0],[389.0],[340.0],[219.0],[536.0],[331.0],[333.0],[364.0],[34.0],[420.0],[168.0],[218.0],[332.0],[134.0],[530.0],[172.0],[317.0],[152.0],[523.0],[474.0],[5.0],[366.0],[461.0],[255.0],[139.0],[167.0],[116.0],[24.0],[70.0],[333.0],[26.0],[529.0],[267.0],[255.0],[69.0],[372.0],[248.0],[430.0],[482.0],[331.0],[430.0],[317.0],[153.0],[139.0],[292.0],[476.0],[523.0],[509.0],[142.0],[69.0],[39.0],[331.0],[47.0],[108.0],[470.0],[214.0],[476.0],[112.0],[396.0],[146.0],[155.0],[127.0],[372.0],[509.0],[65.0],[127.0],[135.0],[115.0],[103.0],[389.0],[456.0],[367.0],[283.0],[38.0],[465.0],[248.0],[466.0],[128.0],[86.0],[29.0],[370.0],[252.0],[333.0],[174.0],[387.0],[128.0],[2.0],[378.0],[300.0],[334.0],[86.0],[104.0],[47.0],[284.0],[468.0],[100.0],[292.0],[2.0],[467.0],[134.0]
