Simulation,QBC,WiGS (SAC),EGAL,GSy,WiGS (Static w_x=0.25),GSx,"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (Time-Decay, Exponential)",WiGS (Static w_x=0.75),"WiGS (MAB-UCB1, c=5.0)",Uncertainty Sampling,EMCM,Passive Learning,iGS,WiGS (Static w_x=0.5)
0,31.31186604499817,49.34284281730652,47.89527630805969,24.37240242958069,40.79419660568237,25.88834238052368,40.82823991775513,39.95303273200989,38.64625358581543,38.85397434234619,40.53199529647827,40.269378423690796,22.870696544647217,21.85882329940796,20.189358711242676,31.051857471466064,42.153109312057495
1,30.722293853759766,38.72932839393616,48.6951117515564,27.68597388267517,40.665905475616455,30.460815906524658,38.736339807510376,32.562251329422,31.857436656951904,33.4757194519043,40.269139766693115,31.722418785095215,24.963953495025635,24.464459657669067,20.195350885391235,35.53833866119385,41.15165305137634
2,30.832648515701294,45.66188192367554,45.164591550827026,24.105412006378174,37.88879370689392,25.613401651382446,38.500784158706665,38.37918043136597,38.18964195251465,38.384180784225464,38.10254693031311,37.218706369400024,22.378291368484497,21.45237970352173,19.9573757648468,30.686115741729736,38.38395380973816
3,35.572996377944946,46.05917811393738,44.179060220718384,24.20178484916687,33.7106409072876,25.479442834854126,41.90756678581238,42.193360805511475,42.082345724105835,42.293803215026855,42.27095985412598,41.71262216567993,23.21235680580139,26.074326038360596,20.282289505004883,30.538081884384155,42.342233180999756
4,32.18949031829834,39.731977701187134,36.996447801589966,22.91940402984619,30.211811065673828,24.528175354003906,31.95149040222168,32.08558392524719,31.938303470611572,32.08626365661621,32.03733730316162,32.0953483581543,21.271941900253296,21.411498069763184,19.76933193206787,28.1937997341156,31.802311420440674
5,31.20150065422058,40.034728050231934,39.926597118377686,23.45011258125305,31.819864988327026,25.170394897460938,31.919753313064575,31.978315830230713,31.711440324783325,32.02047300338745,31.897404670715332,31.80713987350464,21.166964530944824,20.86961340904236,20.11025357246399,28.85566020011902,31.848036527633667
6,33.4186110496521,45.596864461898804,44.34107303619385,24.981905460357666,38.20364856719971,25.772773027420044,41.190812826156616,40.549893379211426,40.302557706832886,40.83298707008362,40.80456066131592,39.93031024932861,25.21014976501465,24.228590965270996,20.342066764831543,30.357588529586792,40.550302505493164
7,36.716477155685425,49.95475769042969,46.816423416137695,24.029455423355103,37.0376193523407,25.510416746139526,39.58567571640015,38.09467840194702,38.878636598587036,38.50132155418396,40.31595039367676,38.73185586929321,22.30383801460266,22.85032081604004,20.01429533958435,30.60749340057373,39.8191876411438
8,31.86084485054016,54.261778354644775,53.27785348892212,24.6850483417511,46.90769004821777,26.152607679367065,47.01386475563049,46.487528800964355,46.512327671051025,46.49062538146973,46.80628800392151,46.03192949295044,21.90931010246277,21.24673819541931,20.515646934509277,34.0327250957489,46.95963788032532
9,39.38210606575012,52.366573333740234,55.03027701377869,30.864495992660522,42.897310972213745,32.51196646690369,42.68788385391235,42.509270429611206,42.63616180419922,42.33729100227356,42.43281531333923,41.9713876247406,27.937313556671143,26.79188108444214,26.078330516815186,38.632568359375,42.21600818634033
10,34.23012948036194,47.3636794090271,41.48442554473877,23.86667275428772,36.39833641052246,25.452800750732422,39.392959117889404,40.93049383163452,41.28883242607117,37.91716742515564,37.72372794151306,40.450305700302124,21.57494068145752,20.869341611862183,20.024652004241943,30.191874504089355,36.420368909835815
11,31.102990865707397,45.70965838432312,45.520132303237915,23.77948546409607,38.18934893608093,25.37651252746582,38.65143370628357,38.44366788864136,38.31437349319458,38.53811836242676,38.24123525619507,37.339380741119385,21.8609836101532,21.201828956604004,20.01648736000061,30.837844848632812,38.610491037368774
12,30.883362531661987,45.40483498573303,45.37474727630615,23.672436714172363,38.01401138305664,25.21949529647827,38.226956844329834,38.034773111343384,37.80337595939636,37.94072413444519,37.99158811569214,36.95154571533203,21.5908625125885,20.976433753967285,19.907036066055298,30.73060894012451,38.326621532440186
13,32.175443172454834,44.175230264663696,42.57954502105713,23.998290061950684,36.1517014503479,25.747215032577515,36.08939218521118,36.26769948005676,36.315051794052124,36.062161445617676,36.34636187553406,35.83378052711487,21.813210248947144,21.44643545150757,19.841963529586792,30.289725303649902,36.24861979484558
14,30.9369797706604,45.669159173965454,44.908103704452515,24.194438457489014,37.71629190444946,25.72005295753479,38.47916889190674,38.34432888031006,38.249319076538086,38.388134241104126,38.07233548164368,37.29524326324463,22.747281789779663,21.592674493789673,20.076127767562866,30.733552932739258,38.27984428405762
15,31.051133632659912,39.77329111099243,39.38376808166504,23.430744409561157,31.6993727684021,25.149282693862915,31.821882247924805,31.882009029388428,31.568453073501587,31.91788411140442,31.774677991867065,31.656945943832397,21.19480562210083,20.8993079662323,20.120098114013672,28.584402799606323,31.718565940856934
16,35.63572454452515,45.873316526412964,45.54680681228638,24.285799980163574,33.67002844810486,25.55014944076538,41.503024101257324,42.0389928817749,41.94343900680542,42.0870099067688,41.834190130233765,41.657729148864746,23.436636686325073,25.739463090896606,20.470601320266724,30.510509729385376,41.74885010719299
17,30.979682683944702,39.83093500137329,39.98933815956116,23.387818098068237,32.36384606361389,25.02770972251892,32.30220293998718,32.251115560531616,32.06018042564392,32.32323122024536,32.3169584274292,32.07056379318237,21.02654790878296,20.702914476394653,19.965830087661743,29.116209268569946,32.393571615219116
18,30.881335735321045,37.673429012298584,36.30346345901489,23.222107887268066,30.136447191238403,25.01950240135193,30.203269720077515,30.193370580673218,30.167245626449585,30.104991912841797,30.17868971824646,30.199156284332275,21.15735173225403,20.69448733329773,19.959390878677368,28.340776681900024,30.116186380386353
19,30.617822408676147,38.62470030784607,37.89276647567749,23.104562044143677,31.62898063659668,24.679715633392334,31.52425503730774,31.529841423034668,31.50577712059021,31.453641414642334,31.606481790542603,31.302890062332153,21.54762053489685,20.76872491836548,19.708805084228516,28.552897691726685,31.540430068969727
