Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[799.0],[1113.0],[563.0],[1112.0],[527.0],[323.0],[801.0],[1516.0],[574.0],[110.0],[336.0],[607.0],[1507.0],[114.0],[725.0],[1504.0],[1.0],[1058.0],[945.0],[571.0],[75.0],[20.0],[912.0],[679.0],[1376.0],[855.0],[1008.0],[16.0],[1575.0],[646.0],[1124.0],[32.0],[282.0],[547.0],[533.0],[185.0],[844.0],[623.0],[960.0],[778.0],[1585.0],[683.0],[416.0],[1344.0],[886.0],[1188.0],[576.0],[1095.0],[1335.0],[799.0],[524.0],[801.0],[1167.0],[604.0],[960.0],[976.0],[253.0],[1543.0],[436.0],[486.0],[576.0],[703.0],[275.0],[178.0],[992.0],[200.0],[616.0],[114.0],[287.0],[361.0],[1152.0],[582.0],[804.0],[817.0],[956.0],[1598.0],[1083.0],[1123.0],[436.0],[956.0],[361.0],[1167.0],[403.0],[1085.0],[1008.0],[373.0],[898.0],[1508.0],[373.0],[660.0],[336.0],[801.0],[317.0],[253.0],[1130.0],[1307.0],[1397.0],[1573.0],[498.0],[1129.0]
1,[954.0],[466.0],[840.0],[679.0],[607.0],[760.0],[249.0],[1159.0],[668.0],[924.0],[1123.0],[348.0],[1040.0],[1360.0],[1332.0],[1394.0],[623.0],[884.0],[54.0],[108.0],[1303.0],[465.0],[520.0],[646.0],[50.0],[1598.0],[315.0],[1307.0],[290.0],[1045.0],[696.0],[726.0],[668.0],[1301.0],[668.0],[110.0],[1108.0],[165.0],[1234.0],[919.0],[1129.0],[976.0],[27.0],[1479.0],[373.0],[1258.0],[247.0],[1307.0],[841.0],[726.0],[318.0],[1469.0],[474.0],[420.0],[135.0],[1058.0],[1215.0],[1575.0],[1058.0],[956.0],[658.0],[1274.0],[1168.0],[231.0],[1364.0],[1145.0],[527.0],[428.0],[349.0],[1160.0],[853.0],[1227.0],[361.0],[540.0],[250.0],[282.0],[978.0],[1369.0],[1233.0],[1508.0],[250.0],[1470.0],[255.0],[610.0],[963.0],[964.0],[296.0],[813.0],[1058.0],[458.0],[978.0],[610.0],[1184.0],[1033.0],[1233.0],[1351.0],[499.0],[1510.0],[372.0],[958.0]
2,[783.0],[607.0],[1188.0],[55.0],[1451.0],[530.0],[621.0],[1184.0],[844.0],[1332.0],[698.0],[1188.0],[801.0],[479.0],[1124.0],[574.0],[1188.0],[615.0],[1451.0],[253.0],[778.0],[1026.0],[1323.0],[1585.0],[978.0],[1510.0],[731.0],[21.0],[1482.0],[1420.0],[803.0],[887.0],[360.0],[1537.0],[22.0],[1507.0],[912.0],[573.0],[528.0],[968.0],[69.0],[1168.0],[847.0],[1307.0],[956.0],[1479.0],[1013.0],[318.0],[1411.0],[76.0],[1233.0],[668.0],[493.0],[643.0],[6.0],[798.0],[668.0],[69.0],[1357.0],[466.0],[1538.0],[424.0],[578.0],[334.0],[422.0],[1413.0],[1385.0],[1593.0],[1123.0],[1578.0],[439.0],[1274.0],[165.0],[1145.0],[1108.0],[579.0],[245.0],[1273.0],[609.0],[912.0],[1598.0],[951.0],[420.0],[1394.0],[576.0],[760.0],[1258.0],[143.0],[270.0],[282.0],[370.0],[1460.0],[21.0],[623.0],[1198.0],[219.0],[1023.0],[1194.0],[75.0],[489.0]
3,[349.0],[1215.0],[646.0],[232.0],[1198.0],[114.0],[528.0],[76.0],[796.0],[530.0],[297.0],[1571.0],[1311.0],[623.0],[623.0],[1357.0],[683.0],[22.0],[349.0],[987.0],[1335.0],[27.0],[726.0],[621.0],[1100.0],[1588.0],[1470.0],[887.0],[969.0],[978.0],[1177.0],[1516.0],[383.0],[1444.0],[1385.0],[1028.0],[1522.0],[1504.0],[1036.0],[290.0],[958.0],[646.0],[259.0],[790.0],[929.0],[609.0],[54.0],[253.0],[349.0],[632.0],[653.0],[69.0],[55.0],[1307.0],[1036.0],[1422.0],[1402.0],[530.0],[1161.0],[1573.0],[288.0],[1573.0],[1317.0],[399.0],[371.0],[1590.0],[1543.0],[160.0],[1273.0],[275.0],[314.0],[1596.0],[436.0],[333.0],[783.0],[1130.0],[1451.0],[528.0],[346.0],[110.0],[149.0],[427.0],[1451.0],[632.0],[20.0],[958.0],[1045.0],[114.0],[1145.0],[709.0],[1481.0],[1303.0],[304.0],[620.0],[270.0],[1565.0],[74.0],[992.0],[898.0],[114.0]
4,[632.0],[1028.0],[69.0],[141.0],[1578.0],[1161.0],[724.0],[1294.0],[76.0],[253.0],[535.0],[1357.0],[1189.0],[111.0],[1001.0],[1036.0],[1127.0],[1522.0],[1141.0],[540.0],[813.0],[56.0],[121.0],[1479.0],[956.0],[813.0],[1595.0],[1304.0],[1233.0],[726.0],[134.0],[134.0],[718.0],[471.0],[50.0],[1153.0],[1215.0],[929.0],[1413.0],[1233.0],[1064.0],[299.0],[944.0],[1467.0],[1233.0],[469.0],[56.0],[287.0],[1274.0],[1285.0],[1188.0],[631.0],[108.0],[311.0],[108.0],[1451.0],[1301.0],[641.0],[1188.0],[253.0],[824.0],[543.0],[623.0],[1518.0],[875.0],[439.0],[1504.0],[958.0],[77.0],[149.0],[1355.0],[709.0],[1598.0],[616.0],[1470.0],[1467.0],[888.0],[1504.0],[1510.0],[1058.0],[447.0],[1271.0],[610.0],[887.0],[420.0],[49.0],[1188.0],[978.0],[1198.0],[333.0],[1215.0],[1127.0],[958.0],[1048.0],[1036.0],[319.0],[1046.0],[69.0],[1161.0],[346.0]
5,[1242.0],[535.0],[726.0],[813.0],[1108.0],[1481.0],[887.0],[399.0],[691.0],[841.0],[1590.0],[77.0],[1277.0],[984.0],[75.0],[333.0],[1168.0],[1233.0],[487.0],[1351.0],[1572.0],[349.0],[1312.0],[528.0],[1253.0],[710.0],[668.0],[170.0],[963.0],[1349.0],[973.0],[159.0],[1469.0],[989.0],[351.0],[841.0],[112.0],[333.0],[793.0],[691.0],[609.0],[1402.0],[1427.0],[1233.0],[370.0],[114.0],[1356.0],[665.0],[799.0],[542.0],[987.0],[1598.0],[1127.0],[473.0],[31.0],[668.0],[1395.0],[1294.0],[520.0],[436.0],[1046.0],[75.0],[1184.0],[1598.0],[69.0],[1285.0],[1200.0],[1394.0],[419.0],[140.0],[140.0],[275.0],[688.0],[1451.0],[654.0],[1039.0],[528.0],[309.0],[47.0],[1036.0],[994.0],[469.0],[801.0],[1118.0],[1184.0],[623.0],[406.0],[1376.0],[1481.0],[1142.0],[454.0],[635.0],[623.0],[108.0],[1177.0],[912.0],[296.0],[978.0],[349.0],[963.0]
6,[12.0],[576.0],[1460.0],[1335.0],[505.0],[242.0],[114.0],[1425.0],[755.0],[475.0],[939.0],[760.0],[622.0],[481.0],[573.0],[703.0],[1520.0],[668.0],[725.0],[267.0],[887.0],[76.0],[979.0],[468.0],[569.0],[853.0],[50.0],[1188.0],[1188.0],[293.0],[801.0],[185.0],[1142.0],[875.0],[436.0],[1188.0],[958.0],[1028.0],[1479.0],[76.0],[912.0],[632.0],[469.0],[1489.0],[107.0],[1426.0],[546.0],[954.0],[1586.0],[887.0],[668.0],[1413.0],[351.0],[426.0],[249.0],[1375.0],[844.0],[177.0],[646.0],[267.0],[893.0],[72.0],[1590.0],[107.0],[76.0],[1201.0],[747.0],[304.0],[372.0],[47.0],[1256.0],[610.0],[309.0],[420.0],[333.0],[826.0],[122.0],[1168.0],[287.0],[333.0],[543.0],[47.0],[393.0],[166.0],[981.0],[76.0],[1127.0],[287.0],[1188.0],[1241.0],[535.0],[576.0],[1479.0],[654.0],[914.0],[1413.0],[315.0],[410.0],[698.0],[242.0]
7,[75.0],[80.0],[332.0],[1598.0],[349.0],[644.0],[647.0],[1431.0],[1058.0],[623.0],[69.0],[1307.0],[887.0],[797.0],[1513.0],[582.0],[887.0],[1362.0],[1028.0],[1273.0],[623.0],[1188.0],[632.0],[809.0],[165.0],[646.0],[1351.0],[653.0],[421.0],[1198.0],[1479.0],[439.0],[499.0],[1394.0],[493.0],[733.0],[1312.0],[1508.0],[530.0],[380.0],[108.0],[1001.0],[1194.0],[276.0],[247.0],[370.0],[1036.0],[75.0],[1394.0],[528.0],[1005.0],[304.0],[843.0],[346.0],[813.0],[54.0],[361.0],[1576.0],[1516.0],[361.0],[203.0],[856.0],[1402.0],[55.0],[1125.0],[438.0],[267.0],[589.0],[422.0],[881.0],[1368.0],[655.0],[457.0],[341.0],[422.0],[1036.0],[110.0],[54.0],[1105.0],[623.0],[1130.0],[309.0],[665.0],[110.0],[1598.0],[1004.0],[1355.0],[1036.0],[1273.0],[1461.0],[616.0],[665.0],[34.0],[47.0],[420.0],[679.0],[1285.0],[1064.0],[725.0],[615.0]
8,[1014.0],[69.0],[1507.0],[1337.0],[914.0],[115.0],[318.0],[110.0],[799.0],[518.0],[401.0],[726.0],[610.0],[31.0],[1064.0],[841.0],[1411.0],[938.0],[755.0],[722.0],[1011.0],[422.0],[957.0],[1419.0],[506.0],[54.0],[47.0],[807.0],[1429.0],[796.0],[545.0],[1428.0],[944.0],[47.0],[209.0],[801.0],[1385.0],[439.0],[1394.0],[439.0],[632.0],[1263.0],[616.0],[535.0],[149.0],[1027.0],[1184.0],[860.0],[632.0],[775.0],[973.0],[3.0],[454.0],[1528.0],[950.0],[715.0],[1273.0],[534.0],[958.0],[731.0],[709.0],[1337.0],[731.0],[1571.0],[222.0],[69.0],[239.0],[23.0],[118.0],[1001.0],[731.0],[146.0],[1415.0],[185.0],[361.0],[299.0],[1130.0],[1357.0],[824.0],[1357.0],[299.0],[740.0],[474.0],[623.0],[348.0],[1127.0],[221.0],[1593.0],[56.0],[781.0],[1028.0],[1008.0],[213.0],[891.0],[1312.0],[1009.0],[216.0],[439.0],[1241.0],[1394.0]
9,[367.0],[56.0],[579.0],[469.0],[114.0],[351.0],[1301.0],[499.0],[1233.0],[1513.0],[1510.0],[1403.0],[1115.0],[1571.0],[929.0],[1448.0],[96.0],[520.0],[1215.0],[615.0],[1069.0],[1064.0],[469.0],[1184.0],[1271.0],[1590.0],[854.0],[1262.0],[84.0],[1158.0],[1184.0],[411.0],[527.0],[1357.0],[333.0],[1384.0],[110.0],[798.0],[185.0],[760.0],[1291.0],[1188.0],[543.0],[1470.0],[1123.0],[115.0],[113.0],[170.0],[1438.0],[990.0],[782.0],[54.0],[128.0],[333.0],[1598.0],[1537.0],[894.0],[1410.0],[12.0],[1259.0],[1317.0],[668.0],[801.0],[1384.0],[361.0],[793.0],[1182.0],[839.0],[1404.0],[786.0],[1198.0],[69.0],[315.0],[670.0],[1552.0],[1573.0],[648.0],[189.0],[1188.0],[485.0],[1355.0],[801.0],[417.0],[519.0],[332.0],[1008.0],[334.0],[333.0],[34.0],[439.0],[973.0],[229.0],[439.0],[490.0],[1578.0],[747.0],[793.0],[826.0],[1420.0],[867.0]
