Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[1235.0],[258.0],[258.0],[258.0],[258.0],[1244.0],[480.0],[151.0],[258.0],[258.0],[151.0],[258.0],[258.0],[1435.0],[151.0],[1434.0],[258.0],[151.0],[151.0],[151.0],[258.0],[151.0],[151.0],[480.0],[151.0],[1574.0],[151.0],[1434.0],[151.0],[723.0],[151.0],[151.0],[151.0],[1574.0],[151.0],[151.0],[1299.0],[258.0],[258.0],[151.0],[151.0],[1435.0],[1574.0],[151.0],[480.0],[151.0],[151.0],[151.0],[151.0],[151.0],[651.0],[151.0],[1435.0],[151.0],[151.0],[1434.0],[258.0],[151.0],[258.0],[151.0],[151.0],[151.0],[1081.0],[151.0],[1299.0],[151.0],[258.0],[151.0],[1434.0],[1435.0],[1434.0],[1435.0],[1435.0],[1435.0],[258.0],[151.0],[1235.0],[1574.0],[258.0],[151.0],[258.0],[151.0],[151.0],[92.0],[258.0],[151.0],[151.0],[151.0],[151.0],[258.0],[151.0],[151.0],[151.0],[151.0],[94.0],[151.0],[1081.0],[151.0],[151.0],[151.0]
1,[480.0],[1434.0],[861.0],[1574.0],[1435.0],[151.0],[151.0],[1081.0],[1434.0],[92.0],[480.0],[1316.0],[861.0],[151.0],[1018.0],[258.0],[1435.0],[651.0],[1435.0],[1435.0],[1435.0],[1081.0],[1435.0],[1081.0],[1574.0],[151.0],[723.0],[1558.0],[1435.0],[151.0],[1435.0],[1435.0],[480.0],[151.0],[480.0],[1434.0],[1434.0],[652.0],[1435.0],[1244.0],[1435.0],[151.0],[151.0],[480.0],[1434.0],[480.0],[652.0],[1434.0],[1435.0],[1434.0],[1435.0],[1477.0],[151.0],[1435.0],[480.0],[151.0],[1574.0],[291.0],[1434.0],[1435.0],[291.0],[226.0],[1435.0],[480.0],[151.0],[1081.0],[1299.0],[92.0],[258.0],[1574.0],[1235.0],[151.0],[730.0],[1081.0],[723.0],[652.0],[258.0],[1435.0],[480.0],[652.0],[1434.0],[1435.0],[1435.0],[151.0],[723.0],[92.0],[672.0],[1574.0],[226.0],[1435.0],[1434.0],[1434.0],[480.0],[1574.0],[1435.0],[480.0],[151.0],[1435.0],[480.0],[226.0]
2,[151.0],[1235.0],[226.0],[49.0],[1081.0],[92.0],[1316.0],[480.0],[1235.0],[1017.0],[730.0],[861.0],[1081.0],[480.0],[480.0],[120.0],[652.0],[291.0],[730.0],[730.0],[1235.0],[1434.0],[730.0],[91.0],[652.0],[1319.0],[1244.0],[151.0],[83.0],[1435.0],[147.0],[1574.0],[267.0],[1558.0],[1260.0],[451.0],[652.0],[480.0],[652.0],[291.0],[652.0],[33.0],[226.0],[169.0],[151.0],[484.0],[1434.0],[730.0],[1235.0],[730.0],[151.0],[730.0],[652.0],[1235.0],[258.0],[1131.0],[92.0],[651.0],[1299.0],[92.0],[1235.0],[1558.0],[723.0],[1081.0],[258.0],[730.0],[480.0],[652.0],[1081.0],[258.0],[258.0],[291.0],[1299.0],[151.0],[480.0],[1434.0],[1316.0],[151.0],[92.0],[1435.0],[169.0],[451.0],[1235.0],[480.0],[1081.0],[1435.0],[1081.0],[730.0],[1435.0],[92.0],[169.0],[83.0],[1081.0],[1165.0],[151.0],[730.0],[1299.0],[1574.0],[291.0],[1299.0]
3,[1244.0],[226.0],[480.0],[92.0],[1574.0],[1574.0],[730.0],[86.0],[861.0],[1574.0],[1574.0],[169.0],[276.0],[92.0],[258.0],[1574.0],[226.0],[1235.0],[1081.0],[33.0],[982.0],[564.0],[652.0],[151.0],[451.0],[1081.0],[730.0],[1299.0],[1018.0],[226.0],[652.0],[83.0],[258.0],[1435.0],[1081.0],[91.0],[1235.0],[1081.0],[151.0],[92.0],[1574.0],[652.0],[1081.0],[1081.0],[1574.0],[1165.0],[169.0],[652.0],[730.0],[652.0],[652.0],[1435.0],[1081.0],[1081.0],[169.0],[291.0],[652.0],[1244.0],[92.0],[1299.0],[244.0],[1081.0],[258.0],[291.0],[1435.0],[1299.0],[226.0],[1574.0],[1574.0],[1256.0],[151.0],[1235.0],[1244.0],[1558.0],[653.0],[1319.0],[92.0],[14.0],[169.0],[1574.0],[1235.0],[1081.0],[1081.0],[1051.0],[1370.0],[1081.0],[652.0],[1434.0],[92.0],[1235.0],[1235.0],[1235.0],[625.0],[1558.0],[559.0],[1435.0],[1434.0],[730.0],[1081.0],[1435.0]
4,[1081.0],[982.0],[911.0],[1235.0],[1299.0],[1434.0],[652.0],[652.0],[1558.0],[1434.0],[1558.0],[144.0],[1435.0],[1081.0],[652.0],[169.0],[1235.0],[652.0],[1574.0],[652.0],[672.0],[1574.0],[1235.0],[1017.0],[92.0],[1435.0],[652.0],[926.0],[1299.0],[1235.0],[1244.0],[723.0],[998.0],[652.0],[652.0],[1558.0],[151.0],[291.0],[92.0],[672.0],[1081.0],[1081.0],[92.0],[1434.0],[652.0],[1081.0],[1574.0],[672.0],[652.0],[559.0],[1574.0],[652.0],[451.0],[652.0],[1574.0],[226.0],[1434.0],[1558.0],[1574.0],[258.0],[1435.0],[451.0],[324.0],[1269.0],[1081.0],[1426.0],[1435.0],[1372.0],[515.0],[92.0],[723.0],[1558.0],[1081.0],[1244.0],[281.0],[1235.0],[1081.0],[777.0],[559.0],[754.0],[652.0],[480.0],[1319.0],[1558.0],[1434.0],[861.0],[1434.0],[1299.0],[1558.0],[1299.0],[291.0],[651.0],[730.0],[925.0],[1235.0],[672.0],[1574.0],[1081.0],[1574.0],[652.0]
5,[258.0],[1558.0],[730.0],[281.0],[1319.0],[651.0],[1081.0],[291.0],[652.0],[1081.0],[1081.0],[480.0],[652.0],[1374.0],[730.0],[1081.0],[1316.0],[1558.0],[652.0],[1558.0],[1165.0],[1165.0],[1081.0],[652.0],[591.0],[1558.0],[1434.0],[1508.0],[1574.0],[1372.0],[92.0],[463.0],[1244.0],[1081.0],[1558.0],[42.0],[609.0],[1435.0],[1574.0],[1270.0],[1299.0],[1299.0],[837.0],[652.0],[291.0],[1434.0],[1081.0],[1574.0],[614.0],[1244.0],[672.0],[1081.0],[672.0],[1051.0],[1434.0],[1235.0],[244.0],[142.0],[480.0],[281.0],[1558.0],[258.0],[1558.0],[1244.0],[1312.0],[1374.0],[1018.0],[1435.0],[1558.0],[169.0],[1081.0],[258.0],[226.0],[1043.0],[1434.0],[651.0],[1018.0],[1081.0],[861.0],[1081.0],[1558.0],[226.0],[652.0],[1435.0],[652.0],[134.0],[106.0],[1558.0],[1574.0],[652.0],[652.0],[1299.0],[652.0],[1435.0],[1081.0],[1574.0],[723.0],[1299.0],[1474.0],[480.0]
6,[1018.0],[1081.0],[889.0],[151.0],[723.0],[652.0],[1435.0],[1434.0],[91.0],[395.0],[652.0],[614.0],[169.0],[258.0],[1081.0],[144.0],[1299.0],[106.0],[1426.0],[480.0],[325.0],[1316.0],[1018.0],[1434.0],[1435.0],[652.0],[1081.0],[19.0],[92.0],[1154.0],[1372.0],[1081.0],[281.0],[92.0],[861.0],[1079.0],[1558.0],[1574.0],[120.0],[1435.0],[723.0],[1558.0],[291.0],[1244.0],[92.0],[652.0],[258.0],[1558.0],[480.0],[480.0],[494.0],[1574.0],[1574.0],[1558.0],[1558.0],[1558.0],[1081.0],[1372.0],[1131.0],[480.0],[1081.0],[1319.0],[151.0],[544.0],[169.0],[1370.0],[1558.0],[142.0],[652.0],[1081.0],[1558.0],[1372.0],[1558.0],[480.0],[1081.0],[92.0],[1434.0],[652.0],[1558.0],[544.0],[1081.0],[1558.0],[1558.0],[652.0],[1574.0],[1165.0],[911.0],[1081.0],[777.0],[169.0],[1558.0],[1081.0],[861.0],[1081.0],[243.0],[652.0],[451.0],[553.0],[1558.0],[106.0]
7,[1374.0],[861.0],[1299.0],[1558.0],[1374.0],[1558.0],[1114.0],[33.0],[1081.0],[1319.0],[226.0],[652.0],[1574.0],[1574.0],[821.0],[1074.0],[982.0],[889.0],[92.0],[1081.0],[151.0],[1558.0],[33.0],[1299.0],[169.0],[258.0],[1558.0],[258.0],[240.0],[1558.0],[1114.0],[13.0],[92.0],[1299.0],[291.0],[1240.0],[1081.0],[723.0],[730.0],[106.0],[258.0],[599.0],[1434.0],[1321.0],[1074.0],[1574.0],[1558.0],[396.0],[1558.0],[1558.0],[1558.0],[1426.0],[92.0],[1244.0],[652.0],[652.0],[1321.0],[169.0],[1260.0],[1319.0],[652.0],[1434.0],[169.0],[226.0],[1244.0],[480.0],[690.0],[666.0],[544.0],[1299.0],[1374.0],[568.0],[366.0],[163.0],[1574.0],[553.0],[480.0],[226.0],[1081.0],[1558.0],[1299.0],[1574.0],[291.0],[1374.0],[244.0],[1244.0],[1372.0],[776.0],[106.0],[151.0],[1299.0],[480.0],[1435.0],[723.0],[92.0],[554.0],[652.0],[291.0],[1071.0],[42.0]
8,[1435.0],[1374.0],[1081.0],[1374.0],[1558.0],[1081.0],[1574.0],[147.0],[633.0],[151.0],[1098.0],[684.0],[1299.0],[911.0],[1558.0],[281.0],[38.0],[226.0],[1558.0],[1299.0],[652.0],[568.0],[1558.0],[1307.0],[1558.0],[494.0],[1570.0],[777.0],[652.0],[480.0],[291.0],[291.0],[1372.0],[1018.0],[33.0],[652.0],[92.0],[281.0],[1558.0],[1334.0],[261.0],[226.0],[889.0],[1374.0],[1558.0],[1374.0],[494.0],[258.0],[17.0],[1081.0],[240.0],[776.0],[181.0],[1299.0],[1374.0],[258.0],[1319.0],[106.0],[1558.0],[1081.0],[92.0],[1374.0],[95.0],[81.0],[1374.0],[777.0],[723.0],[1374.0],[442.0],[1319.0],[652.0],[1081.0],[652.0],[652.0],[1299.0],[258.0],[652.0],[396.0],[652.0],[1374.0],[1017.0],[515.0],[92.0],[42.0],[151.0],[258.0],[1244.0],[480.0],[291.0],[1081.0],[289.0],[1558.0],[1244.0],[244.0],[1244.0],[1186.0],[258.0],[652.0],[106.0],[1374.0]
9,[1570.0],[151.0],[127.0],[240.0],[291.0],[1570.0],[568.0],[1558.0],[692.0],[652.0],[1434.0],[1244.0],[127.0],[568.0],[1574.0],[151.0],[480.0],[86.0],[396.0],[1319.0],[92.0],[400.0],[568.0],[1244.0],[494.0],[169.0],[1574.0],[169.0],[169.0],[652.0],[1558.0],[19.0],[1574.0],[1370.0],[1435.0],[258.0],[1244.0],[81.0],[1131.0],[1558.0],[307.0],[1319.0],[652.0],[92.0],[169.0],[258.0],[325.0],[1079.0],[1081.0],[777.0],[684.0],[911.0],[501.0],[46.0],[92.0],[324.0],[494.0],[889.0],[291.0],[1017.0],[226.0],[92.0],[652.0],[911.0],[92.0],[83.0],[1081.0],[1371.0],[291.0],[1558.0],[861.0],[652.0],[38.0],[544.0],[1319.0],[1289.0],[226.0],[480.0],[1435.0],[1299.0],[151.0],[258.0],[1186.0],[226.0],[1558.0],[38.0],[1558.0],[226.0],[463.0],[1558.0],[480.0],[652.0],[1017.0],[324.0],[1558.0],[1319.0],[226.0],[756.0],[92.0],[83.0]
