Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,0.5155367,0.0007328689,0.11147699,0.45144227,0.14318648,0.26851827,0.11779916,0.71911335,0.78407884,0.7114372,0.9014551,0.4890526,0.07450828,0.94473386,0.45937586,0.31599516,0.3570667,0.9613631,0.8208053,0.7306737,0.090158045,0.13992846,0.95611155,0.70586157,0.68068683,0.52760386,0.017820805,0.93363744,0.68445265,0.2067875,0.53480464,0.91123223,0.08606905,0.041809082,0.9858359,0.9332343,0.030552745,0.6527912,0.39396188,0.35360092,0.35564137,0.6790836,0.06734508,0.8195647,0.15336338,0.73892975,0.12671211,0.48123273,0.48813424,0.9802253,0.43126655,0.9521848,0.40868062,0.91362023,0.56276745,0.98071086,0.93599963,0.1980128,0.8175012,0.09196055,0.34771788,0.43241733,0.12770632,0.39345172,0.11415234,0.3248433,0.63868797,0.5573581,0.07877618,0.4069297,0.92015135,0.20990083,0.330868,0.8200036,0.2863047,0.7861723,0.20664924,0.3000034,0.26753196,0.55207026,0.10150236,0.6614547,0.5946526,0.018151581,0.019250423,0.9010943,0.7575309,0.6913308,0.4624508,0.54708827,0.8467784,0.59423876,0.8901402,0.42823482,0.11836344,0.10129678,0.26631176,0.037083328,0.8952106,0.4330366
1,0.1510143,0.7781621,0.4565835,0.10672188,0.98309386,0.9843687,0.99300134,0.12731388,0.7371761,0.6226729,0.39401343,0.054653257,0.10085267,0.29388833,0.5747043,0.8799381,0.69043857,0.19531858,0.76923585,0.88165027,0.076767206,0.2872027,0.93850625,0.13953722,0.09499201,0.52231216,0.24372864,0.9062855,0.80658686,0.8997005,0.7435393,0.98188907,0.75726974,0.70582604,0.33845562,0.4541936,0.5537833,0.11501607,0.27214432,0.2916341,0.6411315,0.8672144,0.9794822,0.15092838,0.32828355,0.41277623,0.31265604,0.05623725,0.16686621,0.4015755,0.64547014,0.25148013,0.30828506,0.8520589,0.07625049,0.647646,0.6393168,0.8074964,0.14548916,0.5687615,0.74674284,0.53067535,0.13993567,0.9748483,0.96035385,0.19282937,0.5606559,0.20728889,0.66853833,0.037138015,0.5463856,0.3312661,0.95298374,0.64986026,0.4027501,0.030151695,0.040877312,0.1341303,0.049851447,0.025716841,0.6742612,0.9236528,0.9744645,0.24163505,0.19078055,0.01263386,0.33508664,0.5392066,0.9703827,0.603804,0.5543504,0.92846143,0.04521829,0.61259896,0.71840227,0.74707365,0.39183128,0.9956721,0.1237399,0.64632374
2,0.8758504,0.1689958,0.9309764,0.034695446,0.6340881,0.31847528,0.0762375,0.5655026,0.783495,0.4165592,0.86134267,0.30916405,0.54077846,0.21923319,0.51155394,0.2536493,0.08494401,0.63899785,0.9167969,0.8170164,0.65723443,0.4892877,0.8762864,0.31447628,0.34213442,0.88464314,0.39183933,0.7497597,0.20043042,0.60477084,0.30615103,0.6817321,0.1406466,0.9063673,0.8360884,0.8526722,0.009274393,0.8150976,0.0028301775,0.38942924,0.006291628,0.83946896,0.81915486,0.9254464,0.32497332,0.2748254,0.15388507,0.81783366,0.0027156174,0.6887072,0.6061657,0.5327731,0.17789218,0.36000124,0.035202324,0.26076886,0.516645,0.6077118,0.01516816,0.008458853,0.514482,0.9824281,0.040801495,0.29537383,0.24071336,0.53059137,0.6538448,0.04924485,0.83407605,0.84198135,0.4086578,0.5944792,0.76160216,0.94627446,0.16194394,0.8009201,0.101737976,0.71140707,0.38460046,0.37671542,0.89736503,0.5662232,0.9497211,0.26847786,0.02052623,0.9967546,0.01631099,0.83010566,0.9821242,0.48210657,0.91518545,0.9496572,0.34019113,0.61128116,0.7567241,0.9184922,0.36789453,0.2865501,0.145215,0.15841997
3,0.43439567,0.98442817,0.3880439,0.0708603,0.59124017,0.010812849,0.9761964,0.36502266,0.41722536,0.7420707,0.49156007,0.77519876,0.016599596,0.73466516,0.14035255,0.66992104,0.98712903,0.7801773,0.74555737,0.9097554,0.1107049,0.020705283,0.30818605,0.7842052,0.8688733,0.9224887,0.87729263,0.59393406,0.45483324,0.42646557,0.45314038,0.96225834,0.24522185,0.956272,0.06835139,0.3253343,0.8069029,0.39476958,0.19678381,0.32509017,0.018406391,0.94316244,0.99540406,0.7529272,0.28490996,0.7310128,0.71790755,0.05752781,0.7377289,0.39084065,0.069009185,0.9704623,0.29647893,0.13715866,0.47007853,0.34742302,0.44386375,0.7364692,0.64030904,0.11040056,0.16209927,0.8830074,0.24423596,0.29997283,0.9073545,0.15581644,0.9188512,0.024274945,0.62688583,0.5345825,0.4638685,0.96884596,0.70374393,0.8421016,0.26497716,0.99937624,0.27706453,0.41991693,0.6294351,0.65569407,0.88095796,0.88665754,0.12311736,0.36535046,0.572199,0.7418428,0.10856992,0.891003,0.016848564,0.7734649,0.97838163,0.8574445,0.38604164,0.9234212,0.40296277,0.93182755,0.59367347,0.9032426,0.8958127,0.80202866
4,0.9288884,0.029173195,0.6287418,0.09022221,0.5542031,0.88372284,0.0067210197,0.46394035,0.96716654,0.7830864,0.93727994,0.30263034,0.899112,0.7843542,0.28648734,0.7800536,0.95943445,0.93959355,0.7175157,0.70683044,0.20353296,0.19428283,0.9405491,0.3496186,0.111159116,0.98154664,0.6805278,0.07008013,0.26399714,0.97038925,0.8760539,0.06808823,0.11324015,0.18168956,0.0101340115,0.87581575,0.6860691,0.7804003,0.27876174,0.1682682,0.15170065,0.6738572,0.19495407,0.73573387,0.17697531,0.95493907,0.6087171,0.2311582,0.2916983,0.31742632,0.8513956,0.32636905,0.6928866,0.10055366,0.1511065,0.4589955,0.67787766,0.9816263,0.53581655,0.22434965,0.83957756,0.20229304,0.73751926,0.2428605,0.53420705,0.08948645,0.40363842,0.03076604,0.5152988,0.015354037,0.2774608,0.7729255,0.7353029,0.97485805,0.85416913,0.9354445,0.21340168,0.15795812,0.23538789,0.6018647,0.65131944,0.7483542,0.96562123,0.8566886,0.62115586,0.0060364604,0.9406156,0.46707493,0.999125,0.16676632,0.5637952,0.00035211444,0.8901833,0.24229753,0.9927259,0.36356342,0.14517945,0.768529,0.8031106,0.1683813
5,0.1332547,0.9189526,0.660035,0.8709196,0.3397535,0.27837646,0.7536113,0.47662592,0.43535244,0.86334836,0.94392645,0.47084072,0.2977952,0.9639658,0.9516911,0.96412015,0.1568391,0.8697809,0.46286082,0.83489764,0.65939724,0.32011077,0.6514624,0.45764494,0.03872791,0.96405816,0.9993326,0.11508289,0.66118777,0.35374218,0.42660007,0.21830246,0.4257698,0.99635696,0.92014253,0.035689294,0.017251015,0.5595436,0.61333555,0.14521548,0.55267286,0.50599366,0.054881662,0.72599137,0.093138516,0.7422987,0.41046447,0.144748,0.6176478,0.3622005,0.07877022,0.44461414,0.23437795,0.9420567,0.90485966,0.8147667,0.14299774,0.31522226,0.533872,0.9595766,0.9207095,0.70028555,0.81538445,0.4531286,0.14192787,0.04903397,0.11672345,0.68951154,0.66510546,0.93699193,0.84203696,0.09858987,0.29596323,0.99087596,0.19696215,0.060738564,0.0782944,0.71094096,0.06455305,0.15242806,0.8234385,0.6685388,0.14419755,0.33857048,0.6374207,0.07222283,0.85319424,0.8629063,0.9999875,0.4043207,0.23396623,0.055583388,0.18681765,0.95459616,0.18329096,0.39993963,0.021975517,0.00097459555,0.1555404,0.7723694
6,0.06706199,0.059570193,0.38190374,0.50641763,0.24846634,0.019289434,0.16845095,0.32131982,0.82457113,0.3429032,0.48044178,0.12185776,0.35198602,0.13539788,0.014377862,0.38033175,0.2935996,0.79420304,0.021755666,0.86622983,0.68025184,0.0066269636,0.45643824,0.8791441,0.8858453,0.41012713,0.94590944,0.04872343,0.19516578,0.25763226,0.688361,0.5696805,0.6723399,0.8845171,0.054406583,0.102440596,0.93757397,0.63873255,0.12964204,0.67750674,0.1534085,0.8657197,0.2625662,0.91673744,0.25631592,0.8351593,0.6760762,0.91630214,0.632268,0.10722038,0.6295486,0.9742793,0.8377811,0.9520915,0.97022676,0.9787755,0.41228598,0.27897838,0.44563788,0.36307812,0.92428184,0.6234027,0.103333235,0.30330318,0.70659333,0.029354513,0.5712696,0.0021425188,0.3306895,0.9221195,0.9377952,0.4247324,0.77757514,0.8874207,0.86206245,0.011806548,0.121662915,0.20246953,0.95611596,0.0041081905,0.8700303,0.90423656,0.9279878,0.406453,0.2701186,0.7293878,0.66104066,0.75797486,0.9989002,0.8697518,0.98573625,0.7327273,0.34950584,0.9056958,0.33907858,0.19358745,0.5950772,0.22257635,0.9960675,0.84615386
7,0.6662019,0.3489499,0.039440334,0.051068127,0.8088192,0.8893305,0.031158268,0.4030131,0.87962383,0.6880527,0.5104066,0.33552527,0.9770162,0.48174945,0.68840456,0.7501032,0.029668093,0.38886607,0.37334687,0.8371817,0.25662485,0.81567943,0.10995501,0.024725586,0.2843051,0.7588728,0.9568026,0.27520508,0.50097847,0.89376366,0.019851387,0.049574286,0.053038836,0.7032745,0.45624256,0.06819537,0.4378705,0.2928097,0.9898726,0.76333594,0.31770343,0.061716914,0.60006785,0.08345777,0.46258956,0.29940486,0.9008525,0.48199344,0.8484343,0.9118154,0.85936046,0.02949205,0.5514275,0.7973255,0.20084548,0.7484189,0.4739668,0.071790844,0.21631446,0.674864,0.6457962,0.987845,0.5772333,0.16086796,0.9557451,0.1283642,0.45018658,0.019865543,0.6373126,0.49128515,0.9042419,0.15211496,0.20887002,0.7314179,0.23767442,0.084184766,0.16756818,0.39715704,0.6950469,0.71760464,0.79110813,0.38841075,0.3950138,0.58625174,0.075957805,0.6831521,0.17210302,0.8497682,0.8339969,0.33939916,0.3998927,0.21651831,0.87548053,0.13923097,0.4190212,0.1406155,0.39801535,0.54882723,0.7499586,0.67490566
8,0.3726597,0.9989396,0.4603571,0.32461476,0.8458147,0.7677231,0.4722134,0.3276291,0.27179372,0.5335994,0.4181776,0.17682084,0.4333198,0.94198096,0.76433444,0.17076221,0.26347122,0.35735437,0.624745,0.63502586,0.025866479,0.5961881,0.7255756,0.005927086,0.7303998,0.7789048,0.97291064,0.103058904,0.9780605,0.53004533,0.33005643,0.31030422,0.75269365,0.23396286,0.9573659,0.8280008,0.8790717,0.3754979,0.97811997,0.03394717,0.068997234,0.7404022,0.4769409,0.9235226,0.46795887,0.6453904,0.5987186,0.6063147,0.03829071,0.9767133,0.87353253,0.8700286,0.92575395,0.8045855,0.2039991,0.14641389,0.46953982,0.04058051,0.15838635,0.7265267,0.85996056,0.6246765,0.20109954,0.53348356,0.95210326,0.028152943,0.17261001,0.14098606,0.23613557,0.3058725,0.94235605,0.83403116,0.27488244,0.12803692,0.032310784,0.5436377,0.05401385,0.27732658,0.751531,0.9855926,0.66135216,0.47981235,0.7895838,0.55182475,0.22306263,0.7689423,0.8011971,0.5292731,0.998531,0.09385571,0.070522666,0.78678095,0.9049907,0.34684727,0.23450485,0.5698445,0.30206406,0.6777783,0.7456803,0.6652666
9,0.8403909,0.4512782,0.12975124,0.10760516,0.95672154,0.9909458,0.013639748,0.7817144,0.96169055,0.63956213,0.6401031,0.71642125,0.015275061,0.78700066,0.48336786,0.18920273,0.6250098,0.4967321,0.4868851,0.5494949,0.267722,0.45989934,0.19830388,0.9090281,0.21673515,0.4343775,0.70132565,0.42853177,0.33870217,0.57462883,0.81373435,0.089940816,0.54741174,0.52951336,0.9586886,0.40316594,0.7403165,0.38478163,0.15399116,0.5753498,0.013361424,0.66522783,0.4416306,0.32622707,0.4191013,0.65161645,0.39691058,0.62144816,0.95586354,0.08922142,0.023978353,0.71865344,0.113235116,0.09985995,0.7061814,0.464985,0.50497186,0.16662341,0.23423368,0.006583661,0.2212922,0.7712095,0.65707207,0.43251812,0.9744302,0.070788115,0.9572201,0.0037995279,0.6931298,0.9406669,0.4044402,0.8611902,0.031545192,0.17181918,0.79418004,0.14497992,0.14722198,0.23462215,0.90169406,0.86051047,0.3348749,0.68679595,0.9105714,0.43054414,0.7817191,0.045380205,0.90698785,0.46212134,0.25237846,0.749295,0.8411812,0.4284038,0.26638633,0.34937865,0.8084451,0.21794239,0.5888797,0.054987818,0.8918937,0.33331484
10,0.96145713,0.24240848,0.015269667,0.1244055,0.97000027,0.94920266,0.47175077,0.50444895,0.93708926,0.8724924,0.6477102,0.31412083,0.8561481,0.5464539,0.92507243,0.7650366,0.27683797,0.559651,0.009653777,0.38626406,0.6281856,0.14116192,0.315144,0.59016764,0.156463,0.60259974,0.9241811,0.29301715,0.17780125,0.876945,0.40340424,0.9874486,0.5653497,0.19549009,0.00825122,0.83936894,0.83996284,0.65109485,0.4132281,0.05748743,0.44522843,0.24085611,0.986436,0.017721832,0.46601042,0.22948286,0.36587444,0.050721973,0.54923743,0.99839556,0.5952687,0.5465282,0.5071378,0.050258458,0.88395846,0.053720176,0.7537608,0.06221664,0.23649374,0.14509317,0.39406624,0.5411825,0.09902504,0.5030552,0.9769191,0.5763139,0.038511217,0.0012052953,0.1619426,0.39348826,0.5127695,0.51591146,0.084901035,0.48464298,0.62415004,0.005044818,0.7501404,0.4259174,0.8594675,0.9559267,0.4663008,0.21900237,0.8270766,0.69623935,0.0014534295,0.9914278,0.9115311,0.6428206,0.9623018,0.84868443,0.78878826,0.035703212,0.86931396,0.9835271,0.69992346,0.90064144,0.9898226,0.20486462,0.71035475,0.41759086
11,0.5225448,0.7010554,0.036545396,0.034080237,0.2584439,0.5009746,0.9413604,0.35213766,0.37180126,0.026743382,0.38429174,0.17255816,0.52116185,0.011351645,0.19503888,0.98760486,0.16707045,0.6725154,0.04969719,0.7787169,0.18880105,0.49377027,0.7256697,0.9784539,0.8294369,0.92868423,0.385541,0.47717428,0.71883714,0.21758887,0.4385567,0.032348543,0.29729024,0.009152561,0.050979167,0.88263416,0.27910435,0.6227017,0.0013092458,0.8879206,0.055731773,0.80394244,0.31841767,0.50522226,0.5336403,0.6758157,0.40747374,0.9088534,0.6904458,0.014100671,0.06873956,0.8417243,0.31187254,0.7925028,0.020776302,0.9124293,0.23429212,0.030813873,0.63634986,0.13035229,0.18366098,0.8959557,0.7295633,0.95039874,0.9526317,0.01849863,0.94535184,0.17728522,0.16999754,0.16613698,0.89368343,0.83233863,0.25311494,0.78975,0.6952745,0.934693,0.5640741,0.7103673,0.45703927,0.9763987,0.75862217,0.6157647,0.89873224,0.7558856,0.11216855,0.8625542,0.20087343,0.8451871,0.0038703978,0.6470598,0.102173895,0.69117653,0.27911752,0.38456744,0.38468066,0.9054105,0.011109084,0.0015984178,0.4343658,0.405095
12,0.7211205,0.17131495,0.18212417,0.52126676,0.018243134,0.00020608306,0.94182205,0.5468216,0.9015806,0.863857,0.7979747,0.76715493,0.49385342,0.017394185,0.7712716,0.99602205,0.5326075,0.91727734,0.060693264,0.050415695,0.63952816,0.29712063,0.8589184,0.038819253,0.9098201,0.69270533,0.65235615,0.033009857,0.022274524,0.30322832,0.62084764,0.36207876,0.8839105,0.76528,0.53551835,0.114943296,0.2747475,0.46934,0.08106965,0.9762012,0.007247597,0.24764225,0.07280627,0.39373845,0.5833627,0.35938272,0.84820247,0.64820844,0.92156917,0.12951487,0.11499971,0.7950143,0.9235533,0.93989706,0.3345511,0.098373026,0.629549,0.54552126,0.95748866,0.020364612,0.30376893,0.5769706,0.09977278,0.78639895,0.90159637,0.6153135,0.75506836,0.9241024,0.381282,0.55815405,0.62926376,0.98704934,0.8505453,0.73045176,0.26061875,0.5327462,0.6761212,0.39531,0.9643585,0.10938549,0.9699161,0.35133088,0.024888784,0.75230443,0.034207493,0.9577316,0.90471554,0.8758112,0.9910846,0.7141197,0.7674538,0.6564516,0.98583555,0.37986892,0.09445733,0.123349845,0.84187376,0.014525682,0.006331265,0.29131252
13,0.39215246,0.022717863,0.12604252,0.014930576,0.8027936,0.31719244,0.33671057,0.24220619,0.07396275,0.39467275,0.58252716,0.7924318,0.07578638,0.48489013,0.33576387,0.81655467,0.9430898,0.7468312,0.2073676,0.85582423,0.078866065,0.39153707,0.49978638,0.7272373,0.6693059,0.05613327,0.90030587,0.7610461,0.74343514,0.3762836,0.36352783,0.94081867,0.4547903,0.0036209524,0.5898742,0.734082,0.044831306,0.9328719,0.99931484,0.05737531,0.21506807,0.545915,0.69579184,0.08064553,0.23438439,0.53555185,0.5792421,0.3765586,0.30539954,0.47783777,0.90843314,0.98281264,0.5400976,0.88579977,0.15069008,0.7418068,0.32225302,0.57125664,0.9598829,0.1604492,0.86545455,0.36953676,0.2804882,0.931956,0.44633117,0.24993962,0.5881033,0.921939,0.9658252,0.95066017,0.95254123,0.989302,0.17032939,0.23314667,0.532294,0.06239772,0.18467033,0.1543741,0.32024163,0.19924515,0.9450352,0.7372037,0.091680795,0.8782754,0.9968759,0.006684333,0.6261799,0.96949875,0.9974748,0.6069909,0.71015644,0.6738461,0.9147285,0.6099362,0.5464407,0.45511144,0.004250586,0.071939826,0.797902,0.053761363
14,0.8450383,0.064391375,0.30045885,0.5819439,0.7590599,0.39664888,0.3912601,0.23741454,0.1346255,0.72299933,0.84253716,0.78178453,0.16178936,0.9442012,0.9289353,0.8352721,0.18592003,0.9718523,0.83632404,0.018275142,0.7834683,0.22641754,0.8829713,0.0606004,0.60516894,0.18596083,0.038420796,0.51201105,0.040961504,0.15745306,0.19779503,0.121617824,0.8533689,0.9284536,0.08051878,0.19673723,0.20624349,0.8906234,0.32321936,0.09491408,0.09114796,0.28499755,0.97953343,0.3689465,0.09776786,0.549495,0.3580329,0.6950639,0.05828747,0.36562037,0.49030918,0.3272478,0.3688237,0.33177546,0.88702095,0.53810984,0.022449851,0.818555,0.79246175,0.4753919,0.9775188,0.74567515,0.066489965,0.097035706,0.8888616,0.107801944,0.19652674,0.5472589,0.94151926,0.032862127,0.15115345,0.6232166,0.38925374,0.41123787,0.678272,0.32120293,0.018105328,0.9153841,0.44366652,0.44279328,0.4641184,0.45774826,0.96895516,0.13085437,0.99427974,0.7712415,0.09458217,0.8923367,0.99232256,0.4956672,0.17592943,0.77235126,0.948146,0.30308962,0.77244836,0.48808157,0.6473999,0.057084173,0.24614921,0.47324604
15,0.19457465,0.004749775,0.8614217,0.69816333,0.033685178,0.21667132,0.9953098,0.10210937,0.8488153,0.3835689,0.8635366,0.5802327,0.51125145,0.2745676,0.8389466,0.9942696,0.51236165,0.6872263,0.40998873,0.011201233,0.3544237,0.12416217,0.8634915,0.5188679,0.30169746,0.5326419,0.875633,0.009813696,0.4517238,0.0875071,0.23311627,0.98763764,0.14449179,0.986235,0.84182656,0.8937197,0.8825139,0.652346,0.33472785,0.12446925,0.25546348,0.42538506,0.9464804,0.26567757,0.8593713,0.6517523,0.48391536,0.83981895,0.9946559,0.97421557,0.07999644,0.18211344,0.7932866,0.34490335,0.7925168,0.9221872,0.7724258,0.024952859,0.68255854,0.02228558,0.8043961,0.15043896,0.105351835,0.25664052,0.36661696,0.4290913,0.6945821,0.3334736,0.9388319,0.19138941,0.8078271,0.6558612,0.6445445,0.7658475,0.7281861,0.9173547,0.71213746,0.64156663,0.19604793,0.6655947,0.39861566,0.8889735,0.76426923,0.7258691,0.9786627,0.0058503747,0.80841017,0.7684461,0.1540249,0.99366724,0.1003035,0.47739342,0.5792833,0.31443173,0.8001872,0.8457327,0.36770868,0.02431053,0.63608885,0.75288504
16,0.9143362,0.06910184,0.2270596,0.63030934,0.6991392,0.48124757,0.52382237,0.7060008,0.81558466,0.21547359,0.9829282,0.72117126,0.13942072,0.45936227,0.22094736,0.06970942,0.6173765,0.9541976,0.8521495,0.74934447,0.39414087,0.08408466,0.13922131,0.41430533,0.9387624,0.11515996,0.71945006,0.023688972,0.9015858,0.4774586,0.07381809,0.70982623,0.30030888,0.010141492,0.17579159,0.19044337,0.90981376,0.61280656,0.7455796,0.7922082,0.044609636,0.9291697,0.5794271,0.01376617,0.41073638,0.84626454,0.75984865,0.0050219,0.87976515,0.03267041,0.8481622,0.1733886,0.96484005,0.24873611,0.89316046,0.037635207,0.4585313,0.7086773,0.80957437,0.2897718,0.17562991,0.61487323,0.22745305,0.2513308,0.20394126,0.14422399,0.9959394,0.32527968,0.236841,0.7885819,0.49508095,0.1864163,0.52123755,0.81613195,0.89696074,0.42557698,0.3712322,0.7118125,0.883675,0.22436038,0.6393438,0.8226373,0.96922916,0.96189344,0.9670142,0.49770966,0.063039005,0.8962716,0.00043028593,0.056642383,0.6894354,0.0015112758,0.22358969,0.08739728,0.96016145,0.9640509,0.84796107,0.9960445,0.164316,0.52824974
17,0.91390043,0.9609953,0.73992676,0.5187406,0.62275565,0.8366635,0.20194656,0.15859592,0.52717364,0.10245454,0.7660928,0.4711886,0.6403369,0.6543957,0.19018272,0.15023816,0.341689,0.3832456,0.12730592,0.11843398,0.3067124,0.39568725,0.7922548,0.31924486,0.39665002,0.24260795,0.70635414,0.4660977,0.29521137,0.16894078,0.44091645,0.9562958,0.40020484,0.057471454,0.028740525,0.7347778,0.3309371,0.32632893,0.7142034,0.25908393,0.22628838,0.023477703,0.17285255,0.9563486,0.07570195,0.4685217,0.7509507,0.14591649,0.21511912,0.08856878,0.7955538,0.25483286,0.725947,0.43333745,0.11095369,0.9123373,0.5038944,0.16661733,0.45768696,0.0044135153,0.80739295,0.9128318,0.1866954,0.5540937,0.052289784,0.30782524,0.7844407,0.98571074,0.24000996,0.3541001,0.6117642,0.95495963,0.07284206,0.9459346,0.005217761,0.0063554943,0.42490497,0.21601099,0.716055,0.05756575,0.22234347,0.58476824,0.94569093,0.7406416,0.104080856,0.019045055,0.4132491,0.5656468,0.7244756,0.051264018,0.83095276,0.96667284,0.26030046,0.7054259,0.32233202,0.86868393,0.26786578,0.9446775,0.15265909,0.7663456
18,0.45464554,0.92883277,0.4820795,0.16562277,0.009154379,0.020614654,0.75528336,0.60359293,0.31178698,0.97775227,0.93855906,0.72092885,0.86004186,0.4417576,0.86280906,0.16674697,0.49511248,0.22731924,0.29277277,0.09327832,0.50099033,0.5213343,0.08866531,0.5334853,0.20426205,0.021162152,0.20468763,0.8350129,0.7542397,0.8917924,0.90712166,0.9324398,0.5152739,0.67010605,0.21771643,0.37549675,0.37470907,0.41711268,0.86722755,0.8646631,0.04211676,0.37986785,0.34468073,0.0057093203,0.33814043,0.69585776,0.44510168,0.7527933,0.8303213,0.46729907,0.20928183,0.8103895,0.482821,0.25223187,0.12877604,0.3184333,0.18395454,0.7686943,0.5551121,0.40466475,0.12294948,0.8579969,0.09687051,0.7063958,0.09113613,0.55994815,0.97166204,0.19115594,0.29696965,0.11347434,0.69748604,0.20440313,0.36317807,0.8047262,0.7523079,0.3741511,0.29573756,0.72546977,0.16541311,0.9616915,0.70362025,0.75690806,0.75322336,0.07784814,0.33990663,0.6485527,0.8988237,0.757666,0.98615706,0.21642211,0.9571464,0.36647734,0.89019597,0.9640585,0.20820254,0.94458425,0.24189189,0.8596229,0.09021282,0.116467714
