Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[168.0],[238.0],[237.0],[251.0],[237.0],[181.0],[279.0],[224.0],[251.0],[265.0],[224.0],[266.0],[279.0],[265.0],[237.0],[237.0],[266.0],[251.0],[83.0],[237.0],[265.0],[224.0],[224.0],[41.0],[251.0],[224.0],[126.0],[266.0],[238.0],[83.0],[252.0],[168.0],[70.0],[279.0],[238.0],[238.0],[238.0],[41.0],[251.0],[224.0],[279.0],[252.0],[238.0],[238.0],[265.0],[237.0],[238.0],[41.0],[238.0],[251.0],[28.0],[279.0],[168.0],[224.0],[224.0],[252.0],[279.0],[279.0],[28.0],[168.0],[224.0],[224.0],[252.0],[266.0],[266.0],[224.0],[210.0],[279.0],[251.0],[238.0],[224.0],[273.0],[251.0],[237.0],[265.0],[238.0],[181.0],[83.0],[279.0],[279.0],[237.0],[224.0],[237.0],[251.0],[252.0],[251.0],[251.0],[266.0],[266.0],[252.0],[41.0],[224.0],[181.0],[279.0],[70.0],[168.0],[252.0],[266.0],[238.0],[237.0]
1,[237.0],[237.0],[41.0],[41.0],[41.0],[223.0],[265.0],[83.0],[83.0],[294.0],[294.0],[41.0],[237.0],[223.0],[223.0],[41.0],[28.0],[237.0],[28.0],[41.0],[41.0],[28.0],[28.0],[195.0],[83.0],[70.0],[83.0],[252.0],[224.0],[28.0],[28.0],[224.0],[41.0],[237.0],[28.0],[28.0],[280.0],[294.0],[41.0],[28.0],[252.0],[28.0],[224.0],[28.0],[223.0],[41.0],[154.0],[223.0],[167.0],[237.0],[210.0],[223.0],[224.0],[28.0],[70.0],[210.0],[41.0],[237.0],[70.0],[237.0],[28.0],[28.0],[28.0],[28.0],[236.0],[28.0],[42.0],[265.0],[224.0],[70.0],[56.0],[237.0],[41.0],[41.0],[41.0],[70.0],[41.0],[28.0],[41.0],[252.0],[41.0],[41.0],[41.0],[280.0],[210.0],[28.0],[83.0],[210.0],[252.0],[41.0],[294.0],[28.0],[223.0],[223.0],[41.0],[210.0],[210.0],[224.0],[224.0],[307.0]
2,[28.0],[41.0],[252.0],[285.0],[293.0],[53.0],[223.0],[41.0],[41.0],[182.0],[265.0],[69.0],[252.0],[224.0],[252.0],[294.0],[251.0],[307.0],[293.0],[83.0],[223.0],[307.0],[266.0],[216.0],[41.0],[265.0],[28.0],[210.0],[28.0],[293.0],[210.0],[265.0],[286.0],[41.0],[210.0],[307.0],[279.0],[124.0],[266.0],[307.0],[41.0],[210.0],[294.0],[307.0],[67.0],[298.0],[97.0],[238.0],[279.0],[69.0],[251.0],[41.0],[28.0],[265.0],[265.0],[61.0],[238.0],[41.0],[307.0],[27.0],[265.0],[293.0],[210.0],[251.0],[251.0],[265.0],[28.0],[69.0],[28.0],[28.0],[210.0],[83.0],[294.0],[294.0],[223.0],[28.0],[293.0],[182.0],[223.0],[300.0],[280.0],[294.0],[64.0],[266.0],[237.0],[266.0],[307.0],[64.0],[210.0],[68.0],[293.0],[307.0],[55.0],[186.0],[284.0],[46.0],[28.0],[28.0],[31.0],[252.0]
3,[293.0],[279.0],[295.0],[209.0],[252.0],[252.0],[41.0],[265.0],[266.0],[224.0],[70.0],[251.0],[238.0],[182.0],[41.0],[293.0],[14.0],[252.0],[182.0],[294.0],[224.0],[265.0],[265.0],[280.0],[266.0],[28.0],[182.0],[237.0],[279.0],[182.0],[237.0],[70.0],[294.0],[238.0],[305.0],[70.0],[56.0],[266.0],[293.0],[265.0],[223.0],[237.0],[279.0],[83.0],[224.0],[252.0],[279.0],[237.0],[41.0],[252.0],[182.0],[61.0],[265.0],[294.0],[294.0],[238.0],[224.0],[252.0],[280.0],[41.0],[112.0],[56.0],[237.0],[265.0],[252.0],[14.0],[238.0],[224.0],[266.0],[252.0],[265.0],[252.0],[266.0],[83.0],[224.0],[279.0],[265.0],[293.0],[238.0],[238.0],[65.0],[70.0],[252.0],[195.0],[182.0],[224.0],[266.0],[195.0],[28.0],[266.0],[252.0],[280.0],[14.0],[238.0],[209.0],[251.0],[237.0],[265.0],[307.0],[280.0]
4,[252.0],[252.0],[280.0],[266.0],[296.0],[14.0],[224.0],[14.0],[294.0],[279.0],[280.0],[123.0],[28.0],[125.0],[69.0],[252.0],[97.0],[266.0],[56.0],[252.0],[195.0],[280.0],[280.0],[266.0],[293.0],[27.0],[305.0],[251.0],[265.0],[56.0],[125.0],[27.0],[209.0],[252.0],[279.0],[279.0],[193.0],[280.0],[294.0],[280.0],[238.0],[182.0],[265.0],[279.0],[238.0],[238.0],[280.0],[307.0],[307.0],[266.0],[56.0],[238.0],[293.0],[83.0],[266.0],[237.0],[307.0],[238.0],[97.0],[252.0],[251.0],[265.0],[182.0],[70.0],[223.0],[294.0],[27.0],[238.0],[265.0],[279.0],[293.0],[251.0],[70.0],[252.0],[251.0],[307.0],[83.0],[56.0],[195.0],[237.0],[195.0],[265.0],[293.0],[252.0],[294.0],[56.0],[291.0],[251.0],[237.0],[237.0],[279.0],[265.0],[238.0],[293.0],[300.0],[27.0],[183.0],[251.0],[112.0],[83.0]
5,[112.0],[195.0],[125.0],[294.0],[251.0],[238.0],[238.0],[293.0],[210.0],[125.0],[28.0],[182.0],[293.0],[303.0],[70.0],[209.0],[224.0],[27.0],[210.0],[293.0],[307.0],[97.0],[56.0],[116.0],[14.0],[294.0],[293.0],[195.0],[70.0],[210.0],[182.0],[251.0],[279.0],[307.0],[83.0],[280.0],[265.0],[223.0],[83.0],[97.0],[237.0],[294.0],[14.0],[97.0],[125.0],[27.0],[265.0],[70.0],[252.0],[291.0],[237.0],[125.0],[27.0],[280.0],[27.0],[209.0],[84.0],[69.0],[223.0],[210.0],[295.0],[182.0],[56.0],[307.0],[307.0],[279.0],[237.0],[195.0],[56.0],[280.0],[83.0],[307.0],[224.0],[293.0],[307.0],[224.0],[238.0],[279.0],[307.0],[195.0],[252.0],[84.0],[84.0],[307.0],[266.0],[223.0],[210.0],[112.0],[251.0],[210.0],[83.0],[70.0],[265.0],[41.0],[224.0],[56.0],[24.0],[70.0],[265.0],[251.0]
6,[279.0],[307.0],[70.0],[182.0],[84.0],[267.0],[69.0],[238.0],[154.0],[280.0],[27.0],[294.0],[223.0],[238.0],[294.0],[84.0],[252.0],[56.0],[307.0],[84.0],[118.0],[27.0],[97.0],[307.0],[303.0],[292.0],[210.0],[84.0],[307.0],[307.0],[294.0],[278.0],[26.0],[195.0],[112.0],[223.0],[14.0],[69.0],[84.0],[56.0],[195.0],[125.0],[280.0],[57.0],[70.0],[125.0],[28.0],[195.0],[223.0],[223.0],[22.0],[20.0],[251.0],[17.0],[293.0],[182.0],[195.0],[195.0],[112.0],[290.0],[97.0],[251.0],[97.0],[223.0],[84.0],[97.0],[97.0],[294.0],[223.0],[294.0],[84.0],[210.0],[69.0],[84.0],[84.0],[223.0],[84.0],[237.0],[84.0],[107.0],[83.0],[223.0],[27.0],[117.0],[280.0],[285.0],[56.0],[83.0],[83.0],[118.0],[84.0],[27.0],[280.0],[70.0],[182.0],[278.0],[279.0],[307.0],[279.0],[55.0]
7,[209.0],[14.0],[68.0],[25.0],[205.0],[69.0],[71.0],[84.0],[293.0],[68.0],[266.0],[223.0],[69.0],[27.0],[251.0],[67.0],[307.0],[293.0],[121.0],[210.0],[84.0],[56.0],[307.0],[167.0],[195.0],[279.0],[167.0],[83.0],[292.0],[121.0],[83.0],[307.0],[182.0],[223.0],[97.0],[97.0],[307.0],[89.0],[17.0],[238.0],[84.0],[83.0],[69.0],[265.0],[22.0],[88.0],[236.0],[293.0],[84.0],[294.0],[280.0],[111.0],[278.0],[97.0],[69.0],[23.0],[83.0],[23.0],[22.0],[279.0],[210.0],[307.0],[120.0],[97.0],[195.0],[223.0],[206.0],[289.0],[307.0],[223.0],[307.0],[195.0],[84.0],[210.0],[195.0],[252.0],[307.0],[210.0],[293.0],[14.0],[17.0],[69.0],[125.0],[223.0],[28.0],[94.0],[123.0],[16.0],[294.0],[90.0],[67.0],[97.0],[69.0],[123.0],[23.0],[125.0],[209.0],[223.0],[288.0],[19.0]
8,[250.0],[291.0],[88.0],[279.0],[279.0],[112.0],[125.0],[194.0],[28.0],[14.0],[69.0],[84.0],[224.0],[72.0],[84.0],[265.0],[195.0],[123.0],[266.0],[121.0],[20.0],[237.0],[210.0],[14.0],[265.0],[69.0],[209.0],[224.0],[223.0],[17.0],[265.0],[252.0],[68.0],[86.0],[266.0],[112.0],[252.0],[210.0],[67.0],[114.0],[224.0],[265.0],[125.0],[14.0],[294.0],[224.0],[195.0],[84.0],[229.0],[122.0],[262.0],[88.0],[252.0],[109.0],[41.0],[224.0],[119.0],[294.0],[109.0],[251.0],[280.0],[120.0],[280.0],[26.0],[238.0],[280.0],[56.0],[118.0],[97.0],[69.0],[123.0],[102.0],[176.0],[307.0],[210.0],[280.0],[270.0],[307.0],[118.0],[117.0],[119.0],[238.0],[238.0],[294.0],[20.0],[69.0],[22.0],[280.0],[182.0],[182.0],[17.0],[266.0],[235.0],[20.0],[220.0],[96.0],[251.0],[238.0],[209.0],[238.0]
9,[224.0],[224.0],[224.0],[28.0],[223.0],[280.0],[163.0],[252.0],[307.0],[41.0],[237.0],[279.0],[280.0],[266.0],[23.0],[238.0],[279.0],[224.0],[18.0],[16.0],[237.0],[252.0],[83.0],[28.0],[238.0],[253.0],[19.0],[119.0],[266.0],[251.0],[224.0],[293.0],[90.0],[118.0],[251.0],[22.0],[213.0],[182.0],[279.0],[252.0],[118.0],[224.0],[252.0],[212.0],[162.0],[69.0],[116.0],[224.0],[56.0],[224.0],[83.0],[224.0],[220.0],[252.0],[182.0],[97.0],[20.0],[87.0],[265.0],[224.0],[238.0],[238.0],[20.0],[238.0],[279.0],[252.0],[224.0],[80.0],[195.0],[97.0],[237.0],[238.0],[24.0],[122.0],[238.0],[251.0],[19.0],[41.0],[19.0],[224.0],[28.0],[293.0],[266.0],[22.0],[224.0],[238.0],[279.0],[279.0],[41.0],[294.0],[266.0],[252.0],[266.0],[280.0],[252.0],[293.0],[224.0],[253.0],[97.0],[210.0]
10,[265.0],[267.0],[223.0],[66.0],[69.0],[75.0],[87.0],[237.0],[20.0],[252.0],[253.0],[238.0],[41.0],[252.0],[277.0],[116.0],[238.0],[238.0],[95.0],[67.0],[252.0],[122.0],[237.0],[107.0],[28.0],[41.0],[280.0],[20.0],[25.0],[95.0],[94.0],[237.0],[266.0],[291.0],[167.0],[109.0],[251.0],[279.0],[238.0],[237.0],[210.0],[94.0],[41.0],[237.0],[197.0],[265.0],[210.0],[19.0],[266.0],[238.0],[94.0],[265.0],[237.0],[237.0],[252.0],[83.0],[292.0],[293.0],[237.0],[28.0],[237.0],[24.0],[224.0],[252.0],[294.0],[307.0],[251.0],[252.0],[237.0],[251.0],[253.0],[20.0],[279.0],[18.0],[118.0],[294.0],[236.0],[119.0],[266.0],[266.0],[238.0],[266.0],[265.0],[279.0],[265.0],[190.0],[238.0],[293.0],[307.0],[223.0],[265.0],[237.0],[116.0],[266.0],[89.0],[237.0],[41.0],[41.0],[57.0],[265.0]
11,[41.0],[28.0],[279.0],[222.0],[224.0],[265.0],[266.0],[69.0],[207.0],[237.0],[238.0],[210.0],[191.0],[162.0],[265.0],[223.0],[174.0],[279.0],[280.0],[265.0],[294.0],[108.0],[195.0],[279.0],[279.0],[237.0],[93.0],[238.0],[41.0],[279.0],[280.0],[219.0],[117.0],[224.0],[56.0],[251.0],[293.0],[108.0],[125.0],[14.0],[21.0],[238.0],[237.0],[251.0],[266.0],[292.0],[266.0],[251.0],[251.0],[265.0],[238.0],[251.0],[41.0],[307.0],[237.0],[307.0],[267.0],[82.0],[294.0],[189.0],[253.0],[41.0],[81.0],[294.0],[265.0],[237.0],[79.0],[41.0],[107.0],[25.0],[22.0],[225.0],[83.0],[265.0],[237.0],[41.0],[122.0],[20.0],[294.0],[83.0],[293.0],[237.0],[225.0],[109.0],[125.0],[237.0],[265.0],[238.0],[224.0],[224.0],[216.0],[294.0],[94.0],[251.0],[111.0],[77.0],[280.0],[237.0],[252.0],[294.0]
12,[294.0],[251.0],[251.0],[238.0],[264.0],[97.0],[27.0],[216.0],[279.0],[27.0],[161.0],[176.0],[266.0],[41.0],[225.0],[279.0],[291.0],[265.0],[237.0],[224.0],[161.0],[222.0],[108.0],[83.0],[237.0],[251.0],[56.0],[292.0],[280.0],[280.0],[67.0],[294.0],[220.0],[251.0],[174.0],[266.0],[28.0],[154.0],[217.0],[223.0],[251.0],[279.0],[251.0],[208.0],[293.0],[161.0],[251.0],[266.0],[176.0],[76.0],[177.0],[237.0],[280.0],[251.0],[218.0],[251.0],[237.0],[250.0],[279.0],[265.0],[223.0],[236.0],[265.0],[279.0],[76.0],[26.0],[288.0],[163.0],[253.0],[266.0],[280.0],[161.0],[237.0],[279.0],[24.0],[268.0],[255.0],[280.0],[251.0],[28.0],[225.0],[26.0],[279.0],[265.0],[223.0],[279.0],[237.0],[167.0],[176.0],[238.0],[224.0],[219.0],[75.0],[69.0],[118.0],[265.0],[223.0],[294.0],[266.0],[96.0]
13,[98.0],[264.0],[293.0],[118.0],[25.0],[27.0],[251.0],[251.0],[240.0],[266.0],[182.0],[78.0],[250.0],[280.0],[162.0],[251.0],[27.0],[28.0],[265.0],[279.0],[78.0],[161.0],[253.0],[292.0],[215.0],[218.0],[118.0],[264.0],[237.0],[195.0],[23.0],[161.0],[178.0],[267.0],[280.0],[294.0],[268.0],[79.0],[174.0],[266.0],[307.0],[14.0],[27.0],[268.0],[237.0],[251.0],[69.0],[163.0],[208.0],[97.0],[300.0],[268.0],[160.0],[279.0],[181.0],[267.0],[249.0],[268.0],[251.0],[79.0],[307.0],[280.0],[279.0],[164.0],[14.0],[269.0],[163.0],[267.0],[238.0],[176.0],[162.0],[264.0],[167.0],[162.0],[253.0],[19.0],[194.0],[269.0],[78.0],[251.0],[264.0],[254.0],[251.0],[238.0],[279.0],[75.0],[177.0],[174.0],[278.0],[278.0],[251.0],[108.0],[41.0],[174.0],[181.0],[221.0],[265.0],[278.0],[237.0],[225.0]
14,[186.0],[175.0],[161.0],[175.0],[195.0],[224.0],[237.0],[103.0],[176.0],[292.0],[220.0],[265.0],[264.0],[237.0],[207.0],[161.0],[124.0],[41.0],[195.0],[160.0],[111.0],[168.0],[176.0],[175.0],[280.0],[182.0],[232.0],[277.0],[251.0],[167.0],[161.0],[96.0],[265.0],[263.0],[18.0],[176.0],[115.0],[181.0],[280.0],[251.0],[268.0],[251.0],[176.0],[177.0],[28.0],[220.0],[107.0],[123.0],[78.0],[278.0],[279.0],[78.0],[91.0],[195.0],[160.0],[162.0],[182.0],[263.0],[123.0],[161.0],[191.0],[255.0],[304.0],[280.0],[293.0],[161.0],[110.0],[251.0],[277.0],[265.0],[251.0],[291.0],[293.0],[280.0],[293.0],[176.0],[218.0],[251.0],[174.0],[264.0],[92.0],[251.0],[161.0],[84.0],[41.0],[41.0],[84.0],[124.0],[162.0],[264.0],[175.0],[238.0],[187.0],[265.0],[250.0],[14.0],[117.0],[163.0],[251.0],[161.0]
15,[83.0],[27.0],[263.0],[92.0],[283.0],[207.0],[177.0],[160.0],[230.0],[160.0],[291.0],[195.0],[77.0],[293.0],[293.0],[280.0],[82.0],[161.0],[106.0],[194.0],[182.0],[293.0],[278.0],[26.0],[174.0],[161.0],[260.0],[307.0],[163.0],[105.0],[194.0],[194.0],[167.0],[77.0],[209.0],[124.0],[164.0],[224.0],[194.0],[279.0],[162.0],[163.0],[292.0],[280.0],[41.0],[14.0],[176.0],[174.0],[280.0],[162.0],[193.0],[191.0],[307.0],[216.0],[105.0],[263.0],[297.0],[226.0],[165.0],[91.0],[162.0],[209.0],[161.0],[176.0],[224.0],[178.0],[266.0],[237.0],[78.0],[293.0],[279.0],[296.0],[218.0],[209.0],[162.0],[92.0],[105.0],[207.0],[182.0],[292.0],[266.0],[279.0],[78.0],[97.0],[305.0],[163.0],[97.0],[307.0],[263.0],[55.0],[123.0],[161.0],[105.0],[237.0],[83.0],[192.0],[161.0],[280.0],[176.0],[178.0]
