Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[321.0],[243.0],[321.0],[321.0],[321.0],[321.0],[210.0],[321.0],[321.0],[321.0],[298.0],[243.0],[321.0],[298.0],[243.0],[321.0],[321.0],[321.0],[243.0],[321.0],[321.0],[270.0],[321.0],[321.0],[321.0],[321.0],[321.0],[321.0],[74.0],[74.0],[30.0],[321.0],[321.0],[298.0],[34.0],[268.0],[321.0],[321.0],[321.0],[321.0],[321.0],[321.0],[363.0],[321.0],[321.0],[321.0],[321.0],[321.0],[298.0],[363.0],[321.0],[321.0],[321.0],[321.0],[243.0],[243.0],[321.0],[321.0],[321.0],[321.0],[21.0],[321.0],[321.0],[363.0],[321.0],[321.0],[321.0],[321.0],[321.0],[298.0],[321.0],[321.0],[321.0],[210.0],[210.0],[321.0],[321.0],[321.0],[243.0],[321.0],[321.0],[321.0],[363.0],[321.0],[210.0],[243.0],[270.0],[321.0],[321.0],[243.0],[321.0],[321.0],[321.0],[74.0],[321.0],[321.0],[321.0],[321.0],[321.0],[6.0]
1,[6.0],[321.0],[243.0],[363.0],[30.0],[74.0],[321.0],[74.0],[243.0],[298.0],[321.0],[363.0],[363.0],[321.0],[321.0],[74.0],[363.0],[243.0],[321.0],[298.0],[298.0],[321.0],[243.0],[243.0],[243.0],[74.0],[241.0],[243.0],[321.0],[279.0],[243.0],[363.0],[30.0],[321.0],[321.0],[298.0],[243.0],[243.0],[363.0],[243.0],[74.0],[234.0],[298.0],[363.0],[243.0],[363.0],[363.0],[279.0],[321.0],[321.0],[74.0],[243.0],[241.0],[74.0],[210.0],[363.0],[315.0],[298.0],[74.0],[6.0],[321.0],[241.0],[270.0],[210.0],[363.0],[106.0],[213.0],[210.0],[363.0],[321.0],[298.0],[243.0],[298.0],[270.0],[262.0],[363.0],[243.0],[298.0],[363.0],[243.0],[243.0],[74.0],[321.0],[262.0],[321.0],[298.0],[321.0],[243.0],[74.0],[321.0],[243.0],[363.0],[363.0],[321.0],[363.0],[34.0],[74.0],[210.0],[234.0],[321.0]
2,[315.0],[210.0],[279.0],[279.0],[243.0],[243.0],[363.0],[270.0],[210.0],[243.0],[268.0],[279.0],[279.0],[243.0],[34.0],[363.0],[279.0],[210.0],[298.0],[6.0],[363.0],[74.0],[262.0],[363.0],[210.0],[279.0],[262.0],[241.0],[243.0],[34.0],[279.0],[279.0],[279.0],[363.0],[210.0],[257.0],[298.0],[315.0],[243.0],[6.0],[363.0],[6.0],[279.0],[243.0],[210.0],[262.0],[279.0],[243.0],[363.0],[34.0],[279.0],[279.0],[243.0],[241.0],[279.0],[321.0],[241.0],[243.0],[363.0],[74.0],[210.0],[243.0],[279.0],[262.0],[200.0],[210.0],[243.0],[243.0],[279.0],[241.0],[363.0],[241.0],[210.0],[241.0],[321.0],[279.0],[279.0],[243.0],[321.0],[279.0],[210.0],[210.0],[6.0],[210.0],[241.0],[321.0],[279.0],[210.0],[243.0],[363.0],[363.0],[210.0],[210.0],[363.0],[279.0],[279.0],[262.0],[241.0],[243.0],[363.0]
3,[279.0],[298.0],[363.0],[243.0],[363.0],[279.0],[243.0],[279.0],[279.0],[241.0],[363.0],[6.0],[262.0],[21.0],[298.0],[298.0],[210.0],[279.0],[363.0],[279.0],[279.0],[298.0],[279.0],[298.0],[262.0],[243.0],[279.0],[315.0],[298.0],[321.0],[24.0],[24.0],[74.0],[243.0],[262.0],[279.0],[262.0],[210.0],[241.0],[298.0],[243.0],[279.0],[270.0],[279.0],[279.0],[279.0],[262.0],[74.0],[74.0],[37.0],[298.0],[6.0],[298.0],[298.0],[363.0],[6.0],[243.0],[279.0],[243.0],[262.0],[298.0],[315.0],[363.0],[321.0],[243.0],[262.0],[234.0],[279.0],[210.0],[74.0],[279.0],[6.0],[270.0],[315.0],[241.0],[210.0],[210.0],[279.0],[30.0],[74.0],[279.0],[279.0],[234.0],[279.0],[243.0],[279.0],[234.0],[279.0],[30.0],[6.0],[279.0],[279.0],[279.0],[298.0],[210.0],[363.0],[243.0],[298.0],[210.0],[315.0]
4,[298.0],[315.0],[74.0],[234.0],[24.0],[298.0],[279.0],[298.0],[74.0],[210.0],[243.0],[210.0],[210.0],[279.0],[315.0],[279.0],[262.0],[6.0],[210.0],[262.0],[270.0],[6.0],[6.0],[210.0],[258.0],[270.0],[210.0],[210.0],[279.0],[234.0],[6.0],[298.0],[210.0],[270.0],[298.0],[243.0],[315.0],[283.0],[279.0],[279.0],[106.0],[315.0],[241.0],[34.0],[24.0],[234.0],[243.0],[210.0],[234.0],[74.0],[243.0],[210.0],[6.0],[315.0],[262.0],[234.0],[74.0],[74.0],[241.0],[24.0],[6.0],[363.0],[74.0],[243.0],[279.0],[279.0],[315.0],[363.0],[34.0],[270.0],[243.0],[74.0],[200.0],[298.0],[315.0],[241.0],[315.0],[270.0],[241.0],[210.0],[30.0],[298.0],[279.0],[6.0],[279.0],[6.0],[74.0],[262.0],[262.0],[241.0],[315.0],[270.0],[262.0],[243.0],[262.0],[210.0],[298.0],[6.0],[315.0],[241.0]
5,[363.0],[270.0],[257.0],[315.0],[279.0],[6.0],[34.0],[243.0],[234.0],[279.0],[180.0],[241.0],[315.0],[363.0],[210.0],[262.0],[298.0],[270.0],[74.0],[268.0],[74.0],[279.0],[30.0],[279.0],[315.0],[298.0],[315.0],[279.0],[6.0],[298.0],[210.0],[262.0],[213.0],[279.0],[241.0],[270.0],[74.0],[6.0],[34.0],[210.0],[279.0],[34.0],[6.0],[6.0],[363.0],[30.0],[258.0],[270.0],[279.0],[241.0],[242.0],[315.0],[279.0],[279.0],[30.0],[315.0],[210.0],[270.0],[298.0],[270.0],[279.0],[279.0],[243.0],[283.0],[34.0],[243.0],[279.0],[315.0],[241.0],[279.0],[275.0],[279.0],[241.0],[243.0],[165.0],[243.0],[258.0],[363.0],[210.0],[268.0],[315.0],[270.0],[315.0],[241.0],[363.0],[74.0],[243.0],[30.0],[279.0],[30.0],[210.0],[298.0],[243.0],[279.0],[241.0],[258.0],[279.0],[279.0],[241.0],[298.0]
6,[213.0],[363.0],[6.0],[283.0],[262.0],[210.0],[315.0],[262.0],[270.0],[315.0],[270.0],[315.0],[258.0],[30.0],[279.0],[241.0],[241.0],[258.0],[262.0],[241.0],[243.0],[275.0],[283.0],[270.0],[234.0],[258.0],[6.0],[262.0],[210.0],[243.0],[241.0],[210.0],[258.0],[34.0],[315.0],[210.0],[210.0],[279.0],[24.0],[315.0],[34.0],[243.0],[74.0],[210.0],[6.0],[74.0],[210.0],[241.0],[270.0],[210.0],[210.0],[270.0],[270.0],[363.0],[258.0],[210.0],[279.0],[315.0],[270.0],[279.0],[241.0],[6.0],[268.0],[6.0],[298.0],[298.0],[74.0],[34.0],[74.0],[363.0],[234.0],[270.0],[74.0],[283.0],[363.0],[258.0],[213.0],[24.0],[74.0],[315.0],[363.0],[200.0],[210.0],[243.0],[298.0],[363.0],[298.0],[241.0],[298.0],[258.0],[262.0],[241.0],[241.0],[315.0],[298.0],[298.0],[283.0],[243.0],[74.0],[243.0]
7,[210.0],[279.0],[241.0],[74.0],[210.0],[258.0],[241.0],[210.0],[200.0],[74.0],[279.0],[262.0],[34.0],[270.0],[234.0],[270.0],[243.0],[298.0],[279.0],[243.0],[34.0],[241.0],[74.0],[74.0],[242.0],[210.0],[258.0],[258.0],[315.0],[213.0],[283.0],[258.0],[315.0],[74.0],[275.0],[74.0],[270.0],[74.0],[210.0],[234.0],[315.0],[343.0],[258.0],[262.0],[37.0],[258.0],[315.0],[200.0],[210.0],[298.0],[262.0],[242.0],[74.0],[354.0],[241.0],[262.0],[270.0],[210.0],[24.0],[243.0],[243.0],[234.0],[262.0],[30.0],[262.0],[200.0],[270.0],[24.0],[243.0],[268.0],[74.0],[363.0],[243.0],[363.0],[6.0],[34.0],[6.0],[262.0],[279.0],[258.0],[24.0],[363.0],[262.0],[180.0],[24.0],[24.0],[180.0],[315.0],[210.0],[315.0],[258.0],[243.0],[258.0],[234.0],[258.0],[315.0],[30.0],[317.0],[6.0],[210.0]
8,[262.0],[74.0],[298.0],[210.0],[258.0],[270.0],[6.0],[200.0],[30.0],[275.0],[74.0],[258.0],[180.0],[234.0],[6.0],[243.0],[258.0],[315.0],[315.0],[270.0],[258.0],[106.0],[258.0],[262.0],[6.0],[241.0],[74.0],[6.0],[106.0],[258.0],[258.0],[37.0],[234.0],[234.0],[279.0],[283.0],[241.0],[233.0],[6.0],[74.0],[234.0],[242.0],[275.0],[298.0],[258.0],[34.0],[241.0],[315.0],[258.0],[279.0],[106.0],[74.0],[262.0],[243.0],[6.0],[213.0],[6.0],[258.0],[279.0],[298.0],[74.0],[24.0],[298.0],[279.0],[210.0],[270.0],[210.0],[6.0],[258.0],[243.0],[6.0],[315.0],[180.0],[180.0],[24.0],[315.0],[363.0],[210.0],[262.0],[270.0],[283.0],[180.0],[258.0],[283.0],[283.0],[257.0],[363.0],[363.0],[241.0],[34.0],[6.0],[258.0],[30.0],[6.0],[283.0],[241.0],[315.0],[74.0],[298.0],[283.0]
9,[258.0],[262.0],[210.0],[258.0],[213.0],[315.0],[180.0],[106.0],[242.0],[27.0],[210.0],[298.0],[243.0],[74.0],[74.0],[258.0],[332.0],[241.0],[241.0],[258.0],[262.0],[315.0],[210.0],[258.0],[24.0],[268.0],[363.0],[24.0],[258.0],[363.0],[315.0],[243.0],[283.0],[6.0],[283.0],[258.0],[279.0],[30.0],[258.0],[258.0],[275.0],[233.0],[210.0],[315.0],[74.0],[24.0],[6.0],[258.0],[106.0],[283.0],[258.0],[258.0],[24.0],[234.0],[165.0],[279.0],[298.0],[275.0],[6.0],[241.0],[315.0],[210.0],[258.0],[234.0],[74.0],[258.0],[6.0],[258.0],[262.0],[210.0],[258.0],[210.0],[363.0],[30.0],[343.0],[242.0],[242.0],[74.0],[6.0],[34.0],[213.0],[241.0],[243.0],[74.0],[257.0],[270.0],[315.0],[24.0],[270.0],[24.0],[34.0],[74.0],[283.0],[210.0],[243.0],[74.0],[24.0],[262.0],[279.0],[258.0]
