Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,0.057509094,0.7421041,0.999881,0.99871683,0.2922599,0.992787,0.31907248,0.9176464,0.76483846,0.2690344,0.7096713,0.17190906,0.9971143,0.98908174,0.9317221,0.7368897,0.9747013,0.9718032,0.0024472773,0.4306879,0.29945058,0.8325994,0.45147353,0.91827,0.7224004,0.9978517,0.53618705,0.9147208,0.13974735,0.19459769,0.107694656,0.006153941,0.0950011,0.54350513,0.62259823,0.2601531,0.999037,0.70535296,0.3619836,0.3035602,0.7894891,0.084049374,0.50304407,0.14569369,0.84976685,0.97326076,0.72560704,0.011462837,0.014734358,0.8969104,0.033317596,0.4574666,0.5130692,0.9149214,0.84765005,0.9863649,0.061672002,0.9788681,0.74629647,0.11426443,0.5619771,0.03838432,0.37105995,0.5185252,0.94626963,0.0011306107,0.7834016,0.99303824,0.9620624,0.102950335,0.4570406,0.21462452,0.4376683,0.35990775,0.0077049136,0.153234,0.95763576,0.8561634,0.93581617,0.9863457,0.9289651,0.69742644,0.3025947,0.9273858,0.0,0.76982856,0.47395584,0.059221447,0.74952114,0.5581114,0.072844744,0.00981611,0.35457563,0.9952192,0.005237758,0.96672237,0.8831699,0.24752024,0.91412663,0.53128654
1,0.07261911,0.49603984,0.4309666,0.0848712,0.14313957,0.9740534,0.14634478,0.8319137,0.0973165,0.38084283,0.07868856,0.30236265,0.40195253,0.9769288,0.7315402,0.32693318,0.012321264,0.14141995,0.85045564,0.05747208,0.35778278,0.011772752,0.99151325,1.0,0.68677324,0.99660003,0.22089654,0.17976117,0.6972984,0.197866,0.59120154,0.054689348,0.003917396,0.22648236,0.93493783,0.17542145,0.90692985,0.029413342,0.24558845,0.003831774,0.66624886,0.34045613,0.9941301,0.4290147,0.92945755,0.25260952,0.55671114,0.7591171,0.4554847,0.36630815,0.6857755,0.09075153,0.42646348,0.10475883,0.77831316,0.9747461,0.60849756,0.8002877,0.9159583,0.43997306,0.954878,0.06938982,0.9234606,0.44896954,0.9881011,0.85757905,0.3102451,0.92435014,0.8714994,0.13979527,0.6657851,0.39443177,0.61478883,0.22264746,0.04584998,0.87791866,0.9977228,0.9779891,0.0003476441,0.95126224,0.84251416,0.8319906,0.015631765,0.73844665,0.0006302595,0.39962476,0.98135173,0.22784126,0.84087133,0.4519825,0.05688688,0.015589446,0.0020006597,0.999575,1.1920929e-07,0.9940833,0.8579062,0.07154387,0.7216311,0.7815034
2,0.019917876,0.24670342,0.9883844,0.0039575696,0.3283041,0.5058798,0.7701355,0.7353688,0.98013866,0.21611094,0.098897964,0.21496359,0.9999238,0.72568226,0.04081285,0.6553031,0.80579937,0.1390357,0.98700505,0.13913628,0.22153294,0.9162433,0.18500409,0.99999845,0.7451141,0.38588756,0.47559476,0.37316856,0.6368989,0.9165046,0.28964138,0.011996597,0.04406956,0.10948411,0.547215,0.059847355,0.01426059,0.8778652,0.15144098,0.0030552745,0.6369528,0.015879542,0.18320557,0.995371,0.2518552,0.08936852,0.8710023,0.18801719,0.9978726,0.20704484,0.24017027,0.461754,0.5299613,0.9136443,0.7707148,0.0021570325,0.8663875,0.65295327,0.11294672,0.66714174,0.97673273,0.22569564,0.6497057,0.52865905,0.873196,9.983778e-06,0.3616591,0.98408157,0.98678064,0.44295707,0.5400741,0.11523235,0.67790926,0.23315033,0.043749332,0.3730748,0.91716003,0.4932643,0.0011411011,0.9744284,0.990463,0.5983411,0.20312932,0.89733016,0.71108824,0.63921493,0.9054171,0.17638317,0.8094581,0.7912288,0.04327929,0.0017696917,0.16846585,0.06596932,0.99999225,0.17853945,0.12705272,0.70863533,0.75056505,0.8517741
3,0.265588,0.7699581,0.96849275,0.00032395124,0.46499452,0.9151324,0.47949997,0.77311105,0.9862156,0.007215917,0.12514096,0.7160666,0.38434684,0.7748103,0.014184535,0.21160138,0.3247454,0.683884,0.0007584393,0.1978369,0.40510157,0.455306,0.9999994,0.9960351,0.8960103,0.55949146,0.0854685,0.047298133,0.69824916,0.72957003,0.36298048,0.032919735,0.7101122,0.40694314,0.7406671,0.1235784,0.30365777,0.8017096,0.42594627,0.9999825,0.52419555,0.27051193,0.9933977,0.028341144,0.04743734,0.86274153,0.95497835,0.9979335,0.24192977,0.96011794,0.30165702,0.664537,0.57197195,0.8119155,0.8712336,0.9507696,0.636134,0.28152376,0.82756126,0.31764984,0.28443658,0.15397796,0.35189685,0.53785676,0.97916734,0.9864594,0.887185,0.6386793,0.3843631,0.39287907,0.5476786,0.19436136,0.42900908,0.1781193,0.98034644,0.7155022,0.6428331,0.42877394,0.036084116,0.94585556,0.8962161,0.9782103,0.49328262,0.83635867,0.0,0.65758,0.64391136,0.03532082,0.7198878,0.71515155,0.277955,0.13033217,0.03731376,0.49700487,0.0069901645,0.98150015,0.71761805,0.9992635,0.5982228,0.8385295
4,0.007336706,0.9500333,0.9974967,0.87770927,0.1397788,0.9374161,0.18172881,0.8655703,0.86604536,0.4304805,0.0038718283,0.16400534,0.003112793,0.011659652,0.15065384,0.3990655,0.78535473,0.0345698,0.2946557,0.15650296,0.38348094,0.00077295303,0.10038668,0.9166418,0.9555297,0.99174553,0.73551226,0.8774539,0.52423894,0.41296783,0.35677716,0.0007427037,0.16299763,0.29526386,0.4955857,0.5572971,0.015220195,0.110916495,0.655349,0.9993305,0.84333056,0.85738623,0.9993547,0.9892508,0.40581214,0.6457468,0.9871595,0.9787297,0.028413445,0.29185766,0.9484775,0.6037984,0.42627865,0.8228317,0.92456174,0.9595493,0.36443526,0.7745621,0.82311785,0.414459,0.03238359,0.22619718,0.3127566,0.72783387,0.9895581,0.27841517,0.35442987,0.47972953,0.073904306,0.08881757,0.5888531,0.19865346,0.57970166,0.51392215,0.022173136,0.45651492,0.2527579,0.16877484,0.114601046,0.9528173,0.99964035,0.55022216,0.087996036,0.96558964,0.92111737,0.6502551,0.8001145,0.43345493,0.6971308,0.60585064,0.1503813,0.0896548,0.11459437,0.9906007,0.00012177229,0.9799243,0.31762645,0.024856418,0.7312752,0.5640462
5,0.84140956,0.6942985,0.99889827,0.61034054,0.28225923,0.95275,0.6100178,0.8571661,0.72429633,0.08588982,0.8502564,0.5800114,0.9831168,0.5527968,0.42688888,0.8289733,0.33109623,0.86625767,0.93912137,0.009089708,0.23114643,0.000279814,1.0,0.9966403,0.98132336,0.85845613,0.5597384,0.5313901,0.50726056,0.6324222,0.45486897,0.99173725,6.312132e-05,0.5031528,0.7683644,0.1147823,0.079060495,0.011786938,0.2834852,0.9975012,0.6588737,0.72799534,0.99994206,0.9978595,0.028416991,0.8940265,0.58950907,0.00826171,0.42842966,0.9839541,0.93821293,0.7908805,0.7922766,0.23099795,0.8791927,0.32199544,0.28679085,0.3650923,0.28569967,0.21366036,0.07135138,0.2757602,0.9736627,0.591376,0.76086473,0.21148014,0.6043871,0.94309694,0.0059184134,0.2257264,0.6681311,0.16518405,0.2945937,0.35464615,0.21540093,0.29533762,0.15555051,0.36219954,0.34526697,0.97004247,0.81192255,0.9790151,0.033254236,0.9086288,0.0032835007,0.8692654,0.8918277,0.19458559,0.8706939,0.49514735,0.07717502,0.000141114,0.98863643,0.97699124,0.36999884,0.9481305,0.08303073,0.9003478,0.88339096,0.5274877
6,0.8813379,0.7054328,0.96960336,0.7315854,0.17650974,0.90977883,0.71423864,0.8034108,0.9648495,0.032883525,0.9293047,0.7528983,9.23872e-07,0.29679465,0.75363946,0.052543133,0.8009465,0.24200732,0.99215984,0.007530302,0.7600133,0.025916994,0.23653153,0.012164295,0.61247146,0.9479538,0.7632147,0.2487719,0.48516575,0.2853833,0.3616401,0.6436268,0.77537715,0.20469049,0.24852058,0.26468158,0.98010755,0.9594195,0.075695574,0.002064854,0.6565835,0.68683445,0.46680918,0.04820493,0.06608522,0.4394295,0.053836465,0.06798798,0.9984534,0.63608587,0.14957002,0.9967394,0.6575346,0.3085755,0.514076,0.30590418,0.57337636,0.5808486,0.7253963,0.6154201,0.023994893,0.1558595,0.7209418,0.5623866,0.9319567,0.9406182,0.70368,0.895615,0.021793723,0.077368736,0.45681447,0.2570733,0.46303505,0.2362259,0.44194236,0.20874664,0.68986386,0.93516624,0.9982122,0.9072261,0.9963864,0.87715065,0.29935563,0.88481736,0.9999995,0.9344077,0.5824117,0.5724835,0.96472275,0.6965387,0.46461904,0.01357916,0.74232686,0.9767167,0.0,0.6021514,0.8698971,0.6616529,0.89738154,0.31702614
7,0.99557114,0.8433227,0.95025426,0.9492891,0.22663704,0.9804075,0.2183725,0.9229071,0.006911546,0.020261198,0.71743506,0.7471504,0.9896865,0.87237895,0.08606377,0.116824776,0.6557829,0.01358822,0.46432287,0.20435724,0.17779124,0.17106012,0.9998113,0.93003106,0.48622426,0.99235547,0.6339712,0.2916006,0.698564,0.60604805,0.20432621,8.261204e-05,0.057622463,0.28524137,0.72184455,0.53078675,0.006538242,0.36662576,0.69164443,0.9853596,0.5995625,0.9725976,0.8593824,0.00051790476,0.017356783,0.67203224,0.9796074,0.24544922,0.9940524,0.11938435,0.2726142,0.99222136,0.69454294,0.8923342,0.6277889,0.0489344,0.62171906,0.03966528,0.52925164,0.5171594,0.695146,0.12267655,0.62067497,0.6224384,0.9785052,0.9993582,0.72859454,0.48370314,0.006417483,0.16611743,0.46815482,0.53249055,0.5310217,0.45593503,0.18085387,0.02671203,0.78469193,0.47411507,0.99852884,0.70227456,0.9961008,0.8998481,0.15717399,0.9204116,0.88380146,0.9111403,0.70362914,0.5615251,0.5883083,0.56115323,0.022545755,0.007011533,0.25085586,0.012497574,0.7996924,0.8822011,0.15576294,0.9775068,0.942839,0.7603401
8,0.026737481,0.40683585,0.9995898,0.10040411,0.15674871,0.9840889,0.79711586,0.77326477,0.09584662,0.7338153,0.98801327,0.15951908,0.9970293,0.2587021,0.0004272461,0.6785595,0.015966535,0.4788231,0.15817139,0.025879562,0.5526129,0.12618348,0.8892219,0.99999976,0.98555887,0.9724134,0.73341066,0.5644776,0.87694913,0.07585502,0.2676803,0.32607007,0.1575189,0.6393837,0.75563097,0.28031665,0.96611905,0.00897634,0.94330585,0.9983002,0.77894044,0.046346337,0.99996996,0.010044694,0.13879523,0.44335693,0.99452895,0.06835255,0.0030328333,0.76776814,0.582283,0.2616822,0.6112934,0.8025348,0.7931757,0.014838636,0.9473189,0.9231347,0.86240214,0.12560561,0.9995873,0.11959332,0.7961775,0.4389248,0.9995787,0.13775146,0.1919218,0.97809744,6.264448e-05,0.28626674,0.51274693,0.323354,0.86515427,0.3646411,0.0010643303,0.15945524,0.82457316,0.42686325,0.0072441697,0.79452765,0.99201685,0.35149336,0.16216427,0.85666263,1.0,0.85368013,0.80074525,0.18014526,0.95606047,0.15093562,0.25811264,0.10112849,0.1664339,0.987473,0.18468368,0.9318991,0.07284024,0.9258115,0.46677983,0.97020674
9,0.97450197,0.67168283,0.998145,0.98613316,0.068831205,0.87400913,0.40102482,0.64796525,0.92866945,0.077893436,0.8253845,0.30168957,0.99999976,0.31615487,0.6532198,0.20165485,0.75647306,0.9356648,0.42160064,0.11007762,0.15217856,0.9978194,0.9939892,0.9997119,0.37279218,0.5056612,0.6227627,0.7833301,0.9585067,0.78572387,0.29711324,0.00014206767,0.0056239963,0.34026238,0.9287249,0.274615,0.74949336,0.72960615,0.8242403,0.91147244,0.9839376,0.20037737,0.17186335,0.7665038,0.03288722,0.8597465,0.99892384,0.099393904,0.0025070906,0.90438485,0.026327193,0.8497232,0.9026651,0.050169855,0.91711867,0.04751891,0.9022981,0.9065048,0.84723026,0.71462303,0.2360886,0.11873177,0.13451272,0.51101375,0.70127785,0.9838178,0.7912866,0.9327301,0.029855698,0.31973618,0.6422374,0.7068262,0.4353066,0.07888734,0.018002003,0.17121542,0.39972693,0.75401556,0.96953297,0.5526465,0.34212822,0.43062735,0.14341944,0.674242,1.0,0.28126252,0.47314587,0.5308985,0.8771945,0.6545937,0.19411466,0.2657769,0.17247877,0.69195235,0.15905812,0.980021,0.012988329,0.9730834,0.8762033,0.7938796
