Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
0,7.65659761428833,7.768077611923218,8.281569957733154,8.31557035446167,8.343234062194824,8.38129448890686,8.373163938522339,8.36311936378479,8.264005899429321,8.270258903503418,8.23109221458435,8.124781131744385,2440.409290075302
1,8.091461658477783,7.494591951370239,7.746307134628296,7.835477113723755,7.864598989486694,7.9098920822143555,7.94639778137207,7.961959600448608,7.969829797744751,7.975243091583252,7.927155017852783,7.927294015884399,2298.3262028694153
2,8.412870168685913,8.508481979370117,8.725463151931763,8.822149991989136,8.8640775680542,8.856016159057617,8.843093395233154,8.839346647262573,8.802719354629517,8.70014476776123,8.621450424194336,8.47109341621399,2485.967289209366
3,7.788801431655884,7.878366708755493,8.060166120529175,8.130517721176147,8.193324089050293,8.19889783859253,8.091764211654663,8.091920614242554,7.940449953079224,7.974191665649414,7.861036062240601,7.84868860244751,2478.1060585975647
4,7.396162509918213,7.612980604171753,7.825220346450806,7.897909164428711,7.970592021942139,7.954522132873535,7.985701084136963,7.977618455886841,7.9780237674713135,7.972642183303833,7.969317436218262,7.956961393356323,2487.056444644928
5,7.738672733306885,7.983102798461914,8.221968412399292,8.329535245895386,8.373081684112549,8.362250804901123,8.362768650054932,8.361538648605347,8.353034257888794,8.322269201278687,8.295721530914307,8.18992567062378,2485.275156021118
6,8.229315042495728,7.825673580169678,7.831969261169434,7.8850226402282715,7.900896787643433,7.909522533416748,7.929574251174927,7.932856798171997,7.945796251296997,8.229660987854004,8.035024881362915,8.030704975128174,2304.0484852790833
7,8.454418182373047,7.889741659164429,8.108894348144531,8.104479551315308,8.097462892532349,8.099130630493164,8.347949504852295,8.065941095352173,8.084133386611938,8.069337844848633,8.049348831176758,8.065853118896484,2365.2255022525787
8,7.815005540847778,8.131678342819214,8.389978170394897,8.420578241348267,8.502797603607178,8.482312679290771,8.480380535125732,8.461291074752808,8.466859579086304,8.456793069839478,8.394195318222046,8.305446147918701,2458.7543110847473
9,7.808067083358765,8.03856372833252,8.260676383972168,8.31305980682373,8.369404315948486,8.357753992080688,8.335215330123901,8.322345495223999,8.320918321609497,8.339427947998047,8.268796682357788,8.198164224624634,2462.673749923706
10,8.338486909866333,7.839491128921509,8.072973489761353,8.114778757095337,8.083731651306152,8.111953735351562,8.11133098602295,8.113171339035034,8.07470965385437,8.067775011062622,8.04931092262268,8.002641916275024,2366.7521317005157
11,7.775134801864624,7.937590837478638,8.145642757415771,8.22081184387207,8.255252122879028,8.277135848999023,8.168416261672974,8.166887044906616,8.08411693572998,8.042015314102173,7.949596166610718,7.911418437957764,2476.5174646377563
12,7.988688707351685,8.075112342834473,8.339733123779297,8.413583993911743,8.449138164520264,8.453854084014893,8.470332622528076,8.451730489730835,8.413873434066772,8.37058138847351,8.316379308700562,8.112245321273804,2488.3161635398865
13,8.65755820274353,8.100465536117554,8.2705819606781,8.299099922180176,8.347557306289673,8.344401359558105,8.288184642791748,9.170162677764893,8.260753870010376,8.296738386154175,8.269304275512695,8.23598837852478,2355.2533555030823
14,7.912511825561523,8.196757078170776,8.43668246269226,8.501766443252563,8.572726726531982,8.599056959152222,8.60385012626648,8.58704662322998,8.59071660041809,8.584996938705444,8.599053382873535,8.436149597167969,2487.602522134781
15,7.623134613037109,7.9126036167144775,8.192216873168945,8.253488063812256,8.27068018913269,8.295382261276245,8.30402421951294,8.285919427871704,8.312401533126831,8.275976657867432,8.22440505027771,8.200361251831055,2482.5625636577606
16,7.664043188095093,7.9276440143585205,8.181439638137817,8.235659837722778,8.264596223831177,8.280367612838745,8.25074315071106,8.176647186279297,8.139884233474731,8.06701946258545,8.024416208267212,7.966267108917236,2471.415987968445
