Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[108.0],[76.0],[202.0],[220.0],[184.0],[140.0],[87.0],[97.0],[53.0],[71.0],[220.0],[220.0],[198.0],[198.0],[68.0],[55.0],[31.0],[222.0],[206.0],[206.0],[198.0],[121.0],[220.0],[202.0],[220.0],[121.0],[220.0],[104.0],[61.0],[67.0],[105.0],[32.0],[220.0],[126.0],[53.0],[220.0],[145.0],[220.0],[238.0],[220.0],[119.0],[87.0],[31.0],[137.0],[8.0],[220.0],[76.0],[31.0],[185.0],[202.0],[27.0],[137.0],[119.0],[220.0],[199.0],[238.0],[198.0],[185.0],[198.0],[31.0],[58.0],[220.0],[67.0],[184.0],[126.0],[92.0],[121.0],[79.0],[185.0],[220.0],[199.0],[7.0],[137.0],[31.0],[238.0],[220.0],[137.0],[88.0],[126.0],[238.0],[121.0],[220.0],[238.0],[104.0],[185.0],[197.0],[111.0],[198.0],[77.0],[58.0],[122.0],[87.0],[220.0],[159.0],[220.0],[220.0],[162.0],[7.0],[29.0],[61.0]
1,[220.0],[31.0],[89.0],[198.0],[76.0],[58.0],[121.0],[220.0],[220.0],[220.0],[105.0],[108.0],[220.0],[53.0],[220.0],[220.0],[121.0],[184.0],[220.0],[232.0],[7.0],[20.0],[197.0],[184.0],[199.0],[220.0],[76.0],[220.0],[67.0],[232.0],[134.0],[29.0],[198.0],[153.0],[198.0],[53.0],[76.0],[217.0],[138.0],[31.0],[199.0],[220.0],[184.0],[214.0],[220.0],[94.0],[238.0],[137.0],[220.0],[220.0],[108.0],[58.0],[220.0],[214.0],[121.0],[220.0],[184.0],[220.0],[4.0],[58.0],[222.0],[238.0],[121.0],[61.0],[220.0],[220.0],[220.0],[31.0],[35.0],[122.0],[220.0],[87.0],[220.0],[68.0],[81.0],[53.0],[220.0],[97.0],[202.0],[198.0],[199.0],[153.0],[7.0],[220.0],[220.0],[198.0],[29.0],[7.0],[220.0],[4.0],[108.0],[220.0],[31.0],[220.0],[97.0],[58.0],[238.0],[111.0],[232.0],[220.0]
2,[83.0],[220.0],[220.0],[206.0],[220.0],[238.0],[220.0],[122.0],[76.0],[29.0],[222.0],[31.0],[153.0],[220.0],[104.0],[199.0],[108.0],[220.0],[199.0],[220.0],[220.0],[58.0],[31.0],[220.0],[61.0],[71.0],[199.0],[137.0],[220.0],[121.0],[220.0],[220.0],[222.0],[220.0],[105.0],[31.0],[220.0],[100.0],[220.0],[68.0],[122.0],[137.0],[199.0],[220.0],[76.0],[137.0],[220.0],[104.0],[7.0],[217.0],[232.0],[220.0],[184.0],[14.0],[220.0],[27.0],[220.0],[119.0],[220.0],[199.0],[184.0],[7.0],[7.0],[220.0],[97.0],[97.0],[76.0],[220.0],[220.0],[238.0],[128.0],[220.0],[122.0],[220.0],[121.0],[121.0],[27.0],[20.0],[199.0],[68.0],[220.0],[197.0],[220.0],[122.0],[97.0],[185.0],[61.0],[220.0],[61.0],[220.0],[220.0],[202.0],[121.0],[97.0],[105.0],[18.0],[222.0],[58.0],[220.0],[166.0]
3,[61.0],[97.0],[97.0],[14.0],[127.0],[220.0],[61.0],[185.0],[121.0],[31.0],[14.0],[97.0],[199.0],[20.0],[199.0],[122.0],[97.0],[122.0],[121.0],[222.0],[121.0],[127.0],[184.0],[31.0],[202.0],[119.0],[121.0],[206.0],[4.0],[220.0],[121.0],[185.0],[29.0],[199.0],[220.0],[202.0],[121.0],[202.0],[122.0],[112.0],[220.0],[124.0],[137.0],[126.0],[134.0],[121.0],[126.0],[130.0],[108.0],[6.0],[137.0],[76.0],[238.0],[31.0],[76.0],[45.0],[185.0],[97.0],[20.0],[79.0],[220.0],[202.0],[238.0],[222.0],[140.0],[105.0],[137.0],[238.0],[104.0],[137.0],[53.0],[140.0],[98.0],[137.0],[134.0],[31.0],[58.0],[137.0],[32.0],[220.0],[128.0],[185.0],[45.0],[238.0],[232.0],[220.0],[220.0],[137.0],[137.0],[222.0],[202.0],[137.0],[192.0],[121.0],[58.0],[202.0],[220.0],[137.0],[31.0],[108.0]
4,[238.0],[53.0],[128.0],[76.0],[137.0],[98.0],[198.0],[31.0],[7.0],[99.0],[233.0],[137.0],[29.0],[61.0],[67.0],[61.0],[214.0],[7.0],[222.0],[61.0],[233.0],[76.0],[238.0],[198.0],[184.0],[150.0],[31.0],[238.0],[32.0],[27.0],[238.0],[125.0],[65.0],[61.0],[121.0],[97.0],[15.0],[122.0],[137.0],[137.0],[184.0],[104.0],[202.0],[97.0],[122.0],[61.0],[61.0],[169.0],[137.0],[105.0],[121.0],[140.0],[199.0],[68.0],[133.0],[202.0],[94.0],[153.0],[128.0],[32.0],[199.0],[67.0],[220.0],[229.0],[137.0],[122.0],[104.0],[162.0],[153.0],[185.0],[198.0],[202.0],[185.0],[97.0],[220.0],[61.0],[199.0],[61.0],[220.0],[199.0],[108.0],[97.0],[76.0],[115.0],[197.0],[238.0],[76.0],[76.0],[32.0],[61.0],[136.0],[122.0],[97.0],[94.0],[94.0],[153.0],[126.0],[220.0],[137.0],[4.0]
5,[58.0],[128.0],[137.0],[199.0],[97.0],[136.0],[108.0],[184.0],[196.0],[166.0],[31.0],[61.0],[61.0],[214.0],[162.0],[184.0],[220.0],[20.0],[198.0],[198.0],[137.0],[199.0],[20.0],[122.0],[137.0],[140.0],[137.0],[199.0],[58.0],[137.0],[7.0],[97.0],[122.0],[198.0],[20.0],[198.0],[71.0],[137.0],[108.0],[122.0],[76.0],[169.0],[220.0],[122.0],[137.0],[238.0],[108.0],[121.0],[199.0],[126.0],[220.0],[61.0],[137.0],[137.0],[104.0],[122.0],[61.0],[162.0],[61.0],[198.0],[198.0],[108.0],[227.0],[137.0],[153.0],[157.0],[184.0],[58.0],[94.0],[199.0],[202.0],[198.0],[108.0],[153.0],[137.0],[14.0],[76.0],[220.0],[119.0],[14.0],[61.0],[67.0],[58.0],[94.0],[214.0],[67.0],[137.0],[202.0],[238.0],[137.0],[238.0],[100.0],[197.0],[137.0],[8.0],[105.0],[184.0],[108.0],[238.0],[140.0]
6,[137.0],[111.0],[199.0],[53.0],[61.0],[122.0],[89.0],[94.0],[31.0],[238.0],[137.0],[121.0],[76.0],[197.0],[89.0],[58.0],[111.0],[31.0],[68.0],[31.0],[31.0],[220.0],[105.0],[126.0],[67.0],[14.0],[238.0],[185.0],[199.0],[199.0],[111.0],[137.0],[61.0],[184.0],[137.0],[197.0],[126.0],[199.0],[229.0],[238.0],[137.0],[128.0],[128.0],[153.0],[31.0],[199.0],[58.0],[199.0],[166.0],[137.0],[122.0],[108.0],[202.0],[121.0],[89.0],[94.0],[7.0],[216.0],[122.0],[98.0],[4.0],[199.0],[61.0],[126.0],[122.0],[198.0],[238.0],[199.0],[238.0],[222.0],[126.0],[138.0],[105.0],[122.0],[199.0],[199.0],[108.0],[58.0],[61.0],[61.0],[76.0],[58.0],[108.0],[7.0],[122.0],[61.0],[100.0],[4.0],[126.0],[67.0],[61.0],[94.0],[20.0],[76.0],[184.0],[238.0],[72.0],[61.0],[199.0],[122.0]
7,[122.0],[61.0],[122.0],[71.0],[45.0],[7.0],[199.0],[238.0],[238.0],[199.0],[67.0],[199.0],[122.0],[238.0],[121.0],[137.0],[199.0],[137.0],[61.0],[122.0],[238.0],[7.0],[199.0],[68.0],[122.0],[61.0],[94.0],[122.0],[198.0],[222.0],[199.0],[105.0],[7.0],[137.0],[144.0],[105.0],[198.0],[94.0],[7.0],[206.0],[121.0],[122.0],[126.0],[67.0],[140.0],[128.0],[121.0],[108.0],[27.0],[153.0],[199.0],[199.0],[122.0],[199.0],[67.0],[137.0],[162.0],[58.0],[169.0],[27.0],[185.0],[61.0],[108.0],[199.0],[184.0],[121.0],[98.0],[121.0],[81.0],[67.0],[119.0],[58.0],[126.0],[61.0],[27.0],[238.0],[124.0],[122.0],[198.0],[31.0],[58.0],[137.0],[61.0],[111.0],[108.0],[184.0],[202.0],[122.0],[27.0],[202.0],[58.0],[31.0],[184.0],[184.0],[111.0],[67.0],[121.0],[67.0],[108.0],[185.0]
8,[31.0],[108.0],[71.0],[137.0],[199.0],[162.0],[105.0],[105.0],[105.0],[137.0],[238.0],[68.0],[126.0],[31.0],[137.0],[4.0],[61.0],[238.0],[137.0],[119.0],[206.0],[126.0],[137.0],[94.0],[58.0],[184.0],[4.0],[61.0],[222.0],[126.0],[118.0],[108.0],[137.0],[122.0],[140.0],[7.0],[128.0],[105.0],[196.0],[7.0],[58.0],[7.0],[67.0],[7.0],[58.0],[111.0],[199.0],[125.0],[238.0],[67.0],[184.0],[121.0],[105.0],[125.0],[122.0],[184.0],[137.0],[111.0],[202.0],[220.0],[137.0],[111.0],[20.0],[32.0],[199.0],[222.0],[196.0],[7.0],[137.0],[184.0],[238.0],[137.0],[184.0],[199.0],[126.0],[206.0],[202.0],[76.0],[121.0],[7.0],[137.0],[32.0],[137.0],[222.0],[31.0],[137.0],[166.0],[58.0],[185.0],[122.0],[111.0],[105.0],[61.0],[61.0],[238.0],[108.0],[100.0],[122.0],[61.0],[89.0]
9,[67.0],[206.0],[29.0],[121.0],[128.0],[67.0],[67.0],[111.0],[108.0],[61.0],[58.0],[89.0],[108.0],[58.0],[122.0],[31.0],[128.0],[67.0],[77.0],[137.0],[111.0],[238.0],[58.0],[61.0],[198.0],[76.0],[122.0],[67.0],[122.0],[162.0],[126.0],[238.0],[67.0],[67.0],[76.0],[61.0],[199.0],[108.0],[61.0],[111.0],[108.0],[121.0],[122.0],[198.0],[153.0],[7.0],[67.0],[70.0],[76.0],[76.0],[61.0],[77.0],[108.0],[184.0],[61.0],[32.0],[124.0],[199.0],[31.0],[202.0],[238.0],[31.0],[185.0],[202.0],[238.0],[184.0],[32.0],[122.0],[122.0],[31.0],[58.0],[20.0],[199.0],[58.0],[58.0],[111.0],[67.0],[108.0],[105.0],[137.0],[7.0],[61.0],[121.0],[199.0],[202.0],[31.0],[199.0],[238.0],[122.0],[199.0],[67.0],[76.0],[126.0],[108.0],[31.0],[111.0],[137.0],[128.0],[32.0],[31.0]
