Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,0.8947796,0.9868436,0.68044025,0.273246,0.34750235,0.78171694,0.81353515,0.69741774,0.716877,0.61584854,0.7263534,0.9065017,0.5076357,0.15612349,0.329081,0.62633115,0.18432692,0.7416712,0.9426764,0.7355957,0.97683185,0.7602721,0.09988439,0.5961124,0.8955982,0.8469627,0.46169034,0.059286267,0.8214741,0.11180413,0.34573877,0.24852502,0.058077484,0.5208664,0.852343,0.33602804,0.05889806,0.8855107,0.913122,0.9209667,0.016334713,0.98574793,0.96039605,0.99582195,0.559863,0.49425608,0.3292873,0.13917422,0.21718824,0.6818395,0.02724117,0.99645054,0.16988909,0.2543892,0.5349946,0.0038395524,0.8392964,0.5781127,0.43115363,0.5766529,0.018560141,0.71341735,0.60909635,0.062203616,0.6889974,0.5053058,0.15486664,0.22761887,0.8546983,0.10947728,0.512095,0.057870656,0.6170862,0.31872216,0.53634536,0.59708357,0.7416216,0.020355374,0.08556014,0.1353342,0.1016351,0.075258076,0.9153727,0.9530816,3.9428473e-05,0.31290537,0.13949409,0.33857384,0.16116169,0.9929828,0.9948679,0.5015302,0.8947544,0.03044954,0.83499956,0.6683351,0.14629975,0.3285516,0.58037376,0.99714255
1,0.99964845,0.010702819,0.3702249,0.7810146,0.65140843,0.9845785,0.09348479,0.58059144,0.69369256,0.7274343,0.8624141,0.99825835,0.9285445,0.4598757,0.26377377,0.08526316,0.68426657,0.7831647,0.49351448,0.22193855,0.93111074,0.18015507,0.07672003,0.9409789,0.18497112,0.56350607,0.7218344,0.9551904,0.49706972,0.30189672,0.6086756,0.2691182,0.34097612,0.9310721,0.4509263,0.43644816,0.48406193,0.91487765,0.27018267,0.9546412,0.77264774,0.9563463,0.30688488,0.75492835,0.39566812,0.9501579,0.14832044,0.74398965,0.37106848,0.39543113,0.009732008,0.944519,0.25480554,0.9833623,0.11546004,0.9887397,0.96645725,0.4541038,0.25632972,0.8354205,0.25341707,0.6463943,0.21667868,0.13754335,0.9828214,0.28610265,0.68407387,0.053272933,0.91881514,0.6824273,0.012031198,0.7548487,0.6185802,0.38745221,0.8816192,0.05431968,0.14624086,0.6798873,0.048383594,0.23398405,0.48400557,0.94644445,0.46347246,0.3736318,0.9992256,0.92389417,0.6410287,0.9238463,0.47035956,0.0060245395,0.8767371,0.63080066,0.42791697,0.86222446,0.22517917,0.06518155,0.3898148,0.94813204,0.3124064,0.98858917
2,0.15595526,0.46115288,0.10334334,0.97945255,0.9756755,0.4234627,0.2294406,0.89096093,0.0664247,0.21616456,0.9351691,0.94231856,0.63792205,0.10902566,0.20778951,0.044620514,0.7822637,0.83261573,0.084908575,0.2956409,0.3178957,0.63718426,0.029531956,0.21000513,0.2784214,0.9688546,0.3772053,0.043275,0.7987515,0.07474628,0.7227094,0.34856206,0.19175622,0.8660666,0.8902134,0.41598013,0.03601727,0.875087,0.6003364,0.32640105,0.72994363,0.91528463,0.33077064,0.68704045,0.7879221,0.73100346,0.9054246,0.0012426078,0.8107684,0.8803698,0.06449801,0.35024232,0.6267195,0.009426564,0.58354825,0.9605262,0.42194045,0.114929676,0.4685204,0.2932926,0.35942286,0.52469796,0.998744,0.89798224,0.60636985,0.54564095,0.031724513,0.013834983,0.91945386,0.8524432,0.9955486,0.36281803,0.19549888,0.743453,0.15341157,0.5423259,0.13043413,0.8194531,0.9802531,0.08126041,0.94006294,0.13329205,0.048309743,0.20873317,0.58377564,0.42138684,0.97312665,0.9382763,0.25765416,0.49092704,0.9552244,0.9528438,0.3625071,0.46725938,0.7624488,0.98515743,0.011764854,0.29218587,0.7852289,0.82406646
3,0.899222,0.9843905,0.59236217,0.70285255,0.4109422,0.13489166,0.2619375,0.48164135,0.99606544,0.29531538,0.6039888,0.9742944,0.76396686,0.37202042,0.8054707,0.4278535,0.8266984,0.18645138,0.9629475,0.60100466,0.9789282,0.71804976,0.09122747,0.68814737,0.72381824,0.51973885,0.15669751,0.7598581,0.3301798,0.86477673,0.9438952,0.23797747,0.1927953,0.9542765,0.8984493,0.37340122,0.020457894,0.53660345,0.65401274,0.97779465,0.06442785,0.86231613,0.8187673,0.94863474,0.18655443,0.97688925,0.31599498,0.99839705,0.39239085,0.5037795,0.12951967,0.58239514,0.32915652,0.82332236,0.7488487,0.7636055,0.78068924,0.12707981,0.17915818,0.22084984,0.8458996,0.10178006,0.72418416,0.8324623,0.8428859,0.7549193,0.7788311,0.9260367,0.9310661,0.5294619,0.93167865,0.73023534,0.6205483,0.012154937,0.7811416,0.028544247,0.2843753,0.47263175,0.75090456,0.042444468,0.94201773,0.60834205,0.702391,0.37911648,0.010798991,0.8779913,0.75307584,0.04238689,0.020719826,0.79717124,0.23978856,0.19431189,0.358257,0.35967028,0.27991802,0.5755459,0.26641622,0.020289332,0.23337439,0.050166726
4,0.15449268,0.97620606,0.6729488,0.087883174,0.78403157,0.44449034,0.8990989,0.44076633,0.91561085,0.07491106,0.69972837,0.030605793,0.908451,0.32741344,0.34998184,0.5142194,0.18028286,0.97239816,0.40527838,0.52217585,0.9975276,0.0222058,0.20465147,0.1797764,0.7308671,0.8579173,0.6377807,0.99440527,0.5444465,0.61877483,0.55098075,0.1713466,0.42531592,0.31697154,0.4608371,0.5589273,0.081103265,0.6542276,0.9496678,0.16310683,0.97805905,0.9102099,0.9032631,0.85040796,0.118626356,0.42809272,0.99629956,0.017003894,0.22723758,0.30922222,0.041861057,0.74001354,0.022899061,0.9903014,0.26774833,0.10691491,0.9339571,0.4922337,0.04870957,0.2197845,0.28547698,0.37430927,0.387828,0.66388875,0.010439247,0.28652555,0.9046879,0.1466457,0.5808006,0.9576791,0.029301643,0.97582465,0.23846388,0.5688964,0.7343808,0.19245344,0.9390791,0.9532682,0.8693937,0.9875245,0.92842185,0.5485948,0.99240077,0.49703,7.2717667e-06,0.066639096,0.10917595,0.307989,0.007753879,0.9757316,0.9409066,0.41297594,0.30535567,0.08244753,0.44500726,0.90661013,0.3048977,0.08265293,0.18289009,0.000307858
5,0.0018917918,0.12945023,0.49304813,0.28552336,0.10282272,0.022767723,0.27755368,0.60476094,0.37372696,0.0014660656,0.5316053,0.11593822,0.10208672,0.5414434,0.7289541,0.10581058,0.9691808,0.17516056,0.08024144,0.121156305,0.55108094,0.07957655,0.13674656,0.98256576,0.21767965,0.48592344,0.70353234,0.88702977,0.67273337,0.44152442,0.032517105,0.6040839,0.20730665,0.22858688,0.6066654,0.3626979,0.60833174,0.1568779,0.19348586,0.5291853,0.5705168,0.82123554,0.07126874,0.47715992,0.9252565,0.98135716,0.052796185,0.96433496,0.18442693,0.5059696,0.24854982,0.96452,0.33763894,0.035187393,0.88769805,0.7989062,0.14270622,0.5038885,0.7752004,0.049190015,0.4793834,0.15071893,0.69358444,0.5975363,0.37295395,0.20984289,0.25855032,0.94147754,0.7694322,0.15408367,0.19934008,0.11287889,0.8055465,0.7926044,0.7389284,0.5040678,0.50696915,0.10825819,0.33257583,0.011629671,0.56531405,0.0058664978,0.333426,0.15416938,0.9996834,0.0060008466,0.34492034,0.43365452,0.15592688,0.76626825,0.054366767,0.81671953,0.045523047,0.25866103,0.90907854,0.018859297,0.6588867,0.13738284,0.45614746,0.27694905
6,0.21973446,0.70403546,0.77386636,0.7350343,0.6332471,0.11385703,0.3194952,0.48507842,0.08572549,0.18551472,0.6728039,0.26324102,0.6455802,0.4631839,0.5680954,0.28777605,0.5706656,0.38440752,0.4236786,0.13505134,0.58860546,0.053749055,0.14568031,0.726226,0.60221654,0.021279871,0.60430276,0.049190104,0.8776368,0.15641448,0.38587832,0.83755636,0.47345614,0.47335806,0.7582177,0.27932513,0.514955,0.8813137,0.23957738,0.26094967,0.0756917,0.97321343,0.316342,0.85114837,0.3872311,0.9974603,0.81221503,0.8087783,0.8180704,0.45284653,0.3530566,0.9439556,0.1719979,0.7451213,0.3239793,0.15793917,0.95853853,0.69648695,0.83852047,0.12904027,0.25443414,0.06376004,0.8530431,0.19926983,0.051320285,0.32120496,0.20294508,0.9851866,0.9745559,0.7548505,0.965994,0.5150232,0.5075753,0.82207763,0.98182213,0.9787986,0.4326311,0.1284692,0.11484891,0.8829634,0.018082708,0.21143353,0.8308529,0.49505866,0.9999964,0.83320946,0.9510561,0.43063745,0.04754746,0.5508681,0.50354624,0.9352509,0.39409268,0.0433622,0.6249088,0.7578482,0.8597593,0.034686327,0.6404173,0.020717114
7,0.03603998,0.9854275,0.66890705,0.8072156,0.047201633,0.90753454,0.8613744,0.57332516,0.96018183,0.14448369,0.98043597,0.9941544,0.99807936,0.88288057,0.23239985,0.05635333,0.8556309,0.31553456,0.02255547,0.34521377,0.9566105,0.5796534,0.38059795,0.8013393,0.27733183,0.26617616,0.5183568,0.7923155,0.13718036,0.7649729,0.985167,0.40619028,0.18981788,0.9336206,0.33932915,0.0053019524,0.6068514,0.49543455,0.6633252,0.99291444,0.99571633,0.9247478,0.7710002,0.7383942,0.19649759,0.9915843,0.4778741,0.022503912,0.24386129,0.60697675,0.49491563,0.9493341,0.02640751,0.27376175,0.14771152,0.0034964383,0.9961827,0.20047498,0.62630856,0.15564352,0.33132118,0.9566226,0.8964466,0.46967092,0.0256401,0.38806546,0.07696572,0.013399392,0.8576231,0.5630499,0.2068091,0.5920075,0.6075232,0.6553256,0.22262979,0.97780347,0.978209,0.22265965,0.17161208,0.91703886,0.014394164,0.86620355,0.9649582,0.4042352,0.012424648,0.19748881,0.9280224,0.6038042,0.9603679,0.16644356,0.9880965,0.5435584,0.5567356,0.032016605,0.64026505,0.9981538,0.4311769,0.14292574,0.37161332,0.0014556944
8,0.70220095,0.021948576,0.9602725,0.6237796,0.15127608,0.39672533,0.81979704,0.26919162,0.6847496,0.18022567,0.5957803,0.99849117,0.024885207,0.80375767,0.7918985,0.9681271,0.6107156,0.8809268,0.4368876,0.07154882,0.7319302,0.16789117,0.70904416,0.15493873,0.4012565,0.26024246,0.5705652,0.11353424,0.71528804,0.7447056,0.6660156,0.17929035,0.43304342,0.1650368,0.33910385,0.0097029805,0.041542113,0.9774437,0.8073802,0.23290843,0.0010583699,0.5040283,0.9189805,0.95352006,0.5445429,0.99909234,0.04274389,0.26722026,0.28105542,0.76536024,0.11138758,0.31001258,0.39829612,0.9974543,0.9500655,0.056443423,0.8134967,0.3260211,0.94380456,0.13440672,0.053847402,0.9822509,0.49997246,0.564781,0.39547247,0.76574755,0.020026177,0.3491032,0.8785975,0.5347346,0.15816048,0.40875658,0.6452853,0.7530073,0.46793437,0.7707662,0.535503,0.8968395,0.41267422,0.6411786,0.1947701,0.048435092,0.78571266,0.207495,0.997168,0.9793594,0.34853008,0.7542913,0.68447554,0.32808673,0.8356546,0.99652183,0.09561023,0.6149627,0.094189435,0.0005171299,0.10306004,0.1433211,0.7114669,0.32855076
9,0.9153507,0.869357,0.5962567,0.31316596,0.9675125,0.18657276,0.05574,0.36109465,0.081193954,0.5371122,0.7129946,0.9817221,0.71135306,0.7354419,0.52095044,0.21573108,0.68570554,0.47595316,0.86869943,0.6241792,0.8987044,0.17269018,0.29764706,0.768696,0.73070174,0.7797185,0.8840717,0.035784513,0.8322932,0.0793632,0.19712657,0.596885,0.07679537,0.91770333,0.65752804,0.9209733,0.07287219,0.6328112,0.20333269,0.6534567,0.112932235,0.6457276,0.7971363,0.9307779,0.81893706,0.7056785,0.17816138,0.60793406,0.25818634,0.61245304,0.103370756,0.9131949,0.055292517,0.90641415,0.8936635,0.494054,0.7815528,0.93286717,0.87541616,0.3040671,0.61388665,0.4571239,0.9440672,0.70887876,0.003023833,0.69209313,0.10557908,0.058059037,0.046362698,0.3255754,0.0026257038,0.69519717,0.25936222,0.7928214,0.6476975,0.9632976,0.8832279,0.071027845,0.7825554,0.824476,0.9934511,0.68895876,0.20961788,0.40419817,0.034511834,0.005685419,0.027268142,0.2599237,0.7533183,0.81373,0.9359866,0.9997659,0.14080593,0.5311946,0.9668137,0.20619294,0.59076834,0.28239667,0.18317398,0.9991568
