Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
0,25.491985082626343,26.666101932525635,27.3450129032135,30.440674304962158,34.81806564331055,34.83224272727966,35.13706994056702,34.86860466003418,34.847466468811035,34.94710373878479,34.92175316810608,34.76998782157898,304.6624279022217,39.19660711288452
1,25.323493719100952,27.208969593048096,28.175119638442993,31.391844749450684,36.380677938461304,36.680076122283936,36.76084589958191,36.48607420921326,36.36698007583618,36.3454315662384,36.26143145561218,35.41213035583496,500.1255843639374,37.98577523231506
2,25.510335683822632,26.98887586593628,28.363686084747314,31.59140110015869,36.10638737678528,36.15372085571289,36.16913604736328,36.15711998939514,36.13869071006775,36.20802021026611,36.08546280860901,33.56269145011902,588.8113906383514,37.46409726142883
3,26.469170331954956,27.657297134399414,30.41283345222473,31.64453625679016,36.06375813484192,36.06152009963989,36.03980731964111,36.070202589035034,35.98707985877991,36.12006902694702,36.133909940719604,34.35110926628113,295.0187876224518,40.59124255180359
4,25.15253210067749,26.989356994628906,28.01086735725403,31.259843587875366,36.22060203552246,36.44458270072937,36.39181661605835,37.10247182846069,36.127299070358276,36.10364127159119,35.9579176902771,35.25403690338135,502.77086758613586,37.617828369140625
5,24.262945413589478,26.41449499130249,27.335614919662476,30.298755884170532,35.269837617874146,35.578099966049194,35.64545297622681,35.68192434310913,35.6307909488678,35.62099528312683,35.645732164382935,35.38798499107361,533.9494669437408,37.74232077598572
6,25.969642162322998,27.846485137939453,28.680691242218018,31.825666427612305,36.80590891838074,36.82915139198303,36.735511302948,36.730119943618774,36.8808274269104,37.142943382263184,37.24692630767822,36.74922513961792,335.88076663017273,39.5784330368042
7,25.978899717330933,27.861220598220825,28.687097787857056,31.856507301330566,36.983917474746704,36.983874797821045,36.90759897232056,36.946375131607056,37.06848955154419,37.30226683616638,37.37532949447632,36.63943338394165,335.57169795036316,39.6032133102417
8,25.142789125442505,27.4795925617218,28.464393615722656,31.685558557510376,36.59817862510681,36.733989000320435,36.67841029167175,38.959012269973755,36.31812524795532,36.27131915092468,36.12639141082764,35.33975696563721,498.84840154647827,37.92157530784607
9,25.669516563415527,27.11604642868042,28.131341457366943,31.007333278656006,35.94800424575806,36.11260223388672,36.06243371963501,35.94540047645569,35.83723282814026,35.81298089027405,35.76680636405945,35.1403603553772,494.3386631011963,38.425281286239624
10,25.370553016662598,27.254772901535034,28.28843331336975,31.562047243118286,36.46107792854309,36.71668553352356,36.65846109390259,36.49513554573059,36.45774507522583,36.41021466255188,36.24874472618103,35.282004833221436,503.7376368045807,37.52048087120056
11,25.508368015289307,26.902920246124268,27.50611424446106,30.599894285202026,35.079078674316406,35.1030478477478,35.147730588912964,35.12906050682068,35.08950090408325,35.179034948349,35.19979739189148,35.07589650154114,306.07151532173157,39.49413442611694
12,25.525847911834717,27.09898614883423,28.05184555053711,31.150225400924683,36.259159088134766,36.25139856338501,36.114975690841675,36.31544876098633,36.40439963340759,36.3365204334259,36.3072714805603,35.40153980255127,483.16164541244507,38.91284799575806
13,25.88681387901306,27.724005699157715,28.53317356109619,31.68048620223999,36.69860792160034,36.70676016807556,36.678446531295776,36.67206621170044,36.785593032836914,37.02480173110962,37.113165855407715,36.613250494003296,336.7605257034302,39.398736238479614
14,25.927295446395874,27.545280694961548,28.545023918151855,31.609519004821777,36.66769289970398,36.75314688682556,36.701457500457764,36.83557987213135,36.76627254486084,36.8457293510437,36.86074471473694,35.0974485874176,479.5631935596466,39.513432264328
15,25.434762954711914,27.444535970687866,28.254260063171387,31.338962078094482,36.456785917282104,36.431278705596924,36.456910133361816,36.45614504814148,36.542877435684204,36.79526972770691,36.87901210784912,36.83010458946228,325.9420909881592,39.81181359291077
16,24.48174285888672,26.543809413909912,27.53264355659485,32.306885719299316,35.57321333885193,35.838013648986816,35.89777731895447,35.72420525550842,35.71119022369385,35.637815713882446,35.577605962753296,35.26396346092224,398.9041051864624,36.35965037345886
17,25.988325595855713,27.86128258705139,28.675389766693115,31.861230611801147,36.88671803474426,36.92042517662048,36.88036370277405,36.87541365623474,37.024492025375366,37.279457092285156,37.315919637680054,36.58203482627869,335.567670583725,39.55689883232117
18,25.87037706375122,27.728922843933105,28.827231407165527,32.12171292304993,37.05879616737366,37.216307401657104,37.29091453552246,37.03729748725891,36.955000162124634,36.9317364692688,37.370444536209106,35.04037070274353,503.4982702732086,38.340511322021484
19,24.03612780570984,26.259536743164062,27.668771028518677,30.43473482131958,35.30930805206299,35.89165925979614,35.959843158721924,36.006739377975464,36.02541470527649,36.030306577682495,36.04470252990723,36.021668434143066,390.516211271286,37.30524826049805
20,26.2261700630188,27.304579257965088,30.65302872657776,30.681654453277588,33.3498592376709,35.752243757247925,32.60643529891968,32.412519693374634,32.65138649940491,32.2761812210083,32.93913531303406,32.269975900650024,304.98119378089905,44.027676820755005
21,25.770159244537354,27.663625478744507,28.46978735923767,31.6126651763916,36.571775674819946,36.58177876472473,36.53925013542175,36.48816990852356,36.613978147506714,36.904181718826294,36.965338468551636,36.77563452720642,338.43499302864075,39.34558343887329
22,25.653637170791626,27.791097402572632,28.595006942749023,31.721898078918457,36.78020095825195,36.80826759338379,36.747008085250854,36.812766790390015,36.87774729728699,37.15171480178833,37.22520613670349,37.262582540512085,338.11896562576294,39.58146333694458
23,25.823440074920654,27.82282304763794,28.646381616592407,31.78963041305542,36.86482071876526,36.86162519454956,36.80306959152222,36.79881572723389,36.927197217941284,37.19178318977356,37.268683195114136,36.91799235343933,334.4793128967285,38.879018783569336
24,24.91685962677002,26.896275520324707,27.83036160469055,31.016406059265137,36.00263810157776,36.278045892715454,36.22420573234558,36.06926608085632,36.03669619560242,36.00801920890808,35.88946509361267,35.265002965927124,494.2724771499634,38.145397901535034
25,25.645917415618896,26.8472638130188,27.53255319595337,30.68259906768799,35.13365030288696,35.15657114982605,35.14229226112366,35.84454536437988,35.129337549209595,35.196128129959106,35.24218440055847,34.88736939430237,301.5687680244446,39.47040843963623
