Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,0.8907014,0.60652983,0.057308435,0.75595677,0.943679,0.58057636,0.21059334,0.57411027,0.3434878,0.69990146,0.004152119,0.20059362,0.32778603,0.8050003,0.014580965,0.8497466,0.19118753,0.06407592,0.46111962,0.62808686,0.37623262,0.96414816,0.04207617,0.020981938,0.008450121,0.95027715,0.6519365,0.060914725,0.9681462,0.87683654,0.22695497,0.5278643,0.6973817,0.34470946,0.6455873,0.073428005,0.99399996,0.28102645,0.6607678,0.8572067,0.07016173,0.002436459,0.012266457,0.8253957,0.9317194,0.20919195,0.98767686,0.9847088,0.95780075,0.90284526,0.7187904,0.66584736,0.17413536,0.43428528,0.9027874,0.84164107,0.05797258,0.5458831,0.15868077,0.2262637,0.18268624,0.21663871,0.8698555,0.84487396,0.1909011,0.7811016,0.36344302,0.39882877,0.0808883,0.35902488,0.011890382,0.5942621,0.84770876,0.94294035,0.4993382,0.08713788,0.93084,0.069450796,0.83225095,0.19228977,0.023258805,0.76190734,0.8345592,0.18410704,0.34461474,0.51540035,0.26064846,0.090021044,0.516895,0.3543765,0.45581564,0.5166792,0.74809337,0.24621117,0.86749506,0.22152442,0.8338518,0.16891515,0.11021474,0.67513615
1,0.08804941,0.91616315,0.942811,0.94700414,0.0043123662,0.13442707,0.4208012,0.037501007,0.7577683,0.56484824,0.56737757,0.6928711,0.84408903,0.78911805,0.20565951,0.9656038,0.82641447,0.034921914,0.9008581,0.94027364,0.7562145,0.014818788,0.7968786,0.9370935,0.20798758,0.068675846,0.1910254,0.88737875,0.11752319,0.96691585,0.3380659,0.99445367,0.689768,0.91922075,0.8345137,0.60337853,0.040081292,0.26918203,0.083594084,0.0764322,0.26355636,0.8436556,0.62482935,0.87968653,0.95716727,0.38222188,0.100587755,0.15341231,0.1958029,0.8369496,0.8917998,0.6697907,0.31530017,0.3446449,0.18149295,0.084888846,0.18682337,0.9032433,0.55898017,0.7516506,0.81819725,0.7919314,0.80016994,0.7177018,0.8132216,0.5487007,0.9172435,0.716015,0.5559487,0.09506488,0.9923135,0.98407274,0.74714226,0.23162067,0.72376865,0.95967865,0.16635087,0.14293048,0.8791858,0.77703226,0.9008851,0.88488555,0.9120016,0.03524965,0.90587246,0.7766124,0.023562789,0.1407513,0.12355906,0.036085784,0.4838509,0.43830925,0.58484626,0.01103431,0.14255154,0.50703377,0.03182736,0.37327424,0.376855,0.100946814
2,0.8661105,0.6298468,0.855058,0.09822276,0.39543802,0.092850745,0.5035297,0.35005927,0.0388619,0.68137693,0.11681768,0.9248678,0.5149505,0.30930364,0.051826805,0.49131835,0.4402989,0.54748183,0.9963236,0.05583024,0.79600894,0.05853024,0.55672175,0.34118026,0.77500063,0.17350876,0.39773747,0.7418561,0.5883706,0.67261934,0.4305607,0.5738301,0.4238025,0.83678544,0.09197432,0.11324245,0.8739781,0.75827956,0.10133186,0.6265676,0.11765459,0.03250429,0.96617997,0.30334383,0.96813613,0.061885417,0.002405405,0.5888789,0.4903425,0.07485032,0.41304323,0.065255195,0.03365308,0.34220976,0.19970709,0.14830291,0.39537448,0.36931932,0.95078707,0.7597395,0.96410024,0.82878375,0.6712281,0.42704237,0.8671802,0.30350047,0.41292804,0.577978,0.4119668,0.86729753,0.7392446,0.07239941,0.17778948,0.8599138,0.79111576,0.08881283,0.41551307,0.4326427,0.0233351,0.53688127,0.819597,0.4215571,0.55233765,0.0055506825,0.89815295,0.22677562,0.5232598,0.36891592,0.2911441,0.07322189,0.3605221,0.306681,0.34030056,0.22309974,0.58327496,0.8573575,0.3302396,0.3278125,0.697695,0.21775517
3,0.87054,0.9175807,0.9652282,0.8634324,0.44747314,0.80619925,0.19672391,0.40985155,0.12477571,0.47984034,0.34972444,0.6450932,0.764222,0.88923407,0.30795932,0.27347964,0.25004745,0.7213902,0.62479085,0.6245138,0.59832424,0.03974822,0.98760605,0.03458661,0.46970955,0.9845336,0.713994,0.07925066,0.031208634,0.6055987,0.9862176,0.82633114,0.78714204,0.17371643,0.21572113,0.5257604,0.820863,0.74857813,0.21080533,0.8636626,0.8677486,0.36957562,0.91726255,0.10728425,0.29755208,0.96273434,0.5612184,0.64015234,0.7161839,0.3233671,0.18794459,0.014088452,0.27988756,0.40263975,0.97532743,0.9919995,0.9761983,0.38941565,0.56937987,0.9638314,0.6423569,0.59036535,0.0010125339,0.5394379,0.076438904,0.69405115,0.1957128,0.88520527,0.66198254,0.9867767,0.9568734,0.21541667,0.49254146,0.31376547,0.4033418,0.57651114,0.22154531,0.09756106,0.008171827,0.05208987,0.90682465,0.0891701,0.7128584,0.3406937,0.81560135,0.21717203,0.39554143,0.44851968,0.7918309,0.18428844,0.2722547,0.06293556,0.32393402,0.2133193,0.43188843,0.7771938,0.79519516,0.04129243,0.3601148,0.88468575
4,0.8845353,0.069042,0.38205865,0.70233655,0.37380672,0.5483251,0.4664647,0.43853992,0.075678736,0.4481263,0.036373258,0.86645114,0.023720652,0.19828662,0.14287943,0.95296264,0.39316922,0.89224017,0.24958849,0.82162666,0.7932954,0.5140495,0.51384115,0.8655827,0.020575613,0.8629966,0.6157851,0.009276122,0.872553,0.7962495,0.8065735,0.8844491,0.9860331,0.64944816,0.12344816,0.66016126,0.59253407,0.7892121,0.58073455,0.41103128,0.6254184,0.990045,0.11562616,0.28446054,0.9927372,0.2776026,0.9612771,0.18376976,0.7262837,0.8060836,0.8890555,0.9657907,0.6752828,0.66417146,0.7585886,0.13067627,0.7946948,0.034170836,0.29831544,0.65207064,0.40790758,0.48097304,0.97745144,0.06893858,0.1353992,0.044470876,0.99087286,0.16283837,0.67063886,0.09647691,0.7026636,0.67569053,0.24909589,0.12644693,0.8742207,0.47131124,0.662147,0.9079096,0.91818994,0.9815977,0.5231494,0.9343883,0.6246085,0.9147283,0.41377756,0.06812054,0.12388095,0.725295,0.95848083,0.7288659,0.26207292,0.29471427,0.83538866,0.9319466,0.8636832,0.6962763,0.8534126,0.064929724,0.4651399,0.6272474
5,0.17709938,0.45298862,0.48970523,0.87349594,0.9134713,0.6653008,0.974965,0.8936531,0.20588791,0.24889767,0.46911532,0.8129575,0.3229692,0.79894924,0.71472776,0.8921318,0.18267718,0.16811904,0.0618231,0.012567699,0.4474958,0.70446354,0.42591703,0.3730008,0.75578177,0.9541175,0.9703596,0.42982253,0.6242748,0.7586132,0.17863908,0.96109736,0.26713535,0.2755077,0.95237625,0.06870669,0.14480755,0.54153377,0.025988877,0.5166441,0.7627884,8.371472e-05,0.03421986,0.6437546,0.89668334,0.64883333,0.7483692,0.13476157,0.6870471,0.3923176,0.21149325,0.026180446,0.41569686,0.052533507,0.9671936,0.096160054,0.9692012,0.6797472,0.7471242,0.8735622,0.670487,0.64284235,0.07281068,0.93797123,0.52926993,0.03484726,0.95614225,0.41382617,0.63732135,0.63260937,0.66513467,0.69553804,0.6508956,0.2942334,0.17353198,0.03470713,0.09317213,0.69539094,0.08614257,0.9872832,0.7755487,0.5417304,0.011507899,0.51955795,0.9010145,0.30453813,0.69488686,0.94400823,0.9804902,0.34913224,0.51409656,0.62561154,0.13500997,0.08903408,0.79607534,0.94377947,0.057007194,0.79471934,0.95722526,0.06266922
6,0.4424236,0.8055458,0.9230101,0.51576596,0.80342865,0.23194093,0.96428275,0.046337634,0.30807507,0.050023943,0.103592396,0.9764217,0.035113186,0.3720876,0.7634017,0.6037933,0.8473724,0.58873135,0.14807227,0.55414146,0.2057606,0.094619244,0.8398956,0.30673593,0.9677463,0.07459065,0.27775753,0.6865411,0.094480425,0.47766313,0.76118416,0.68500745,0.3256075,0.1870321,0.79172754,0.93421984,0.028615177,0.97637737,0.62215346,0.94620985,0.10082999,0.047202736,0.84476435,0.81455517,0.14306164,0.51955736,0.0462448,0.74094594,0.1521295,0.9897956,0.49508175,0.93184924,0.8871076,0.9415701,0.91802704,0.07519755,0.046468914,0.5177026,0.8017473,0.7581911,0.2345495,0.43982005,0.029471546,0.07154012,0.86933374,0.036752313,0.51206255,0.36942294,0.30670506,0.49153978,0.9143298,0.8939414,0.38126758,0.9082413,0.07419577,0.9248816,0.39047337,0.43810382,0.23463759,0.037621588,0.40391052,0.024193883,0.6057914,0.990716,0.45881534,0.38750553,0.84327114,0.2575698,0.8253455,0.15016854,0.20933303,0.24503747,0.3484891,0.02398634,0.050869733,0.69934654,0.73539525,0.5951823,0.67424023,0.113820165
7,0.36862588,0.84004927,0.8211494,0.58938473,0.0152742565,0.34102196,0.39674094,0.9356353,0.609611,0.9724453,0.8295167,0.8035072,0.0542652,0.71339923,0.74944675,0.7756599,0.08454347,0.55937725,0.22414032,0.0943442,0.771003,0.3717235,0.75907993,0.14690083,0.6731366,0.8676053,0.17182139,0.28905603,0.64644516,0.4714401,0.29819095,0.092802584,0.50153255,0.9127143,0.15870604,0.67865396,0.6615358,0.6310072,0.80683124,0.7094917,0.4028499,0.17008236,0.11210397,0.09387419,0.5326724,0.09099761,0.21547186,0.34717846,0.37074932,0.33923924,0.91332924,0.43584374,0.5013452,0.40616858,0.5472319,0.9524822,0.13656881,0.23306787,0.67702675,0.7929996,0.81605214,0.94069076,0.055326015,0.09039262,0.67110574,0.21082038,0.8707953,0.76405495,0.9938933,0.92079544,0.5023354,0.3599812,0.705357,0.8438554,0.42160255,0.04804656,0.77328146,0.42573974,0.5884159,0.46105734,0.54849696,0.023926914,0.41312802,0.13646233,0.3360391,0.85900927,0.47377574,0.7435874,0.97189176,0.06337938,0.9079913,0.6644645,0.4670939,0.45082435,0.5573093,0.048736483,0.45761567,0.15664428,0.98705167,0.9220947
8,0.35590512,0.18693373,0.69799304,0.08033401,0.6712168,0.3927706,0.23088601,0.39952034,0.8888756,0.113618135,0.5531192,0.005564004,0.44078684,0.8513771,0.019001722,0.465762,0.30684122,0.08475512,0.97761476,0.1185776,0.21814811,0.80761755,0.8297548,0.4766056,0.91609806,0.03436765,0.055134296,0.48199213,0.46524167,0.20243388,0.08155963,0.9181118,0.9610752,0.6722551,0.14893791,0.35641125,0.9350119,0.1801166,0.5062376,0.3465923,0.45919296,0.8551187,0.53574723,0.11557144,0.45257366,0.015628189,0.7566471,0.9791137,0.8162161,0.011165291,0.8786808,0.50622904,0.20438984,0.78116727,0.74161637,0.8929361,0.7418811,0.30144343,0.920871,0.37845883,0.058389634,0.28105348,0.9184282,0.50823337,0.73737574,0.32921866,0.7329473,0.3671893,0.7626679,0.83506596,0.8432114,0.98180425,0.96864295,0.98912543,0.53577465,0.32226837,0.2340864,0.97462696,0.74041,0.70132476,0.5019203,0.103232294,0.012571305,0.24271184,0.62326,0.82551706,0.45224485,0.9933414,0.11554384,0.29741898,0.16262236,0.79189944,0.12147701,0.5115988,0.5167851,0.30143452,0.8305962,0.13093814,0.011099845,0.43655166
9,0.06777662,0.95866585,0.9099114,0.34246606,0.53497803,0.8571553,0.15505579,0.9787478,0.5637828,0.1029565,0.8950709,0.6149197,0.41447642,0.7457774,0.36289424,0.13233286,0.43645936,0.06536102,0.7989484,0.66098744,0.09923297,0.26357496,0.045568287,0.32532543,0.6994939,0.35248446,0.98875105,0.19643995,0.08812821,0.064536124,0.2093935,0.6178619,0.19391581,0.31417847,0.9626745,0.9701618,0.18647155,0.8283787,0.43531966,0.75509703,0.5055392,0.9451107,0.62157196,0.3961475,0.24523798,0.7544689,0.65687186,0.07064083,0.85419714,0.7338762,0.17486551,0.14349738,0.91740716,0.54798526,0.78200465,0.92848945,0.80745804,0.6148461,0.45303315,0.14606544,0.41688478,0.21071547,0.64663863,0.77904505,0.9339187,0.94324875,0.09500158,0.03451988,0.27046853,0.75046265,0.5004358,0.21210587,0.10450119,0.1784823,0.8087177,0.22199088,0.54203326,0.98411715,0.27246162,0.85449123,0.07414013,0.9925827,0.30401438,0.8335054,0.91133004,0.8590271,0.13237229,0.8329568,0.95131797,0.29134387,0.6960833,0.2448743,0.559946,0.6666451,0.02399671,0.97429657,0.85447323,0.14725524,0.9582494,0.6224244
