Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[478.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[86.0],[209.0],[209.0],[646.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[179.0],[209.0],[262.0],[209.0],[646.0],[822.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[262.0]
1,[262.0],[262.0],[262.0],[478.0],[209.0],[262.0],[478.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[209.0],[262.0],[478.0],[478.0],[262.0],[262.0],[262.0],[125.0],[262.0],[478.0],[478.0],[262.0],[262.0],[262.0],[262.0],[262.0],[209.0],[209.0],[478.0],[262.0],[262.0],[262.0],[478.0],[262.0],[262.0],[209.0],[478.0],[209.0],[209.0],[478.0],[262.0],[209.0],[262.0],[262.0],[262.0],[478.0],[478.0],[262.0],[262.0],[262.0],[262.0],[478.0],[478.0],[262.0],[478.0],[478.0],[478.0],[179.0],[478.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[209.0],[478.0],[262.0],[262.0],[478.0],[209.0],[262.0],[262.0],[262.0],[478.0],[262.0],[262.0],[478.0],[209.0],[478.0],[262.0],[478.0],[262.0],[262.0],[478.0],[209.0],[262.0],[262.0],[478.0],[209.0]
2,[179.0],[478.0],[478.0],[262.0],[478.0],[646.0],[262.0],[478.0],[209.0],[179.0],[646.0],[478.0],[478.0],[646.0],[646.0],[209.0],[478.0],[646.0],[262.0],[478.0],[262.0],[262.0],[478.0],[478.0],[179.0],[262.0],[977.0],[262.0],[262.0],[478.0],[478.0],[478.0],[478.0],[646.0],[478.0],[668.0],[262.0],[478.0],[478.0],[945.0],[262.0],[209.0],[478.0],[478.0],[262.0],[262.0],[262.0],[262.0],[478.0],[646.0],[478.0],[478.0],[478.0],[262.0],[262.0],[478.0],[478.0],[478.0],[478.0],[262.0],[262.0],[179.0],[262.0],[262.0],[262.0],[262.0],[262.0],[646.0],[646.0],[478.0],[478.0],[478.0],[478.0],[46.0],[478.0],[977.0],[262.0],[478.0],[478.0],[262.0],[668.0],[478.0],[646.0],[478.0],[262.0],[478.0],[668.0],[262.0],[74.0],[262.0],[478.0],[262.0],[646.0],[478.0],[262.0],[74.0],[646.0],[646.0],[262.0],[646.0]
3,[953.0],[646.0],[646.0],[646.0],[646.0],[478.0],[266.0],[646.0],[819.0],[646.0],[478.0],[646.0],[646.0],[478.0],[478.0],[478.0],[668.0],[478.0],[442.0],[646.0],[156.0],[239.0],[646.0],[646.0],[646.0],[478.0],[130.0],[646.0],[646.0],[646.0],[646.0],[646.0],[646.0],[478.0],[646.0],[79.0],[646.0],[373.0],[996.0],[646.0],[156.0],[646.0],[74.0],[646.0],[156.0],[382.0],[478.0],[646.0],[220.0],[478.0],[646.0],[646.0],[646.0],[646.0],[372.0],[646.0],[646.0],[955.0],[668.0],[646.0],[20.0],[177.0],[646.0],[388.0],[646.0],[646.0],[646.0],[671.0],[478.0],[646.0],[393.0],[646.0],[646.0],[117.0],[646.0],[578.0],[646.0],[646.0],[646.0],[646.0],[478.0],[74.0],[471.0],[646.0],[894.0],[328.0],[478.0],[418.0],[478.0],[436.0],[646.0],[812.0],[478.0],[646.0],[854.0],[740.0],[478.0],[478.0],[646.0],[478.0]
4,[646.0],[977.0],[575.0],[668.0],[977.0],[471.0],[220.0],[382.0],[579.0],[382.0],[471.0],[575.0],[410.0],[668.0],[382.0],[755.0],[471.0],[575.0],[979.0],[420.0],[583.0],[646.0],[575.0],[561.0],[351.0],[670.0],[478.0],[471.0],[668.0],[220.0],[460.0],[471.0],[393.0],[293.0],[382.0],[408.0],[977.0],[646.0],[646.0],[473.0],[220.0],[253.0],[236.0],[382.0],[387.0],[290.0],[113.0],[575.0],[646.0],[382.0],[420.0],[575.0],[225.0],[977.0],[393.0],[284.0],[977.0],[646.0],[575.0],[668.0],[767.0],[646.0],[668.0],[646.0],[74.0],[924.0],[869.0],[713.0],[933.0],[31.0],[646.0],[420.0],[382.0],[646.0],[420.0],[478.0],[668.0],[156.0],[327.0],[282.0],[236.0],[708.0],[473.0],[977.0],[106.0],[646.0],[471.0],[646.0],[933.0],[460.0],[710.0],[646.0],[575.0],[382.0],[869.0],[478.0],[471.0],[575.0],[31.0],[668.0]
5,[471.0],[220.0],[869.0],[880.0],[933.0],[997.0],[739.0],[460.0],[646.0],[740.0],[943.0],[501.0],[668.0],[913.0],[220.0],[646.0],[501.0],[479.0],[668.0],[977.0],[646.0],[471.0],[583.0],[977.0],[575.0],[425.0],[646.0],[833.0],[106.0],[668.0],[544.0],[984.0],[933.0],[471.0],[869.0],[346.0],[922.0],[423.0],[544.0],[668.0],[701.0],[256.0],[346.0],[74.0],[652.0],[478.0],[399.0],[734.0],[636.0],[668.0],[471.0],[252.0],[977.0],[37.0],[125.0],[977.0],[883.0],[161.0],[252.0],[106.0],[420.0],[977.0],[108.0],[739.0],[575.0],[668.0],[460.0],[254.0],[220.0],[382.0],[977.0],[471.0],[869.0],[478.0],[977.0],[646.0],[285.0],[471.0],[734.0],[668.0],[775.0],[869.0],[478.0],[933.0],[646.0],[705.0],[583.0],[614.0],[220.0],[646.0],[74.0],[427.0],[491.0],[583.0],[646.0],[646.0],[740.0],[145.0],[220.0],[471.0]
6,[629.0],[382.0],[399.0],[866.0],[668.0],[148.0],[646.0],[668.0],[668.0],[266.0],[654.0],[220.0],[952.0],[179.0],[79.0],[705.0],[220.0],[49.0],[495.0],[594.0],[668.0],[967.0],[668.0],[866.0],[141.0],[624.0],[702.0],[323.0],[416.0],[242.0],[933.0],[542.0],[220.0],[959.0],[668.0],[646.0],[471.0],[74.0],[220.0],[544.0],[646.0],[544.0],[977.0],[220.0],[627.0],[79.0],[646.0],[815.0],[67.0],[396.0],[880.0],[113.0],[691.0],[709.0],[113.0],[782.0],[705.0],[113.0],[614.0],[419.0],[544.0],[74.0],[822.0],[668.0],[179.0],[807.0],[125.0],[922.0],[64.0],[614.0],[668.0],[670.0],[575.0],[197.0],[933.0],[448.0],[614.0],[614.0],[471.0],[614.0],[880.0],[346.0],[651.0],[762.0],[668.0],[96.0],[396.0],[419.0],[579.0],[473.0],[471.0],[668.0],[668.0],[525.0],[220.0],[452.0],[954.0],[614.0],[654.0],[74.0]
7,[769.0],[13.0],[14.0],[977.0],[583.0],[755.0],[690.0],[471.0],[920.0],[314.0],[177.0],[436.0],[125.0],[471.0],[868.0],[844.0],[862.0],[737.0],[978.0],[471.0],[82.0],[767.0],[526.0],[982.0],[525.0],[646.0],[880.0],[630.0],[399.0],[471.0],[197.0],[614.0],[179.0],[399.0],[933.0],[834.0],[269.0],[800.0],[623.0],[291.0],[685.0],[933.0],[378.0],[14.0],[646.0],[633.0],[668.0],[352.0],[294.0],[880.0],[961.0],[668.0],[164.0],[583.0],[646.0],[471.0],[762.0],[668.0],[609.0],[74.0],[933.0],[236.0],[95.0],[554.0],[400.0],[154.0],[977.0],[668.0],[425.0],[122.0],[442.0],[110.0],[130.0],[74.0],[981.0],[471.0],[709.0],[37.0],[592.0],[538.0],[474.0],[646.0],[624.0],[183.0],[617.0],[668.0],[646.0],[668.0],[646.0],[141.0],[654.0],[74.0],[614.0],[47.0],[34.0],[179.0],[668.0],[445.0],[977.0],[564.0]
8,[975.0],[693.0],[755.0],[916.0],[704.0],[668.0],[668.0],[614.0],[538.0],[544.0],[964.0],[740.0],[74.0],[723.0],[243.0],[780.0],[429.0],[668.0],[785.0],[538.0],[221.0],[922.0],[886.0],[668.0],[916.0],[179.0],[86.0],[149.0],[853.0],[980.0],[755.0],[110.0],[668.0],[755.0],[346.0],[74.0],[953.0],[412.0],[904.0],[100.0],[571.0],[869.0],[132.0],[749.0],[379.0],[915.0],[471.0],[762.0],[668.0],[74.0],[609.0],[399.0],[113.0],[920.0],[228.0],[179.0],[575.0],[422.0],[429.0],[629.0],[715.0],[564.0],[510.0],[683.0],[49.0],[501.0],[762.0],[478.0],[608.0],[37.0],[903.0],[893.0],[961.0],[179.0],[558.0],[755.0],[74.0],[177.0],[614.0],[786.0],[977.0],[755.0],[972.0],[618.0],[471.0],[575.0],[399.0],[572.0],[382.0],[755.0],[327.0],[179.0],[648.0],[544.0],[179.0],[889.0],[880.0],[934.0],[668.0],[654.0]
9,[668.0],[466.0],[594.0],[806.0],[179.0],[330.0],[959.0],[248.0],[74.0],[869.0],[110.0],[179.0],[897.0],[800.0],[213.0],[962.0],[179.0],[179.0],[478.0],[800.0],[213.0],[614.0],[631.0],[71.0],[420.0],[683.0],[471.0],[584.0],[755.0],[732.0],[821.0],[506.0],[961.0],[670.0],[179.0],[407.0],[474.0],[77.0],[933.0],[478.0],[738.0],[445.0],[646.0],[648.0],[373.0],[977.0],[608.0],[74.0],[319.0],[708.0],[975.0],[812.0],[440.0],[924.0],[862.0],[201.0],[742.0],[218.0],[646.0],[179.0],[285.0],[605.0],[366.0],[618.0],[479.0],[74.0],[303.0],[897.0],[397.0],[232.0],[654.0],[668.0],[755.0],[787.0],[668.0],[303.0],[825.0],[306.0],[617.0],[259.0],[646.0],[113.0],[668.0],[903.0],[800.0],[546.0],[115.0],[335.0],[815.0],[179.0],[120.0],[770.0],[74.0],[40.0],[544.0],[715.0],[335.0],[740.0],[74.0],[651.0]
