Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99,Sim_100,Sim_101,Sim_102,Sim_103,Sim_104,Sim_105,Sim_106,Sim_107,Sim_108,Sim_109,Sim_110,Sim_111,Sim_112,Sim_113,Sim_114,Sim_115,Sim_116,Sim_117,Sim_118,Sim_119,Sim_120,Sim_121,Sim_122,Sim_123,Sim_124
0,[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[262.0],[478.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[86.0],[209.0],[209.0],[646.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[646.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[262.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[179.0],[209.0],[262.0],[209.0],[209.0],[209.0],[646.0],[822.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[478.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[209.0],[209.0],[209.0],[262.0],[209.0],[209.0],[209.0],[262.0]
1,[262.0],[262.0],[262.0],[478.0],[209.0],[654.0],[262.0],[478.0],[478.0],[544.0],[262.0],[262.0],[478.0],[478.0],[113.0],[478.0],[262.0],[262.0],[118.0],[262.0],[478.0],[209.0],[209.0],[478.0],[179.0],[478.0],[262.0],[262.0],[977.0],[262.0],[755.0],[262.0],[262.0],[209.0],[478.0],[762.0],[262.0],[262.0],[262.0],[478.0],[179.0],[209.0],[478.0],[209.0],[209.0],[478.0],[478.0],[478.0],[262.0],[478.0],[262.0],[262.0],[209.0],[478.0],[478.0],[478.0],[209.0],[209.0],[478.0],[478.0],[478.0],[209.0],[478.0],[262.0],[478.0],[478.0],[478.0],[478.0],[478.0],[478.0],[668.0],[478.0],[262.0],[478.0],[478.0],[478.0],[262.0],[478.0],[478.0],[382.0],[110.0],[478.0],[478.0],[478.0],[478.0],[262.0],[478.0],[646.0],[262.0],[262.0],[262.0],[262.0],[262.0],[977.0],[262.0],[478.0],[478.0],[209.0],[179.0],[262.0],[179.0],[478.0],[478.0],[209.0],[209.0],[262.0],[478.0],[262.0],[478.0],[478.0],[262.0],[478.0],[478.0],[209.0],[478.0],[262.0],[478.0],[262.0],[262.0],[478.0],[209.0],[262.0],[478.0],[478.0],[209.0]
2,[478.0],[478.0],[478.0],[262.0],[478.0],[262.0],[646.0],[262.0],[262.0],[209.0],[209.0],[478.0],[262.0],[262.0],[262.0],[179.0],[478.0],[478.0],[262.0],[478.0],[262.0],[478.0],[478.0],[262.0],[262.0],[770.0],[478.0],[478.0],[575.0],[478.0],[262.0],[478.0],[646.0],[478.0],[740.0],[262.0],[478.0],[304.0],[478.0],[262.0],[478.0],[478.0],[262.0],[478.0],[646.0],[141.0],[262.0],[262.0],[478.0],[262.0],[209.0],[478.0],[478.0],[262.0],[179.0],[262.0],[478.0],[262.0],[262.0],[262.0],[179.0],[478.0],[262.0],[478.0],[262.0],[262.0],[262.0],[262.0],[262.0],[262.0],[209.0],[933.0],[478.0],[654.0],[418.0],[211.0],[478.0],[262.0],[262.0],[740.0],[209.0],[262.0],[755.0],[262.0],[262.0],[646.0],[262.0],[209.0],[478.0],[478.0],[646.0],[478.0],[260.0],[471.0],[478.0],[262.0],[755.0],[646.0],[478.0],[478.0],[478.0],[179.0],[262.0],[762.0],[478.0],[646.0],[262.0],[478.0],[646.0],[262.0],[478.0],[755.0],[262.0],[478.0],[262.0],[646.0],[262.0],[646.0],[478.0],[262.0],[478.0],[478.0],[646.0],[262.0],[478.0]
3,[266.0],[234.0],[677.0],[646.0],[646.0],[668.0],[668.0],[220.0],[641.0],[478.0],[122.0],[825.0],[646.0],[474.0],[646.0],[262.0],[583.0],[501.0],[209.0],[646.0],[869.0],[262.0],[755.0],[646.0],[54.0],[326.0],[583.0],[220.0],[708.0],[351.0],[388.0],[220.0],[668.0],[654.0],[74.0],[646.0],[387.0],[354.0],[646.0],[977.0],[262.0],[880.0],[646.0],[614.0],[668.0],[262.0],[91.0],[141.0],[460.0],[220.0],[646.0],[646.0],[113.0],[512.0],[583.0],[74.0],[262.0],[478.0],[854.0],[847.0],[262.0],[646.0],[436.0],[501.0],[436.0],[767.0],[646.0],[646.0],[668.0],[646.0],[179.0],[262.0],[646.0],[262.0],[262.0],[667.0],[248.0],[314.0],[821.0],[821.0],[478.0],[179.0],[583.0],[474.0],[646.0],[668.0],[420.0],[975.0],[928.0],[624.0],[478.0],[646.0],[646.0],[209.0],[928.0],[977.0],[323.0],[668.0],[74.0],[266.0],[262.0],[262.0],[646.0],[544.0],[646.0],[478.0],[646.0],[220.0],[624.0],[583.0],[624.0],[262.0],[646.0],[646.0],[931.0],[478.0],[875.0],[478.0],[179.0],[767.0],[156.0],[360.0],[769.0],[646.0],[646.0]
4,[460.0],[614.0],[646.0],[668.0],[284.0],[220.0],[289.0],[179.0],[156.0],[179.0],[821.0],[709.0],[101.0],[583.0],[668.0],[646.0],[646.0],[654.0],[646.0],[460.0],[847.0],[668.0],[73.0],[668.0],[646.0],[387.0],[299.0],[179.0],[79.0],[284.0],[122.0],[179.0],[620.0],[614.0],[262.0],[536.0],[646.0],[646.0],[583.0],[880.0],[909.0],[420.0],[614.0],[179.0],[780.0],[646.0],[164.0],[248.0],[869.0],[179.0],[256.0],[668.0],[646.0],[646.0],[262.0],[471.0],[668.0],[113.0],[646.0],[20.0],[74.0],[179.0],[869.0],[822.0],[323.0],[220.0],[924.0],[323.0],[869.0],[980.0],[977.0],[141.0],[220.0],[646.0],[646.0],[167.0],[869.0],[769.0],[393.0],[670.0],[933.0],[646.0],[614.0],[374.0],[739.0],[74.0],[179.0],[179.0],[646.0],[646.0],[179.0],[668.0],[499.0],[478.0],[875.0],[79.0],[262.0],[566.0],[262.0],[869.0],[256.0],[646.0],[125.0],[236.0],[668.0],[179.0],[474.0],[179.0],[262.0],[59.0],[646.0],[977.0],[944.0],[125.0],[113.0],[179.0],[179.0],[179.0],[646.0],[460.0],[583.0],[646.0],[262.0],[460.0],[668.0]
5,[583.0],[646.0],[668.0],[417.0],[179.0],[755.0],[426.0],[646.0],[614.0],[646.0],[715.0],[378.0],[668.0],[755.0],[676.0],[639.0],[668.0],[894.0],[668.0],[668.0],[179.0],[74.0],[775.0],[614.0],[668.0],[262.0],[12.0],[646.0],[49.0],[880.0],[996.0],[646.0],[74.0],[234.0],[234.0],[668.0],[897.0],[668.0],[266.0],[583.0],[879.0],[471.0],[285.0],[646.0],[810.0],[668.0],[373.0],[420.0],[646.0],[646.0],[668.0],[74.0],[668.0],[323.0],[646.0],[544.0],[804.0],[399.0],[74.0],[679.0],[933.0],[668.0],[378.0],[646.0],[879.0],[646.0],[266.0],[668.0],[875.0],[17.0],[740.0],[418.0],[179.0],[125.0],[668.0],[262.0],[460.0],[614.0],[646.0],[564.0],[614.0],[668.0],[262.0],[646.0],[961.0],[575.0],[898.0],[762.0],[338.0],[668.0],[125.0],[74.0],[74.0],[880.0],[220.0],[654.0],[933.0],[587.0],[646.0],[614.0],[854.0],[831.0],[880.0],[668.0],[179.0],[668.0],[821.0],[646.0],[668.0],[55.0],[668.0],[575.0],[519.0],[179.0],[296.0],[759.0],[251.0],[668.0],[668.0],[614.0],[646.0],[68.0],[594.0],[220.0],[74.0]
6,[519.0],[89.0],[74.0],[761.0],[113.0],[614.0],[56.0],[668.0],[179.0],[156.0],[334.0],[880.0],[687.0],[561.0],[297.0],[625.0],[228.0],[875.0],[576.0],[74.0],[646.0],[37.0],[110.0],[460.0],[236.0],[646.0],[646.0],[668.0],[533.0],[869.0],[822.0],[668.0],[199.0],[704.0],[252.0],[478.0],[668.0],[74.0],[961.0],[442.0],[646.0],[544.0],[199.0],[668.0],[74.0],[585.0],[646.0],[755.0],[647.0],[451.0],[74.0],[708.0],[74.0],[909.0],[420.0],[646.0],[184.0],[892.0],[933.0],[67.0],[977.0],[74.0],[179.0],[668.0],[646.0],[668.0],[880.0],[491.0],[977.0],[668.0],[285.0],[428.0],[668.0],[220.0],[896.0],[646.0],[234.0],[7.0],[179.0],[79.0],[179.0],[74.0],[74.0],[898.0],[869.0],[502.0],[646.0],[79.0],[922.0],[74.0],[738.0],[382.0],[730.0],[583.0],[179.0],[460.0],[977.0],[830.0],[933.0],[646.0],[641.0],[13.0],[284.0],[79.0],[311.0],[74.0],[838.0],[668.0],[276.0],[698.0],[89.0],[646.0],[179.0],[212.0],[211.0],[688.0],[941.0],[74.0],[74.0],[646.0],[668.0],[281.0],[538.0],[179.0],[924.0]
7,[179.0],[981.0],[933.0],[136.0],[668.0],[977.0],[487.0],[91.0],[646.0],[740.0],[646.0],[869.0],[136.0],[179.0],[478.0],[977.0],[894.0],[646.0],[478.0],[179.0],[668.0],[575.0],[826.0],[401.0],[733.0],[74.0],[668.0],[87.0],[285.0],[583.0],[478.0],[471.0],[922.0],[978.0],[179.0],[558.0],[74.0],[478.0],[668.0],[614.0],[562.0],[106.0],[459.0],[74.0],[42.0],[97.0],[668.0],[220.0],[512.0],[115.0],[544.0],[56.0],[236.0],[880.0],[460.0],[614.0],[74.0],[934.0],[182.0],[207.0],[125.0],[575.0],[624.0],[74.0],[739.0],[933.0],[780.0],[179.0],[436.0],[548.0],[708.0],[253.0],[74.0],[933.0],[687.0],[668.0],[880.0],[646.0],[738.0],[738.0],[830.0],[471.0],[471.0],[179.0],[755.0],[775.0],[668.0],[488.0],[551.0],[544.0],[3.0],[429.0],[478.0],[408.0],[880.0],[614.0],[677.0],[114.0],[608.0],[668.0],[460.0],[815.0],[323.0],[179.0],[800.0],[933.0],[800.0],[74.0],[179.0],[251.0],[816.0],[614.0],[21.0],[668.0],[416.0],[841.0],[646.0],[767.0],[382.0],[394.0],[382.0],[698.0],[388.0],[106.0],[274.0]
8,[646.0],[790.0],[62.0],[74.0],[74.0],[939.0],[74.0],[164.0],[668.0],[177.0],[668.0],[583.0],[74.0],[646.0],[107.0],[505.0],[893.0],[668.0],[904.0],[901.0],[74.0],[147.0],[623.0],[230.0],[478.0],[471.0],[74.0],[257.0],[125.0],[646.0],[767.0],[653.0],[829.0],[520.0],[879.0],[713.0],[544.0],[824.0],[74.0],[755.0],[68.0],[646.0],[607.0],[382.0],[725.0],[74.0],[400.0],[179.0],[700.0],[921.0],[79.0],[842.0],[429.0],[738.0],[471.0],[400.0],[896.0],[610.0],[141.0],[816.0],[113.0],[499.0],[646.0],[575.0],[668.0],[684.0],[581.0],[125.0],[30.0],[642.0],[471.0],[646.0],[20.0],[614.0],[74.0],[977.0],[141.0],[668.0],[609.0],[284.0],[646.0],[418.0],[544.0],[59.0],[909.0],[49.0],[394.0],[252.0],[668.0],[933.0],[418.0],[179.0],[897.0],[197.0],[762.0],[429.0],[631.0],[349.0],[125.0],[873.0],[583.0],[271.0],[428.0],[221.0],[74.0],[638.0],[948.0],[471.0],[664.0],[941.0],[74.0],[880.0],[668.0],[74.0],[177.0],[140.0],[668.0],[913.0],[525.0],[418.0],[37.0],[179.0],[64.0],[622.0],[179.0]
9,[668.0],[588.0],[900.0],[179.0],[544.0],[822.0],[478.0],[373.0],[74.0],[894.0],[59.0],[646.0],[179.0],[668.0],[187.0],[935.0],[638.0],[74.0],[74.0],[292.0],[544.0],[400.0],[854.0],[481.0],[892.0],[392.0],[544.0],[139.0],[392.0],[668.0],[967.0],[643.0],[556.0],[382.0],[594.0],[732.0],[740.0],[292.0],[623.0],[471.0],[585.0],[838.0],[697.0],[429.0],[337.0],[601.0],[221.0],[312.0],[606.0],[149.0],[740.0],[147.0],[544.0],[631.0],[544.0],[635.0],[286.0],[107.0],[451.0],[646.0],[567.0],[491.0],[668.0],[23.0],[321.0],[499.0],[179.0],[875.0],[389.0],[559.0],[894.0],[67.0],[82.0],[282.0],[810.0],[442.0],[220.0],[635.0],[853.0],[654.0],[114.0],[95.0],[880.0],[723.0],[880.0],[526.0],[764.0],[323.0],[198.0],[110.0],[668.0],[544.0],[902.0],[922.0],[646.0],[471.0],[707.0],[839.0],[684.0],[74.0],[0.0],[267.0],[668.0],[220.0],[544.0],[33.0],[668.0],[906.0],[74.0],[980.0],[544.0],[125.0],[304.0],[544.0],[898.0],[668.0],[239.0],[825.0],[487.0],[423.0],[74.0],[668.0],[668.0],[55.0],[293.0]
