Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24
0,[805.0],[542.0],[974.0],[532.0],[381.0],[183.0],[163.0],[181.0],[70.0],[883.0],[675.0],[53.0],[901.0],[343.0],[70.0],[830.0],[313.0],[891.0],[53.0],[381.0],[684.0],[391.0],[198.0],[238.0],[165.0]
1,[460.0],[908.0],[535.0],[180.0],[460.0],[934.0],[390.0],[81.0],[686.0],[647.0],[499.0],[735.0],[405.0],[680.0],[140.0],[398.0],[154.0],[934.0],[503.0],[684.0],[828.0],[28.0],[930.0],[212.0],[240.0]
2,[69.0],[445.0],[482.0],[358.0],[140.0],[10.0],[458.0],[402.0],[183.0],[154.0],[542.0],[154.0],[391.0],[650.0],[686.0],[379.0],[445.0],[226.0],[908.0],[180.0],[140.0],[484.0],[668.0],[381.0],[883.0]
3,[783.0],[511.0],[503.0],[507.0],[911.0],[518.0],[518.0],[183.0],[934.0],[178.0],[176.0],[357.0],[539.0],[473.0],[828.0],[308.0],[378.0],[334.0],[836.0],[378.0],[144.0],[131.0],[379.0],[5.0],[924.0]
4,[828.0],[518.0],[516.0],[551.0],[629.0],[991.0],[650.0],[224.0],[742.0],[551.0],[934.0],[926.0],[952.0],[379.0],[687.0],[971.0],[405.0],[154.0],[238.0],[971.0],[174.0],[711.0],[403.0],[170.0],[929.0]
5,[227.0],[395.0],[71.0],[990.0],[646.0],[405.0],[419.0],[646.0],[379.0],[384.0],[1023.0],[313.0],[701.0],[981.0],[386.0],[692.0],[381.0],[28.0],[154.0],[181.0],[614.0],[499.0],[213.0],[87.0],[144.0]
6,[395.0],[724.0],[357.0],[646.0],[828.0],[1023.0],[384.0],[10.0],[975.0],[170.0],[312.0],[834.0],[384.0],[856.0],[908.0],[522.0],[78.0],[167.0],[90.0],[89.0],[226.0],[178.0],[834.0],[928.0],[328.0]
7,[176.0],[974.0],[400.0],[902.0],[819.0],[458.0],[174.0],[170.0],[390.0],[393.0],[856.0],[557.0],[69.0],[1023.0],[123.0],[539.0],[180.0],[911.0],[647.0],[828.0],[90.0],[870.0],[1027.0],[516.0],[113.0]
8,[449.0],[668.0],[933.0],[16.0],[237.0],[69.0],[69.0],[357.0],[154.0],[381.0],[180.0],[925.0],[390.0],[990.0],[548.0],[834.0],[907.0],[503.0],[381.0],[224.0],[127.0],[975.0],[179.0],[78.0],[393.0]
9,[891.0],[313.0],[646.0],[252.0],[522.0],[159.0],[180.0],[827.0],[159.0],[1023.0],[178.0],[69.0],[522.0],[381.0],[405.0],[835.0],[542.0],[866.0],[393.0],[170.0],[381.0],[660.0],[247.0],[49.0],[379.0]
10,[867.0],[18.0],[14.0],[919.0],[706.0],[385.0],[312.0],[90.0],[380.0],[520.0],[69.0],[917.0],[167.0],[232.0],[400.0],[867.0],[379.0],[834.0],[518.0],[445.0],[335.0],[381.0],[400.0],[167.0],[646.0]
11,[971.0],[357.0],[908.0],[237.0],[908.0],[975.0],[108.0],[929.0],[174.0],[180.0],[403.0],[883.0],[377.0],[711.0],[535.0],[923.0],[819.0],[387.0],[827.0],[163.0],[183.0],[514.0],[383.0],[701.0],[183.0]
12,[711.0],[501.0],[444.0],[400.0],[380.0],[170.0],[992.0],[796.0],[400.0],[53.0],[835.0],[805.0],[400.0],[170.0],[381.0],[513.0],[317.0],[209.0],[805.0],[90.0],[584.0],[180.0],[970.0],[465.0],[1023.0]
13,[183.0],[827.0],[912.0],[393.0],[934.0],[871.0],[511.0],[137.0],[892.0],[835.0],[393.0],[390.0],[890.0],[503.0],[975.0],[400.0],[900.0],[380.0],[947.0],[397.0],[937.0],[867.0],[358.0],[387.0],[389.0]
14,[386.0],[982.0],[192.0],[163.0],[545.0],[883.0],[834.0],[735.0],[597.0],[357.0],[518.0],[627.0],[432.0],[404.0],[395.0],[518.0],[891.0],[742.0],[911.0],[357.0],[503.0],[357.0],[506.0],[380.0],[908.0]
15,[619.0],[556.0],[176.0],[390.0],[173.0],[151.0],[379.0],[84.0],[836.0],[380.0],[53.0],[67.0],[381.0],[867.0],[1007.0],[857.0],[701.0],[450.0],[246.0],[5.0],[850.0],[380.0],[877.0],[140.0],[905.0]
16,[515.0],[660.0],[953.0],[516.0],[343.0],[163.0],[944.0],[532.0],[458.0],[514.0],[965.0],[506.0],[965.0],[518.0],[516.0],[579.0],[934.0],[381.0],[380.0],[991.0],[834.0],[140.0],[709.0],[867.0],[69.0]
17,[900.0],[90.0],[982.0],[1028.0],[1027.0],[313.0],[701.0],[45.0],[837.0],[971.0],[729.0],[907.0],[974.0],[917.0],[660.0],[706.0],[514.0],[706.0],[167.0],[977.0],[518.0],[796.0],[628.0],[252.0],[830.0]
18,[529.0],[521.0],[69.0],[805.0],[526.0],[936.0],[953.0],[69.0],[508.0],[710.0],[357.0],[227.0],[929.0],[783.0],[597.0],[69.0],[163.0],[847.0],[178.0],[1024.0],[908.0],[151.0],[1002.0],[393.0],[163.0]
19,[68.0],[548.0],[783.0],[627.0],[993.0],[603.0],[892.0],[176.0],[908.0],[379.0],[936.0],[393.0],[482.0],[45.0],[982.0],[982.0],[382.0],[867.0],[357.0],[968.0],[523.0],[919.0],[153.0],[796.0],[862.0]
