Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,0.112206906,0.03178513,0.7791462,0.06786266,0.73012996,0.15314686,0.98319983,5.9604645e-08,0.05382815,0.12977836,0.99267256,0.9899232,0.98421323,0.99988735,0.006954372,0.36290425,0.8616401,0.3423293,0.75725985,0.10485062,0.012155324,0.9993031,0.78378975,4.9471855e-06,0.9999774,0.77083796,0.68178946,0.015537262,0.2998817,0.9999988,0.12005845,0.97259647,0.91963327,0.9972866,0.99927336,0.20373884,0.041270465,0.4703094,0.770809,0.9255055,0.98970675,0.8881456,0.2670266,0.123637795,0.100623935,0.6428014,0.041695535,0.71720195,0.89584863,0.00027558208,0.78762746,0.001017034,0.18254253,0.073464364,0.63170874,0.062172115,0.34977865,0.999493,0.16157517,0.47451842,0.12969556,0.9994271,0.052657396,0.47995594,0.08437157,0.48790917,0.25493318,0.681689,0.18293047,0.6040431,0.00065118074,0.09886691,0.63288915,0.9671474,0.46107146,0.194691,0.63312256,0.010009557,0.3425136,0.56268966,0.67560935,0.9064519,0.9930366,0.93476725,0.5255643,0.9280653,0.33183056,0.41262263,0.98800045,0.11985153,0.118745714,0.31066707,0.92389303,0.996997,0.6090635,0.8789612,0.17419073,0.8850238,0.15004963,0.02111116
1,0.28323442,0.98720306,0.985013,0.27122483,0.82284176,0.21435672,0.16682962,1.0,0.48993325,0.26339948,0.37389642,0.08401665,0.9448703,0.011898577,0.8507442,0.8581505,0.4551193,0.4921283,0.120860785,0.004656017,0.015077293,0.011363089,0.57700276,1.0,0.9705831,0.7593957,0.12137237,0.018676817,0.3028552,0.0,0.665478,0.9689311,0.14433068,0.6978841,0.9263452,0.27394736,0.2929219,0.39176694,0.029615998,0.95229775,0.47152272,0.905679,0.4466067,0.12032902,0.7874373,0.81769645,0.09923923,0.8983288,0.9818464,0.019892305,0.42213437,0.16457802,0.118325055,0.006982118,0.69354665,0.9607479,0.035834134,0.87968516,0.24164039,0.9441563,0.038413733,0.030891538,7.1674585e-05,0.18714273,0.6961175,0.6554028,0.5319944,0.9985112,1.3232231e-05,0.8407506,0.0019386411,0.035493195,0.8302203,0.8485105,0.15939546,0.9277195,0.85168624,0.013173193,0.96775055,0.9944974,0.97873014,0.7865337,0.0,0.85858893,0.058708906,0.8974889,0.9897311,0.6658401,0.68317914,0.99675655,0.2219086,0.008347809,0.11463186,0.9978186,2.0325184e-05,0.5883002,0.28745288,0.787931,0.31705517,0.08477691
2,0.20848146,0.1049169,0.92460763,0.00042253733,0.7410038,0.21799022,0.47188082,2.9802322e-08,0.69222057,0.70256865,0.7238153,0.9002416,0.82017696,0.031801105,0.7034123,0.95670724,0.6148838,0.047928393,0.58095855,0.055103183,0.019735277,0.23316437,0.67208,0.47080022,0.99423563,0.9975282,0.74944705,0.012701511,0.9994955,0.060860127,0.7365771,0.97984695,0.056340635,0.067842305,0.735666,0.16232747,0.93599796,0.51461023,0.000810653,0.87953985,0.010381728,0.8726229,0.27946955,0.21472722,0.04558438,0.9200072,0.0012612641,0.14274165,8.940697e-08,7.927418e-06,0.5868027,0.14150852,0.10690647,0.011741549,0.7000601,0.2382775,0.99928963,0.813959,0.08464068,0.97832716,0.031335592,0.9612458,1.4781952e-05,0.69461876,0.3435238,0.47972685,0.67140144,0.9697639,0.9906223,0.055226684,0.045722306,0.13726056,0.7362399,0.88625544,0.3412522,0.99759597,0.5564556,0.24409658,0.0016722381,0.8839383,0.8747561,2.771616e-05,0.0,0.90461516,0.025124699,0.89919066,0.027050078,0.27499235,0.9884677,0.9673702,0.017119676,0.6908461,0.18307874,0.9947139,0.92136246,0.0032616556,0.6024929,0.94119024,0.27372327,0.53572404
3,0.3663476,0.99027395,0.99893886,0.22307634,0.6968787,0.14287779,0.51545936,0.60968566,0.5406816,0.07332978,0.01041913,0.9057959,0.87891525,0.27957898,0.99978966,0.9652281,0.8333849,0.82366073,0.23367971,0.11861473,0.013535112,0.9992092,0.54368883,2.9802322e-08,0.8185039,0.9207827,0.6878277,0.6097668,0.99539506,1.3411045e-06,0.034089386,0.96622,0.49795544,0.060318917,0.9953439,0.43915477,0.2402882,0.45494097,0.9992423,0.985127,0.2587637,0.89134014,0.24080524,0.08548564,0.09276751,0.85963166,0.007094741,0.062301546,0.98248035,0.007637888,0.04321745,0.039824218,0.4074062,0.18687934,0.6587763,0.41226062,0.6749762,0.009090722,0.34765542,0.25533402,0.02245006,0.6522398,7.897615e-06,0.22496873,0.11339855,0.50762147,0.3408587,0.99653316,0.9322543,0.6710986,0.87316096,0.06970662,0.7182559,0.95111346,0.17403004,0.7919759,0.89079815,0.0009083152,0.1371533,0.89842165,0.0023605525,0.007222891,0.9995063,0.92816263,0.53753537,0.9795946,0.9933854,0.2404668,0.66014045,0.9878042,0.12333363,0.23173678,0.19692707,0.99906945,0.9171138,0.9735756,0.0586935,0.79928064,0.053052455,0.88489664
4,0.1368998,0.87476635,0.9547552,0.6606164,0.84573364,0.23155767,0.60082066,0.9818148,0.47822767,0.69158703,0.99599755,0.9273387,0.003807664,0.77497816,0.7694864,0.2842831,0.70437473,0.69416064,0.8722714,0.7469863,0.008832365,0.9913337,0.7029954,0.99963903,0.9998602,0.039007008,0.27505887,1.0,0.012588173,0.038054854,0.45100734,0.9657743,0.8470954,0.00019529462,0.98086494,0.31119686,0.0030476153,0.5302987,0.17435142,0.9676744,0.8982085,0.89705837,0.3072167,0.04810202,0.9386219,0.8354975,0.014892548,0.7000251,2.8699636e-05,0.0070800483,0.72166467,0.4152276,0.1471191,0.08340758,0.4650376,0.001297921,0.6930093,1.8417835e-05,0.36846465,0.004258871,0.15544552,0.49887097,0.9999129,0.15586707,0.18254596,0.46942315,0.5494336,0.77264464,0.049313217,0.05894509,0.08658704,0.16426927,0.5204783,0.9625468,0.24846902,0.15927574,0.9163029,0.033863127,0.69663453,0.78901744,0.03748721,0.9844874,0.999269,0.873242,0.024932414,0.93101776,0.9763007,0.5996635,0.96682405,0.99999756,0.03759277,0.5687889,0.16317075,0.9991427,0.99999785,0.898481,0.24922577,0.7398756,0.16881666,0.047325104
5,0.1995798,0.4364975,0.8309978,0.19325936,0.8635124,0.55942523,0.8513923,0.25236592,0.34301695,0.14318386,0.62650883,0.98786795,0.9803939,0.8167232,0.96925044,0.7054242,0.1640285,0.72695243,0.19862762,0.22640288,0.018396378,0.22538537,0.87452435,0.9571457,2.9802322e-08,0.9781877,0.48332787,0.8257563,0.98937917,0.0,0.08340326,0.9613513,0.08036351,0.019338757,0.00448668,0.063143164,0.051835477,0.5035984,0.05226904,0.84861934,0.21779445,0.9129688,0.38988677,0.094515085,0.96684384,0.978968,0.42987993,0.12732399,0.2983977,0.0690169,0.8743051,0.11646742,0.15055948,0.53097683,0.7838186,0.8552499,0.18042776,0.35638502,0.23456094,0.05221626,0.02455327,0.9609251,0.9980043,0.6512462,0.66717756,0.3403253,0.9346766,0.67290753,2.2053719e-06,0.024902254,0.003607154,0.036685288,0.8226142,0.98190165,0.2624924,0.8263948,0.61360145,0.0037727952,0.00037565827,0.61152416,0.9139745,0.9809922,0.000100046396,0.9139335,0.019673675,0.96604544,9.030104e-06,0.58709705,0.9544667,0.35587746,0.20413136,0.38179225,0.19792107,0.99838305,5.364418e-07,0.9704919,0.26966792,0.38058713,0.55545413,0.6884196
6,0.28466868,0.21001083,0.99988353,0.08445409,0.8062484,0.2751838,0.45532817,0.00019571185,0.28470278,0.8077559,0.9977621,0.9812138,0.9988684,0.00024393201,0.9469701,0.118326515,0.15829045,0.9276336,0.8511273,0.75017786,0.017854929,0.4583621,0.85836774,0.00035756826,1.54078e-05,0.58259475,0.41993895,2.9236078e-05,0.13171917,0.0065284967,0.003652513,0.956344,0.034303427,0.9435224,0.03458199,0.124775976,0.24446028,0.5799871,0.97368455,0.90099704,0.0012679398,0.89697444,0.49533173,0.08988866,0.03780952,0.9412844,0.0031833649,0.14600757,0.041264832,0.8702713,0.065345466,0.006298572,0.12717581,0.01713276,0.84260553,0.23165068,0.96434355,0.047799826,0.10265434,0.73913175,0.08271453,0.9919666,0.99999994,0.20499966,0.10906756,0.5533951,0.1764363,0.07833943,0.0009100735,0.14794713,0.9423171,0.14150617,0.8682264,0.9639518,0.41814506,0.15356356,0.5395188,0.014893085,0.9855884,0.5559797,0.7270552,0.051357925,1.0,0.8850088,0.105961144,0.9101279,0.0022797883,0.36066955,0.9805481,0.99264205,0.06354982,0.7772942,0.47551718,0.998412,2.9802322e-08,0.00050872564,0.8802841,0.46267262,0.38728046,0.2758187
7,0.26731157,0.522918,0.94248354,0.03539166,0.7343056,0.24338233,0.49299535,0.53192127,0.100568235,0.80897236,0.71450365,0.22190654,0.9944818,0.04122454,0.9338367,0.927572,0.80355275,0.96524334,0.94801944,0.099158615,0.016699404,0.04309717,0.8159717,0.99999964,0.433575,0.034969807,0.06571919,0.3680615,0.21264571,0.9935771,0.13759652,0.98070693,0.27665094,0.9999366,0.9968441,0.0968959,0.4920198,0.6054999,0.7210954,0.9372592,0.79157114,0.89802915,0.15823147,0.12613633,0.51610327,0.96476114,0.94210976,0.0050193667,0.67729646,0.47847226,0.3019647,0.00023165345,0.11934844,0.10443908,0.8612089,0.97299457,0.68660486,0.030827403,0.053706378,0.039690584,0.69044197,0.8552954,4.4107437e-06,0.46124956,0.6749583,0.78287315,0.31177786,0.8616556,0.008928835,0.16648942,0.054939806,0.11883825,0.7054595,0.96496487,0.45623425,0.5924641,0.9985737,0.2059485,0.9987926,0.5122882,0.0030329823,0.33518797,0.18790719,0.91759455,0.10675278,0.9531971,0.9996894,0.55291533,0.7737986,0.93401843,0.06468424,0.040454537,0.23669457,0.99874604,0.00025066733,0.19608817,0.6054566,0.9374281,0.56278807,0.6532033
8,0.109410584,0.05570352,0.3153556,0.9670679,0.76106954,0.26805717,0.48580807,2.9802322e-08,0.41913238,0.27715188,0.98815066,0.999993,0.0022196472,0.0026770234,0.9900713,0.957181,0.3748452,0.03526956,0.73967046,0.46991798,0.011829555,0.90960705,0.8974885,0.95581317,1.0,0.35088938,0.14825934,2.5689602e-05,0.78280973,0.0014059544,0.49313524,0.94298756,0.9517108,0.01779449,0.9990597,0.3356797,0.21514547,0.41466254,0.0040584803,0.60558456,0.049974203,0.88782895,0.36031738,0.14630109,0.9675636,0.9383359,0.3621287,0.6864522,0.020106286,0.0843786,0.77687865,0.18283156,0.14283633,0.007604003,0.63799524,0.9973849,0.99739087,0.00027921796,0.1260908,0.007885009,0.2560197,0.99804676,0.9824984,0.52369106,0.7272873,0.26696932,0.91805184,0.4610448,0.02774638,0.4591542,0.459566,0.112027764,0.89699274,0.9823269,0.13425115,0.727971,0.08848658,0.05122143,0.93743217,0.81843245,0.5529196,0.9991193,0.60492367,0.9152361,0.11043745,0.95522815,0.08553982,0.36748037,0.0030429065,0.75206065,0.035510898,0.30724627,0.6112104,0.9876767,2.9802322e-08,0.63715243,0.22785616,0.42332405,0.21778363,0.952888
9,0.64263856,0.03888282,0.030203879,0.9525441,0.6592647,0.129994,0.47275975,1.0,0.106708646,0.5602934,0.9733697,0.99366516,0.38320446,0.8441335,0.1636475,0.45867583,0.07905388,0.38718116,0.95221484,0.18311319,0.01080212,0.8409322,0.8158997,0.0002630055,0.98340964,0.21014711,0.4861145,0.9995712,5.990267e-06,0.99999976,0.62770677,0.9700817,0.9960973,1.5199184e-06,0.7151158,0.6816653,0.37326655,0.50263005,0.0050334334,0.9563993,0.9349818,0.90763116,0.20576325,0.07321325,0.09296799,0.9388764,0.069857776,0.17371285,0.0,0.7326658,0.88572353,0.51897645,0.19291535,0.038992792,0.7022197,0.9981506,0.976882,0.9998425,0.1133675,0.98418474,0.027334213,0.99796295,9.62019e-05,0.53909534,0.22151268,0.059915483,0.88369584,0.9854709,0.0011515617,0.13594294,0.27334946,0.04799822,0.9287518,0.9058142,0.28314102,0.7889497,0.7332287,0.0019873083,0.0827907,0.9567975,0.8264724,0.09613562,0.80000365,0.87541026,0.09320521,0.93360484,0.7838686,0.48320776,0.08001378,0.4530554,0.043450534,0.018383116,0.73442626,0.9926201,0.9999949,0.07958889,0.07205558,0.2357629,0.18000275,0.74508435
