Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,0.88556266,0.47655773,0.90600526,0.04400894,0.0028662384,0.21664691,0.9881654,0.010943443,0.27601805,0.99974835,0.5461555,0.51371634,0.9816,0.09314865,0.7723291,0.009477049,0.0019204915,0.10020468,0.7962129,0.9413387,0.26476622,0.14647743,0.9999411,0.2916122,0.88031715,0.3277768,0.33233887,0.37619787,0.006357074,0.13650438,0.8695859,0.97007394,0.00031745434,0.66144603,0.5469583,0.519238,0.877419,0.00041529536,0.21609536,0.71060693,0.99772763,0.54881495,0.9290389,0.5732989,0.3014989,0.8240411,0.4320271,0.15690082,0.50734407,0.89222556,0.00045919418,0.6603967,0.9853411,0.92131746,0.80223584,0.79783374,0.03070715,0.8926189,0.9609632,0.06755066,0.01896125,0.9733158,0.36775488,0.92380655,0.041105986,0.1336197,0.07856333,0.49591562,0.97295296,0.22361416,0.97681355,0.20631212,0.29267967,0.90844077,1.1324883e-06,0.18219537,0.05057034,0.5805,0.0063832104,0.6561335,0.9858543,0.48570478,0.41342443,0.97150385,2.95043e-05,0.17058256,0.013228297,0.043219596,0.56709224,0.96576524,0.8642539,0.8054056,0.00047662854,0.79313576,0.6616471,0.44588503,0.0018455982,0.9597415,0.009690136,0.38884276
1,0.07756305,0.26950586,0.93779886,0.41795516,0.9810828,0.64555013,0.961378,0.9942732,0.31901044,0.026839256,0.90286076,0.8051426,0.15032893,0.9750734,0.22438034,0.084107995,0.14905885,0.38167104,0.28090107,0.9905497,0.22307971,0.24869761,0.983021,0.075692564,0.98970324,0.70487547,0.21158734,0.37011427,0.02084443,0.2580633,0.8637099,0.032235146,0.92868257,0.99649113,0.5181331,0.80072427,0.08317962,0.7945451,0.004466027,0.9050416,0.98917997,0.70650464,0.919652,0.32894075,7.0512295e-05,0.98332363,0.19261295,0.11763117,0.19565895,0.6654701,0.019579172,0.8279085,0.9262864,0.20128712,0.005615741,0.70080256,0.82208645,0.84671795,0.0024940372,0.004138589,0.01768753,0.9637141,0.6639867,0.06579438,0.000744611,0.024595022,0.15615192,0.6097417,0.31383663,0.37812895,0.9273392,0.17479041,0.64152086,0.99998295,0.5595785,0.13064495,0.00011268258,0.66639924,0.99596345,0.80616665,0.96205044,0.09341961,0.20173857,0.9834404,0.6601314,0.13351756,0.0018307865,0.6557338,0.55226713,0.3749808,0.6459573,0.99914646,0.9595244,0.28308362,0.6709874,0.32870755,0.00094899535,0.31001288,0.9685149,0.6047746
2,0.0017254651,0.26193106,0.9387825,0.509461,0.004283935,0.025869548,0.26366207,0.17202497,0.27514544,0.99909645,0.7083341,0.24437559,0.0040327907,0.46905243,0.7950833,0.052277833,0.7150957,0.81128335,0.6711311,0.970894,0.009183615,0.9407401,0.002881229,0.051487714,0.99115366,0.097367376,0.094233155,0.35246763,0.2905055,0.15431976,0.78544027,0.7809344,0.01760906,0.98397315,0.3224969,0.42997134,0.8766708,0.9999998,0.0056955814,0.8632052,0.9858316,0.53454983,0.9056748,0.678205,0.18101522,0.7573862,0.200539,0.088437855,0.42216295,0.46420974,0.999266,0.15777332,0.91023695,0.8649316,0.2160345,0.70845,0.69201106,0.8959181,0.051663637,0.002638191,0.017947882,0.8243307,0.32977605,0.999884,0.0010713637,0.9999997,0.029026002,0.86802775,0.9457443,0.2679004,0.9682069,0.5184665,0.34700337,0.37461883,0.010053575,0.13538781,0.10304427,0.69407725,0.0012587607,0.96636355,0.9827015,0.8882654,0.9549042,0.9997362,0.0,0.08084607,0.6178004,0.22545129,0.6583616,0.7678813,0.7997873,0.83683765,0.9999706,0.62108153,0.49666172,0.31871426,0.011654615,0.9875504,0.9132422,0.32179338
3,0.9575116,0.3652041,0.8944236,0.88770485,0.001426369,0.24548179,0.97264576,0.7587989,0.106983155,0.45944446,0.8248668,0.45568264,0.9154434,0.1858575,0.41184926,0.0038982332,0.97474223,0.61289567,0.62469196,0.91870326,0.1010997,0.04000798,0.014769256,0.1317828,0.96965045,0.23634493,0.061682224,0.38773248,0.20438537,0.024832398,0.07405189,0.13970366,0.032646984,0.1408934,0.25642306,0.7210565,0.26635373,0.00012356043,0.028360784,0.829191,0.9956322,0.15103215,0.6492077,0.12824842,0.99951744,0.007684052,0.06193319,0.24229768,0.49748474,0.2664274,3.1232834e-05,0.81241035,0.9248189,0.04455936,0.9601352,0.7544807,0.09208137,0.8637341,0.41101012,0.047726125,0.007873982,0.9271492,0.6008871,0.94018054,0.9286395,0.0035787225,0.27375293,0.7781646,0.44212773,0.25814414,0.9609772,0.015731603,0.9588125,0.7136142,0.99840486,0.1104556,0.26890588,0.8534493,1.0728836e-06,0.20619938,0.95112836,0.22979999,0.6616523,0.99954456,0.019192815,0.2216537,0.93758154,0.0036936402,0.47535375,0.10533261,0.9780206,0.7029781,4.7713518e-05,0.96918476,0.93963236,0.3171193,0.0058154166,0.99337035,0.99620074,0.9775237
4,0.9791516,0.9925703,0.9474838,0.61699337,0.99999654,0.41436335,0.21169367,0.16767323,0.18342614,0.0048644245,0.8368652,0.90163374,0.98058224,0.7871972,0.10918239,0.008617997,0.79861385,0.71784204,0.7347578,0.9953805,2.8401613e-05,0.24020484,0.0055555105,0.023607582,0.9769308,0.3868891,0.15834221,0.3939256,0.8460314,0.45065293,0.97820145,0.007839799,0.0049268007,0.9933375,0.38226655,0.2529812,0.39110377,0.46619526,0.16690534,0.98500013,0.26704234,0.055015475,0.8365189,0.383815,1.49309635e-05,0.8819618,0.23622704,0.119014144,0.6356508,0.2464594,0.05628124,0.3435391,0.9847621,0.9982311,0.28534424,0.7168266,0.41114932,0.91865015,0.11604813,0.024734616,0.011080891,0.9984188,0.68924487,0.037051827,0.063240886,0.7894448,0.34566772,0.73754525,0.94247216,0.14732188,0.95259094,0.83559,0.7657554,0.99526227,0.49663806,0.12560433,0.07667726,0.69535136,2.9802322e-08,0.9972421,0.997212,0.47746834,0.46433666,0.8741374,2.9802322e-08,0.16950282,0.0005981922,0.0012128949,0.35350168,0.62563777,0.7359699,0.83466476,0.29289788,0.031714946,0.17612779,0.12984046,0.009649843,0.95326525,0.0037869215,0.6956404
5,0.76368237,0.19210428,0.9480339,0.56689405,0.072583586,0.19838294,0.99733996,0.6614809,0.43096542,0.99280614,0.8685715,0.8360388,0.0014470816,0.37024438,0.5878243,0.059406698,0.0012061894,0.16739437,0.4798261,0.9958767,0.0029157102,0.4880615,0.9076406,0.21169543,0.7151822,0.123625815,0.3026412,0.37673628,0.050283074,0.24217898,0.3964767,0.34930813,0.27046812,0.83131444,0.62382704,0.20919377,0.36102057,5.850196e-05,0.024105042,0.90080893,0.121549875,0.46254465,0.65380865,0.5033167,0.07417306,0.75773674,0.14001727,0.11654642,0.7378435,0.88468266,0.9964028,0.3252134,0.9897325,0.9882717,0.5517193,0.7533903,0.2918924,0.87727314,0.91974854,0.0010102987,0.0063061714,0.72147346,0.47084475,0.9419651,0.11871013,0.82042193,0.24528429,0.4971615,0.91705,0.5073277,0.9782214,0.72364986,0.9604006,0.99995154,0.87045467,0.15102467,0.94130147,0.71338916,0.9913058,0.8831455,0.987915,0.14231065,0.18759689,0.93757504,0.00029474497,0.1301282,0.0031187534,0.99992293,0.72023416,0.4048956,0.975875,0.97531825,0.36583173,0.09378114,0.71618104,0.63491714,0.0031382442,0.99870867,0.03429973,0.9345331
6,0.026359558,0.99722356,0.90406764,0.2865665,0.9234363,0.5075001,0.98024505,0.0747858,0.23118058,0.44524723,0.8122662,0.8269887,0.002495885,0.39128748,0.41403162,0.030046284,0.95134354,0.95246786,0.87565124,0.9966986,0.038220376,0.017677248,0.018387675,0.3130819,0.9352325,0.11098316,0.063191,0.4079046,0.97203535,0.045203388,0.017127126,0.496351,0.036630094,0.83946395,0.35636774,0.2939125,0.13590503,1.0,0.19124162,0.79040265,0.53553516,0.08473194,0.7407713,0.5630219,0.56773597,0.99029684,0.12818843,0.24178845,0.5400523,0.63980836,0.9999827,0.97757536,0.9535195,0.9778538,0.6604236,0.7009122,0.21191165,0.93319917,0.14189577,0.0004568398,0.011553526,0.02446416,0.54250944,0.013680607,0.009857625,0.99789727,8.046627e-06,0.8089564,0.4870852,0.65024495,0.9593658,0.03957352,0.60801184,0.18927407,0.045697212,0.118287295,0.008801848,0.7065346,6.9737434e-05,0.8474401,0.9990114,0.0141788125,0.51023656,0.99255854,0.0003786683,0.096048206,0.28306422,0.00053077936,0.8530189,0.014318645,0.7101687,0.91587365,0.00010627508,0.048772633,0.87559783,0.26811415,0.0154079795,0.8069562,0.7917075,0.39636075
7,0.27962014,0.0737949,0.9091624,0.30333441,0.00075504184,0.940737,0.8608651,0.22838452,0.6326243,0.9966511,0.8089773,0.8270401,0.746631,0.12712312,0.5451941,0.053967804,0.9827595,0.38213882,0.41313255,0.718325,0.0029188395,0.9999843,0.998583,0.7082168,0.965273,0.36222196,0.26690012,0.47260883,0.005374074,0.88834643,0.5518736,0.9803205,0.9813907,0.8198472,0.0800536,0.36169916,0.4418815,0.9956174,0.14951187,0.6050847,0.40047285,0.5486298,0.8287737,0.6802066,2.9802322e-08,0.96841466,0.2867356,0.19915342,0.8510823,0.9054729,0.99993926,0.48163748,0.910257,0.8923616,0.34118712,0.77665377,0.95634234,0.8862335,0.68479216,0.055496544,0.009704977,0.108863294,0.47589222,0.22793567,0.5813835,0.999993,0.014075726,0.7564155,0.77978206,0.03635049,0.97189754,0.47481984,0.494184,0.0019288957,0.45385662,0.12764752,0.8016696,0.71754885,0.0,0.07689533,0.92365766,0.0880495,0.39828995,0.99654377,0.9992318,0.059185773,0.8518168,0.0052149594,0.30160335,0.84452,0.9176955,0.7575606,0.1668581,0.0071341395,0.48998266,0.058568686,0.0049998164,0.060175806,0.0017178655,0.77238333
8,0.6223384,0.7786845,0.955741,0.6393914,0.003952116,0.39940798,0.996685,0.87718314,0.49017993,0.0035764873,0.68091524,0.4734964,0.023921043,0.42367804,0.76910317,0.060248226,0.9989759,0.61188513,0.7789724,0.9979421,0.06446931,0.958631,0.90708053,0.982708,0.56994134,0.5546434,0.12564495,0.42416054,0.30159885,0.71231914,0.13547409,0.80437577,0.02024135,0.9877604,0.6190197,0.5441923,0.7516583,0.98438084,0.0010054708,0.537263,0.9355077,0.03067866,0.49011356,0.73553085,0.44797266,0.8772261,0.4161158,0.27824658,0.4106627,0.3619346,0.8618837,0.69259477,0.9876019,0.38249043,0.89051855,0.6850519,0.20197073,0.86738694,0.11505842,0.004757762,0.012457192,0.4657541,0.4639936,0.11480406,0.06541222,0.00026753545,0.00087985396,0.6066979,0.88264227,0.37284523,0.9594461,0.2330297,0.85146797,0.011747986,0.9335543,0.15017045,0.109895974,0.6253536,0.9999572,0.085062385,0.9579183,0.04376468,0.9694902,0.8318903,0.9451687,0.09947422,0.70585966,0.0022410154,0.678797,0.019069433,0.8832176,0.9978783,0.3949296,0.74785775,0.5213755,0.3860477,0.011536598,0.36491746,0.91109073,0.96210444
9,0.9903619,0.8500652,0.9575632,0.6400428,0.9949696,0.9973664,0.9252294,0.019983321,0.5498118,0.9921094,0.8663192,0.6371592,0.00082471967,0.63854384,0.9583088,0.0047754645,0.0008853078,0.75363207,0.6496433,0.044696838,0.08553064,0.22363093,0.99871683,0.18370757,0.9940864,0.8459276,0.06845403,0.4917058,0.11407331,0.09971365,0.2480444,0.46674109,0.8329799,0.8655832,0.32977942,0.60593367,0.27389097,5.081296e-05,0.043432504,0.98231196,0.12992135,0.017506689,0.8327652,0.82721436,0.07328653,0.9924232,0.436455,0.22904488,0.926606,0.82939565,0.999944,0.9834463,0.9857774,0.9951551,0.6991494,0.8081082,0.7535031,0.90069675,0.7618801,0.016555578,0.0109395385,0.47108257,0.5438936,0.47487938,0.009160757,0.9398236,0.11992803,0.53573704,0.33927113,0.34729898,0.9611613,0.03937909,0.3585242,0.9999982,0.6909881,0.1554977,0.05628091,0.84377927,0.991318,0.03223151,0.98910713,0.2300955,0.37355423,0.996467,0.9999149,0.07440546,0.013867646,0.20847455,0.26800582,0.079054594,0.6267309,0.75825953,0.06594774,0.014151067,0.5595912,0.41342905,0.0019258559,0.73877054,0.12060705,0.8263206
