Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
0,2.494910478591919,2.539520502090454,2.6720945835113525,2.7058470249176025,2.715926170349121,2.7228353023529053,2.718905210494995,2.7203562259674072,2.7272415161132812,2.7297563552856445,2.7278671264648438,2.7320716381073,566.535994052887,3.8559436798095703
1,2.5083281993865967,2.5419650077819824,2.621217727661133,2.62126088142395,2.6355228424072266,2.642017126083374,2.670466184616089,2.693507194519043,2.7271311283111572,2.7173309326171875,2.7231838703155518,2.6838529109954834,575.2166728973389,3.8756937980651855
2,2.8083407878875732,2.7085087299346924,2.7238941192626953,2.729386568069458,2.7403666973114014,2.730923891067505,2.7185521125793457,2.7057137489318848,2.7048888206481934,2.707340955734253,2.701864719390869,2.646040678024292,597.4076657295227,3.9832170009613037
3,2.6200931072235107,2.668779134750366,2.7487547397613525,2.7585411071777344,2.7649288177490234,2.7691915035247803,2.7674500942230225,2.7665107250213623,2.774195909500122,2.766014814376831,2.741603136062622,2.6798059940338135,568.1329524517059,4.050783395767212
4,2.5701804161071777,2.6389987468719482,2.7420992851257324,2.7424867153167725,2.748826742172241,2.733879327774048,2.7053356170654297,2.673165798187256,2.6614599227905273,2.6638073921203613,2.655052661895752,2.662647008895874,590.8716289997101,3.900966167449951
5,2.578502655029297,4.8700878620147705,2.7249600887298584,2.732938289642334,2.7514567375183105,2.746736764907837,2.74548077583313,2.7492589950561523,2.719942092895508,2.7453129291534424,2.712188720703125,2.771853446960449,600.0240015983582,3.9989638328552246
6,2.5189812183380127,2.6215884685516357,2.7068636417388916,2.7128443717956543,2.7297708988189697,2.7248246669769287,2.7223265171051025,2.713728427886963,2.699413299560547,2.695375680923462,2.700988292694092,2.6972262859344482,597.0809121131897,3.975032091140747
7,2.61523699760437,2.6553096771240234,2.7417216300964355,2.7455058097839355,2.7570724487304688,2.7547290325164795,2.756300926208496,2.7613213062286377,2.7579567432403564,2.7473201751708984,2.7228710651397705,2.766690492630005,568.6615946292877,4.01659631729126
8,2.5859930515289307,2.629469156265259,2.7073214054107666,2.7122280597686768,2.718975067138672,2.719759941101074,2.8002355098724365,2.7112836837768555,2.6741604804992676,2.6348326206207275,2.6109652519226074,2.6129119396209717,594.6216287612915,3.9428486824035645
9,2.5972845554351807,2.8402271270751953,2.7088985443115234,2.7229769229888916,2.728179693222046,2.7224507331848145,2.693939208984375,2.7116575241088867,2.67775297164917,2.637143135070801,2.6143229007720947,2.6158971786499023,593.1609213352203,3.9901838302612305
10,2.59812331199646,2.638164758682251,2.719216823577881,2.724541187286377,2.736032009124756,2.72944974899292,2.7209880352020264,2.702333927154541,2.7016446590423584,2.704092502593994,2.7032718658447266,2.659543514251709,597.5703887939453,3.9927568435668945
11,2.6008732318878174,5.532217741012573,2.7308576107025146,2.7245914936065674,2.735818862915039,2.7370834350585938,2.7389209270477295,2.7340352535247803,2.7176053524017334,2.70377516746521,2.6861796379089355,2.8783397674560547,597.9219360351562,3.9637868404388428
12,2.548712968826294,2.6421754360198975,2.7529594898223877,2.7617135047912598,2.7773196697235107,2.774176597595215,2.774911642074585,2.7780377864837646,2.7817349433898926,2.785362958908081,2.7820053100585938,2.757906913757324,567.6885986328125,4.042449235916138
13,2.5857248306274414,4.338211297988892,2.7136566638946533,2.7137537002563477,2.7217774391174316,2.7179689407348633,2.7147884368896484,2.7216625213623047,2.6994082927703857,2.7226192951202393,2.6744980812072754,2.9849748611450195,599.9934959411621,3.980404853820801
14,2.560211181640625,2.6460869312286377,2.7349088191986084,2.7302916049957275,2.745511293411255,2.7424707412719727,2.734222888946533,2.9105896949768066,2.712916612625122,2.9166412353515625,2.71828031539917,2.701206922531128,599.5262186527252,3.9923512935638428
15,2.6684396266937256,2.71045184135437,2.785478353500366,2.776081085205078,2.7415504455566406,2.737920045852661,2.7210819721221924,2.715566635131836,2.707329034805298,2.7056851387023926,2.696932315826416,2.6843481063842773,595.6083791255951,3.9699208736419678
16,2.513930559158325,2.5491888523101807,2.632091999053955,2.62650728225708,2.639026641845703,2.635916233062744,2.647317886352539,2.6818628311157227,2.70210337638855,2.7215962409973145,2.7129833698272705,2.708495616912842,570.3374571800232,3.8832249641418457
