Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
0,2.5666987895965576,2.5205862522125244,2.6040053367614746,2.6624715328216553,2.706084966659546,2.7153334617614746,2.712965488433838,2.711545705795288,2.716792345046997,2.7206637859344482,2.7150630950927734,2.6899051666259766,995.7425141334534
1,2.582124710083008,2.5353095531463623,2.6702117919921875,2.717043876647949,2.7259955406188965,2.7236618995666504,2.7353031635284424,2.730210781097412,2.7302727699279785,2.7328202724456787,2.717200517654419,2.700565814971924,1046.6600499153137
2,2.671846628189087,2.6319711208343506,3.255441427230835,2.7401981353759766,2.740931749343872,2.7392895221710205,2.7391319274902344,2.7315211296081543,2.732119560241699,2.7273569107055664,2.6801164150238037,2.657349109649658,990.8908777236938
3,2.6544439792633057,2.621699333190918,2.7026679515838623,2.7114992141723633,2.7178261280059814,2.7200262546539307,2.721700668334961,2.716933250427246,2.7079834938049316,2.6961593627929688,2.6842079162597656,2.6507325172424316,1042.5587923526764
4,2.5492701530456543,2.4860963821411133,2.6068248748779297,2.772827625274658,2.692666530609131,2.6858272552490234,2.6883318424224854,2.6895837783813477,2.6903767585754395,2.6932785511016846,2.6874821186065674,2.666896343231201,1043.791990995407
5,2.7451729774475098,2.655607223510742,2.714686870574951,2.6987054347991943,2.705782175064087,2.6816635131835938,2.6543753147125244,2.636089563369751,2.6284353733062744,2.6190295219421387,2.614684581756592,2.6178386211395264,1043.3411056995392
6,2.7016825675964355,2.613892078399658,2.7261650562286377,2.7336034774780273,2.7391836643218994,2.738219976425171,2.739732265472412,2.7293808460235596,2.7295758724212646,2.710806369781494,2.6688661575317383,2.6496341228485107,989.4113261699677
7,2.6021199226379395,2.5373151302337646,2.6202621459960938,2.6190545558929443,2.6436331272125244,2.657080888748169,2.6793930530548096,2.713010311126709,2.7150115966796875,2.6951935291290283,2.7133119106292725,2.7140297889709473,949.1886456012726
8,2.589905023574829,2.5354506969451904,2.6299564838409424,2.6566002368927,2.686858654022217,3.135026454925537,2.7028918266296387,2.7407772541046143,2.749150276184082,2.715869665145874,2.7096736431121826,2.696627616882324,1033.198094367981
9,2.6405301094055176,2.589463472366333,2.6676323413848877,2.672581195831299,2.6814041137695312,2.6859943866729736,2.681363582611084,2.6841204166412354,2.6671993732452393,2.657564401626587,2.6409459114074707,2.601001739501953,1043.0333499908447
10,2.568307399749756,2.513545513153076,2.6339404582977295,2.6816887855529785,2.699068307876587,2.690716505050659,2.6914734840393066,2.694695234298706,2.700207471847534,2.695908784866333,2.681021213531494,2.650123119354248,995.7636086940765
11,2.6810905933380127,2.6100542545318604,2.723785161972046,2.7519562244415283,2.7377676963806152,2.712764024734497,2.710336208343506,2.6930058002471924,2.6653425693511963,2.663675308227539,2.6291613578796387,2.6189823150634766,1043.2997422218323
