Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99,Sim_100,Sim_101,Sim_102,Sim_103,Sim_104,Sim_105,Sim_106,Sim_107,Sim_108,Sim_109,Sim_110,Sim_111,Sim_112,Sim_113,Sim_114,Sim_115,Sim_116,Sim_117,Sim_118,Sim_119,Sim_120,Sim_121,Sim_122,Sim_123,Sim_124
0,[34.0],[18.0],[0.0],[9.0],[52.0],[35.0],[2.0],[28.0],[47.0],[37.0],[94.0],[91.0],[61.0],[72.0],[45.0],[76.0],[55.0],[81.0],[16.0],[31.0],[34.0],[91.0],[51.0],[70.0],[38.0],[86.0],[54.0],[20.0],[13.0],[52.0],[17.0],[98.0],[35.0],[33.0],[82.0],[42.0],[8.0],[65.0],[24.0],[76.0],[1.0],[24.0],[17.0],[73.0],[30.0],[26.0],[99.0],[72.0],[23.0],[70.0],[99.0],[80.0],[92.0],[34.0],[79.0],[98.0],[17.0],[96.0],[7.0],[6.0],[102.0],[87.0],[6.0],[74.0],[0.0],[56.0],[15.0],[85.0],[15.0],[2.0],[27.0],[83.0],[79.0],[98.0],[5.0],[23.0],[98.0],[95.0],[9.0],[46.0],[29.0],[100.0],[64.0],[31.0],[37.0],[41.0],[57.0],[83.0],[76.0],[56.0],[25.0],[42.0],[23.0],[34.0],[12.0],[86.0],[78.0],[46.0],[87.0],[100.0],[30.0],[60.0],[64.0],[17.0],[87.0],[41.0],[61.0],[31.0],[38.0],[41.0],[9.0],[22.0],[62.0],[39.0],[23.0],[8.0],[25.0],[69.0],[51.0],[75.0],[49.0],[41.0],[75.0],[57.0],[77.0]
1,[12.0],[72.0],[73.0],[42.0],[81.0],[13.0],[17.0],[10.0],[21.0],[43.0],[28.0],[92.0],[40.0],[9.0],[65.0],[6.0],[11.0],[21.0],[23.0],[6.0],[74.0],[40.0],[12.0],[37.0],[58.0],[3.0],[5.0],[50.0],[36.0],[76.0],[69.0],[51.0],[49.0],[42.0],[3.0],[77.0],[32.0],[35.0],[22.0],[37.0],[72.0],[55.0],[83.0],[6.0],[78.0],[57.0],[77.0],[61.0],[80.0],[83.0],[66.0],[27.0],[11.0],[49.0],[7.0],[65.0],[78.0],[27.0],[97.0],[40.0],[74.0],[17.0],[24.0],[35.0],[91.0],[48.0],[94.0],[3.0],[6.0],[78.0],[100.0],[41.0],[36.0],[62.0],[37.0],[55.0],[51.0],[93.0],[16.0],[6.0],[51.0],[102.0],[84.0],[17.0],[31.0],[4.0],[3.0],[1.0],[74.0],[7.0],[19.0],[59.0],[51.0],[5.0],[70.0],[94.0],[51.0],[3.0],[55.0],[97.0],[3.0],[7.0],[4.0],[78.0],[21.0],[100.0],[25.0],[95.0],[69.0],[0.0],[73.0],[92.0],[31.0],[67.0],[61.0],[16.0],[13.0],[24.0],[46.0],[40.0],[75.0],[22.0],[57.0],[58.0],[101.0]
2,[45.0],[31.0],[42.0],[92.0],[7.0],[93.0],[69.0],[3.0],[93.0],[6.0],[16.0],[69.0],[4.0],[76.0],[98.0],[15.0],[42.0],[77.0],[1.0],[13.0],[37.0],[8.0],[34.0],[8.0],[67.0],[74.0],[7.0],[66.0],[40.0],[5.0],[57.0],[55.0],[3.0],[59.0],[36.0],[14.0],[5.0],[29.0],[93.0],[34.0],[82.0],[13.0],[95.0],[8.0],[40.0],[3.0],[71.0],[49.0],[18.0],[13.0],[27.0],[65.0],[44.0],[17.0],[44.0],[100.0],[7.0],[9.0],[87.0],[50.0],[65.0],[42.0],[100.0],[3.0],[72.0],[51.0],[90.0],[69.0],[94.0],[34.0],[69.0],[10.0],[7.0],[1.0],[13.0],[78.0],[13.0],[90.0],[7.0],[13.0],[6.0],[10.0],[6.0],[55.0],[67.0],[49.0],[83.0],[52.0],[49.0],[26.0],[69.0],[13.0],[72.0],[8.0],[52.0],[100.0],[64.0],[67.0],[6.0],[59.0],[70.0],[34.0],[69.0],[34.0],[84.0],[91.0],[55.0],[94.0],[31.0],[31.0],[14.0],[98.0],[84.0],[69.0],[94.0],[52.0],[95.0],[3.0],[13.0],[14.0],[84.0],[2.0],[59.0],[61.0],[92.0]
3,[27.0],[49.0],[13.0],[20.0],[6.0],[78.0],[92.0],[13.0],[13.0],[66.0],[13.0],[8.0],[23.0],[91.0],[82.0],[59.0],[44.0],[22.0],[25.0],[55.0],[55.0],[93.0],[9.0],[7.0],[69.0],[78.0],[6.0],[34.0],[3.0],[102.0],[81.0],[7.0],[69.0],[14.0],[80.0],[66.0],[6.0],[55.0],[13.0],[13.0],[13.0],[67.0],[61.0],[22.0],[67.0],[83.0],[7.0],[55.0],[39.0],[37.0],[86.0],[14.0],[14.0],[23.0],[51.0],[59.0],[65.0],[62.0],[6.0],[48.0],[51.0],[84.0],[5.0],[14.0],[14.0],[37.0],[2.0],[91.0],[38.0],[7.0],[6.0],[76.0],[48.0],[13.0],[76.0],[89.0],[41.0],[100.0],[13.0],[91.0],[35.0],[3.0],[7.0],[81.0],[59.0],[93.0],[13.0],[13.0],[69.0],[78.0],[8.0],[7.0],[57.0],[48.0],[59.0],[96.0],[37.0],[93.0],[8.0],[88.0],[52.0],[68.0],[7.0],[9.0],[19.0],[66.0],[3.0],[99.0],[5.0],[18.0],[96.0],[69.0],[3.0],[27.0],[71.0],[40.0],[51.0],[35.0],[11.0],[93.0],[3.0],[10.0],[81.0],[13.0],[14.0]
4,[29.0],[93.0],[48.0],[11.0],[48.0],[7.0],[78.0],[48.0],[55.0],[80.0],[7.0],[14.0],[66.0],[7.0],[84.0],[37.0],[82.0],[98.0],[38.0],[93.0],[7.0],[34.0],[54.0],[3.0],[34.0],[13.0],[44.0],[10.0],[78.0],[25.0],[11.0],[3.0],[92.0],[98.0],[13.0],[8.0],[13.0],[7.0],[34.0],[3.0],[93.0],[41.0],[3.0],[14.0],[14.0],[13.0],[14.0],[67.0],[90.0],[7.0],[1.0],[10.0],[66.0],[76.0],[13.0],[96.0],[59.0],[18.0],[78.0],[93.0],[14.0],[13.0],[13.0],[11.0],[7.0],[67.0],[6.0],[95.0],[66.0],[59.0],[48.0],[6.0],[3.0],[6.0],[34.0],[85.0],[6.0],[96.0],[3.0],[78.0],[11.0],[14.0],[48.0],[48.0],[11.0],[83.0],[93.0],[92.0],[6.0],[13.0],[80.0],[65.0],[5.0],[99.0],[102.0],[11.0],[81.0],[12.0],[93.0],[16.0],[93.0],[3.0],[37.0],[55.0],[101.0],[23.0],[8.0],[89.0],[19.0],[15.0],[3.0],[34.0],[48.0],[34.0],[10.0],[99.0],[3.0],[4.0],[6.0],[81.0],[92.0],[7.0],[34.0],[3.0],[3.0]
5,[52.0],[99.0],[80.0],[52.0],[13.0],[65.0],[98.0],[65.0],[6.0],[13.0],[48.0],[81.0],[34.0],[63.0],[78.0],[11.0],[3.0],[48.0],[68.0],[7.0],[53.0],[89.0],[31.0],[34.0],[3.0],[48.0],[80.0],[3.0],[55.0],[91.0],[48.0],[13.0],[7.0],[8.0],[78.0],[81.0],[93.0],[26.0],[48.0],[98.0],[3.0],[52.0],[55.0],[93.0],[55.0],[8.0],[22.0],[14.0],[94.0],[59.0],[6.0],[37.0],[55.0],[2.0],[3.0],[86.0],[55.0],[87.0],[52.0],[55.0],[92.0],[37.0],[82.0],[7.0],[23.0],[11.0],[91.0],[42.0],[95.0],[14.0],[13.0],[59.0],[27.0],[59.0],[84.0],[16.0],[8.0],[98.0],[34.0],[82.0],[48.0],[51.0],[34.0],[95.0],[40.0],[99.0],[32.0],[34.0],[2.0],[102.0],[93.0],[48.0],[76.0],[55.0],[3.0],[63.0],[93.0],[40.0],[14.0],[6.0],[13.0],[83.0],[3.0],[65.0],[40.0],[7.0],[92.0],[86.0],[6.0],[101.0],[15.0],[78.0],[34.0],[17.0],[58.0],[22.0],[7.0],[22.0],[102.0],[48.0],[7.0],[34.0],[14.0],[12.0],[48.0]
6,[14.0],[100.0],[22.0],[67.0],[22.0],[55.0],[13.0],[22.0],[48.0],[48.0],[3.0],[3.0],[95.0],[3.0],[59.0],[69.0],[78.0],[11.0],[34.0],[48.0],[48.0],[95.0],[29.0],[18.0],[7.0],[102.0],[34.0],[82.0],[7.0],[34.0],[34.0],[48.0],[13.0],[55.0],[55.0],[92.0],[41.0],[8.0],[7.0],[48.0],[48.0],[82.0],[13.0],[59.0],[93.0],[59.0],[81.0],[74.0],[93.0],[3.0],[91.0],[48.0],[59.0],[25.0],[92.0],[95.0],[14.0],[14.0],[13.0],[7.0],[93.0],[66.0],[52.0],[69.0],[66.0],[3.0],[37.0],[2.0],[96.0],[82.0],[78.0],[14.0],[13.0],[78.0],[52.0],[1.0],[59.0],[88.0],[44.0],[55.0],[34.0],[7.0],[22.0],[7.0],[78.0],[18.0],[7.0],[7.0],[13.0],[59.0],[48.0],[37.0],[41.0],[3.0],[82.0],[80.0],[3.0],[44.0],[80.0],[22.0],[37.0],[11.0],[34.0],[93.0],[3.0],[13.0],[13.0],[98.0],[65.0],[89.0],[78.0],[67.0],[67.0],[71.0],[7.0],[13.0],[48.0],[48.0],[48.0],[6.0],[13.0],[14.0],[3.0],[2.0],[78.0]
7,[102.0],[101.0],[7.0],[6.0],[34.0],[85.0],[7.0],[7.0],[78.0],[7.0],[30.0],[39.0],[91.0],[23.0],[13.0],[93.0],[7.0],[7.0],[51.0],[78.0],[59.0],[41.0],[30.0],[81.0],[48.0],[7.0],[59.0],[78.0],[15.0],[39.0],[82.0],[66.0],[68.0],[92.0],[7.0],[55.0],[69.0],[52.0],[78.0],[7.0],[66.0],[48.0],[11.0],[31.0],[59.0],[92.0],[53.0],[18.0],[95.0],[1.0],[25.0],[7.0],[7.0],[6.0],[33.0],[94.0],[68.0],[88.0],[37.0],[54.0],[8.0],[92.0],[48.0],[53.0],[81.0],[7.0],[98.0],[65.0],[37.0],[101.0],[34.0],[7.0],[55.0],[68.0],[6.0],[3.0],[25.0],[78.0],[78.0],[39.0],[82.0],[59.0],[13.0],[13.0],[93.0],[80.0],[34.0],[3.0],[66.0],[6.0],[82.0],[3.0],[102.0],[13.0],[37.0],[61.0],[7.0],[81.0],[91.0],[102.0],[7.0],[20.0],[66.0],[7.0],[55.0],[44.0],[68.0],[100.0],[95.0],[99.0],[93.0],[7.0],[7.0],[93.0],[69.0],[3.0],[55.0],[23.0],[7.0],[13.0],[68.0],[68.0],[7.0],[22.0],[13.0]
8,[7.0],[89.0],[34.0],[7.0],[59.0],[34.0],[100.0],[49.0],[89.0],[87.0],[22.0],[55.0],[100.0],[15.0],[93.0],[7.0],[54.0],[0.0],[15.0],[32.0],[69.0],[98.0],[77.0],[67.0],[92.0],[38.0],[55.0],[7.0],[102.0],[51.0],[32.0],[23.0],[78.0],[79.0],[2.0],[70.0],[23.0],[93.0],[1.0],[53.0],[54.0],[68.0],[27.0],[81.0],[7.0],[5.0],[92.0],[37.0],[2.0],[38.0],[18.0],[6.0],[3.0],[94.0],[2.0],[6.0],[93.0],[22.0],[50.0],[76.0],[82.0],[55.0],[7.0],[68.0],[58.0],[91.0],[66.0],[41.0],[99.0],[18.0],[38.0],[23.0],[34.0],[24.0],[7.0],[6.0],[55.0],[83.0],[48.0],[7.0],[15.0],[93.0],[68.0],[61.0],[7.0],[39.0],[1.0],[59.0],[86.0],[68.0],[98.0],[18.0],[78.0],[70.0],[63.0],[69.0],[13.0],[7.0],[68.0],[11.0],[34.0],[18.0],[2.0],[86.0],[78.0],[48.0],[78.0],[96.0],[7.0],[55.0],[59.0],[93.0],[59.0],[7.0],[39.0],[15.0],[86.0],[2.0],[66.0],[102.0],[78.0],[62.0],[68.0],[68.0],[36.0]
9,[32.0],[95.0],[39.0],[48.0],[65.0],[50.0],[1.0],[72.0],[50.0],[17.0],[100.0],[59.0],[86.0],[67.0],[28.0],[90.0],[6.0],[61.0],[49.0],[100.0],[76.0],[39.0],[7.0],[35.0],[18.0],[20.0],[50.0],[93.0],[66.0],[37.0],[78.0],[50.0],[2.0],[82.0],[101.0],[13.0],[101.0],[13.0],[73.0],[11.0],[25.0],[58.0],[90.0],[3.0],[73.0],[15.0],[40.0],[43.0],[37.0],[64.0],[2.0],[98.0],[72.0],[66.0],[39.0],[4.0],[48.0],[23.0],[72.0],[13.0],[89.0],[53.0],[102.0],[40.0],[54.0],[54.0],[100.0],[52.0],[98.0],[68.0],[7.0],[67.0],[24.0],[48.0],[45.0],[37.0],[85.0],[66.0],[98.0],[3.0],[101.0],[86.0],[1.0],[85.0],[1.0],[91.0],[20.0],[47.0],[55.0],[61.0],[90.0],[11.0],[91.0],[72.0],[45.0],[67.0],[98.0],[35.0],[54.0],[46.0],[69.0],[101.0],[92.0],[48.0],[41.0],[79.0],[95.0],[61.0],[14.0],[34.0],[7.0],[38.0],[35.0],[41.0],[13.0],[34.0],[17.0],[54.0],[15.0],[82.0],[34.0],[25.0],[22.0],[7.0],[7.0]
