Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[34.0],[7.0],[6.0],[13.0],[13.0],[55.0],[6.0],[87.0],[7.0],[93.0],[7.0],[13.0],[13.0],[85.0],[6.0],[7.0],[7.0],[6.0],[3.0],[39.0],[7.0],[7.0],[40.0],[72.0],[6.0],[34.0],[87.0],[13.0],[7.0],[102.0],[13.0],[41.0],[6.0],[102.0],[82.0],[6.0],[6.0],[13.0],[87.0],[7.0],[82.0],[7.0],[3.0],[7.0],[82.0],[13.0],[13.0],[48.0],[13.0],[3.0],[7.0],[13.0],[13.0],[6.0],[13.0],[55.0],[7.0],[15.0],[14.0],[48.0],[82.0],[82.0],[82.0],[13.0],[15.0],[7.0],[13.0],[14.0],[14.0],[40.0],[78.0],[37.0],[41.0],[82.0],[7.0],[14.0],[55.0],[6.0],[82.0],[3.0],[93.0],[3.0],[13.0],[3.0],[82.0],[7.0],[37.0],[13.0],[13.0],[13.0],[40.0],[37.0],[13.0],[13.0],[7.0],[7.0],[13.0],[6.0],[13.0],[7.0]
1,[7.0],[66.0],[3.0],[82.0],[66.0],[14.0],[31.0],[13.0],[67.0],[3.0],[13.0],[94.0],[22.0],[95.0],[13.0],[93.0],[92.0],[65.0],[14.0],[13.0],[6.0],[13.0],[59.0],[55.0],[35.0],[68.0],[13.0],[10.0],[92.0],[6.0],[37.0],[87.0],[13.0],[91.0],[55.0],[40.0],[41.0],[82.0],[6.0],[39.0],[98.0],[81.0],[41.0],[6.0],[3.0],[48.0],[7.0],[7.0],[82.0],[67.0],[92.0],[7.0],[6.0],[94.0],[6.0],[79.0],[3.0],[7.0],[67.0],[13.0],[7.0],[67.0],[2.0],[22.0],[79.0],[59.0],[82.0],[67.0],[59.0],[13.0],[102.0],[98.0],[87.0],[7.0],[3.0],[92.0],[10.0],[67.0],[61.0],[13.0],[3.0],[13.0],[90.0],[55.0],[6.0],[37.0],[13.0],[95.0],[82.0],[79.0],[55.0],[67.0],[90.0],[82.0],[66.0],[82.0],[48.0],[7.0],[67.0],[82.0]
2,[67.0],[14.0],[67.0],[15.0],[22.0],[39.0],[48.0],[66.0],[68.0],[13.0],[23.0],[98.0],[7.0],[82.0],[37.0],[95.0],[41.0],[41.0],[7.0],[41.0],[41.0],[67.0],[13.0],[40.0],[67.0],[7.0],[48.0],[94.0],[13.0],[37.0],[2.0],[67.0],[3.0],[6.0],[7.0],[2.0],[93.0],[7.0],[15.0],[93.0],[95.0],[66.0],[13.0],[81.0],[13.0],[39.0],[67.0],[93.0],[48.0],[13.0],[100.0],[55.0],[7.0],[7.0],[34.0],[67.0],[37.0],[67.0],[51.0],[14.0],[6.0],[87.0],[67.0],[6.0],[88.0],[67.0],[7.0],[7.0],[55.0],[68.0],[41.0],[47.0],[13.0],[79.0],[48.0],[34.0],[13.0],[82.0],[34.0],[39.0],[34.0],[67.0],[78.0],[40.0],[66.0],[13.0],[88.0],[7.0],[1.0],[23.0],[13.0],[68.0],[48.0],[66.0],[67.0],[6.0],[82.0],[65.0],[86.0],[31.0]
3,[3.0],[67.0],[7.0],[67.0],[55.0],[89.0],[7.0],[22.0],[14.0],[2.0],[78.0],[89.0],[59.0],[98.0],[59.0],[67.0],[78.0],[7.0],[55.0],[66.0],[67.0],[82.0],[93.0],[68.0],[2.0],[6.0],[67.0],[11.0],[48.0],[3.0],[26.0],[51.0],[49.0],[37.0],[6.0],[65.0],[66.0],[94.0],[3.0],[34.0],[49.0],[93.0],[2.0],[2.0],[67.0],[66.0],[3.0],[55.0],[12.0],[55.0],[17.0],[3.0],[10.0],[55.0],[82.0],[13.0],[13.0],[40.0],[12.0],[78.0],[2.0],[66.0],[6.0],[67.0],[40.0],[51.0],[89.0],[48.0],[75.0],[12.0],[10.0],[7.0],[66.0],[66.0],[55.0],[67.0],[3.0],[55.0],[40.0],[7.0],[31.0],[6.0],[66.0],[11.0],[13.0],[100.0],[35.0],[67.0],[67.0],[58.0],[91.0],[7.0],[38.0],[67.0],[78.0],[13.0],[59.0],[67.0],[6.0],[48.0]
4,[37.0],[35.0],[11.0],[7.0],[67.0],[67.0],[67.0],[102.0],[48.0],[100.0],[41.0],[100.0],[40.0],[13.0],[67.0],[96.0],[8.0],[40.0],[99.0],[55.0],[48.0],[3.0],[100.0],[97.0],[22.0],[2.0],[58.0],[55.0],[100.0],[55.0],[82.0],[13.0],[2.0],[24.0],[3.0],[25.0],[78.0],[6.0],[7.0],[3.0],[88.0],[98.0],[6.0],[15.0],[55.0],[15.0],[59.0],[13.0],[66.0],[34.0],[10.0],[37.0],[2.0],[22.0],[35.0],[69.0],[55.0],[14.0],[13.0],[69.0],[40.0],[13.0],[34.0],[20.0],[3.0],[78.0],[59.0],[6.0],[13.0],[67.0],[66.0],[6.0],[93.0],[3.0],[51.0],[7.0],[68.0],[48.0],[13.0],[67.0],[13.0],[34.0],[67.0],[67.0],[34.0],[67.0],[68.0],[83.0],[59.0],[96.0],[52.0],[55.0],[3.0],[6.0],[93.0],[102.0],[55.0],[18.0],[24.0],[13.0]
5,[55.0],[10.0],[34.0],[40.0],[31.0],[31.0],[80.0],[67.0],[82.0],[40.0],[3.0],[91.0],[41.0],[100.0],[75.0],[34.0],[6.0],[67.0],[1.0],[25.0],[98.0],[2.0],[67.0],[66.0],[92.0],[13.0],[40.0],[88.0],[99.0],[100.0],[55.0],[7.0],[69.0],[65.0],[40.0],[41.0],[88.0],[67.0],[1.0],[67.0],[100.0],[13.0],[22.0],[56.0],[78.0],[67.0],[1.0],[67.0],[67.0],[69.0],[55.0],[66.0],[51.0],[66.0],[40.0],[12.0],[95.0],[3.0],[68.0],[66.0],[67.0],[34.0],[66.0],[10.0],[13.0],[66.0],[68.0],[11.0],[79.0],[34.0],[21.0],[92.0],[40.0],[98.0],[68.0],[41.0],[14.0],[35.0],[67.0],[95.0],[55.0],[35.0],[81.0],[34.0],[67.0],[89.0],[26.0],[89.0],[35.0],[48.0],[10.0],[13.0],[40.0],[7.0],[68.0],[55.0],[32.0],[68.0],[40.0],[34.0]
6,[10.0],[13.0],[66.0],[31.0],[84.0],[6.0],[13.0],[55.0],[13.0],[1.0],[65.0],[82.0],[67.0],[84.0],[35.0],[40.0],[3.0],[2.0],[34.0],[15.0],[13.0],[34.0],[96.0],[22.0],[55.0],[66.0],[75.0],[96.0],[102.0],[28.0],[35.0],[35.0],[1.0],[67.0],[13.0],[7.0],[15.0],[66.0],[13.0],[94.0],[13.0],[99.0],[67.0],[70.0],[34.0],[90.0],[48.0],[91.0],[6.0],[75.0],[65.0],[35.0],[35.0],[88.0],[24.0],[22.0],[8.0],[41.0],[55.0],[52.0],[13.0],[37.0],[3.0],[55.0],[23.0],[68.0],[32.0],[82.0],[68.0],[55.0],[67.0],[14.0],[34.0],[67.0],[52.0],[55.0],[35.0],[13.0],[78.0],[34.0],[6.0],[2.0],[3.0],[25.0],[7.0],[10.0],[34.0],[22.0],[91.0],[8.0],[102.0],[94.0],[66.0],[3.0],[99.0],[37.0],[40.0],[93.0],[14.0],[65.0]
7,[18.0],[34.0],[22.0],[6.0],[8.0],[93.0],[66.0],[3.0],[91.0],[15.0],[67.0],[92.0],[52.0],[90.0],[55.0],[98.0],[2.0],[13.0],[13.0],[67.0],[27.0],[81.0],[23.0],[34.0],[23.0],[67.0],[50.0],[74.0],[93.0],[34.0],[67.0],[2.0],[59.0],[82.0],[92.0],[12.0],[11.0],[54.0],[35.0],[55.0],[89.0],[34.0],[15.0],[48.0],[2.0],[30.0],[52.0],[34.0],[11.0],[89.0],[43.0],[78.0],[55.0],[3.0],[67.0],[52.0],[1.0],[34.0],[24.0],[7.0],[41.0],[18.0],[78.0],[82.0],[48.0],[34.0],[55.0],[13.0],[83.0],[7.0],[34.0],[65.0],[2.0],[35.0],[2.0],[13.0],[78.0],[24.0],[59.0],[89.0],[94.0],[14.0],[32.0],[4.0],[55.0],[3.0],[31.0],[40.0],[99.0],[49.0],[22.0],[101.0],[24.0],[28.0],[28.0],[67.0],[98.0],[82.0],[75.0],[68.0]
8,[40.0],[8.0],[23.0],[41.0],[89.0],[100.0],[55.0],[48.0],[55.0],[67.0],[14.0],[3.0],[11.0],[7.0],[3.0],[55.0],[13.0],[101.0],[41.0],[6.0],[53.0],[11.0],[1.0],[82.0],[24.0],[93.0],[55.0],[73.0],[40.0],[16.0],[41.0],[102.0],[35.0],[35.0],[95.0],[42.0],[3.0],[32.0],[2.0],[95.0],[94.0],[89.0],[55.0],[93.0],[24.0],[6.0],[54.0],[99.0],[40.0],[41.0],[51.0],[101.0],[37.0],[24.0],[78.0],[92.0],[6.0],[68.0],[45.0],[34.0],[55.0],[55.0],[37.0],[3.0],[32.0],[19.0],[95.0],[44.0],[52.0],[48.0],[14.0],[35.0],[35.0],[95.0],[13.0],[24.0],[16.0],[3.0],[41.0],[55.0],[35.0],[24.0],[18.0],[8.0],[48.0],[52.0],[41.0],[68.0],[15.0],[55.0],[3.0],[6.0],[15.0],[55.0],[100.0],[94.0],[17.0],[23.0],[68.0],[40.0]
9,[13.0],[68.0],[48.0],[1.0],[28.0],[13.0],[35.0],[18.0],[90.0],[55.0],[55.0],[7.0],[75.0],[88.0],[68.0],[100.0],[15.0],[34.0],[35.0],[81.0],[99.0],[59.0],[69.0],[20.0],[40.0],[98.0],[35.0],[86.0],[3.0],[82.0],[8.0],[6.0],[40.0],[3.0],[88.0],[3.0],[100.0],[101.0],[55.0],[98.0],[99.0],[37.0],[40.0],[13.0],[7.0],[34.0],[99.0],[73.0],[93.0],[59.0],[81.0],[68.0],[34.0],[11.0],[5.0],[7.0],[67.0],[26.0],[35.0],[89.0],[3.0],[28.0],[15.0],[78.0],[69.0],[81.0],[34.0],[34.0],[100.0],[35.0],[3.0],[93.0],[4.0],[6.0],[24.0],[66.0],[93.0],[66.0],[84.0],[1.0],[15.0],[66.0],[7.0],[68.0],[92.0],[66.0],[69.0],[11.0],[75.0],[41.0],[14.0],[75.0],[18.0],[99.0],[13.0],[35.0],[95.0],[89.0],[55.0],[32.0]
