Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[34.0],[7.0],[6.0],[13.0],[13.0],[55.0],[6.0],[87.0],[3.0],[3.0],[67.0],[13.0],[13.0],[78.0],[3.0],[40.0],[7.0],[3.0],[3.0],[39.0],[3.0],[82.0],[40.0],[52.0],[6.0],[67.0],[87.0],[13.0],[7.0],[6.0],[13.0],[87.0],[3.0],[6.0],[82.0],[3.0],[6.0],[13.0],[6.0],[65.0],[82.0],[7.0],[3.0],[7.0],[82.0],[13.0],[13.0],[93.0],[13.0],[3.0],[7.0],[13.0],[13.0],[3.0],[13.0],[13.0],[7.0],[7.0],[13.0],[48.0],[7.0],[82.0],[82.0],[22.0],[40.0],[7.0],[13.0],[13.0],[59.0],[34.0],[79.0],[37.0],[41.0],[82.0],[14.0],[14.0],[3.0],[3.0],[82.0],[3.0],[6.0],[3.0],[13.0],[3.0],[87.0],[7.0],[24.0],[13.0],[13.0],[13.0],[40.0],[13.0],[13.0],[82.0],[82.0],[3.0],[13.0],[6.0],[13.0],[82.0]
1,[22.0],[39.0],[67.0],[82.0],[84.0],[13.0],[13.0],[13.0],[13.0],[91.0],[3.0],[92.0],[55.0],[3.0],[13.0],[34.0],[3.0],[59.0],[13.0],[13.0],[13.0],[13.0],[34.0],[68.0],[67.0],[6.0],[13.0],[68.0],[92.0],[37.0],[37.0],[13.0],[69.0],[35.0],[6.0],[40.0],[41.0],[7.0],[7.0],[82.0],[44.0],[37.0],[41.0],[6.0],[3.0],[38.0],[7.0],[7.0],[82.0],[13.0],[69.0],[7.0],[7.0],[7.0],[34.0],[22.0],[55.0],[15.0],[24.0],[13.0],[55.0],[67.0],[6.0],[3.0],[13.0],[26.0],[7.0],[7.0],[13.0],[13.0],[41.0],[98.0],[13.0],[6.0],[3.0],[92.0],[55.0],[13.0],[40.0],[13.0],[41.0],[35.0],[18.0],[11.0],[6.0],[13.0],[13.0],[67.0],[82.0],[23.0],[13.0],[37.0],[3.0],[13.0],[3.0],[7.0],[40.0],[7.0],[40.0],[13.0]
2,[55.0],[67.0],[37.0],[15.0],[66.0],[39.0],[67.0],[66.0],[8.0],[13.0],[13.0],[82.0],[7.0],[13.0],[59.0],[93.0],[59.0],[40.0],[35.0],[67.0],[40.0],[11.0],[13.0],[92.0],[2.0],[34.0],[48.0],[48.0],[13.0],[81.0],[82.0],[41.0],[13.0],[24.0],[28.0],[34.0],[3.0],[6.0],[35.0],[55.0],[35.0],[14.0],[40.0],[92.0],[13.0],[66.0],[41.0],[55.0],[48.0],[55.0],[51.0],[6.0],[37.0],[55.0],[82.0],[52.0],[13.0],[3.0],[68.0],[14.0],[6.0],[66.0],[67.0],[55.0],[25.0],[67.0],[82.0],[48.0],[74.0],[67.0],[67.0],[101.0],[2.0],[67.0],[48.0],[34.0],[35.0],[55.0],[14.0],[39.0],[25.0],[6.0],[91.0],[41.0],[66.0],[39.0],[35.0],[37.0],[34.0],[58.0],[55.0],[55.0],[48.0],[6.0],[13.0],[92.0],[59.0],[67.0],[86.0],[66.0]
3,[7.0],[24.0],[2.0],[40.0],[101.0],[88.0],[81.0],[22.0],[24.0],[7.0],[66.0],[6.0],[41.0],[7.0],[37.0],[7.0],[35.0],[34.0],[26.0],[40.0],[26.0],[34.0],[26.0],[40.0],[35.0],[7.0],[91.0],[30.0],[48.0],[3.0],[35.0],[67.0],[32.0],[37.0],[2.0],[41.0],[66.0],[67.0],[2.0],[34.0],[14.0],[84.0],[13.0],[67.0],[55.0],[34.0],[67.0],[13.0],[40.0],[67.0],[40.0],[78.0],[6.0],[93.0],[35.0],[11.0],[3.0],[34.0],[12.0],[66.0],[3.0],[13.0],[78.0],[20.0],[15.0],[41.0],[59.0],[11.0],[79.0],[40.0],[93.0],[3.0],[40.0],[78.0],[69.0],[13.0],[102.0],[67.0],[34.0],[7.0],[2.0],[1.0],[24.0],[15.0],[13.0],[67.0],[68.0],[48.0],[35.0],[79.0],[3.0],[67.0],[38.0],[67.0],[66.0],[55.0],[32.0],[32.0],[91.0],[40.0]
4,[24.0],[13.0],[34.0],[41.0],[89.0],[40.0],[55.0],[55.0],[48.0],[1.0],[8.0],[37.0],[40.0],[67.0],[102.0],[67.0],[6.0],[101.0],[100.0],[4.0],[48.0],[54.0],[59.0],[34.0],[37.0],[65.0],[67.0],[67.0],[32.0],[34.0],[2.0],[35.0],[6.0],[7.0],[13.0],[35.0],[40.0],[66.0],[67.0],[67.0],[58.0],[9.0],[15.0],[17.0],[34.0],[40.0],[91.0],[100.0],[8.0],[89.0],[44.0],[55.0],[12.0],[48.0],[2.0],[8.0],[15.0],[67.0],[52.0],[69.0],[67.0],[28.0],[3.0],[15.0],[59.0],[52.0],[88.0],[44.0],[93.0],[3.0],[40.0],[35.0],[66.0],[66.0],[13.0],[67.0],[6.0],[82.0],[3.0],[40.0],[55.0],[40.0],[78.0],[55.0],[34.0],[22.0],[34.0],[100.0],[26.0],[96.0],[102.0],[8.0],[40.0],[30.0],[78.0],[13.0],[34.0],[18.0],[1.0],[41.0]
5,[67.0],[35.0],[18.0],[68.0],[37.0],[81.0],[25.0],[67.0],[96.0],[40.0],[2.0],[59.0],[67.0],[66.0],[7.0],[99.0],[92.0],[82.0],[8.0],[93.0],[35.0],[81.0],[2.0],[26.0],[18.0],[13.0],[11.0],[11.0],[22.0],[59.0],[26.0],[31.0],[21.0],[66.0],[32.0],[15.0],[13.0],[18.0],[55.0],[88.0],[30.0],[34.0],[6.0],[2.0],[8.0],[48.0],[1.0],[91.0],[39.0],[35.0],[11.0],[37.0],[34.0],[11.0],[40.0],[78.0],[6.0],[48.0],[34.0],[3.0],[40.0],[18.0],[66.0],[78.0],[3.0],[48.0],[68.0],[82.0],[100.0],[35.0],[82.0],[97.0],[93.0],[37.0],[55.0],[41.0],[10.0],[37.0],[35.0],[98.0],[37.0],[13.0],[67.0],[2.0],[59.0],[11.0],[41.0],[61.0],[41.0],[48.0],[23.0],[48.0],[25.0],[17.0],[34.0],[102.0],[41.0],[3.0],[82.0],[48.0]
6,[10.0],[98.0],[1.0],[73.0],[55.0],[97.0],[34.0],[48.0],[61.0],[41.0],[35.0],[34.0],[22.0],[6.0],[67.0],[91.0],[15.0],[15.0],[6.0],[98.0],[67.0],[59.0],[73.0],[55.0],[40.0],[48.0],[35.0],[3.0],[44.0],[96.0],[41.0],[40.0],[58.0],[86.0],[37.0],[59.0],[1.0],[32.0],[15.0],[17.0],[22.0],[2.0],[67.0],[15.0],[1.0],[96.0],[35.0],[15.0],[6.0],[2.0],[82.0],[2.0],[59.0],[22.0],[25.0],[92.0],[1.0],[6.0],[51.0],[52.0],[52.0],[55.0],[15.0],[6.0],[48.0],[82.0],[6.0],[28.0],[44.0],[86.0],[59.0],[49.0],[100.0],[2.0],[51.0],[1.0],[24.0],[41.0],[41.0],[44.0],[13.0],[67.0],[47.0],[67.0],[55.0],[55.0],[48.0],[40.0],[15.0],[68.0],[41.0],[18.0],[32.0],[18.0],[8.0],[35.0],[82.0],[37.0],[67.0],[15.0]
7,[15.0],[86.0],[13.0],[6.0],[3.0],[2.0],[2.0],[18.0],[68.0],[98.0],[40.0],[88.0],[25.0],[1.0],[35.0],[11.0],[10.0],[13.0],[1.0],[91.0],[4.0],[3.0],[67.0],[69.0],[68.0],[93.0],[18.0],[18.0],[52.0],[95.0],[55.0],[59.0],[34.0],[41.0],[90.0],[24.0],[34.0],[59.0],[13.0],[35.0],[55.0],[66.0],[1.0],[70.0],[66.0],[100.0],[82.0],[78.0],[67.0],[66.0],[78.0],[67.0],[55.0],[82.0],[67.0],[69.0],[40.0],[35.0],[44.0],[17.0],[13.0],[24.0],[34.0],[37.0],[68.0],[18.0],[55.0],[18.0],[72.0],[68.0],[1.0],[88.0],[7.0],[55.0],[7.0],[6.0],[13.0],[35.0],[6.0],[34.0],[95.0],[41.0],[15.0],[24.0],[3.0],[24.0],[70.0],[68.0],[6.0],[28.0],[34.0],[68.0],[90.0],[35.0],[67.0],[22.0],[48.0],[13.0],[89.0],[34.0]
8,[6.0],[91.0],[66.0],[1.0],[8.0],[42.0],[76.0],[12.0],[55.0],[88.0],[34.0],[102.0],[1.0],[40.0],[6.0],[17.0],[40.0],[41.0],[40.0],[35.0],[70.0],[67.0],[22.0],[82.0],[26.0],[89.0],[34.0],[55.0],[37.0],[55.0],[67.0],[1.0],[18.0],[96.0],[7.0],[25.0],[24.0],[101.0],[3.0],[3.0],[37.0],[41.0],[24.0],[48.0],[52.0],[90.0],[14.0],[6.0],[34.0],[1.0],[1.0],[15.0],[98.0],[24.0],[6.0],[51.0],[25.0],[76.0],[48.0],[67.0],[41.0],[34.0],[8.0],[13.0],[35.0],[68.0],[31.0],[67.0],[48.0],[55.0],[48.0],[7.0],[92.0],[7.0],[52.0],[66.0],[1.0],[2.0],[93.0],[89.0],[68.0],[10.0],[11.0],[40.0],[67.0],[72.0],[52.0],[34.0],[67.0],[69.0],[42.0],[32.0],[15.0],[73.0],[14.0],[25.0],[101.0],[66.0],[34.0],[70.0]
9,[78.0],[37.0],[55.0],[42.0],[34.0],[14.0],[101.0],[52.0],[101.0],[101.0],[15.0],[3.0],[24.0],[34.0],[76.0],[15.0],[13.0],[6.0],[17.0],[66.0],[68.0],[18.0],[55.0],[3.0],[82.0],[18.0],[70.0],[32.0],[49.0],[82.0],[8.0],[15.0],[73.0],[91.0],[66.0],[14.0],[11.0],[11.0],[1.0],[8.0],[73.0],[1.0],[25.0],[13.0],[67.0],[67.0],[25.0],[48.0],[28.0],[34.0],[33.0],[68.0],[18.0],[65.0],[12.0],[67.0],[91.0],[10.0],[73.0],[7.0],[17.0],[97.0],[52.0],[67.0],[32.0],[13.0],[28.0],[69.0],[55.0],[48.0],[18.0],[66.0],[91.0],[35.0],[6.0],[3.0],[93.0],[1.0],[13.0],[67.0],[82.0],[17.0],[6.0],[34.0],[15.0],[52.0],[18.0],[28.0],[1.0],[49.0],[10.0],[73.0],[68.0],[7.0],[68.0],[15.0],[37.0],[59.0],[15.0],[68.0]
