Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[3.0],[6.0],[67.0],[13.0],[78.0],[84.0],[7.0],[14.0],[16.0],[3.0],[102.0],[81.0],[7.0],[7.0],[13.0],[6.0],[6.0],[37.0],[14.0],[7.0],[7.0],[81.0],[7.0],[34.0],[7.0],[22.0],[8.0],[14.0],[13.0],[40.0],[55.0],[8.0],[6.0],[87.0],[55.0],[6.0],[6.0],[6.0],[55.0],[3.0],[8.0],[93.0],[7.0],[34.0],[11.0],[11.0],[13.0],[13.0],[13.0],[34.0],[13.0],[3.0],[55.0],[66.0],[79.0],[51.0],[13.0],[3.0],[13.0],[13.0],[66.0],[7.0],[52.0],[37.0],[102.0],[0.0],[34.0],[3.0],[11.0],[31.0],[14.0],[14.0],[41.0],[6.0],[92.0],[55.0],[48.0],[7.0],[78.0],[13.0],[92.0],[13.0],[84.0],[93.0],[3.0],[6.0],[66.0],[13.0],[3.0],[59.0],[7.0],[78.0],[38.0],[7.0],[78.0],[37.0],[67.0],[93.0],[82.0],[78.0]
1,[13.0],[92.0],[34.0],[8.0],[93.0],[13.0],[34.0],[6.0],[66.0],[7.0],[3.0],[11.0],[3.0],[34.0],[3.0],[78.0],[13.0],[14.0],[3.0],[59.0],[55.0],[34.0],[69.0],[48.0],[55.0],[68.0],[34.0],[66.0],[80.0],[13.0],[44.0],[3.0],[14.0],[14.0],[3.0],[68.0],[48.0],[39.0],[7.0],[34.0],[3.0],[78.0],[48.0],[7.0],[7.0],[93.0],[3.0],[78.0],[92.0],[37.0],[48.0],[93.0],[7.0],[102.0],[92.0],[11.0],[8.0],[68.0],[3.0],[48.0],[78.0],[3.0],[3.0],[3.0],[66.0],[13.0],[6.0],[13.0],[81.0],[3.0],[8.0],[11.0],[93.0],[78.0],[40.0],[34.0],[13.0],[13.0],[6.0],[52.0],[68.0],[66.0],[13.0],[11.0],[78.0],[8.0],[69.0],[78.0],[8.0],[93.0],[3.0],[94.0],[13.0],[13.0],[93.0],[3.0],[41.0],[3.0],[3.0],[92.0]
2,[70.0],[98.0],[6.0],[22.0],[3.0],[37.0],[3.0],[67.0],[68.0],[37.0],[6.0],[87.0],[13.0],[93.0],[92.0],[7.0],[93.0],[82.0],[8.0],[66.0],[13.0],[7.0],[13.0],[13.0],[6.0],[59.0],[81.0],[3.0],[7.0],[22.0],[67.0],[44.0],[59.0],[80.0],[93.0],[98.0],[93.0],[31.0],[3.0],[82.0],[22.0],[7.0],[3.0],[93.0],[3.0],[80.0],[8.0],[48.0],[69.0],[3.0],[7.0],[8.0],[13.0],[13.0],[10.0],[37.0],[3.0],[37.0],[48.0],[14.0],[93.0],[13.0],[78.0],[8.0],[93.0],[3.0],[13.0],[8.0],[48.0],[8.0],[93.0],[102.0],[67.0],[93.0],[81.0],[78.0],[7.0],[44.0],[97.0],[66.0],[3.0],[3.0],[8.0],[7.0],[82.0],[48.0],[3.0],[18.0],[13.0],[31.0],[13.0],[40.0],[34.0],[69.0],[13.0],[13.0],[7.0],[34.0],[59.0],[93.0]
3,[20.0],[7.0],[48.0],[82.0],[8.0],[39.0],[68.0],[87.0],[101.0],[26.0],[7.0],[6.0],[52.0],[13.0],[37.0],[58.0],[7.0],[48.0],[55.0],[13.0],[102.0],[59.0],[44.0],[52.0],[44.0],[3.0],[13.0],[48.0],[37.0],[102.0],[82.0],[59.0],[8.0],[67.0],[13.0],[13.0],[13.0],[97.0],[14.0],[78.0],[13.0],[14.0],[16.0],[11.0],[39.0],[3.0],[92.0],[8.0],[6.0],[84.0],[67.0],[34.0],[78.0],[7.0],[82.0],[83.0],[81.0],[7.0],[59.0],[3.0],[82.0],[66.0],[34.0],[80.0],[7.0],[92.0],[48.0],[32.0],[40.0],[52.0],[13.0],[82.0],[66.0],[55.0],[13.0],[8.0],[88.0],[102.0],[13.0],[34.0],[93.0],[69.0],[48.0],[3.0],[13.0],[22.0],[8.0],[59.0],[78.0],[82.0],[22.0],[18.0],[102.0],[48.0],[7.0],[51.0],[14.0],[92.0],[13.0],[8.0]
4,[22.0],[13.0],[82.0],[24.0],[13.0],[8.0],[80.0],[98.0],[11.0],[69.0],[48.0],[66.0],[40.0],[3.0],[69.0],[67.0],[58.0],[38.0],[48.0],[62.0],[32.0],[78.0],[78.0],[31.0],[92.0],[7.0],[92.0],[79.0],[31.0],[6.0],[6.0],[35.0],[72.0],[34.0],[7.0],[78.0],[37.0],[13.0],[31.0],[66.0],[102.0],[4.0],[55.0],[78.0],[78.0],[82.0],[49.0],[66.0],[66.0],[16.0],[52.0],[13.0],[48.0],[6.0],[68.0],[13.0],[95.0],[14.0],[36.0],[31.0],[34.0],[54.0],[1.0],[52.0],[3.0],[83.0],[94.0],[37.0],[93.0],[13.0],[68.0],[69.0],[101.0],[13.0],[37.0],[48.0],[102.0],[3.0],[37.0],[3.0],[82.0],[48.0],[82.0],[38.0],[55.0],[87.0],[13.0],[37.0],[65.0],[14.0],[34.0],[13.0],[68.0],[16.0],[55.0],[34.0],[22.0],[78.0],[49.0],[13.0]
5,[34.0],[76.0],[92.0],[6.0],[81.0],[93.0],[24.0],[13.0],[82.0],[40.0],[66.0],[99.0],[11.0],[101.0],[8.0],[35.0],[102.0],[98.0],[82.0],[35.0],[40.0],[102.0],[65.0],[41.0],[13.0],[93.0],[76.0],[59.0],[51.0],[10.0],[37.0],[92.0],[23.0],[68.0],[84.0],[59.0],[81.0],[37.0],[102.0],[15.0],[93.0],[96.0],[97.0],[65.0],[82.0],[65.0],[44.0],[31.0],[48.0],[27.0],[22.0],[81.0],[59.0],[55.0],[40.0],[67.0],[83.0],[95.0],[68.0],[67.0],[8.0],[78.0],[93.0],[27.0],[11.0],[7.0],[7.0],[67.0],[82.0],[86.0],[82.0],[6.0],[82.0],[7.0],[68.0],[35.0],[55.0],[55.0],[67.0],[67.0],[45.0],[83.0],[66.0],[14.0],[50.0],[13.0],[98.0],[66.0],[102.0],[38.0],[41.0],[6.0],[79.0],[2.0],[39.0],[66.0],[6.0],[37.0],[39.0],[48.0]
6,[14.0],[12.0],[14.0],[41.0],[97.0],[98.0],[18.0],[11.0],[31.0],[38.0],[44.0],[13.0],[79.0],[4.0],[39.0],[22.0],[25.0],[102.0],[59.0],[55.0],[11.0],[22.0],[51.0],[82.0],[58.0],[13.0],[68.0],[11.0],[87.0],[55.0],[89.0],[78.0],[98.0],[15.0],[31.0],[40.0],[65.0],[8.0],[78.0],[6.0],[44.0],[92.0],[40.0],[81.0],[15.0],[1.0],[55.0],[90.0],[55.0],[45.0],[66.0],[83.0],[76.0],[78.0],[13.0],[86.0],[52.0],[51.0],[57.0],[28.0],[99.0],[15.0],[7.0],[45.0],[78.0],[28.0],[80.0],[6.0],[69.0],[66.0],[83.0],[23.0],[84.0],[26.0],[12.0],[95.0],[68.0],[50.0],[65.0],[7.0],[13.0],[21.0],[93.0],[22.0],[37.0],[65.0],[91.0],[98.0],[4.0],[102.0],[76.0],[37.0],[65.0],[66.0],[100.0],[67.0],[66.0],[18.0],[8.0],[82.0]
7,[56.0],[95.0],[78.0],[78.0],[66.0],[101.0],[40.0],[52.0],[96.0],[67.0],[92.0],[8.0],[37.0],[80.0],[93.0],[1.0],[3.0],[90.0],[68.0],[93.0],[59.0],[35.0],[24.0],[102.0],[3.0],[56.0],[48.0],[67.0],[28.0],[26.0],[51.0],[6.0],[40.0],[3.0],[76.0],[35.0],[101.0],[3.0],[6.0],[48.0],[91.0],[16.0],[13.0],[89.0],[14.0],[55.0],[39.0],[35.0],[7.0],[14.0],[50.0],[24.0],[8.0],[67.0],[12.0],[99.0],[15.0],[66.0],[40.0],[54.0],[48.0],[102.0],[18.0],[87.0],[86.0],[38.0],[35.0],[84.0],[72.0],[34.0],[65.0],[66.0],[6.0],[25.0],[7.0],[13.0],[82.0],[40.0],[93.0],[18.0],[41.0],[1.0],[31.0],[48.0],[39.0],[83.0],[37.0],[6.0],[15.0],[11.0],[92.0],[101.0],[2.0],[44.0],[48.0],[55.0],[52.0],[39.0],[90.0],[101.0]
8,[66.0],[86.0],[3.0],[76.0],[37.0],[15.0],[93.0],[90.0],[6.0],[14.0],[57.0],[2.0],[25.0],[37.0],[78.0],[93.0],[52.0],[40.0],[13.0],[81.0],[67.0],[55.0],[42.0],[30.0],[35.0],[42.0],[82.0],[68.0],[10.0],[58.0],[13.0],[66.0],[91.0],[91.0],[32.0],[55.0],[24.0],[15.0],[67.0],[67.0],[82.0],[3.0],[50.0],[69.0],[6.0],[40.0],[37.0],[6.0],[70.0],[41.0],[14.0],[35.0],[18.0],[23.0],[34.0],[7.0],[40.0],[59.0],[34.0],[15.0],[52.0],[88.0],[40.0],[13.0],[24.0],[86.0],[102.0],[50.0],[13.0],[89.0],[42.0],[3.0],[13.0],[49.0],[27.0],[102.0],[8.0],[59.0],[7.0],[10.0],[24.0],[68.0],[27.0],[40.0],[34.0],[20.0],[89.0],[8.0],[41.0],[48.0],[89.0],[85.0],[40.0],[35.0],[24.0],[18.0],[93.0],[13.0],[15.0],[22.0]
9,[1.0],[35.0],[7.0],[66.0],[100.0],[6.0],[52.0],[79.0],[14.0],[4.0],[52.0],[15.0],[69.0],[2.0],[15.0],[44.0],[98.0],[27.0],[102.0],[91.0],[97.0],[76.0],[88.0],[37.0],[65.0],[98.0],[95.0],[98.0],[85.0],[3.0],[2.0],[13.0],[82.0],[49.0],[65.0],[66.0],[11.0],[55.0],[15.0],[18.0],[20.0],[66.0],[43.0],[49.0],[2.0],[68.0],[17.0],[67.0],[52.0],[15.0],[76.0],[4.0],[6.0],[24.0],[32.0],[91.0],[6.0],[40.0],[92.0],[90.0],[13.0],[49.0],[39.0],[78.0],[55.0],[66.0],[38.0],[21.0],[28.0],[59.0],[48.0],[7.0],[8.0],[67.0],[55.0],[82.0],[67.0],[49.0],[41.0],[15.0],[84.0],[34.0],[6.0],[66.0],[6.0],[43.0],[2.0],[91.0],[6.0],[44.0],[65.0],[66.0],[4.0],[11.0],[73.0],[6.0],[91.0],[89.0],[6.0],[39.0]
