Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24
0,[39.0],[150.0],[323.0],[482.0],[37.0],[350.0],[427.0],[350.0],[431.0],[224.0],[350.0],[254.0],[331.0],[427.0],[150.0],[423.0],[75.0],[221.0],[439.0],[439.0],[150.0],[305.0],[305.0],[144.0],[1.0]
1,[439.0],[172.0],[321.0],[350.0],[331.0],[45.0],[331.0],[271.0],[340.0],[58.0],[533.0],[76.0],[172.0],[45.0],[224.0],[153.0],[344.0],[368.0],[33.0],[350.0],[234.0],[376.0],[532.0],[350.0],[368.0]
2,[486.0],[258.0],[344.0],[35.0],[118.0],[439.0],[66.0],[376.0],[484.0],[45.0],[343.0],[532.0],[532.0],[220.0],[524.0],[350.0],[444.0],[168.0],[150.0],[496.0],[153.0],[259.0],[427.0],[351.0],[524.0]
3,[134.0],[349.0],[150.0],[209.0],[224.0],[368.0],[45.0],[404.0],[492.0],[387.0],[37.0],[221.0],[365.0],[533.0],[31.0],[305.0],[484.0],[254.0],[322.0],[73.0],[82.0],[409.0],[331.0],[118.0],[496.0]
4,[174.0],[340.0],[82.0],[524.0],[524.0],[359.0],[217.0],[150.0],[36.0],[467.0],[409.0],[115.0],[290.0],[327.0],[486.0],[496.0],[350.0],[351.0],[350.0],[486.0],[528.0],[150.0],[129.0],[533.0],[321.0]
5,[95.0],[350.0],[221.0],[239.0],[408.0],[118.0],[524.0],[118.0],[21.0],[294.0],[118.0],[217.0],[33.0],[300.0],[350.0],[130.0],[441.0],[260.0],[524.0],[93.0],[524.0],[239.0],[429.0],[153.0],[429.0]
6,[263.0],[143.0],[242.0],[214.0],[411.0],[351.0],[417.0],[480.0],[73.0],[52.0],[524.0],[476.0],[209.0],[248.0],[351.0],[351.0],[532.0],[258.0],[182.0],[321.0],[254.0],[439.0],[82.0],[359.0],[118.0]
7,[351.0],[219.0],[527.0],[288.0],[499.0],[410.0],[517.0],[254.0],[240.0],[291.0],[234.0],[405.0],[376.0],[35.0],[143.0],[349.0],[429.0],[248.0],[359.0],[230.0],[219.0],[311.0],[524.0],[58.0],[114.0]
8,[280.0],[280.0],[217.0],[219.0],[219.0],[258.0],[429.0],[195.0],[410.0],[51.0],[201.0],[350.0],[289.0],[219.0],[349.0],[280.0],[305.0],[329.0],[376.0],[369.0],[258.0],[366.0],[209.0],[321.0],[254.0]
9,[82.0],[376.0],[463.0],[258.0],[363.0],[408.0],[476.0],[348.0],[224.0],[118.0],[13.0],[305.0],[463.0],[492.0],[240.0],[410.0],[213.0],[427.0],[240.0],[379.0],[350.0],[332.0],[444.0],[224.0],[249.0]
