Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[93.0],[409.0],[331.0],[191.0],[150.0],[54.0],[485.0],[513.0],[112.0],[354.0],[464.0],[404.0],[405.0],[69.0],[298.0],[332.0],[227.0],[70.0],[435.0],[168.0],[1.0],[138.0],[172.0],[411.0],[230.0],[180.0],[90.0],[340.0],[62.0],[179.0],[222.0],[6.0],[401.0],[58.0],[152.0],[246.0],[212.0],[123.0],[477.0],[143.0],[495.0],[174.0],[379.0],[342.0],[62.0],[517.0],[485.0],[230.0],[346.0],[435.0],[340.0],[365.0],[379.0],[239.0],[350.0],[350.0],[512.0],[380.0],[62.0],[86.0],[239.0],[222.0],[519.0],[274.0],[512.0],[382.0],[350.0],[427.0],[221.0],[31.0],[331.0],[21.0],[273.0],[425.0],[485.0],[125.0],[258.0],[285.0],[420.0],[59.0],[84.0],[532.0],[21.0],[150.0],[451.0],[75.0],[415.0],[220.0],[89.0],[231.0],[356.0],[381.0],[171.0],[470.0],[45.0],[62.0],[476.0],[64.0],[308.0],[411.0]
1,[312.0],[159.0],[321.0],[272.0],[118.0],[519.0],[481.0],[444.0],[516.0],[485.0],[524.0],[222.0],[395.0],[106.0],[187.0],[409.0],[415.0],[192.0],[464.0],[273.0],[172.0],[111.0],[346.0],[368.0],[485.0],[45.0],[144.0],[64.0],[130.0],[350.0],[271.0],[231.0],[270.0],[430.0],[64.0],[153.0],[272.0],[97.0],[23.0],[396.0],[426.0],[443.0],[147.0],[355.0],[258.0],[419.0],[396.0],[477.0],[150.0],[200.0],[496.0],[62.0],[69.0],[211.0],[174.0],[8.0],[495.0],[155.0],[489.0],[130.0],[225.0],[300.0],[260.0],[245.0],[347.0],[75.0],[316.0],[45.0],[88.0],[458.0],[62.0],[468.0],[145.0],[450.0],[513.0],[346.0],[15.0],[144.0],[439.0],[149.0],[431.0],[420.0],[319.0],[477.0],[346.0],[260.0],[284.0],[415.0],[322.0],[272.0],[448.0],[406.0],[59.0],[168.0],[463.0],[332.0],[50.0],[46.0],[340.0],[311.0]
2,[377.0],[150.0],[478.0],[485.0],[476.0],[62.0],[305.0],[278.0],[52.0],[340.0],[290.0],[343.0],[331.0],[150.0],[350.0],[86.0],[241.0],[396.0],[118.0],[147.0],[280.0],[31.0],[25.0],[497.0],[241.0],[350.0],[465.0],[477.0],[477.0],[490.0],[393.0],[229.0],[212.0],[350.0],[268.0],[203.0],[62.0],[228.0],[172.0],[346.0],[62.0],[82.0],[291.0],[408.0],[436.0],[280.0],[467.0],[350.0],[204.0],[370.0],[280.0],[484.0],[403.0],[83.0],[114.0],[69.0],[62.0],[439.0],[150.0],[210.0],[350.0],[262.0],[530.0],[33.0],[17.0],[435.0],[346.0],[354.0],[311.0],[172.0],[130.0],[70.0],[191.0],[214.0],[441.0],[62.0],[355.0],[134.0],[496.0],[509.0],[359.0],[379.0],[366.0],[439.0],[482.0],[160.0],[331.0],[370.0],[485.0],[64.0],[33.0],[472.0],[146.0],[64.0],[277.0],[254.0],[244.0],[40.0],[88.0],[26.0]
3,[379.0],[509.0],[146.0],[427.0],[370.0],[468.0],[258.0],[485.0],[346.0],[462.0],[312.0],[62.0],[170.0],[463.0],[73.0],[33.0],[370.0],[25.0],[300.0],[271.0],[332.0],[128.0],[154.0],[425.0],[331.0],[98.0],[84.0],[492.0],[305.0],[146.0],[223.0],[45.0],[209.0],[155.0],[35.0],[454.0],[332.0],[350.0],[33.0],[425.0],[172.0],[130.0],[153.0],[484.0],[476.0],[396.0],[350.0],[75.0],[35.0],[150.0],[21.0],[88.0],[195.0],[118.0],[130.0],[368.0],[159.0],[142.0],[222.0],[211.0],[258.0],[108.0],[425.0],[478.0],[57.0],[150.0],[468.0],[75.0],[482.0],[477.0],[350.0],[409.0],[167.0],[501.0],[350.0],[409.0],[348.0],[240.0],[395.0],[350.0],[346.0],[309.0],[344.0],[391.0],[298.0],[406.0],[241.0],[62.0],[434.0],[379.0],[180.0],[482.0],[439.0],[223.0],[405.0],[168.0],[69.0],[353.0],[468.0],[350.0]
4,[350.0],[469.0],[31.0],[242.0],[410.0],[288.0],[476.0],[217.0],[524.0],[311.0],[277.0],[195.0],[0.0],[355.0],[43.0],[383.0],[350.0],[350.0],[398.0],[277.0],[62.0],[37.0],[31.0],[391.0],[45.0],[125.0],[520.0],[350.0],[403.0],[519.0],[496.0],[346.0],[413.0],[379.0],[353.0],[45.0],[499.0],[429.0],[89.0],[331.0],[502.0],[87.0],[0.0],[79.0],[524.0],[350.0],[379.0],[532.0],[485.0],[217.0],[289.0],[370.0],[376.0],[370.0],[376.0],[290.0],[482.0],[288.0],[506.0],[150.0],[368.0],[209.0],[268.0],[532.0],[152.0],[21.0],[358.0],[260.0],[480.0],[427.0],[150.0],[524.0],[415.0],[115.0],[368.0],[74.0],[496.0],[350.0],[305.0],[277.0],[408.0],[363.0],[477.0],[354.0],[414.0],[134.0],[150.0],[409.0],[524.0],[485.0],[309.0],[396.0],[530.0],[234.0],[331.0],[409.0],[524.0],[403.0],[408.0],[502.0]
5,[258.0],[405.0],[354.0],[228.0],[368.0],[172.0],[0.0],[305.0],[353.0],[45.0],[472.0],[96.0],[69.0],[349.0],[349.0],[436.0],[258.0],[485.0],[346.0],[425.0],[239.0],[76.0],[482.0],[45.0],[147.0],[298.0],[331.0],[468.0],[350.0],[348.0],[506.0],[182.0],[96.0],[395.0],[405.0],[278.0],[154.0],[423.0],[143.0],[280.0],[315.0],[350.0],[150.0],[288.0],[82.0],[258.0],[484.0],[349.0],[350.0],[494.0],[350.0],[254.0],[496.0],[502.0],[31.0],[338.0],[75.0],[69.0],[242.0],[365.0],[340.0],[82.0],[366.0],[355.0],[501.0],[281.0],[368.0],[355.0],[468.0],[306.0],[410.0],[533.0],[37.0],[350.0],[45.0],[150.0],[16.0],[234.0],[242.0],[398.0],[465.0],[350.0],[408.0],[79.0],[496.0],[505.0],[350.0],[45.0],[406.0],[475.0],[198.0],[404.0],[480.0],[273.0],[73.0],[371.0],[486.0],[483.0],[465.0],[331.0]
6,[346.0],[31.0],[45.0],[62.0],[13.0],[51.0],[115.0],[171.0],[75.0],[272.0],[491.0],[82.0],[272.0],[348.0],[524.0],[524.0],[338.0],[376.0],[263.0],[350.0],[524.0],[350.0],[436.0],[84.0],[439.0],[73.0],[311.0],[258.0],[174.0],[376.0],[31.0],[415.0],[468.0],[496.0],[519.0],[82.0],[503.0],[409.0],[168.0],[54.0],[13.0],[107.0],[408.0],[439.0],[13.0],[520.0],[348.0],[470.0],[510.0],[417.0],[332.0],[108.0],[520.0],[524.0],[160.0],[45.0],[130.0],[358.0],[331.0],[350.0],[423.0],[350.0],[468.0],[376.0],[376.0],[395.0],[527.0],[168.0],[359.0],[167.0],[332.0],[290.0],[350.0],[368.0],[182.0],[45.0],[361.0],[450.0],[62.0],[75.0],[31.0],[130.0],[224.0],[182.0],[192.0],[436.0],[379.0],[350.0],[439.0],[392.0],[331.0],[351.0],[485.0],[305.0],[230.0],[234.0],[258.0],[376.0],[176.0],[503.0]
7,[6.0],[476.0],[150.0],[439.0],[75.0],[180.0],[70.0],[271.0],[368.0],[439.0],[265.0],[260.0],[406.0],[408.0],[219.0],[209.0],[306.0],[108.0],[350.0],[360.0],[195.0],[305.0],[118.0],[221.0],[305.0],[389.0],[31.0],[202.0],[379.0],[499.0],[35.0],[224.0],[524.0],[249.0],[486.0],[439.0],[168.0],[524.0],[425.0],[532.0],[45.0],[368.0],[350.0],[395.0],[35.0],[134.0],[258.0],[195.0],[379.0],[118.0],[406.0],[524.0],[194.0],[406.0],[527.0],[82.0],[309.0],[350.0],[439.0],[396.0],[31.0],[205.0],[405.0],[431.0],[62.0],[346.0],[51.0],[95.0],[21.0],[403.0],[367.0],[31.0],[329.0],[62.0],[35.0],[532.0],[427.0],[195.0],[258.0],[258.0],[532.0],[319.0],[78.0],[305.0],[376.0],[340.0],[258.0],[41.0],[45.0],[396.0],[207.0],[494.0],[350.0],[346.0],[404.0],[350.0],[171.0],[346.0],[463.0],[263.0]
8,[431.0],[198.0],[203.0],[195.0],[408.0],[75.0],[348.0],[396.0],[358.0],[322.0],[350.0],[517.0],[129.0],[331.0],[376.0],[118.0],[288.0],[395.0],[370.0],[209.0],[436.0],[271.0],[398.0],[1.0],[354.0],[129.0],[524.0],[405.0],[167.0],[71.0],[524.0],[478.0],[436.0],[524.0],[118.0],[353.0],[350.0],[36.0],[305.0],[258.0],[305.0],[408.0],[130.0],[391.0],[75.0],[79.0],[150.0],[129.0],[160.0],[281.0],[517.0],[35.0],[395.0],[45.0],[50.0],[343.0],[167.0],[258.0],[355.0],[468.0],[229.0],[409.0],[146.0],[62.0],[506.0],[145.0],[502.0],[241.0],[262.0],[69.0],[305.0],[350.0],[332.0],[305.0],[524.0],[524.0],[280.0],[239.0],[234.0],[496.0],[379.0],[150.0],[185.0],[272.0],[484.0],[482.0],[35.0],[171.0],[350.0],[350.0],[64.0],[528.0],[258.0],[170.0],[118.0],[75.0],[376.0],[277.0],[396.0],[258.0]
9,[95.0],[209.0],[385.0],[95.0],[350.0],[478.0],[408.0],[350.0],[496.0],[346.0],[258.0],[439.0],[319.0],[500.0],[159.0],[228.0],[280.0],[502.0],[66.0],[0.0],[410.0],[365.0],[476.0],[433.0],[408.0],[406.0],[118.0],[31.0],[408.0],[331.0],[48.0],[350.0],[134.0],[391.0],[500.0],[277.0],[315.0],[368.0],[329.0],[62.0],[35.0],[203.0],[40.0],[150.0],[88.0],[300.0],[280.0],[406.0],[272.0],[496.0],[368.0],[492.0],[359.0],[311.0],[406.0],[520.0],[403.0],[379.0],[35.0],[524.0],[0.0],[150.0],[431.0],[409.0],[350.0],[468.0],[403.0],[205.0],[214.0],[506.0],[385.0],[40.0],[496.0],[403.0],[523.0],[5.0],[33.0],[242.0],[150.0],[118.0],[398.0],[408.0],[222.0],[346.0],[209.0],[405.0],[378.0],[512.0],[21.0],[258.0],[240.0],[125.0],[311.0],[89.0],[219.0],[45.0],[405.0],[307.0],[276.0],[88.0]
10,[479.0],[322.0],[40.0],[403.0],[200.0],[524.0],[107.0],[75.0],[480.0],[350.0],[353.0],[172.0],[258.0],[210.0],[249.0],[203.0],[231.0],[517.0],[88.0],[153.0],[64.0],[172.0],[350.0],[474.0],[134.0],[524.0],[306.0],[311.0],[517.0],[322.0],[12.0],[160.0],[410.0],[130.0],[258.0],[476.0],[146.0],[118.0],[379.0],[20.0],[350.0],[31.0],[146.0],[385.0],[350.0],[36.0],[46.0],[241.0],[73.0],[172.0],[43.0],[348.0],[88.0],[209.0],[150.0],[425.0],[502.0],[458.0],[350.0],[331.0],[129.0],[368.0],[262.0],[150.0],[383.0],[305.0],[379.0],[439.0],[182.0],[465.0],[34.0],[305.0],[524.0],[224.0],[346.0],[31.0],[329.0],[31.0],[503.0],[366.0],[377.0],[403.0],[173.0],[524.0],[150.0],[281.0],[290.0],[517.0],[75.0],[0.0],[75.0],[423.0],[408.0],[217.0],[21.0],[265.0],[62.0],[395.0],[109.0],[383.0]
