Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99,Sim_100,Sim_101,Sim_102,Sim_103,Sim_104,Sim_105,Sim_106,Sim_107,Sim_108,Sim_109,Sim_110,Sim_111,Sim_112,Sim_113,Sim_114,Sim_115,Sim_116,Sim_117,Sim_118,Sim_119,Sim_120,Sim_121,Sim_122,Sim_123,Sim_124
0,[62.0],[346.0],[73.0],[62.0],[331.0],[62.0],[350.0],[350.0],[82.0],[350.0],[62.0],[62.0],[45.0],[342.0],[350.0],[350.0],[350.0],[172.0],[346.0],[496.0],[496.0],[62.0],[209.0],[62.0],[278.0],[350.0],[62.0],[331.0],[350.0],[485.0],[496.0],[346.0],[350.0],[346.0],[62.0],[350.0],[350.0],[497.0],[346.0],[405.0],[62.0],[62.0],[350.0],[350.0],[350.0],[62.0],[62.0],[485.0],[25.0],[0.0],[62.0],[89.0],[62.0],[82.0],[458.0],[350.0],[496.0],[62.0],[350.0],[229.0],[346.0],[62.0],[62.0],[33.0],[350.0],[350.0],[346.0],[75.0],[147.0],[350.0],[331.0],[75.0],[350.0],[130.0],[130.0],[350.0],[150.0],[62.0],[62.0],[62.0],[346.0],[62.0],[346.0],[62.0],[350.0],[346.0],[331.0],[258.0],[62.0],[350.0],[350.0],[436.0],[79.0],[485.0],[45.0],[350.0],[365.0],[477.0],[350.0],[350.0],[350.0],[346.0],[350.0],[485.0],[21.0],[82.0],[146.0],[496.0],[62.0],[496.0],[350.0],[346.0],[350.0],[311.0],[499.0],[62.0],[350.0],[75.0],[350.0],[468.0],[62.0],[482.0],[62.0],[331.0],[346.0]
1,[209.0],[442.0],[346.0],[130.0],[62.0],[350.0],[31.0],[485.0],[350.0],[346.0],[82.0],[350.0],[62.0],[350.0],[62.0],[62.0],[62.0],[350.0],[485.0],[62.0],[62.0],[485.0],[350.0],[350.0],[150.0],[346.0],[172.0],[209.0],[62.0],[346.0],[62.0],[62.0],[354.0],[45.0],[350.0],[496.0],[62.0],[75.0],[62.0],[350.0],[350.0],[350.0],[62.0],[524.0],[62.0],[21.0],[350.0],[350.0],[350.0],[346.0],[331.0],[16.0],[350.0],[350.0],[350.0],[62.0],[70.0],[405.0],[62.0],[62.0],[331.0],[350.0],[130.0],[310.0],[346.0],[150.0],[350.0],[150.0],[524.0],[62.0],[62.0],[468.0],[427.0],[62.0],[62.0],[146.0],[427.0],[350.0],[403.0],[242.0],[350.0],[350.0],[350.0],[350.0],[62.0],[350.0],[31.0],[350.0],[350.0],[75.0],[230.0],[485.0],[62.0],[350.0],[331.0],[69.0],[33.0],[350.0],[62.0],[70.0],[62.0],[350.0],[62.0],[350.0],[496.0],[532.0],[278.0],[62.0],[350.0],[350.0],[62.0],[350.0],[503.0],[370.0],[346.0],[350.0],[62.0],[346.0],[62.0],[524.0],[350.0],[62.0],[2.0],[69.0],[350.0]
2,[350.0],[350.0],[350.0],[350.0],[350.0],[524.0],[496.0],[62.0],[485.0],[403.0],[350.0],[405.0],[350.0],[62.0],[405.0],[496.0],[496.0],[258.0],[350.0],[350.0],[350.0],[350.0],[346.0],[485.0],[350.0],[331.0],[350.0],[62.0],[331.0],[350.0],[350.0],[350.0],[485.0],[217.0],[217.0],[62.0],[331.0],[350.0],[350.0],[62.0],[405.0],[150.0],[150.0],[70.0],[425.0],[331.0],[405.0],[62.0],[130.0],[485.0],[350.0],[350.0],[439.0],[485.0],[370.0],[217.0],[62.0],[350.0],[82.0],[0.0],[350.0],[496.0],[21.0],[350.0],[439.0],[346.0],[150.0],[350.0],[62.0],[45.0],[350.0],[350.0],[496.0],[350.0],[350.0],[62.0],[331.0],[368.0],[350.0],[64.0],[331.0],[150.0],[150.0],[427.0],[524.0],[485.0],[350.0],[150.0],[31.0],[45.0],[62.0],[350.0],[350.0],[524.0],[346.0],[346.0],[350.0],[62.0],[485.0],[524.0],[150.0],[130.0],[485.0],[62.0],[350.0],[350.0],[485.0],[350.0],[0.0],[62.0],[31.0],[524.0],[62.0],[62.0],[350.0],[519.0],[70.0],[350.0],[405.0],[62.0],[370.0],[350.0],[425.0],[346.0],[403.0]
3,[150.0],[376.0],[524.0],[485.0],[346.0],[21.0],[73.0],[370.0],[346.0],[64.0],[180.0],[482.0],[150.0],[0.0],[73.0],[439.0],[48.0],[75.0],[45.0],[533.0],[150.0],[405.0],[395.0],[468.0],[463.0],[13.0],[258.0],[350.0],[346.0],[436.0],[69.0],[58.0],[379.0],[395.0],[496.0],[82.0],[410.0],[331.0],[496.0],[444.0],[468.0],[73.0],[439.0],[432.0],[496.0],[147.0],[258.0],[370.0],[75.0],[350.0],[288.0],[331.0],[332.0],[346.0],[503.0],[150.0],[524.0],[529.0],[395.0],[350.0],[172.0],[331.0],[128.0],[62.0],[477.0],[403.0],[425.0],[31.0],[350.0],[258.0],[258.0],[376.0],[466.0],[75.0],[150.0],[425.0],[311.0],[370.0],[376.0],[332.0],[62.0],[230.0],[340.0],[496.0],[359.0],[62.0],[332.0],[436.0],[370.0],[130.0],[503.0],[395.0],[21.0],[62.0],[75.0],[468.0],[62.0],[331.0],[437.0],[193.0],[280.0],[396.0],[23.0],[370.0],[370.0],[107.0],[350.0],[463.0],[346.0],[425.0],[130.0],[468.0],[0.0],[64.0],[482.0],[403.0],[331.0],[331.0],[48.0],[439.0],[45.0],[45.0],[331.0],[458.0],[260.0]
4,[228.0],[73.0],[82.0],[82.0],[230.0],[484.0],[343.0],[242.0],[64.0],[118.0],[405.0],[0.0],[468.0],[405.0],[322.0],[379.0],[64.0],[331.0],[309.0],[150.0],[331.0],[523.0],[62.0],[405.0],[485.0],[258.0],[128.0],[130.0],[69.0],[382.0],[239.0],[496.0],[234.0],[75.0],[437.0],[466.0],[150.0],[271.0],[454.0],[82.0],[443.0],[288.0],[346.0],[425.0],[172.0],[350.0],[84.0],[21.0],[340.0],[150.0],[485.0],[62.0],[365.0],[21.0],[62.0],[413.0],[258.0],[496.0],[260.0],[519.0],[95.0],[513.0],[350.0],[242.0],[75.0],[340.0],[496.0],[62.0],[168.0],[182.0],[45.0],[130.0],[405.0],[115.0],[66.0],[409.0],[350.0],[0.0],[150.0],[477.0],[524.0],[346.0],[154.0],[209.0],[342.0],[405.0],[159.0],[482.0],[138.0],[87.0],[130.0],[524.0],[405.0],[380.0],[350.0],[396.0],[331.0],[468.0],[66.0],[142.0],[396.0],[193.0],[436.0],[379.0],[62.0],[224.0],[436.0],[331.0],[499.0],[442.0],[383.0],[385.0],[340.0],[45.0],[150.0],[408.0],[437.0],[431.0],[224.0],[350.0],[346.0],[403.0],[350.0],[477.0],[35.0]
5,[396.0],[503.0],[486.0],[311.0],[439.0],[73.0],[502.0],[439.0],[209.0],[209.0],[439.0],[519.0],[403.0],[349.0],[84.0],[73.0],[385.0],[370.0],[524.0],[485.0],[258.0],[439.0],[150.0],[496.0],[480.0],[429.0],[118.0],[403.0],[258.0],[146.0],[340.0],[154.0],[436.0],[350.0],[351.0],[32.0],[305.0],[62.0],[82.0],[524.0],[409.0],[496.0],[321.0],[87.0],[378.0],[278.0],[524.0],[346.0],[58.0],[408.0],[346.0],[150.0],[524.0],[439.0],[483.0],[395.0],[115.0],[485.0],[45.0],[496.0],[242.0],[48.0],[118.0],[485.0],[258.0],[501.0],[342.0],[485.0],[150.0],[69.0],[349.0],[258.0],[482.0],[405.0],[436.0],[48.0],[62.0],[321.0],[130.0],[491.0],[230.0],[82.0],[35.0],[482.0],[346.0],[379.0],[150.0],[405.0],[45.0],[359.0],[262.0],[95.0],[0.0],[118.0],[168.0],[62.0],[0.0],[150.0],[289.0],[331.0],[524.0],[217.0],[395.0],[439.0],[76.0],[234.0],[524.0],[150.0],[524.0],[408.0],[506.0],[258.0],[368.0],[524.0],[408.0],[486.0],[349.0],[485.0],[524.0],[263.0],[258.0],[496.0],[118.0],[350.0],[354.0]
6,[409.0],[368.0],[209.0],[523.0],[496.0],[159.0],[62.0],[221.0],[62.0],[63.0],[258.0],[280.0],[130.0],[258.0],[159.0],[322.0],[322.0],[383.0],[82.0],[477.0],[346.0],[219.0],[403.0],[524.0],[73.0],[368.0],[468.0],[305.0],[365.0],[524.0],[180.0],[118.0],[230.0],[39.0],[349.0],[502.0],[346.0],[209.0],[524.0],[309.0],[130.0],[524.0],[524.0],[75.0],[75.0],[468.0],[217.0],[45.0],[408.0],[37.0],[468.0],[392.0],[496.0],[331.0],[195.0],[524.0],[376.0],[262.0],[405.0],[376.0],[62.0],[258.0],[423.0],[431.0],[385.0],[58.0],[62.0],[524.0],[73.0],[468.0],[370.0],[532.0],[331.0],[150.0],[378.0],[524.0],[376.0],[69.0],[75.0],[405.0],[75.0],[439.0],[368.0],[115.0],[0.0],[305.0],[410.0],[443.0],[368.0],[288.0],[321.0],[258.0],[474.0],[313.0],[281.0],[290.0],[280.0],[73.0],[322.0],[35.0],[519.0],[70.0],[258.0],[234.0],[439.0],[73.0],[209.0],[524.0],[480.0],[406.0],[48.0],[396.0],[302.0],[350.0],[439.0],[385.0],[376.0],[21.0],[496.0],[260.0],[1.0],[439.0],[376.0],[62.0],[230.0]
7,[346.0],[468.0],[376.0],[376.0],[150.0],[425.0],[524.0],[150.0],[353.0],[230.0],[153.0],[415.0],[515.0],[408.0],[258.0],[405.0],[288.0],[150.0],[480.0],[340.0],[82.0],[524.0],[524.0],[331.0],[258.0],[533.0],[436.0],[0.0],[405.0],[221.0],[531.0],[425.0],[150.0],[305.0],[13.0],[349.0],[530.0],[346.0],[315.0],[288.0],[410.0],[331.0],[405.0],[258.0],[195.0],[35.0],[396.0],[340.0],[423.0],[277.0],[343.0],[384.0],[311.0],[368.0],[298.0],[288.0],[410.0],[69.0],[230.0],[130.0],[437.0],[405.0],[150.0],[284.0],[408.0],[439.0],[234.0],[248.0],[425.0],[118.0],[477.0],[346.0],[276.0],[485.0],[43.0],[21.0],[354.0],[331.0],[230.0],[248.0],[222.0],[321.0],[73.0],[150.0],[425.0],[437.0],[346.0],[455.0],[524.0],[305.0],[524.0],[75.0],[496.0],[370.0],[524.0],[436.0],[351.0],[82.0],[239.0],[305.0],[496.0],[496.0],[309.0],[239.0],[409.0],[354.0],[150.0],[512.0],[376.0],[134.0],[527.0],[329.0],[118.0],[365.0],[258.0],[376.0],[521.0],[396.0],[178.0],[167.0],[13.0],[313.0],[159.0],[150.0],[248.0]
8,[436.0],[48.0],[368.0],[45.0],[468.0],[485.0],[385.0],[258.0],[519.0],[309.0],[229.0],[222.0],[248.0],[468.0],[524.0],[20.0],[130.0],[368.0],[217.0],[481.0],[115.0],[0.0],[108.0],[258.0],[376.0],[348.0],[376.0],[524.0],[485.0],[75.0],[172.0],[45.0],[45.0],[331.0],[258.0],[346.0],[351.0],[13.0],[288.0],[130.0],[209.0],[346.0],[376.0],[35.0],[524.0],[484.0],[340.0],[458.0],[468.0],[448.0],[496.0],[524.0],[322.0],[305.0],[247.0],[354.0],[350.0],[524.0],[524.0],[484.0],[21.0],[439.0],[485.0],[146.0],[129.0],[348.0],[417.0],[69.0],[376.0],[524.0],[439.0],[107.0],[369.0],[331.0],[403.0],[272.0],[281.0],[130.0],[233.0],[78.0],[436.0],[73.0],[89.0],[195.0],[45.0],[45.0],[437.0],[531.0],[69.0],[332.0],[248.0],[150.0],[387.0],[130.0],[348.0],[230.0],[346.0],[258.0],[0.0],[405.0],[348.0],[221.0],[517.0],[150.0],[45.0],[344.0],[346.0],[79.0],[70.0],[45.0],[118.0],[62.0],[468.0],[278.0],[340.0],[368.0],[82.0],[66.0],[349.0],[95.0],[524.0],[258.0],[468.0],[115.0],[209.0]
9,[118.0],[150.0],[379.0],[332.0],[482.0],[234.0],[13.0],[315.0],[71.0],[195.0],[204.0],[234.0],[172.0],[340.0],[217.0],[278.0],[361.0],[118.0],[130.0],[21.0],[524.0],[340.0],[406.0],[477.0],[468.0],[36.0],[228.0],[383.0],[90.0],[58.0],[405.0],[484.0],[258.0],[351.0],[84.0],[150.0],[482.0],[368.0],[423.0],[118.0],[321.0],[209.0],[479.0],[130.0],[312.0],[436.0],[133.0],[322.0],[502.0],[477.0],[524.0],[130.0],[45.0],[229.0],[426.0],[31.0],[82.0],[319.0],[150.0],[12.0],[33.0],[273.0],[477.0],[298.0],[420.0],[305.0],[221.0],[41.0],[499.0],[134.0],[379.0],[442.0],[425.0],[242.0],[513.0],[343.0],[305.0],[150.0],[496.0],[350.0],[482.0],[524.0],[439.0],[288.0],[409.0],[82.0],[477.0],[331.0],[75.0],[439.0],[0.0],[342.0],[436.0],[470.0],[134.0],[45.0],[376.0],[436.0],[219.0],[260.0],[31.0],[118.0],[355.0],[527.0],[368.0],[331.0],[76.0],[21.0],[182.0],[385.0],[524.0],[496.0],[351.0],[439.0],[342.0],[150.0],[346.0],[217.0],[159.0],[363.0],[410.0],[89.0],[277.0],[436.0],[272.0]
