Iteration,Sim_0,Sim_1,Sim_2
0,[350.0],[62.0],[150.0]
1,[150.0],[242.0],[159.0]
2,[75.0],[476.0],[195.0]
3,[130.0],[331.0],[73.0]
4,[408.0],[515.0],[62.0]
5,[368.0],[405.0],[21.0]
6,[502.0],[379.0],[128.0]
7,[195.0],[230.0],[524.0]
8,[45.0],[217.0],[396.0]
9,[239.0],[0.0],[182.0]
10,[230.0],[427.0],[217.0]
11,[248.0],[222.0],[118.0]
12,[496.0],[64.0],[130.0]
13,[524.0],[531.0],[258.0]
14,[499.0],[224.0],[174.0]
15,[468.0],[219.0],[224.0]
16,[413.0],[368.0],[353.0]
17,[212.0],[506.0],[403.0]
18,[426.0],[439.0],[79.0]
19,[344.0],[305.0],[439.0]
20,[329.0],[143.0],[17.0]
21,[486.0],[359.0],[408.0]
22,[191.0],[376.0],[427.0]
23,[354.0],[25.0],[306.0]
24,[79.0],[403.0],[198.0]
25,[166.0],[35.0],[76.0]
26,[400.0],[213.0],[193.0]
27,[395.0],[223.0],[202.0]
28,[89.0],[260.0],[64.0]
29,[358.0],[70.0],[219.0]
30,[153.0],[413.0],[58.0]
31,[359.0],[209.0],[134.0]
32,[513.0],[528.0],[432.0]
33,[367.0],[168.0],[385.0]
34,[382.0],[409.0],[234.0]
35,[519.0],[195.0],[143.0]
36,[11.0],[258.0],[158.0]
37,[300.0],[215.0],[532.0]
38,[485.0],[397.0],[242.0]
39,[35.0],[501.0],[41.0]
40,[427.0],[243.0],[185.0]
41,[70.0],[84.0],[359.0]
42,[8.0],[118.0],[410.0]
43,[134.0],[129.0],[344.0]
44,[472.0],[200.0],[382.0]
45,[406.0],[125.0],[125.0]
46,[322.0],[486.0],[147.0]
47,[397.0],[484.0],[329.0]
48,[249.0],[166.0],[144.0]
49,[327.0],[532.0],[191.0]
50,[477.0],[468.0],[75.0]
51,[506.0],[82.0],[178.0]
52,[439.0],[444.0],[190.0]
53,[410.0],[438.0],[239.0]
54,[201.0],[193.0],[82.0]
55,[21.0],[202.0],[533.0]
56,[531.0],[178.0],[351.0]
57,[202.0],[198.0],[358.0]
58,[217.0],[68.0],[355.0]
59,[36.0],[321.0],[31.0]
60,[361.0],[443.0],[220.0]
61,[483.0],[388.0],[262.0]
62,[299.0],[36.0],[263.0]
63,[423.0],[181.0],[16.0]
64,[181.0],[95.0],[519.0]
65,[33.0],[288.0],[501.0]
66,[193.0],[161.0],[380.0]
67,[1.0],[214.0],[348.0]
68,[428.0],[423.0],[96.0]
69,[118.0],[457.0],[523.0]
70,[453.0],[5.0],[95.0]
71,[444.0],[480.0],[496.0]
72,[484.0],[31.0],[477.0]
73,[530.0],[416.0],[11.0]
74,[145.0],[420.0],[138.0]
75,[268.0],[477.0],[389.0]
76,[131.0],[482.0],[163.0]
77,[182.0],[179.0],[51.0]
78,[159.0],[226.0],[246.0]
79,[95.0],[415.0],[249.0]
80,[32.0],[499.0],[273.0]
81,[225.0],[104.0],[69.0]
82,[48.0],[58.0],[271.0]
83,[532.0],[20.0],[444.0]
84,[213.0],[428.0],[482.0]
85,[157.0],[180.0],[502.0]
86,[158.0],[492.0],[406.0]
87,[39.0],[400.0],[530.0]
88,[262.0],[128.0],[365.0]
89,[319.0],[418.0],[437.0]
90,[421.0],[218.0],[0.0]
91,[44.0],[308.0],[153.0]
92,[497.0],[367.0],[208.0]
93,[149.0],[110.0],[229.0]
94,[20.0],[51.0],[438.0]
95,[393.0],[23.0],[78.0]
96,[96.0],[149.0],[45.0]
97,[200.0],[73.0],[189.0]
98,[188.0],[248.0],[290.0]
99,[250.0],[344.0],[454.0]
100,[309.0],[319.0],[39.0]
101,[310.0],[2.0],[207.0]
102,[97.0],[182.0],[107.0]
103,[148.0],[392.0],[36.0]
104,[526.0],[406.0],[346.0]
105,[448.0],[494.0],[104.0]
106,[482.0],[83.0],[2.0]
107,[417.0],[147.0],[499.0]
108,[288.0],[48.0],[204.0]
109,[381.0],[356.0],[214.0]
110,[226.0],[158.0],[481.0]
111,[387.0],[273.0],[521.0]
112,[55.0],[280.0],[318.0]
113,[425.0],[425.0],[391.0]
114,[125.0],[144.0],[266.0]
115,[111.0],[44.0],[478.0]
116,[15.0],[429.0],[149.0]
117,[170.0],[262.0],[48.0]
118,[475.0],[101.0],[505.0]
119,[273.0],[291.0],[528.0]
120,[93.0],[347.0],[313.0]
121,[275.0],[395.0],[244.0]
122,[271.0],[382.0],[323.0]
123,[243.0],[176.0],[506.0]
124,[152.0],[461.0],[56.0]
125,[115.0],[294.0],[420.0]
126,[380.0],[467.0],[253.0]
127,[454.0],[189.0],[423.0]
128,[83.0],[326.0],[397.0]
129,[474.0],[69.0],[165.0]
130,[203.0],[432.0],[161.0]
131,[492.0],[138.0],[25.0]
132,[68.0],[187.0],[70.0]
133,[360.0],[519.0],[504.0]
134,[356.0],[212.0],[370.0]
135,[420.0],[270.0],[414.0]
136,[240.0],[203.0],[418.0]
137,[379.0],[231.0],[206.0]
138,[437.0],[6.0],[338.0]
139,[528.0],[426.0],[269.0]
140,[76.0],[503.0],[468.0]
141,[13.0],[232.0],[151.0]
142,[323.0],[282.0],[417.0]
143,[533.0],[271.0],[371.0]
144,[293.0],[279.0],[407.0]
145,[12.0],[474.0],[268.0]
146,[116.0],[348.0],[315.0]
147,[51.0],[39.0],[225.0]
148,[198.0],[111.0],[243.0]
149,[279.0],[113.0],[490.0]
150,[167.0],[98.0],[61.0]
151,[269.0],[357.0],[272.0]
152,[357.0],[16.0],[114.0]
153,[321.0],[169.0],[129.0]
154,[101.0],[285.0],[402.0]
155,[205.0],[349.0],[240.0]
156,[208.0],[323.0],[116.0]
157,[313.0],[274.0],[429.0]
158,[56.0],[148.0],[113.0]
159,[469.0],[170.0],[392.0]
160,[465.0],[191.0],[361.0]
161,[27.0],[521.0],[289.0]
162,[189.0],[318.0],[52.0]
163,[143.0],[89.0],[416.0]
164,[308.0],[276.0],[254.0]
165,[163.0],[441.0],[445.0]
166,[161.0],[192.0],[325.0]
167,[108.0],[205.0],[251.0]
168,[211.0],[65.0],[260.0]
169,[478.0],[516.0],[470.0]
170,[384.0],[54.0],[448.0]
171,[449.0],[208.0],[98.0]
172,[113.0],[120.0],[148.0]
173,[114.0],[216.0],[274.0]
174,[151.0],[151.0],[435.0]
175,[438.0],[363.0],[442.0]
176,[277.0],[371.0],[459.0]
177,[236.0],[135.0],[494.0]
178,[392.0],[14.0],[443.0]
179,[369.0],[92.0],[498.0]
180,[347.0],[136.0],[461.0]
181,[280.0],[450.0],[135.0]
182,[331.0],[177.0],[47.0]
183,[28.0],[157.0],[121.0]
184,[251.0],[163.0],[238.0]
185,[278.0],[512.0],[236.0]
186,[467.0],[33.0],[231.0]
187,[199.0],[385.0],[399.0]
188,[274.0],[529.0],[270.0]
189,[183.0],[269.0],[210.0]
190,[507.0],[509.0],[83.0]
191,[435.0],[479.0],[497.0]
192,[443.0],[272.0],[374.0]
193,[80.0],[112.0],[37.0]
194,[30.0],[81.0],[19.0]
195,[447.0],[10.0],[187.0]
196,[87.0],[11.0],[6.0]
197,[154.0],[453.0],[26.0]
198,[372.0],[390.0],[511.0]
199,[122.0],[456.0],[115.0]
200,[326.0],[55.0],[278.0]
201,[385.0],[296.0],[264.0]
202,[272.0],[156.0],[485.0]
203,[61.0],[175.0],[211.0]
204,[430.0],[164.0],[486.0]
205,[490.0],[399.0],[484.0]
206,[64.0],[145.0],[467.0]
207,[399.0],[448.0],[363.0]
208,[43.0],[292.0],[157.0]
209,[53.0],[340.0],[356.0]
210,[419.0],[366.0],[245.0]
211,[366.0],[183.0],[386.0]
212,[124.0],[266.0],[184.0]
213,[112.0],[63.0],[106.0]
214,[294.0],[124.0],[145.0]
215,[337.0],[30.0],[509.0]
216,[59.0],[241.0],[197.0]
217,[126.0],[233.0],[71.0]
218,[348.0],[74.0],[122.0]
219,[252.0],[47.0],[489.0]
220,[514.0],[497.0],[479.0]
221,[285.0],[309.0],[309.0]
222,[221.0],[52.0],[433.0]
223,[246.0],[32.0],[493.0]
224,[169.0],[330.0],[154.0]
225,[164.0],[257.0],[294.0]
226,[491.0],[57.0],[292.0]
227,[402.0],[504.0],[452.0]
228,[509.0],[303.0],[88.0]
229,[479.0],[19.0],[43.0]
230,[266.0],[77.0],[279.0]
231,[174.0],[402.0],[469.0]
232,[177.0],[284.0],[133.0]
233,[466.0],[433.0],[332.0]
234,[452.0],[386.0],[241.0]
