Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[75.0],[524.0],[350.0],[283.0],[405.0],[62.0],[331.0],[350.0],[62.0],[150.0],[242.0],[350.0],[405.0],[502.0],[62.0],[260.0],[62.0],[62.0],[62.0],[329.0],[159.0],[350.0],[350.0],[350.0],[350.0],[350.0],[195.0],[350.0],[350.0],[350.0],[75.0],[31.0],[195.0],[350.0],[350.0],[405.0],[242.0],[75.0],[350.0],[62.0],[376.0],[350.0],[350.0],[332.0],[350.0],[62.0],[354.0],[350.0],[350.0],[350.0],[62.0],[222.0],[160.0],[350.0],[350.0],[350.0],[258.0],[62.0],[221.0],[350.0],[350.0],[468.0],[150.0],[350.0],[350.0],[405.0],[350.0],[75.0],[350.0],[62.0],[107.0],[144.0],[73.0],[242.0],[350.0],[150.0],[242.0],[128.0],[350.0],[350.0],[242.0],[405.0],[395.0],[350.0],[306.0],[350.0],[350.0],[350.0],[73.0],[150.0],[350.0],[221.0],[75.0],[280.0],[75.0],[128.0],[350.0],[75.0],[350.0],[75.0]
1,[405.0],[350.0],[379.0],[150.0],[62.0],[350.0],[150.0],[172.0],[350.0],[405.0],[350.0],[62.0],[350.0],[150.0],[118.0],[368.0],[350.0],[350.0],[350.0],[350.0],[242.0],[75.0],[344.0],[405.0],[150.0],[229.0],[75.0],[209.0],[230.0],[0.0],[234.0],[258.0],[350.0],[195.0],[62.0],[346.0],[62.0],[45.0],[150.0],[118.0],[62.0],[62.0],[62.0],[350.0],[242.0],[221.0],[242.0],[368.0],[258.0],[405.0],[350.0],[0.0],[195.0],[242.0],[354.0],[229.0],[242.0],[321.0],[524.0],[62.0],[150.0],[409.0],[405.0],[405.0],[195.0],[242.0],[258.0],[73.0],[62.0],[332.0],[62.0],[524.0],[62.0],[368.0],[368.0],[242.0],[350.0],[209.0],[209.0],[75.0],[75.0],[171.0],[62.0],[23.0],[350.0],[368.0],[62.0],[209.0],[234.0],[405.0],[75.0],[75.0],[350.0],[172.0],[73.0],[75.0],[439.0],[150.0],[258.0],[346.0]
2,[350.0],[351.0],[62.0],[405.0],[73.0],[75.0],[368.0],[195.0],[405.0],[73.0],[195.0],[118.0],[31.0],[439.0],[350.0],[230.0],[150.0],[159.0],[242.0],[62.0],[172.0],[405.0],[62.0],[73.0],[62.0],[45.0],[350.0],[62.0],[405.0],[62.0],[350.0],[350.0],[73.0],[21.0],[425.0],[242.0],[150.0],[350.0],[368.0],[242.0],[350.0],[346.0],[209.0],[230.0],[229.0],[405.0],[118.0],[62.0],[230.0],[209.0],[219.0],[150.0],[62.0],[62.0],[160.0],[150.0],[73.0],[350.0],[350.0],[346.0],[331.0],[405.0],[242.0],[476.0],[62.0],[258.0],[62.0],[118.0],[217.0],[405.0],[239.0],[409.0],[378.0],[350.0],[476.0],[350.0],[172.0],[195.0],[150.0],[425.0],[350.0],[306.0],[350.0],[519.0],[150.0],[242.0],[0.0],[242.0],[242.0],[224.0],[150.0],[150.0],[405.0],[350.0],[350.0],[118.0],[62.0],[405.0],[305.0],[368.0]
3,[502.0],[221.0],[439.0],[350.0],[172.0],[89.0],[242.0],[331.0],[73.0],[368.0],[239.0],[260.0],[242.0],[350.0],[405.0],[118.0],[242.0],[234.0],[73.0],[405.0],[219.0],[396.0],[242.0],[62.0],[224.0],[62.0],[368.0],[405.0],[332.0],[409.0],[62.0],[209.0],[368.0],[73.0],[75.0],[350.0],[350.0],[409.0],[242.0],[222.0],[405.0],[69.0],[195.0],[405.0],[519.0],[118.0],[62.0],[340.0],[242.0],[75.0],[217.0],[62.0],[159.0],[368.0],[405.0],[160.0],[331.0],[130.0],[242.0],[239.0],[195.0],[439.0],[118.0],[195.0],[219.0],[75.0],[496.0],[219.0],[368.0],[217.0],[130.0],[62.0],[150.0],[69.0],[217.0],[368.0],[150.0],[130.0],[62.0],[242.0],[405.0],[195.0],[217.0],[405.0],[258.0],[62.0],[195.0],[368.0],[350.0],[350.0],[62.0],[515.0],[230.0],[62.0],[405.0],[405.0],[150.0],[368.0],[62.0],[329.0]
4,[258.0],[217.0],[405.0],[242.0],[242.0],[439.0],[229.0],[248.0],[195.0],[350.0],[75.0],[195.0],[195.0],[62.0],[242.0],[391.0],[195.0],[217.0],[368.0],[159.0],[75.0],[150.0],[519.0],[468.0],[408.0],[405.0],[209.0],[368.0],[242.0],[258.0],[45.0],[150.0],[75.0],[62.0],[260.0],[524.0],[258.0],[130.0],[118.0],[217.0],[69.0],[368.0],[242.0],[130.0],[260.0],[258.0],[159.0],[242.0],[405.0],[159.0],[222.0],[130.0],[368.0],[195.0],[217.0],[409.0],[224.0],[368.0],[368.0],[195.0],[75.0],[524.0],[159.0],[239.0],[332.0],[350.0],[463.0],[128.0],[21.0],[496.0],[159.0],[350.0],[195.0],[130.0],[439.0],[409.0],[405.0],[427.0],[195.0],[368.0],[69.0],[130.0],[229.0],[62.0],[75.0],[306.0],[506.0],[75.0],[405.0],[75.0],[476.0],[242.0],[45.0],[160.0],[242.0],[242.0],[405.0],[242.0],[130.0],[350.0]
5,[470.0],[340.0],[73.0],[221.0],[396.0],[524.0],[350.0],[524.0],[260.0],[502.0],[515.0],[217.0],[0.0],[242.0],[234.0],[62.0],[221.0],[405.0],[217.0],[439.0],[409.0],[195.0],[159.0],[432.0],[410.0],[260.0],[221.0],[73.0],[519.0],[130.0],[130.0],[368.0],[69.0],[405.0],[137.0],[130.0],[439.0],[209.0],[221.0],[405.0],[242.0],[118.0],[200.0],[468.0],[75.0],[229.0],[150.0],[502.0],[118.0],[150.0],[0.0],[365.0],[75.0],[239.0],[242.0],[242.0],[159.0],[215.0],[239.0],[107.0],[130.0],[130.0],[195.0],[417.0],[331.0],[73.0],[476.0],[242.0],[73.0],[331.0],[350.0],[405.0],[350.0],[182.0],[118.0],[439.0],[531.0],[376.0],[405.0],[476.0],[234.0],[242.0],[209.0],[209.0],[219.0],[439.0],[69.0],[230.0],[230.0],[425.0],[405.0],[130.0],[355.0],[219.0],[515.0],[37.0],[348.0],[130.0],[331.0],[405.0]
6,[242.0],[75.0],[396.0],[230.0],[195.0],[150.0],[73.0],[242.0],[150.0],[439.0],[62.0],[346.0],[224.0],[476.0],[222.0],[130.0],[0.0],[107.0],[150.0],[396.0],[408.0],[240.0],[405.0],[36.0],[524.0],[230.0],[73.0],[242.0],[234.0],[405.0],[368.0],[0.0],[429.0],[209.0],[477.0],[75.0],[195.0],[25.0],[69.0],[350.0],[150.0],[159.0],[159.0],[217.0],[230.0],[82.0],[409.0],[519.0],[217.0],[468.0],[242.0],[209.0],[172.0],[130.0],[379.0],[130.0],[69.0],[230.0],[62.0],[21.0],[524.0],[62.0],[379.0],[150.0],[242.0],[130.0],[73.0],[350.0],[160.0],[484.0],[73.0],[242.0],[332.0],[118.0],[195.0],[221.0],[515.0],[62.0],[515.0],[73.0],[239.0],[21.0],[242.0],[73.0],[409.0],[519.0],[107.0],[332.0],[413.0],[502.0],[143.0],[477.0],[382.0],[354.0],[217.0],[502.0],[130.0],[260.0],[405.0],[21.0]
7,[477.0],[502.0],[524.0],[62.0],[258.0],[242.0],[346.0],[258.0],[348.0],[515.0],[130.0],[405.0],[439.0],[241.0],[217.0],[240.0],[379.0],[258.0],[245.0],[239.0],[359.0],[239.0],[376.0],[502.0],[354.0],[242.0],[217.0],[239.0],[224.0],[227.0],[195.0],[130.0],[439.0],[340.0],[217.0],[248.0],[405.0],[195.0],[306.0],[519.0],[217.0],[230.0],[368.0],[150.0],[368.0],[242.0],[221.0],[221.0],[219.0],[195.0],[524.0],[405.0],[64.0],[209.0],[439.0],[410.0],[84.0],[379.0],[405.0],[221.0],[62.0],[195.0],[62.0],[368.0],[365.0],[217.0],[368.0],[368.0],[195.0],[439.0],[248.0],[365.0],[405.0],[224.0],[396.0],[75.0],[195.0],[260.0],[221.0],[519.0],[159.0],[340.0],[260.0],[82.0],[130.0],[75.0],[331.0],[239.0],[385.0],[305.0],[379.0],[368.0],[258.0],[242.0],[340.0],[519.0],[239.0],[209.0],[150.0],[354.0]
8,[195.0],[195.0],[376.0],[195.0],[160.0],[346.0],[143.0],[73.0],[396.0],[496.0],[405.0],[234.0],[432.0],[332.0],[476.0],[410.0],[36.0],[150.0],[502.0],[379.0],[21.0],[84.0],[476.0],[519.0],[439.0],[211.0],[332.0],[219.0],[239.0],[195.0],[209.0],[321.0],[129.0],[276.0],[73.0],[468.0],[234.0],[405.0],[195.0],[159.0],[331.0],[221.0],[73.0],[524.0],[502.0],[130.0],[405.0],[73.0],[502.0],[368.0],[519.0],[160.0],[248.0],[73.0],[209.0],[195.0],[409.0],[0.0],[306.0],[248.0],[410.0],[73.0],[524.0],[431.0],[64.0],[21.0],[130.0],[331.0],[130.0],[95.0],[69.0],[306.0],[340.0],[413.0],[112.0],[130.0],[118.0],[242.0],[392.0],[37.0],[219.0],[224.0],[476.0],[195.0],[405.0],[405.0],[64.0],[62.0],[35.0],[62.0],[289.0],[35.0],[217.0],[195.0],[107.0],[409.0],[519.0],[346.0],[288.0],[524.0]
9,[150.0],[519.0],[130.0],[332.0],[350.0],[519.0],[76.0],[181.0],[331.0],[429.0],[209.0],[73.0],[403.0],[73.0],[195.0],[239.0],[217.0],[524.0],[439.0],[195.0],[524.0],[209.0],[496.0],[242.0],[195.0],[0.0],[150.0],[379.0],[160.0],[410.0],[376.0],[242.0],[31.0],[332.0],[221.0],[476.0],[82.0],[239.0],[217.0],[502.0],[431.0],[222.0],[207.0],[242.0],[476.0],[409.0],[439.0],[405.0],[476.0],[439.0],[150.0],[195.0],[405.0],[405.0],[82.0],[89.0],[405.0],[405.0],[82.0],[150.0],[405.0],[376.0],[239.0],[248.0],[73.0],[118.0],[70.0],[234.0],[191.0],[150.0],[221.0],[272.0],[524.0],[209.0],[533.0],[247.0],[468.0],[331.0],[385.0],[463.0],[502.0],[524.0],[496.0],[224.0],[195.0],[73.0],[485.0],[248.0],[31.0],[485.0],[209.0],[485.0],[118.0],[209.0],[524.0],[221.0],[195.0],[219.0],[290.0],[306.0]
