Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99,Sim_100,Sim_101,Sim_102,Sim_103,Sim_104,Sim_105,Sim_106,Sim_107,Sim_108,Sim_109,Sim_110,Sim_111,Sim_112,Sim_113,Sim_114,Sim_115,Sim_116,Sim_117,Sim_118,Sim_119,Sim_120,Sim_121,Sim_122,Sim_123,Sim_124
0,[62.0],[346.0],[350.0],[150.0],[331.0],[62.0],[350.0],[350.0],[62.0],[350.0],[62.0],[62.0],[45.0],[350.0],[350.0],[350.0],[350.0],[172.0],[346.0],[496.0],[483.0],[62.0],[209.0],[331.0],[278.0],[350.0],[62.0],[331.0],[350.0],[485.0],[499.0],[346.0],[350.0],[346.0],[62.0],[350.0],[350.0],[350.0],[346.0],[405.0],[409.0],[344.0],[524.0],[350.0],[350.0],[62.0],[258.0],[350.0],[25.0],[75.0],[321.0],[0.0],[62.0],[82.0],[458.0],[350.0],[496.0],[8.0],[350.0],[223.0],[346.0],[62.0],[62.0],[130.0],[350.0],[350.0],[346.0],[62.0],[147.0],[350.0],[331.0],[346.0],[258.0],[130.0],[130.0],[350.0],[150.0],[62.0],[62.0],[62.0],[524.0],[62.0],[346.0],[51.0],[350.0],[346.0],[331.0],[258.0],[62.0],[350.0],[350.0],[436.0],[79.0],[485.0],[75.0],[350.0],[350.0],[496.0],[350.0],[350.0],[350.0],[346.0],[350.0],[485.0],[21.0],[350.0],[150.0],[477.0],[62.0],[496.0],[350.0],[346.0],[350.0],[73.0],[499.0],[62.0],[350.0],[69.0],[62.0],[468.0],[62.0],[482.0],[62.0],[69.0],[346.0]
1,[209.0],[442.0],[70.0],[130.0],[426.0],[350.0],[31.0],[485.0],[331.0],[70.0],[82.0],[350.0],[62.0],[342.0],[62.0],[439.0],[395.0],[346.0],[485.0],[481.0],[468.0],[404.0],[350.0],[142.0],[150.0],[229.0],[172.0],[209.0],[217.0],[346.0],[288.0],[62.0],[354.0],[45.0],[350.0],[355.0],[482.0],[497.0],[25.0],[350.0],[298.0],[198.0],[66.0],[524.0],[439.0],[37.0],[62.0],[485.0],[350.0],[107.0],[485.0],[288.0],[439.0],[350.0],[346.0],[62.0],[70.0],[480.0],[62.0],[62.0],[280.0],[350.0],[130.0],[33.0],[346.0],[425.0],[350.0],[107.0],[524.0],[62.0],[62.0],[468.0],[465.0],[380.0],[150.0],[146.0],[427.0],[350.0],[403.0],[242.0],[468.0],[217.0],[150.0],[313.0],[354.0],[439.0],[31.0],[436.0],[288.0],[278.0],[230.0],[485.0],[51.0],[350.0],[331.0],[458.0],[379.0],[258.0],[153.0],[70.0],[62.0],[482.0],[321.0],[350.0],[496.0],[75.0],[346.0],[496.0],[350.0],[350.0],[108.0],[350.0],[503.0],[75.0],[396.0],[519.0],[82.0],[413.0],[496.0],[524.0],[350.0],[62.0],[73.0],[425.0],[319.0]
2,[350.0],[130.0],[527.0],[23.0],[130.0],[524.0],[496.0],[62.0],[350.0],[413.0],[405.0],[468.0],[350.0],[482.0],[311.0],[431.0],[346.0],[350.0],[342.0],[248.0],[182.0],[31.0],[468.0],[62.0],[463.0],[411.0],[258.0],[309.0],[346.0],[350.0],[482.0],[64.0],[379.0],[217.0],[217.0],[343.0],[499.0],[73.0],[13.0],[444.0],[499.0],[275.0],[322.0],[376.0],[354.0],[147.0],[405.0],[426.0],[115.0],[437.0],[468.0],[350.0],[350.0],[481.0],[150.0],[150.0],[524.0],[484.0],[82.0],[128.0],[494.0],[370.0],[305.0],[298.0],[331.0],[82.0],[150.0],[82.0],[62.0],[128.0],[350.0],[500.0],[482.0],[437.0],[480.0],[95.0],[350.0],[409.0],[278.0],[64.0],[331.0],[41.0],[350.0],[350.0],[195.0],[524.0],[350.0],[482.0],[350.0],[501.0],[503.0],[458.0],[62.0],[75.0],[128.0],[239.0],[21.0],[512.0],[62.0],[524.0],[150.0],[350.0],[425.0],[31.0],[130.0],[532.0],[350.0],[486.0],[485.0],[107.0],[379.0],[354.0],[62.0],[425.0],[350.0],[350.0],[146.0],[230.0],[427.0],[350.0],[346.0],[45.0],[484.0],[82.0],[499.0]
3,[150.0],[376.0],[346.0],[350.0],[309.0],[21.0],[73.0],[370.0],[32.0],[144.0],[350.0],[432.0],[485.0],[150.0],[346.0],[379.0],[62.0],[130.0],[463.0],[331.0],[230.0],[357.0],[443.0],[95.0],[461.0],[468.0],[350.0],[354.0],[431.0],[498.0],[368.0],[182.0],[468.0],[395.0],[219.0],[492.0],[370.0],[62.0],[350.0],[458.0],[255.0],[408.0],[359.0],[425.0],[51.0],[97.0],[217.0],[432.0],[376.0],[468.0],[331.0],[150.0],[332.0],[524.0],[524.0],[413.0],[346.0],[449.0],[395.0],[21.0],[274.0],[513.0],[258.0],[284.0],[195.0],[496.0],[425.0],[31.0],[168.0],[166.0],[258.0],[370.0],[458.0],[405.0],[241.0],[403.0],[62.0],[21.0],[350.0],[468.0],[204.0],[260.0],[340.0],[455.0],[346.0],[147.0],[258.0],[430.0],[82.0],[13.0],[6.0],[62.0],[533.0],[385.0],[20.0],[368.0],[76.0],[477.0],[477.0],[403.0],[280.0],[309.0],[62.0],[62.0],[342.0],[403.0],[485.0],[482.0],[45.0],[480.0],[376.0],[118.0],[118.0],[350.0],[16.0],[403.0],[409.0],[64.0],[230.0],[439.0],[45.0],[403.0],[425.0],[350.0],[482.0]
4,[35.0],[118.0],[496.0],[468.0],[43.0],[222.0],[343.0],[348.0],[468.0],[130.0],[439.0],[379.0],[69.0],[439.0],[2.0],[524.0],[439.0],[376.0],[408.0],[533.0],[486.0],[258.0],[62.0],[499.0],[350.0],[409.0],[468.0],[13.0],[150.0],[121.0],[25.0],[350.0],[222.0],[75.0],[300.0],[427.0],[262.0],[82.0],[496.0],[259.0],[408.0],[363.0],[439.0],[385.0],[365.0],[294.0],[477.0],[45.0],[340.0],[305.0],[533.0],[107.0],[365.0],[515.0],[350.0],[408.0],[378.0],[437.0],[260.0],[409.0],[439.0],[118.0],[45.0],[443.0],[45.0],[13.0],[496.0],[350.0],[350.0],[482.0],[45.0],[62.0],[463.0],[427.0],[76.0],[62.0],[331.0],[13.0],[376.0],[436.0],[64.0],[321.0],[154.0],[502.0],[385.0],[311.0],[159.0],[431.0],[524.0],[87.0],[332.0],[258.0],[66.0],[130.0],[118.0],[331.0],[409.0],[331.0],[517.0],[159.0],[396.0],[379.0],[331.0],[88.0],[368.0],[484.0],[75.0],[200.0],[172.0],[62.0],[62.0],[485.0],[340.0],[64.0],[519.0],[408.0],[485.0],[145.0],[209.0],[25.0],[368.0],[331.0],[258.0],[481.0],[350.0]
5,[159.0],[482.0],[277.0],[439.0],[51.0],[496.0],[502.0],[463.0],[82.0],[254.0],[35.0],[344.0],[484.0],[305.0],[439.0],[309.0],[209.0],[354.0],[150.0],[350.0],[288.0],[305.0],[294.0],[481.0],[31.0],[370.0],[385.0],[349.0],[47.0],[73.0],[350.0],[152.0],[37.0],[106.0],[408.0],[62.0],[529.0],[217.0],[458.0],[425.0],[436.0],[331.0],[382.0],[443.0],[62.0],[161.0],[262.0],[62.0],[150.0],[350.0],[258.0],[408.0],[524.0],[343.0],[465.0],[13.0],[75.0],[58.0],[45.0],[350.0],[463.0],[142.0],[350.0],[167.0],[258.0],[396.0],[342.0],[532.0],[150.0],[395.0],[349.0],[349.0],[343.0],[167.0],[107.0],[365.0],[242.0],[153.0],[70.0],[350.0],[527.0],[520.0],[95.0],[62.0],[513.0],[128.0],[346.0],[499.0],[263.0],[195.0],[331.0],[409.0],[97.0],[439.0],[16.0],[88.0],[150.0],[481.0],[258.0],[496.0],[239.0],[291.0],[130.0],[503.0],[530.0],[130.0],[142.0],[331.0],[426.0],[0.0],[530.0],[408.0],[499.0],[524.0],[150.0],[468.0],[62.0],[239.0],[413.0],[309.0],[425.0],[51.0],[350.0],[519.0],[376.0]
6,[331.0],[90.0],[75.0],[322.0],[359.0],[160.0],[223.0],[367.0],[305.0],[118.0],[258.0],[217.0],[95.0],[408.0],[95.0],[130.0],[221.0],[0.0],[439.0],[346.0],[258.0],[150.0],[159.0],[64.0],[396.0],[107.0],[376.0],[224.0],[531.0],[379.0],[217.0],[221.0],[436.0],[350.0],[502.0],[33.0],[150.0],[130.0],[280.0],[524.0],[167.0],[410.0],[376.0],[195.0],[288.0],[533.0],[195.0],[217.0],[305.0],[409.0],[62.0],[37.0],[311.0],[268.0],[403.0],[331.0],[13.0],[498.0],[346.0],[480.0],[505.0],[180.0],[118.0],[503.0],[172.0],[463.0],[62.0],[219.0],[272.0],[75.0],[365.0],[524.0],[496.0],[350.0],[350.0],[75.0],[463.0],[150.0],[348.0],[229.0],[150.0],[411.0],[75.0],[258.0],[224.0],[382.0],[468.0],[521.0],[423.0],[62.0],[162.0],[350.0],[107.0],[391.0],[425.0],[506.0],[403.0],[485.0],[311.0],[376.0],[443.0],[403.0],[118.0],[277.0],[350.0],[376.0],[439.0],[453.0],[402.0],[524.0],[346.0],[143.0],[368.0],[35.0],[477.0],[45.0],[45.0],[417.0],[351.0],[130.0],[427.0],[346.0],[360.0],[530.0],[229.0]
7,[178.0],[71.0],[406.0],[62.0],[496.0],[346.0],[182.0],[45.0],[195.0],[496.0],[281.0],[176.0],[159.0],[499.0],[223.0],[368.0],[463.0],[329.0],[224.0],[285.0],[151.0],[531.0],[115.0],[148.0],[305.0],[217.0],[405.0],[486.0],[376.0],[484.0],[209.0],[35.0],[35.0],[351.0],[485.0],[100.0],[531.0],[406.0],[153.0],[288.0],[271.0],[230.0],[64.0],[258.0],[305.0],[288.0],[485.0],[245.0],[395.0],[396.0],[213.0],[13.0],[13.0],[193.0],[351.0],[376.0],[258.0],[172.0],[425.0],[32.0],[519.0],[221.0],[524.0],[288.0],[311.0],[224.0],[234.0],[39.0],[45.0],[484.0],[346.0],[58.0],[346.0],[75.0],[209.0],[408.0],[348.0],[331.0],[482.0],[410.0],[458.0],[442.0],[439.0],[13.0],[260.0],[62.0],[524.0],[457.0],[128.0],[376.0],[21.0],[379.0],[271.0],[288.0],[410.0],[73.0],[468.0],[200.0],[182.0],[368.0],[258.0],[150.0],[437.0],[318.0],[400.0],[305.0],[396.0],[491.0],[221.0],[64.0],[58.0],[437.0],[269.0],[331.0],[532.0],[439.0],[290.0],[429.0],[159.0],[311.0],[12.0],[519.0],[33.0],[73.0],[502.0]
8,[258.0],[358.0],[232.0],[515.0],[481.0],[43.0],[150.0],[258.0],[33.0],[152.0],[115.0],[35.0],[75.0],[321.0],[209.0],[75.0],[242.0],[280.0],[73.0],[96.0],[313.0],[436.0],[258.0],[529.0],[376.0],[524.0],[75.0],[268.0],[476.0],[150.0],[191.0],[178.0],[524.0],[280.0],[439.0],[150.0],[35.0],[209.0],[224.0],[485.0],[463.0],[512.0],[62.0],[234.0],[376.0],[441.0],[441.0],[195.0],[75.0],[70.0],[33.0],[116.0],[45.0],[62.0],[62.0],[263.0],[350.0],[21.0],[513.0],[112.0],[400.0],[153.0],[260.0],[203.0],[396.0],[241.0],[410.0],[221.0],[260.0],[344.0],[376.0],[350.0],[52.0],[62.0],[355.0],[524.0],[332.0],[346.0],[75.0],[150.0],[350.0],[84.0],[73.0],[195.0],[62.0],[399.0],[385.0],[477.0],[346.0],[229.0],[227.0],[37.0],[478.0],[128.0],[248.0],[346.0],[220.0],[499.0],[118.0],[354.0],[159.0],[502.0],[524.0],[172.0],[16.0],[150.0],[224.0],[444.0],[258.0],[130.0],[348.0],[263.0],[348.0],[130.0],[118.0],[203.0],[278.0],[496.0],[463.0],[340.0],[278.0],[350.0],[118.0],[532.0],[209.0]
9,[403.0],[524.0],[217.0],[358.0],[64.0],[205.0],[47.0],[338.0],[409.0],[309.0],[0.0],[280.0],[406.0],[73.0],[331.0],[512.0],[172.0],[496.0],[108.0],[441.0],[496.0],[242.0],[150.0],[485.0],[346.0],[37.0],[239.0],[350.0],[358.0],[501.0],[41.0],[75.0],[258.0],[331.0],[423.0],[484.0],[405.0],[332.0],[405.0],[246.0],[195.0],[180.0],[142.0],[182.0],[499.0],[468.0],[107.0],[279.0],[73.0],[340.0],[496.0],[329.0],[515.0],[368.0],[288.0],[425.0],[417.0],[13.0],[524.0],[331.0],[221.0],[209.0],[477.0],[324.0],[360.0],[45.0],[221.0],[331.0],[225.0],[33.0],[115.0],[405.0],[95.0],[344.0],[382.0],[468.0],[234.0],[311.0],[150.0],[463.0],[217.0],[436.0],[368.0],[533.0],[423.0],[45.0],[75.0],[321.0],[21.0],[150.0],[191.0],[342.0],[485.0],[524.0],[485.0],[408.0],[346.0],[529.0],[239.0],[130.0],[219.0],[395.0],[463.0],[410.0],[118.0],[288.0],[73.0],[355.0],[280.0],[376.0],[31.0],[271.0],[463.0],[45.0],[35.0],[230.0],[16.0],[254.0],[305.0],[62.0],[223.0],[439.0],[283.0],[368.0],[78.0]
