Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC)
0,3.0652201175689697,3.5284202098846436,3.7640228271484375,6.759976625442505,4.265906810760498,4.283491849899292,4.263526201248169,4.271733522415161,4.244907855987549,4.181216239929199,3.9754135608673096,3.7293384075164795,431.8430378437042
1,3.3755757808685303,4.0726845264434814,4.48054575920105,4.637016534805298,4.949768543243408,4.953624963760376,4.949655771255493,4.918199300765991,4.879415273666382,4.876577615737915,4.817612886428833,4.568723678588867,1880.000905752182
2,2.8936915397644043,3.3210067749023438,3.5443897247314453,3.7568042278289795,3.927114725112915,3.9373865127563477,3.942706346511841,3.9253742694854736,3.928419828414917,3.933189868927002,3.954054594039917,3.7875146865844727,324.26917147636414
3,2.8268260955810547,3.3069746494293213,3.5077619552612305,3.7597386837005615,3.926891803741455,3.935419797897339,3.9590044021606445,3.936509847640991,3.9426145553588867,3.9427008628845215,3.9724011421203613,3.968502998352051,326.7152795791626
4,2.86847186088562,3.334822654724121,3.466938018798828,3.726006269454956,3.877053737640381,3.8914504051208496,3.9043514728546143,3.8854851722717285,3.881922960281372,3.892961263656616,3.9209084510803223,3.8287909030914307,327.2272365093231
5,2.8572726249694824,3.3094353675842285,3.532524347305298,3.6157562732696533,4.352040529251099,4.032085657119751,4.0341315269470215,4.029967308044434,4.0399205684661865,4.024749279022217,3.9802584648132324,3.905294895172119,435.7735929489136
6,2.8516082763671875,3.298706293106079,3.521527051925659,3.6185741424560547,4.436727523803711,4.017720460891724,4.017831563949585,4.01972770690918,4.026471376419067,4.014101028442383,3.974130392074585,3.8995609283447266,435.230783700943
7,2.815894842147827,3.32545804977417,3.5387635231018066,3.780496120452881,4.058771371841431,4.066756963729858,4.066672086715698,4.062994480133057,4.07369065284729,4.076334476470947,3.7107269763946533,4.04320216178894,333.6521146297455
8,3.234575033187866,3.6240625381469727,4.10650897026062,4.189453601837158,4.396294355392456,4.480651378631592,4.656334161758423,4.761730670928955,4.808819532394409,4.876202821731567,4.871215581893921,4.872642517089844,1860.2151460647583
9,3.3523354530334473,3.84274959564209,4.128949880599976,4.273633241653442,4.475388526916504,4.544287204742432,4.614381313323975,4.845992088317871,4.773017883300781,4.766600608825684,4.8560216426849365,4.889019966125488,1831.1294085979462
10,2.851576566696167,3.297576427459717,3.500715970993042,3.7565410137176514,3.9100751876831055,3.912554979324341,3.938589096069336,3.9146008491516113,3.909289836883545,3.919717788696289,3.948659896850586,3.8111491203308105,325.0441384315491
11,3.0022408962249756,3.4859354496002197,3.8848204612731934,4.013667345046997,4.2722930908203125,4.270882606506348,4.261319160461426,4.277972459793091,4.268857717514038,3.976149559020996,4.387908458709717,4.102944612503052,341.6795423030853
12,2.8208742141723633,3.191178321838379,3.429227113723755,3.86039137840271,3.8783154487609863,3.8110055923461914,3.8130645751953125,3.8130578994750977,3.791029691696167,3.7989919185638428,3.80010986328125,3.7020621299743652,434.3075051307678
13,2.8435440063476562,3.310091018676758,3.73857045173645,3.636525869369507,4.538164854049683,4.034549951553345,4.032261848449707,4.035001516342163,4.041057586669922,4.032526969909668,3.9868295192718506,3.911829948425293,435.98433113098145
14,3.431842565536499,3.8430488109588623,4.461258411407471,4.663069009780884,4.9877707958221436,5.022741794586182,5.03125262260437,5.045901298522949,4.9864888191223145,4.985358238220215,4.9707932472229,4.879448175430298,1883.2445223331451
15,2.809842824935913,3.3116772174835205,3.543043851852417,3.7597901821136475,3.923394203186035,3.9625372886657715,3.985062599182129,3.962979555130005,3.9665298461914062,3.9677648544311523,3.994264602661133,3.96097469329834,328.5020487308502
16,2.7353017330169678,6.374440670013428,3.3013362884521484,3.4339053630828857,3.536975860595703,3.64228892326355,3.676060438156128,3.7561452388763428,3.791365385055542,5.969051122665405,3.953339099884033,3.8357486724853516,367.8922817707062
17,2.875789165496826,3.3311123847961426,3.5544095039367676,3.641456127166748,4.394713401794434,4.052418947219849,4.055974006652832,4.053628921508789,4.064528465270996,4.0494818687438965,4.002761363983154,3.917252540588379,435.37659645080566
18,2.867333173751831,3.3355836868286133,3.5486562252044678,3.8035426139831543,4.070148468017578,4.074339151382446,4.071792125701904,4.069494962692261,4.071695566177368,4.051484823226929,5.951270818710327,3.9521896839141846,339.5124018192291
19,2.8823468685150146,3.341071367263794,3.4953675270080566,3.783618927001953,3.911036252975464,3.9194278717041016,3.9408912658691406,3.922492265701294,3.919339895248413,3.924712896347046,3.951927423477173,3.8179714679718018,322.93269777297974
