Iteration,Sim_0,Sim_1,Sim_2
0,[262.0],[262.0],[209.0]
1,[209.0],[74.0],[262.0]
2,[74.0],[113.0],[478.0]
3,[478.0],[471.0],[74.0]
4,[382.0],[272.0],[378.0]
5,[110.0],[396.0],[471.0]
6,[471.0],[442.0],[256.0]
7,[488.0],[220.0],[482.0]
8,[236.0],[378.0],[488.0]
9,[420.0],[460.0],[420.0]
10,[38.0],[306.0],[220.0]
11,[248.0],[428.0],[460.0]
12,[272.0],[223.0],[418.0]
13,[122.0],[444.0],[397.0]
14,[460.0],[79.0],[38.0]
15,[253.0],[421.0],[248.0]
16,[199.0],[167.0],[412.0]
17,[499.0],[252.0],[252.0]
18,[266.0],[64.0],[436.0]
19,[49.0],[196.0],[487.0]
20,[397.0],[266.0],[338.0]
21,[104.0],[49.0],[438.0]
22,[126.0],[235.0],[160.0]
23,[125.0],[479.0],[210.0]
24,[40.0],[250.0],[13.0]
25,[442.0],[86.0],[251.0]
26,[275.0],[275.0],[197.0]
27,[370.0],[399.0],[393.0]
28,[79.0],[95.0],[211.0]
29,[189.0],[236.0],[282.0]
30,[51.0],[101.0],[141.0]
31,[62.0],[385.0],[122.0]
32,[201.0],[122.0],[458.0]
33,[270.0],[270.0],[204.0]
34,[493.0],[285.0],[403.0]
35,[243.0],[374.0],[51.0]
36,[339.0],[156.0],[109.0]
37,[285.0],[145.0],[44.0]
38,[323.0],[323.0],[258.0]
39,[479.0],[169.0],[399.0]
40,[174.0],[454.0],[408.0]
41,[44.0],[54.0],[170.0]
42,[19.0],[181.0],[79.0]
43,[256.0],[443.0],[195.0]
44,[27.0],[121.0],[54.0]
45,[67.0],[190.0],[411.0]
46,[117.0],[202.0],[475.0]
47,[245.0],[38.0],[82.0]
48,[426.0],[458.0],[321.0]
49,[47.0],[283.0],[185.0]
50,[415.0],[293.0],[33.0]
51,[185.0],[159.0],[308.0]
52,[291.0],[61.0],[454.0]
53,[444.0],[53.0],[1.0]
54,[52.0],[414.0],[325.0]
55,[61.0],[426.0],[278.0]
56,[36.0],[434.0],[355.0]
57,[16.0],[102.0],[234.0]
58,[495.0],[408.0],[14.0]
59,[252.0],[357.0],[73.0]
60,[232.0],[183.0],[167.0]
61,[393.0],[118.0],[447.0]
62,[434.0],[195.0],[239.0]
63,[215.0],[232.0],[366.0]
64,[183.0],[62.0],[194.0]
65,[357.0],[400.0],[169.0]
66,[407.0],[258.0],[466.0]
67,[320.0],[379.0],[472.0]
68,[98.0],[430.0],[439.0]
69,[150.0],[148.0],[462.0]
70,[416.0],[174.0],[296.0]
71,[411.0],[130.0],[388.0]
72,[258.0],[394.0],[130.0]
73,[388.0],[356.0],[309.0]
74,[299.0],[341.0],[474.0]
75,[267.0],[365.0],[272.0]
76,[318.0],[296.0],[240.0]
77,[412.0],[311.0],[218.0]
78,[394.0],[324.0],[469.0]
79,[293.0],[319.0],[481.0]
80,[365.0],[44.0],[95.0]
81,[211.0],[71.0],[443.0]
82,[476.0],[397.0],[7.0]
83,[41.0],[6.0],[370.0]
84,[230.0],[7.0],[498.0]
85,[95.0],[104.0],[336.0]
86,[109.0],[380.0],[175.0]
87,[430.0],[431.0],[357.0]
88,[188.0],[31.0],[123.0]
89,[281.0],[218.0],[55.0]
90,[422.0],[445.0],[473.0]
91,[498.0],[388.0],[496.0]
92,[70.0],[260.0],[237.0]
93,[24.0],[177.0],[217.0]
94,[431.0],[331.0],[20.0]
95,[156.0],[172.0],[400.0]
96,[73.0],[83.0],[126.0]
97,[55.0],[230.0],[230.0]
98,[480.0],[135.0],[18.0]
99,[33.0],[48.0],[83.0]
100,[389.0],[46.0],[198.0]
101,[473.0],[424.0],[363.0]
102,[474.0],[271.0],[424.0]
103,[137.0],[405.0],[275.0]
104,[177.0],[182.0],[490.0]
105,[331.0],[106.0],[413.0]
106,[14.0],[127.0],[461.0]
107,[263.0],[490.0],[182.0]
108,[284.0],[269.0],[229.0]
109,[413.0],[216.0],[269.0]
110,[487.0],[470.0],[156.0]
111,[384.0],[461.0],[178.0]
112,[97.0],[248.0],[297.0]
113,[229.0],[210.0],[16.0]
114,[129.0],[107.0],[77.0]
115,[123.0],[34.0],[30.0]
116,[269.0],[160.0],[421.0]
117,[39.0],[438.0],[268.0]
118,[149.0],[455.0],[349.0]
119,[136.0],[27.0],[106.0]
120,[77.0],[391.0],[219.0]
121,[292.0],[481.0],[327.0]
122,[160.0],[489.0],[36.0]
123,[20.0],[234.0],[328.0]
124,[195.0],[186.0],[396.0]
125,[391.0],[295.0],[27.0]
126,[286.0],[446.0],[127.0]
127,[455.0],[50.0],[286.0]
128,[481.0],[245.0],[426.0]
129,[198.0],[308.0],[23.0]
130,[458.0],[153.0],[25.0]
131,[186.0],[207.0],[489.0]
132,[373.0],[43.0],[136.0]
133,[302.0],[158.0],[24.0]
134,[255.0],[26.0],[446.0]
135,[148.0],[111.0],[244.0]
136,[7.0],[392.0],[390.0]
137,[111.0],[338.0],[373.0]
138,[308.0],[456.0],[215.0]
139,[414.0],[134.0],[238.0]
140,[352.0],[367.0],[124.0]
141,[26.0],[322.0],[153.0]
142,[392.0],[211.0],[319.0]
143,[176.0],[168.0],[199.0]
144,[485.0],[439.0],[392.0]
145,[257.0],[188.0],[291.0]
146,[231.0],[215.0],[231.0]
147,[456.0],[139.0],[188.0]
148,[332.0],[59.0],[445.0]
149,[259.0],[321.0],[171.0]
150,[380.0],[16.0],[118.0]
151,[94.0],[191.0],[259.0]
152,[17.0],[94.0],[450.0]
153,[287.0],[247.0],[94.0]
154,[274.0],[114.0],[242.0]
155,[324.0],[35.0],[139.0]
156,[341.0],[243.0],[59.0]
157,[282.0],[268.0],[245.0]
158,[405.0],[229.0],[274.0]
159,[247.0],[60.0],[150.0]
160,[114.0],[301.0],[114.0]
161,[158.0],[21.0],[35.0]
162,[376.0],[371.0],[243.0]
163,[163.0],[214.0],[337.0]
164,[268.0],[410.0],[103.0]
165,[482.0],[170.0],[60.0]
166,[84.0],[123.0],[301.0]
167,[146.0],[93.0],[358.0]
168,[214.0],[278.0],[332.0]
169,[371.0],[329.0],[368.0]
170,[309.0],[13.0],[202.0]
171,[202.0],[483.0],[196.0]
172,[184.0],[267.0],[226.0]
173,[246.0],[349.0],[32.0]
174,[210.0],[361.0],[375.0]
175,[375.0],[142.0],[384.0]
176,[470.0],[343.0],[267.0]
177,[304.0],[219.0],[290.0]
178,[93.0],[213.0],[75.0]
179,[490.0],[11.0],[352.0]
180,[13.0],[326.0],[499.0]
181,[483.0],[19.0],[98.0]
182,[71.0],[432.0],[163.0]
183,[169.0],[286.0],[391.0]
184,[446.0],[78.0],[432.0]
185,[204.0],[417.0],[335.0]
186,[347.0],[68.0],[76.0]
187,[25.0],[132.0],[203.0]
188,[178.0],[491.0],[132.0]
189,[335.0],[383.0],[161.0]
190,[119.0],[288.0],[115.0]
191,[140.0],[429.0],[9.0]
192,[162.0],[187.0],[68.0]
193,[115.0],[274.0],[383.0]
194,[448.0],[254.0],[483.0]
195,[294.0],[493.0],[448.0]
196,[288.0],[373.0],[174.0]
197,[429.0],[364.0],[49.0]
198,[349.0],[63.0],[299.0]
199,[452.0],[112.0],[246.0]
200,[181.0],[297.0],[452.0]
201,[164.0],[9.0],[254.0]
202,[427.0],[422.0],[451.0]
203,[439.0],[87.0],[407.0]
204,[120.0],[404.0],[155.0]
205,[227.0],[315.0],[427.0]
206,[436.0],[300.0],[63.0]
207,[9.0],[355.0],[154.0]
208,[212.0],[140.0],[227.0]
209,[168.0],[197.0],[303.0]
210,[87.0],[340.0],[266.0]
211,[404.0],[406.0],[80.0]
212,[433.0],[363.0],[414.0]
213,[315.0],[261.0],[190.0]
214,[11.0],[154.0],[433.0]
215,[166.0],[29.0],[264.0]
216,[350.0],[246.0],[97.0]
217,[385.0],[17.0],[129.0]
218,[203.0],[423.0],[140.0]
219,[406.0],[239.0],[261.0]
220,[226.0],[151.0],[441.0]
221,[107.0],[499.0],[377.0]
222,[450.0],[180.0],[19.0]
223,[377.0],[320.0],[423.0]
224,[152.0],[484.0],[152.0]
225,[29.0],[360.0],[151.0]
226,[239.0],[339.0],[10.0]
227,[180.0],[485.0],[176.0]
228,[273.0],[466.0],[172.0]
229,[172.0],[173.0],[484.0]
230,[128.0],[8.0],[280.0]
231,[360.0],[464.0],[351.0]
232,[127.0],[372.0],[86.0]
233,[82.0],[304.0],[224.0]
234,[23.0],[185.0],[437.0]
235,[465.0],[273.0],[372.0]
236,[466.0],[316.0],[410.0]
237,[463.0],[108.0],[316.0]
238,[86.0],[401.0],[105.0]
239,[66.0],[184.0],[381.0]
240,[437.0],[10.0],[21.0]
241,[244.0],[419.0],[2.0]
242,[356.0],[307.0],[22.0]
243,[410.0],[276.0],[99.0]
244,[92.0],[205.0],[292.0]
245,[424.0],[82.0],[39.0]
246,[217.0],[497.0],[15.0]
247,[319.0],[473.0],[43.0]
