Simulation,GSx,"WiGS (MAB-UCB1, c=0.5)",WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (SAC),GSy,WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (MAB-UCB1, c=2.0)",QBC,"WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=5.0)",Passive Learning,iGS
0,19.6154043674469,28.17802667617798,29.589202404022217,29.026989459991455,39.47842764854431,20.374250888824463,34.68199968338013,34.766820192337036,28.09692883491516,26.927540063858032,34.91832780838013,32.33557868003845,17.413684129714966,23.640693187713623
1,19.878973484039307,29.30834126472473,33.82190942764282,29.205739974975586,41.4131019115448,20.46130919456482,28.9453341960907,29.40296983718872,29.256543159484863,27.308921337127686,29.081478595733643,29.152520895004272,17.710357904434204,24.50889229774475
2,20.111414909362793,30.57800054550171,31.974165439605713,31.507890224456787,42.705440282821655,20.616854190826416,34.62917184829712,34.641008377075195,30.354936599731445,26.97101616859436,36.10902118682861,36.19528150558472,17.338045835494995,25.05665636062622
3,20.370410919189453,31.423316955566406,34.017374753952026,33.01802396774292,43.987491846084595,21.02757716178894,36.047144174575806,35.36463522911072,31.45882558822632,27.542924165725708,35.70211744308472,35.96408224105835,17.57340931892395,25.288944244384766
4,20.111981868743896,26.573985815048218,29.81455969810486,26.026846647262573,46.840051889419556,20.29890275001526,26.331795692443848,26.464370012283325,26.364332675933838,27.143964767456055,26.74224328994751,26.834596157073975,17.702096939086914,22.627095222473145
5,19.26538872718811,27.36673069000244,31.485838651657104,31.51164698600769,38.90012860298157,19.860312461853027,27.606644868850708,26.537020206451416,32.20922112464905,26.44816565513611,27.344008922576904,32.504844665527344,17.281126260757446,22.220154762268066
6,20.063122272491455,34.350531578063965,29.97532606124878,29.55939793586731,39.5376558303833,20.645893335342407,29.567957639694214,29.09297490119934,33.18520784378052,27.216700792312622,35.27658295631409,28.369032859802246,17.616636514663696,24.273415327072144
7,19.596373796463013,28.253891944885254,35.289997577667236,34.70218014717102,39.828837633132935,20.34419870376587,28.798217058181763,28.977145433425903,27.958351373672485,26.96435785293579,28.961632251739502,27.92983388900757,17.461153030395508,23.568912744522095
8,19.737752199172974,27.00261664390564,33.24952507019043,33.05733919143677,38.7088737487793,20.387489795684814,27.80181336402893,28.41998600959778,30.820724725723267,27.01942777633667,28.190780878067017,30.50920081138611,17.58513903617859,23.22431969642639
9,19.461832523345947,28.256433725357056,28.529417753219604,28.111799240112305,40.46885657310486,20.05985999107361,28.243454456329346,28.169158458709717,33.88496804237366,27.279728412628174,28.10582709312439,33.809534549713135,17.322943449020386,23.0372953414917
10,19.58678364753723,31.093624591827393,27.036989450454712,31.183356523513794,38.48584485054016,20.631786823272705,31.298940181732178,30.635474920272827,30.73747682571411,27.416801691055298,31.831695079803467,30.424381732940674,17.645469427108765,22.653938055038452
11,20.061959981918335,30.97952175140381,36.90031456947327,36.371760845184326,45.723167419433594,20.686745405197144,31.598838329315186,30.958877563476562,36.059906244277954,27.249050617218018,31.197147846221924,36.354554414749146,17.523658275604248,25.283228397369385
12,19.61453080177307,27.736581087112427,32.52555990219116,32.5236337184906,40.85984492301941,20.213709354400635,27.839425563812256,27.541795015335083,33.34013223648071,27.009087085723877,28.10352659225464,33.17400813102722,17.567299604415894,22.870094537734985
13,20.15283489227295,28.503870964050293,32.95392107963562,28.53020167350769,40.16365432739258,20.98580026626587,28.6672523021698,28.69661569595337,28.542308568954468,27.290871381759644,33.93385195732117,28.440495252609253,17.529738664627075,23.75187063217163
14,19.908504009246826,29.277384281158447,34.01235318183899,29.723654985427856,41.48822379112244,20.703253984451294,29.311670780181885,29.713740587234497,28.9813871383667,27.74670934677124,29.448054790496826,29.04044795036316,17.6979022026062,24.041462182998657
15,20.02012324333191,29.263357877731323,33.888935804367065,33.226492404937744,39.65528750419617,20.645272731781006,28.89348578453064,29.204891204833984,33.1555392742157,26.80868172645569,29.046483516693115,33.05540633201599,17.428946018218994,24.50442862510681
16,19.97626829147339,26.8867666721344,32.48205232620239,31.822600603103638,37.54847598075867,21.02499008178711,31.35153293609619,27.27673029899597,26.772037029266357,26.919339656829834,31.217928171157837,26.974501609802246,18.199522972106934,23.14296007156372
17,19.88432264328003,27.15625500679016,30.385191679000854,31.226056575775146,38.888731718063354,20.028888463974,27.574159860610962,26.978373765945435,31.618317365646362,27.534800052642822,27.033325672149658,31.646740436553955,17.41159462928772,22.758146286010742
18,19.359373331069946,26.864933252334595,31.782456874847412,26.403290271759033,37.85379409790039,20.00455355644226,25.999901294708252,26.322511196136475,27.292717456817627,26.898778915405273,31.28129529953003,27.21714949607849,17.342793226242065,22.26370072364807
19,20.373461484909058,32.326919078826904,32.61194610595703,28.581965446472168,40.303417921066284,20.973477125167847,28.45914053916931,28.53861165046692,32.40778946876526,27.023679971694946,28.43487524986267,32.03718066215515,17.631104469299316,23.97438073158264
20,20.095799922943115,28.80448293685913,32.894405364990234,28.264060020446777,40.369006633758545,20.852301836013794,28.670427322387695,28.462387561798096,28.658477067947388,27.44399857521057,28.74333095550537,28.998544931411743,17.573366403579712,23.81915545463562
