Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[1345.0],[327.0],[854.0],[1457.0],[854.0],[1046.0],[1457.0],[1087.0],[854.0],[772.0],[854.0],[462.0],[1294.0],[1087.0],[854.0],[854.0],[101.0],[1447.0],[1457.0],[1087.0],[1457.0],[60.0],[531.0],[1319.0],[728.0],[462.0],[854.0],[1331.0],[854.0],[355.0],[429.0],[1160.0],[1103.0],[854.0],[1451.0],[854.0],[854.0],[513.0],[19.0],[1046.0],[854.0],[596.0],[263.0],[854.0],[1457.0],[854.0],[854.0],[371.0],[854.0],[60.0],[451.0],[854.0],[854.0],[854.0],[854.0],[854.0],[454.0],[854.0],[1458.0],[1263.0],[854.0],[1294.0],[854.0],[147.0],[1447.0],[418.0],[1457.0],[517.0],[1451.0],[1087.0],[854.0],[1457.0],[854.0],[1263.0],[1461.0],[854.0],[854.0],[854.0],[672.0],[725.0],[854.0],[1471.0],[1447.0],[854.0],[1406.0],[854.0],[854.0],[854.0],[854.0],[854.0],[854.0],[300.0],[854.0],[764.0],[854.0],[1457.0],[385.0],[854.0],[377.0],[854.0]
1,[1457.0],[1457.0],[196.0],[54.0],[1309.0],[826.0],[994.0],[511.0],[846.0],[1457.0],[399.0],[1209.0],[243.0],[264.0],[1400.0],[1137.0],[854.0],[728.0],[711.0],[462.0],[264.0],[1457.0],[139.0],[752.0],[1457.0],[808.0],[1115.0],[854.0],[1115.0],[854.0],[399.0],[1457.0],[1457.0],[385.0],[1457.0],[1196.0],[368.0],[1012.0],[727.0],[1406.0],[1457.0],[854.0],[1195.0],[1141.0],[1495.0],[1093.0],[1057.0],[1457.0],[545.0],[1338.0],[854.0],[1181.0],[300.0],[1370.0],[220.0],[1457.0],[1457.0],[1388.0],[1358.0],[854.0],[1087.0],[463.0],[1294.0],[994.0],[1294.0],[1022.0],[1022.0],[356.0],[1087.0],[1457.0],[644.0],[711.0],[1294.0],[854.0],[854.0],[1181.0],[1129.0],[1458.0],[1457.0],[128.0],[1447.0],[854.0],[1087.0],[1115.0],[1447.0],[1103.0],[345.0],[1209.0],[1294.0],[1038.0],[221.0],[1345.0],[1038.0],[1457.0],[221.0],[854.0],[465.0],[1457.0],[839.0],[477.0]
2,[854.0],[1087.0],[1093.0],[522.0],[1345.0],[1457.0],[1277.0],[141.0],[725.0],[1471.0],[531.0],[1100.0],[854.0],[1160.0],[1457.0],[1294.0],[237.0],[1433.0],[994.0],[913.0],[531.0],[576.0],[1129.0],[1252.0],[602.0],[629.0],[1087.0],[932.0],[1058.0],[576.0],[1406.0],[695.0],[854.0],[1152.0],[1087.0],[737.0],[1294.0],[868.0],[1471.0],[854.0],[994.0],[449.0],[994.0],[1087.0],[711.0],[313.0],[782.0],[783.0],[1022.0],[200.0],[1087.0],[1457.0],[1457.0],[1294.0],[1294.0],[346.0],[1294.0],[1396.0],[1087.0],[1087.0],[368.0],[311.0],[1012.0],[1294.0],[1087.0],[494.0],[1002.0],[907.0],[240.0],[913.0],[399.0],[124.0],[1087.0],[1022.0],[390.0],[235.0],[576.0],[629.0],[1149.0],[1050.0],[1016.0],[157.0],[1294.0],[1457.0],[1457.0],[1083.0],[846.0],[399.0],[1111.0],[1087.0],[913.0],[263.0],[1087.0],[772.0],[889.0],[944.0],[508.0],[240.0],[1093.0],[1457.0]
3,[711.0],[241.0],[1038.0],[1087.0],[1129.0],[854.0],[289.0],[629.0],[1338.0],[541.0],[1087.0],[913.0],[728.0],[1141.0],[174.0],[1455.0],[800.0],[1364.0],[1087.0],[717.0],[76.0],[194.0],[608.0],[997.0],[976.0],[1016.0],[757.0],[891.0],[1152.0],[541.0],[60.0],[1370.0],[1368.0],[174.0],[854.0],[1433.0],[994.0],[1457.0],[921.0],[884.0],[305.0],[737.0],[1457.0],[359.0],[616.0],[629.0],[1457.0],[595.0],[1294.0],[1023.0],[1294.0],[1294.0],[1409.0],[1225.0],[240.0],[1138.0],[1230.0],[94.0],[356.0],[1046.0],[49.0],[1333.0],[1311.0],[470.0],[240.0],[54.0],[1093.0],[240.0],[356.0],[1129.0],[1359.0],[855.0],[913.0],[438.0],[531.0],[1294.0],[1448.0],[1457.0],[1294.0],[545.0],[1454.0],[1294.0],[1315.0],[913.0],[389.0],[177.0],[976.0],[913.0],[515.0],[1457.0],[1457.0],[1087.0],[994.0],[1087.0],[1457.0],[762.0],[1087.0],[1431.0],[1457.0],[1016.0]
4,[897.0],[305.0],[758.0],[1294.0],[1087.0],[573.0],[1181.0],[245.0],[814.0],[138.0],[1294.0],[706.0],[236.0],[1457.0],[711.0],[826.0],[1302.0],[1087.0],[310.0],[1229.0],[749.0],[854.0],[1294.0],[1061.0],[1494.0],[1292.0],[108.0],[1038.0],[1471.0],[913.0],[1471.0],[854.0],[1219.0],[1457.0],[1338.0],[1457.0],[1087.0],[854.0],[770.0],[1471.0],[438.0],[881.0],[396.0],[884.0],[913.0],[1087.0],[1311.0],[222.0],[1087.0],[1440.0],[1457.0],[153.0],[389.0],[368.0],[1471.0],[467.0],[170.0],[1457.0],[1119.0],[1457.0],[861.0],[1457.0],[752.0],[240.0],[200.0],[96.0],[776.0],[1149.0],[1494.0],[1188.0],[1015.0],[639.0],[928.0],[285.0],[1294.0],[46.0],[1433.0],[928.0],[12.0],[1152.0],[1278.0],[327.0],[1433.0],[369.0],[1128.0],[121.0],[1087.0],[485.0],[62.0],[477.0],[734.0],[854.0],[1457.0],[399.0],[711.0],[261.0],[1457.0],[649.0],[305.0],[835.0]
5,[426.0],[213.0],[32.0],[124.0],[1209.0],[200.0],[711.0],[477.0],[866.0],[1087.0],[1457.0],[728.0],[1241.0],[854.0],[530.0],[712.0],[1275.0],[576.0],[1349.0],[1457.0],[1261.0],[1016.0],[194.0],[1057.0],[94.0],[1294.0],[346.0],[1093.0],[1457.0],[1046.0],[1315.0],[58.0],[259.0],[1294.0],[1020.0],[711.0],[351.0],[1494.0],[874.0],[271.0],[121.0],[1087.0],[356.0],[1349.0],[698.0],[1457.0],[1294.0],[1087.0],[1138.0],[1057.0],[1063.0],[808.0],[629.0],[138.0],[994.0],[223.0],[359.0],[387.0],[1263.0],[1152.0],[913.0],[497.0],[1278.0],[1093.0],[994.0],[399.0],[1087.0],[854.0],[438.0],[545.0],[1457.0],[1294.0],[752.0],[478.0],[1116.0],[1457.0],[1096.0],[392.0],[369.0],[366.0],[1219.0],[1087.0],[972.0],[108.0],[1242.0],[150.0],[248.0],[1457.0],[806.0],[1294.0],[253.0],[755.0],[874.0],[533.0],[310.0],[474.0],[1294.0],[1096.0],[711.0],[783.0]
6,[868.0],[1294.0],[1087.0],[1141.0],[1394.0],[711.0],[141.0],[1035.0],[611.0],[695.0],[189.0],[1457.0],[928.0],[15.0],[1087.0],[1163.0],[1394.0],[1294.0],[595.0],[1485.0],[1433.0],[174.0],[1056.0],[854.0],[854.0],[874.0],[369.0],[355.0],[369.0],[826.0],[1457.0],[194.0],[303.0],[728.0],[76.0],[310.0],[141.0],[711.0],[1457.0],[1294.0],[1129.0],[369.0],[783.0],[1457.0],[31.0],[1406.0],[913.0],[1209.0],[141.0],[1452.0],[113.0],[46.0],[1213.0],[351.0],[300.0],[1212.0],[76.0],[1289.0],[46.0],[1294.0],[1160.0],[921.0],[1448.0],[1087.0],[755.0],[1448.0],[339.0],[243.0],[928.0],[222.0],[711.0],[1338.0],[701.0],[1265.0],[1457.0],[237.0],[1294.0],[649.0],[1413.0],[1016.0],[451.0],[1160.0],[1457.0],[1260.0],[690.0],[349.0],[576.0],[1015.0],[74.0],[881.0],[369.0],[1012.0],[1266.0],[1294.0],[369.0],[141.0],[1435.0],[74.0],[820.0],[1087.0]
7,[1059.0],[214.0],[496.0],[88.0],[1294.0],[770.0],[310.0],[607.0],[826.0],[1364.0],[1015.0],[465.0],[1359.0],[711.0],[596.0],[838.0],[527.0],[62.0],[135.0],[138.0],[324.0],[711.0],[368.0],[1219.0],[477.0],[1457.0],[1129.0],[1406.0],[1413.0],[1457.0],[814.0],[1087.0],[1413.0],[1471.0],[728.0],[135.0],[300.0],[1294.0],[854.0],[1457.0],[52.0],[476.0],[1209.0],[1485.0],[1087.0],[138.0],[1087.0],[477.0],[324.0],[74.0],[463.0],[135.0],[14.0],[1123.0],[1338.0],[1287.0],[695.0],[241.0],[768.0],[874.0],[1056.0],[1455.0],[275.0],[913.0],[62.0],[1457.0],[1307.0],[1457.0],[1077.0],[1399.0],[310.0],[387.0],[1138.0],[1294.0],[1090.0],[327.0],[1457.0],[321.0],[872.0],[459.0],[545.0],[1457.0],[138.0],[711.0],[133.0],[1039.0],[814.0],[312.0],[1394.0],[1266.0],[138.0],[1152.0],[545.0],[1275.0],[1030.0],[429.0],[1471.0],[814.0],[1294.0],[1074.0]
8,[78.0],[854.0],[1012.0],[1393.0],[1285.0],[1087.0],[135.0],[275.0],[632.0],[438.0],[1236.0],[1039.0],[1160.0],[1309.0],[749.0],[1215.0],[545.0],[819.0],[857.0],[711.0],[444.0],[1087.0],[222.0],[804.0],[223.0],[1471.0],[1457.0],[1012.0],[547.0],[121.0],[1461.0],[1057.0],[1306.0],[121.0],[1284.0],[133.0],[577.0],[1406.0],[1093.0],[727.0],[1111.0],[556.0],[864.0],[1294.0],[1339.0],[1294.0],[711.0],[695.0],[1457.0],[959.0],[180.0],[327.0],[784.0],[1457.0],[545.0],[450.0],[200.0],[1309.0],[1294.0],[1074.0],[1074.0],[1265.0],[25.0],[1448.0],[141.0],[1263.0],[1294.0],[860.0],[167.0],[170.0],[135.0],[854.0],[1076.0],[269.0],[1087.0],[459.0],[194.0],[1471.0],[96.0],[438.0],[1457.0],[728.0],[1016.0],[527.0],[163.0],[1457.0],[325.0],[1496.0],[1289.0],[783.0],[1213.0],[62.0],[496.0],[223.0],[778.0],[1138.0],[77.0],[275.0],[466.0],[1294.0]
9,[1386.0],[1370.0],[1209.0],[686.0],[1149.0],[1399.0],[793.0],[1133.0],[1471.0],[325.0],[545.0],[194.0],[1189.0],[784.0],[1294.0],[1457.0],[1046.0],[449.0],[253.0],[854.0],[1334.0],[240.0],[141.0],[1294.0],[1441.0],[121.0],[1347.0],[1266.0],[1294.0],[196.0],[1263.0],[244.0],[369.0],[916.0],[370.0],[235.0],[657.0],[264.0],[1406.0],[1181.0],[1093.0],[533.0],[1183.0],[237.0],[1160.0],[321.0],[62.0],[1294.0],[1435.0],[387.0],[1203.0],[370.0],[1209.0],[874.0],[155.0],[1294.0],[1440.0],[986.0],[1385.0],[784.0],[1321.0],[97.0],[1271.0],[1457.0],[77.0],[854.0],[1403.0],[324.0],[273.0],[507.0],[253.0],[1263.0],[1457.0],[775.0],[1345.0],[1263.0],[1087.0],[1087.0],[194.0],[1485.0],[244.0],[178.0],[855.0],[1019.0],[602.0],[848.0],[1413.0],[545.0],[377.0],[64.0],[1087.0],[802.0],[517.0],[1315.0],[1461.0],[695.0],[1061.0],[1251.0],[364.0],[452.0]
