Simulation,Passive Learning,GSx,GSy,iGS,Uncertainty Sampling,EGAL,EMCM,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
0,15.056263446807861,16.897897243499756,17.70521879196167,19.350369453430176,17.412505388259888,27.580048084259033,17.018383502960205,24.33279299736023,24.587108373641968,24.89706826210022,24.886128187179565,24.990965843200684,25.022449731826782,24.850063800811768,23.40950083732605,27.89266276359558,23.354294300079346
1,14.779968500137329,16.877790451049805,17.35012435913086,20.55880570411682,15.817795038223267,32.824512243270874,15.328554153442383,25.76404309272766,25.54595398902893,25.55516219139099,25.167881965637207,25.383641004562378,24.804749965667725,25.052653789520264,24.52767515182495,31.516592979431152,23.24206829071045
2,14.73243761062622,16.748457670211792,17.241759061813354,19.471088886260986,15.823347568511963,28.82356357574463,15.545954704284668,23.112170219421387,23.799197673797607,23.6593074798584,23.837891340255737,23.77028799057007,23.623591899871826,23.50344157218933,23.44381809234619,30.00732111930847,23.549565076828003
3,14.706782102584839,16.62174153327942,17.188762426376343,19.9981369972229,15.928483724594116,32.43521165847778,15.483089923858643,25.418458223342896,25.677741050720215,25.611875534057617,25.535078048706055,25.278059005737305,25.346429109573364,25.013086080551147,24.504383087158203,29.22641348838806,23.130899906158447
4,16.927836656570435,18.948249340057373,19.38729977607727,23.484864950180054,17.92484450340271,40.00896739959717,17.711116552352905,30.395527124404907,30.74495553970337,30.07826256752014,31.423998832702637,30.065938711166382,30.482045650482178,29.79242992401123,31.016916275024414,37.524327993392944,26.05981421470642
5,14.98832654953003,17.030250310897827,17.5421302318573,20.28359341621399,16.737845182418823,30.318367958068848,15.815235137939453,25.531097650527954,25.789385318756104,25.747803211212158,25.644318103790283,25.36832284927368,25.524874210357666,25.174981355667114,24.597715377807617,29.325392961502075,23.544458627700806
6,14.738425970077515,16.610366821289062,17.317922353744507,19.236804723739624,16.46396517753601,28.086464166641235,16.578033685684204,21.47636604309082,24.001638889312744,24.318604707717896,24.58441686630249,24.617433547973633,24.798017978668213,24.7638258934021,24.597593545913696,30.084863662719727,24.91149592399597
7,14.704625606536865,16.67644214630127,17.17464327812195,20.451683282852173,15.667572498321533,34.86311340332031,15.238972425460815,26.018122911453247,25.788124084472656,25.654902458190918,25.054800510406494,25.24207878112793,25.17481279373169,25.006081581115723,24.757067680358887,32.17606067657471,23.116112232208252
8,14.792151689529419,16.700830221176147,17.359069347381592,19.628010034561157,16.101818799972534,30.929794549942017,15.627739429473877,23.433131456375122,24.440464973449707,24.51394534111023,24.35555076599121,24.26310706138611,24.411934852600098,24.07037091255188,23.69083023071289,30.720592498779297,24.11920404434204
9,14.652198314666748,16.39561367034912,16.936644554138184,18.70007848739624,15.882283687591553,25.984545469284058,15.307975053787231,20.97327446937561,21.00576901435852,21.00252652168274,20.967989206314087,20.889694929122925,20.92536687850952,20.979084014892578,20.775388479232788,27.010562419891357,22.990701913833618
