Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49
0,[96.0],[821.0],[852.0],[1415.0],[821.0],[531.0],[403.0],[1429.0],[1321.0],[1099.0],[531.0],[821.0],[531.0],[586.0],[696.0],[1206.0],[821.0],[56.0],[969.0],[886.0],[1227.0],[531.0],[502.0],[1471.0],[531.0],[22.0],[351.0],[531.0],[198.0],[19.0],[821.0],[1404.0],[203.0],[548.0],[531.0],[709.0],[322.0],[821.0],[309.0],[1406.0],[821.0],[343.0],[108.0],[545.0],[1143.0],[186.0],[5.0],[724.0],[877.0],[450.0]
1,[302.0],[402.0],[224.0],[514.0],[722.0],[1443.0],[712.0],[322.0],[787.0],[1479.0],[903.0],[1426.0],[445.0],[1152.0],[1141.0],[408.0],[1426.0],[1093.0],[1051.0],[80.0],[964.0],[1163.0],[821.0],[949.0],[1018.0],[914.0],[821.0],[995.0],[146.0],[234.0],[531.0],[1093.0],[531.0],[286.0],[959.0],[648.0],[304.0],[1426.0],[643.0],[296.0],[531.0],[143.0],[821.0],[397.0],[185.0],[531.0],[109.0],[1155.0],[373.0],[1155.0]
2,[865.0],[480.0],[319.0],[603.0],[26.0],[1071.0],[1092.0],[331.0],[635.0],[753.0],[1086.0],[1068.0],[367.0],[504.0],[138.0],[322.0],[936.0],[93.0],[30.0],[1193.0],[1420.0],[1110.0],[1426.0],[1225.0],[1464.0],[510.0],[1426.0],[188.0],[531.0],[151.0],[137.0],[260.0],[122.0],[987.0],[438.0],[565.0],[249.0],[531.0],[639.0],[249.0],[526.0],[697.0],[1426.0],[1381.0],[1437.0],[807.0],[1417.0],[1377.0],[876.0],[1327.0]
3,[724.0],[1426.0],[855.0],[562.0],[888.0],[1464.0],[71.0],[1080.0],[525.0],[821.0],[865.0],[641.0],[500.0],[212.0],[1050.0],[1140.0],[208.0],[662.0],[361.0],[130.0],[827.0],[1340.0],[208.0],[1452.0],[1054.0],[777.0],[208.0],[747.0],[1464.0],[1078.0],[1464.0],[531.0],[1473.0],[348.0],[533.0],[1280.0],[462.0],[208.0],[1055.0],[989.0],[17.0],[276.0],[79.0],[641.0],[227.0],[34.0],[157.0],[915.0],[73.0],[619.0]
4,[950.0],[72.0],[171.0],[977.0],[152.0],[291.0],[821.0],[1150.0],[1421.0],[1426.0],[146.0],[855.0],[987.0],[872.0],[199.0],[126.0],[562.0],[858.0],[966.0],[455.0],[994.0],[1070.0],[1486.0],[1332.0],[1228.0],[531.0],[523.0],[477.0],[695.0],[1066.0],[719.0],[821.0],[994.0],[1368.0],[54.0],[214.0],[755.0],[615.0],[1235.0],[308.0],[797.0],[804.0],[1492.0],[39.0],[1298.0],[577.0],[517.0],[787.0],[1254.0],[1041.0]
5,[284.0],[285.0],[493.0],[370.0],[1126.0],[1078.0],[1426.0],[825.0],[548.0],[112.0],[540.0],[1284.0],[821.0],[232.0],[399.0],[683.0],[871.0],[484.0],[218.0],[119.0],[308.0],[856.0],[72.0],[821.0],[358.0],[983.0],[531.0],[673.0],[692.0],[173.0],[591.0],[1335.0],[1354.0],[380.0],[848.0],[198.0],[1403.0],[1464.0],[1050.0],[571.0],[3.0],[639.0],[208.0],[526.0],[1088.0],[247.0],[534.0],[495.0],[214.0],[419.0]
6,[711.0],[101.0],[821.0],[77.0],[353.0],[705.0],[706.0],[531.0],[824.0],[1128.0],[821.0],[929.0],[857.0],[430.0],[296.0],[763.0],[1133.0],[711.0],[255.0],[1191.0],[1299.0],[1464.0],[652.0],[309.0],[1466.0],[683.0],[72.0],[69.0],[17.0],[1482.0],[1443.0],[432.0],[954.0],[428.0],[862.0],[1270.0],[611.0],[72.0],[420.0],[544.0],[87.0],[768.0],[1481.0],[1076.0],[1062.0],[825.0],[276.0],[1467.0],[1098.0],[1469.0]
7,[624.0],[1372.0],[234.0],[99.0],[206.0],[472.0],[674.0],[1069.0],[477.0],[1036.0],[768.0],[1046.0],[142.0],[821.0],[851.0],[679.0],[555.0],[414.0],[1453.0],[414.0],[551.0],[1054.0],[48.0],[802.0],[112.0],[1489.0],[1483.0],[610.0],[745.0],[453.0],[103.0],[1351.0],[1226.0],[1377.0],[1312.0],[1003.0],[331.0],[1483.0],[763.0],[950.0],[1359.0],[954.0],[642.0],[965.0],[1044.0],[324.0],[899.0],[138.0],[984.0],[710.0]
8,[732.0],[851.0],[1426.0],[372.0],[576.0],[1185.0],[1428.0],[821.0],[363.0],[86.0],[1426.0],[908.0],[474.0],[703.0],[1205.0],[1364.0],[413.0],[477.0],[1351.0],[742.0],[828.0],[800.0],[692.0],[732.0],[810.0],[916.0],[246.0],[1140.0],[1463.0],[531.0],[1175.0],[865.0],[82.0],[82.0],[652.0],[271.0],[270.0],[214.0],[1080.0],[749.0],[322.0],[1486.0],[793.0],[963.0],[619.0],[1157.0],[296.0],[1381.0],[1062.0],[759.0]
9,[1050.0],[1457.0],[1438.0],[391.0],[454.0],[1151.0],[1443.0],[1137.0],[1093.0],[531.0],[1473.0],[1094.0],[210.0],[790.0],[331.0],[716.0],[200.0],[797.0],[836.0],[420.0],[707.0],[1172.0],[163.0],[302.0],[1121.0],[1464.0],[1168.0],[1113.0],[461.0],[996.0],[858.0],[210.0],[1106.0],[71.0],[1071.0],[238.0],[447.0],[229.0],[1155.0],[1172.0],[1200.0],[194.0],[531.0],[330.0],[1004.0],[240.0],[1469.0],[1042.0],[627.0],[1056.0]
10,[1079.0],[1250.0],[208.0],[177.0],[812.0],[1102.0],[623.0],[424.0],[1051.0],[34.0],[585.0],[1358.0],[858.0],[689.0],[1080.0],[278.0],[1437.0],[686.0],[581.0],[778.0],[1364.0],[1307.0],[1421.0],[352.0],[1429.0],[744.0],[1058.0],[363.0],[1054.0],[843.0],[1191.0],[1279.0],[1346.0],[821.0],[821.0],[912.0],[76.0],[1279.0],[1056.0],[1193.0],[843.0],[1106.0],[102.0],[251.0],[1426.0],[836.0],[1411.0],[691.0],[116.0],[821.0]
11,[981.0],[216.0],[728.0],[657.0],[703.0],[854.0],[275.0],[669.0],[747.0],[627.0],[208.0],[663.0],[413.0],[974.0],[1200.0],[35.0],[566.0],[838.0],[948.0],[811.0],[759.0],[1209.0],[302.0],[1292.0],[932.0],[696.0],[128.0],[1285.0],[1250.0],[684.0],[520.0],[1426.0],[23.0],[818.0],[1323.0],[1130.0],[777.0],[1285.0],[107.0],[949.0],[619.0],[980.0],[1078.0],[1485.0],[36.0],[358.0],[1121.0],[864.0],[1403.0],[435.0]
12,[996.0],[1057.0],[72.0],[1056.0],[40.0],[960.0],[757.0],[1247.0],[914.0],[1140.0],[1464.0],[975.0],[910.0],[730.0],[1056.0],[1163.0],[1489.0],[652.0],[531.0],[719.0],[763.0],[771.0],[451.0],[146.0],[869.0],[1034.0],[205.0],[474.0],[1088.0],[720.0],[8.0],[93.0],[1127.0],[457.0],[1426.0],[759.0],[51.0],[633.0],[980.0],[146.0],[271.0],[909.0],[1039.0],[360.0],[531.0],[900.0],[821.0],[428.0],[1107.0],[1426.0]
