Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99,Sim_100,Sim_101,Sim_102,Sim_103,Sim_104,Sim_105,Sim_106,Sim_107,Sim_108,Sim_109,Sim_110,Sim_111,Sim_112,Sim_113,Sim_114,Sim_115,Sim_116,Sim_117,Sim_118,Sim_119,Sim_120,Sim_121,Sim_122,Sim_123,Sim_124
0,[1194.0],[479.0],[1369.0],[162.0],[227.0],[580.0],[918.0],[947.0],[1335.0],[1411.0],[252.0],[227.0],[955.0],[693.0],[1411.0],[652.0],[1473.0],[63.0],[846.0],[805.0],[676.0],[1270.0],[46.0],[463.0],[1141.0],[957.0],[201.0],[123.0],[1167.0],[925.0],[467.0],[949.0],[629.0],[1087.0],[226.0],[925.0],[394.0],[1190.0],[59.0],[390.0],[669.0],[378.0],[1458.0],[889.0],[905.0],[223.0],[1315.0],[652.0],[1194.0],[652.0],[631.0],[1087.0],[1345.0],[467.0],[1208.0],[1026.0],[840.0],[1335.0],[1354.0],[519.0],[230.0],[387.0],[375.0],[377.0],[65.0],[1479.0],[479.0],[925.0],[390.0],[1282.0],[506.0],[1476.0],[949.0],[957.0],[1166.0],[1282.0],[534.0],[700.0],[344.0],[301.0],[1140.0],[615.0],[1479.0],[506.0],[1244.0],[1301.0],[739.0],[1029.0],[1244.0],[602.0],[986.0],[1480.0],[162.0],[463.0],[300.0],[1175.0],[340.0],[479.0],[479.0],[506.0],[324.0],[203.0],[1456.0],[1411.0],[925.0],[553.0],[1416.0],[1026.0],[1063.0],[593.0],[1053.0],[983.0],[943.0],[1293.0],[519.0],[599.0],[1216.0],[236.0],[797.0],[852.0],[553.0],[453.0],[1135.0],[633.0],[938.0]
1,[319.0],[1251.0],[244.0],[1469.0],[452.0],[1458.0],[236.0],[1468.0],[1281.0],[428.0],[1369.0],[823.0],[1380.0],[531.0],[1175.0],[398.0],[201.0],[1354.0],[1110.0],[722.0],[318.0],[519.0],[627.0],[524.0],[665.0],[1198.0],[57.0],[1142.0],[245.0],[309.0],[1458.0],[1013.0],[753.0],[652.0],[1395.0],[1454.0],[1071.0],[1352.0],[1076.0],[660.0],[1068.0],[837.0],[456.0],[828.0],[519.0],[467.0],[1142.0],[1354.0],[1477.0],[840.0],[949.0],[992.0],[881.0],[1140.0],[390.0],[467.0],[650.0],[1055.0],[1237.0],[310.0],[1247.0],[632.0],[858.0],[292.0],[1076.0],[1473.0],[26.0],[1194.0],[1496.0],[660.0],[840.0],[570.0],[396.0],[943.0],[1354.0],[1416.0],[538.0],[462.0],[1126.0],[244.0],[1216.0],[1469.0],[354.0],[992.0],[1286.0],[1370.0],[1497.0],[189.0],[755.0],[227.0],[842.0],[925.0],[1133.0],[919.0],[510.0],[889.0],[378.0],[312.0],[1370.0],[768.0],[1381.0],[1099.0],[118.0],[537.0],[429.0],[519.0],[537.0],[1239.0],[652.0],[1288.0],[1319.0],[755.0],[652.0],[743.0],[1373.0],[1288.0],[1053.0],[381.0],[1190.0],[823.0],[300.0],[1214.0],[467.0],[1108.0],[448.0]
2,[599.0],[1033.0],[519.0],[1438.0],[1167.0],[1469.0],[1479.0],[15.0],[773.0],[738.0],[639.0],[452.0],[755.0],[1423.0],[665.0],[949.0],[30.0],[933.0],[155.0],[493.0],[1219.0],[992.0],[1354.0],[1195.0],[155.0],[650.0],[180.0],[807.0],[490.0],[1399.0],[278.0],[1466.0],[1163.0],[1314.0],[529.0],[536.0],[875.0],[1354.0],[950.0],[652.0],[1242.0],[631.0],[602.0],[1479.0],[539.0],[155.0],[1216.0],[1423.0],[1231.0],[1423.0],[791.0],[1476.0],[1354.0],[627.0],[1395.0],[330.0],[204.0],[1433.0],[804.0],[1471.0],[409.0],[877.0],[794.0],[642.0],[981.0],[1087.0],[490.0],[842.0],[702.0],[1195.0],[95.0],[974.0],[375.0],[1315.0],[886.0],[842.0],[618.0],[1228.0],[1335.0],[804.0],[1042.0],[134.0],[1133.0],[1487.0],[1087.0],[320.0],[925.0],[903.0],[495.0],[330.0],[452.0],[1242.0],[330.0],[686.0],[1063.0],[1030.0],[950.0],[1171.0],[888.0],[452.0],[193.0],[340.0],[925.0],[716.0],[707.0],[981.0],[155.0],[155.0],[1341.0],[580.0],[1195.0],[259.0],[323.0],[306.0],[842.0],[467.0],[152.0],[753.0],[1180.0],[248.0],[381.0],[1167.0],[1219.0],[813.0],[320.0]
3,[1195.0],[652.0],[1307.0],[665.0],[189.0],[978.0],[433.0],[335.0],[1064.0],[590.0],[959.0],[1466.0],[273.0],[933.0],[309.0],[519.0],[915.0],[1337.0],[1108.0],[1446.0],[118.0],[828.0],[842.0],[1239.0],[1219.0],[1063.0],[309.0],[1327.0],[428.0],[1158.0],[189.0],[298.0],[416.0],[333.0],[155.0],[344.0],[1399.0],[773.0],[696.0],[1008.0],[163.0],[1167.0],[599.0],[1423.0],[1010.0],[1157.0],[874.0],[1439.0],[165.0],[1013.0],[776.0],[371.0],[344.0],[437.0],[1219.0],[1123.0],[1195.0],[1270.0],[1396.0],[309.0],[1158.0],[734.0],[1254.0],[1030.0],[1195.0],[1338.0],[1195.0],[109.0],[90.0],[1215.0],[1195.0],[1352.0],[324.0],[1140.0],[1068.0],[1299.0],[1310.0],[1318.0],[185.0],[1195.0],[638.0],[1433.0],[925.0],[1423.0],[517.0],[1354.0],[957.0],[300.0],[1479.0],[642.0],[1133.0],[605.0],[217.0],[868.0],[1207.0],[1456.0],[172.0],[159.0],[623.0],[592.0],[38.0],[402.0],[526.0],[1308.0],[1102.0],[1384.0],[419.0],[955.0],[339.0],[840.0],[142.0],[846.0],[824.0],[152.0],[1270.0],[629.0],[1354.0],[1195.0],[464.0],[490.0],[921.0],[738.0],[288.0],[1247.0],[888.0]
4,[201.0],[1451.0],[1439.0],[333.0],[135.0],[120.0],[1431.0],[141.0],[486.0],[950.0],[41.0],[1384.0],[1194.0],[1077.0],[907.0],[842.0],[976.0],[665.0],[1096.0],[467.0],[779.0],[3.0],[760.0],[1167.0],[903.0],[1399.0],[1499.0],[1208.0],[1239.0],[1249.0],[22.0],[1277.0],[1133.0],[932.0],[687.0],[452.0],[373.0],[650.0],[452.0],[44.0],[230.0],[955.0],[519.0],[1394.0],[992.0],[1135.0],[348.0],[278.0],[838.0],[1230.0],[519.0],[1131.0],[592.0],[1010.0],[467.0],[28.0],[1433.0],[754.0],[519.0],[840.0],[1307.0],[1480.0],[1147.0],[467.0],[227.0],[363.0],[1277.0],[58.0],[1443.0],[309.0],[949.0],[452.0],[123.0],[452.0],[1395.0],[783.0],[679.0],[402.0],[1242.0],[1479.0],[452.0],[284.0],[1219.0],[443.0],[352.0],[933.0],[519.0],[433.0],[118.0],[1149.0],[1308.0],[903.0],[510.0],[78.0],[593.0],[933.0],[104.0],[236.0],[599.0],[1198.0],[1390.0],[1448.0],[755.0],[1156.0],[1361.0],[1025.0],[1061.0],[273.0],[842.0],[22.0],[166.0],[1049.0],[109.0],[1369.0],[416.0],[925.0],[1126.0],[1447.0],[73.0],[157.0],[586.0],[1240.0],[17.0],[64.0],[372.0]
5,[70.0],[1335.0],[402.0],[95.0],[531.0],[1216.0],[1298.0],[765.0],[599.0],[953.0],[1149.0],[1249.0],[1195.0],[1182.0],[656.0],[1076.0],[1260.0],[1433.0],[1140.0],[496.0],[1255.0],[1133.0],[1239.0],[933.0],[1315.0],[837.0],[925.0],[1240.0],[1258.0],[383.0],[1281.0],[1271.0],[1315.0],[697.0],[821.0],[1239.0],[101.0],[652.0],[992.0],[726.0],[94.0],[531.0],[1194.0],[1395.0],[1443.0],[201.0],[955.0],[357.0],[201.0],[399.0],[1195.0],[1462.0],[1198.0],[1468.0],[118.0],[886.0],[1133.0],[973.0],[1140.0],[831.0],[932.0],[973.0],[531.0],[1460.0],[683.0],[1468.0],[1479.0],[819.0],[668.0],[925.0],[1423.0],[652.0],[589.0],[1108.0],[1242.0],[423.0],[477.0],[1149.0],[1334.0],[748.0],[1271.0],[1487.0],[1354.0],[173.0],[1195.0],[1411.0],[524.0],[805.0],[1458.0],[417.0],[1354.0],[1269.0],[467.0],[524.0],[754.0],[925.0],[1466.0],[738.0],[840.0],[805.0],[633.0],[470.0],[1215.0],[779.0],[932.0],[1095.0],[383.0],[1221.0],[456.0],[1167.0],[858.0],[496.0],[4.0],[537.0],[393.0],[233.0],[134.0],[746.0],[280.0],[1195.0],[764.0],[837.0],[1148.0],[46.0],[1140.0]
6,[965.0],[1454.0],[40.0],[1373.0],[797.0],[58.0],[1110.0],[1296.0],[1456.0],[1216.0],[638.0],[1387.0],[1433.0],[1269.0],[872.0],[792.0],[1303.0],[476.0],[828.0],[840.0],[702.0],[10.0],[1208.0],[328.0],[804.0],[652.0],[1244.0],[365.0],[881.0],[1235.0],[423.0],[1167.0],[1239.0],[499.0],[435.0],[592.0],[46.0],[1307.0],[330.0],[1195.0],[866.0],[70.0],[1433.0],[1417.0],[871.0],[189.0],[1302.0],[1195.0],[1242.0],[1247.0],[301.0],[1133.0],[1195.0],[694.0],[309.0],[1242.0],[330.0],[429.0],[927.0],[652.0],[1260.0],[255.0],[84.0],[919.0],[265.0],[452.0],[1395.0],[685.0],[1466.0],[981.0],[399.0],[227.0],[467.0],[416.0],[1133.0],[1329.0],[531.0],[1468.0],[1398.0],[604.0],[1010.0],[824.0],[1240.0],[773.0],[138.0],[804.0],[755.0],[638.0],[1216.0],[51.0],[1110.0],[1315.0],[837.0],[373.0],[52.0],[592.0],[138.0],[573.0],[1357.0],[842.0],[1195.0],[395.0],[452.0],[574.0],[666.0],[1431.0],[962.0],[57.0],[707.0],[1270.0],[1469.0],[330.0],[666.0],[330.0],[437.0],[210.0],[70.0],[189.0],[265.0],[765.0],[866.0],[378.0],[138.0],[318.0],[138.0]
7,[433.0],[251.0],[1423.0],[127.0],[653.0],[72.0],[217.0],[1370.0],[1479.0],[1195.0],[794.0],[1013.0],[925.0],[103.0],[705.0],[1102.0],[837.0],[1481.0],[402.0],[592.0],[486.0],[265.0],[481.0],[1199.0],[467.0],[1282.0],[652.0],[1195.0],[1389.0],[854.0],[496.0],[330.0],[918.0],[660.0],[933.0],[190.0],[1280.0],[1195.0],[152.0],[592.0],[339.0],[330.0],[925.0],[932.0],[1106.0],[1439.0],[216.0],[1394.0],[1288.0],[1218.0],[365.0],[444.0],[309.0],[533.0],[593.0],[1148.0],[445.0],[1370.0],[503.0],[1330.0],[1019.0],[938.0],[486.0],[347.0],[325.0],[101.0],[1451.0],[1138.0],[1411.0],[990.0],[109.0],[349.0],[1270.0],[840.0],[1225.0],[1423.0],[1442.0],[605.0],[1318.0],[689.0],[204.0],[1249.0],[903.0],[652.0],[1381.0],[1195.0],[217.0],[1229.0],[189.0],[452.0],[925.0],[1336.0],[925.0],[745.0],[73.0],[298.0],[1395.0],[305.0],[558.0],[837.0],[1104.0],[391.0],[842.0],[436.0],[348.0],[1195.0],[1195.0],[1195.0],[308.0],[1171.0],[174.0],[1167.0],[1195.0],[964.0],[1244.0],[1242.0],[771.0],[537.0],[13.0],[428.0],[1296.0],[467.0],[1133.0],[1089.0],[1194.0]
8,[788.0],[51.0],[1214.0],[1195.0],[330.0],[715.0],[1195.0],[1215.0],[1133.0],[1061.0],[350.0],[1010.0],[1468.0],[467.0],[1384.0],[705.0],[1195.0],[1400.0],[840.0],[1479.0],[207.0],[1096.0],[1281.0],[1194.0],[310.0],[1216.0],[1239.0],[740.0],[925.0],[101.0],[660.0],[317.0],[1195.0],[738.0],[1347.0],[720.0],[383.0],[490.0],[570.0],[1219.0],[348.0],[1485.0],[991.0],[652.0],[242.0],[1195.0],[600.0],[160.0],[771.0],[1249.0],[1395.0],[1357.0],[993.0],[233.0],[1239.0],[866.0],[1254.0],[1327.0],[874.0],[1306.0],[1256.0],[700.0],[1304.0],[593.0],[1251.0],[1354.0],[323.0],[1192.0],[1140.0],[903.0],[1194.0],[837.0],[1011.0],[1433.0],[773.0],[665.0],[60.0],[1451.0],[1019.0],[86.0],[890.0],[84.0],[1218.0],[1195.0],[1173.0],[1286.0],[1195.0],[925.0],[428.0],[498.0],[1190.0],[325.0],[1221.0],[1335.0],[490.0],[1239.0],[687.0],[866.0],[1195.0],[217.0],[1479.0],[879.0],[738.0],[1159.0],[1216.0],[943.0],[1413.0],[840.0],[445.0],[1384.0],[152.0],[1171.0],[1198.0],[840.0],[326.0],[314.0],[903.0],[1354.0],[1409.0],[366.0],[817.0],[233.0],[349.0],[1413.0],[1493.0]
9,[1370.0],[1239.0],[747.0],[925.0],[344.0],[981.0],[837.0],[281.0],[1195.0],[445.0],[1468.0],[665.0],[1431.0],[522.0],[1247.0],[698.0],[324.0],[339.0],[452.0],[1195.0],[1354.0],[60.0],[861.0],[13.0],[227.0],[1171.0],[650.0],[152.0],[783.0],[1288.0],[84.0],[837.0],[1277.0],[986.0],[306.0],[1413.0],[790.0],[602.0],[1197.0],[976.0],[1153.0],[1160.0],[1067.0],[842.0],[770.0],[496.0],[374.0],[563.0],[67.0],[866.0],[916.0],[502.0],[1466.0],[1221.0],[1110.0],[1195.0],[496.0],[274.0],[903.0],[660.0],[990.0],[1442.0],[243.0],[925.0],[717.0],[201.0],[1249.0],[1459.0],[1124.0],[1369.0],[57.0],[1247.0],[1013.0],[1464.0],[127.0],[1195.0],[399.0],[1404.0],[386.0],[1194.0],[732.0],[581.0],[660.0],[500.0],[602.0],[743.0],[1167.0],[633.0],[52.0],[1307.0],[874.0],[1097.0],[1195.0],[273.0],[1251.0],[1454.0],[842.0],[499.0],[467.0],[1354.0],[590.0],[673.0],[1133.0],[840.0],[1394.0],[1354.0],[499.0],[1307.0],[794.0],[52.0],[249.0],[490.0],[238.0],[1133.0],[723.0],[687.0],[687.0],[490.0],[1487.0],[1296.0],[1195.0],[1479.0],[1354.0],[1345.0],[779.0]
