Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,0.68860555,0.08337626,0.85928005,0.26806664,0.91327083,0.9318684,0.17261434,0.15890235,0.0946469,0.50672054,0.20134443,0.69519883,0.9540191,0.06846213,0.5165432,0.011099637,0.010353804,0.5303238,0.001944989,0.21232098,0.057848096,0.91767937,0.45029712,0.8373204,0.17960116,0.63001883,0.6911187,0.9436743,0.8163666,0.18702167,0.8458073,0.067159355,0.16274482,0.093788385,0.8897023,0.42490137,0.99229497,0.9874467,0.15190148,0.8418819,0.07782346,0.87749434,0.46584404,0.0034491122,0.901595,0.8094361,0.945025,0.23976427,0.6107324,0.62921447,0.3724782,0.072607994,0.19759351,0.35154125,0.7122743,0.6727197,0.017898828,0.35154665,0.88893384,0.94520617,0.19128954,0.7440181,0.34108084,0.7471281,0.96087193,0.21205223,0.07714087,0.7596533,0.18638247,0.019578844,0.03952083,0.50446296,0.58895934,0.9840635,0.34297907,0.08538422,0.578393,0.8188704,0.836004,0.9627397,0.3276739,0.014996499,0.829432,0.2408028,0.87084997,0.7869775,0.014803022,0.76166797,0.4964037,0.38297036,0.058647364,0.30813923,0.8550661,0.33552277,0.58917654,0.23298061,0.1949197,0.6554313,0.46655968,0.24141991
1,0.0763953,0.88253814,0.7598412,0.2535953,0.18713605,0.9566786,0.81418645,0.5561786,0.3370519,0.42451277,0.3642466,0.70244175,0.058714658,0.1402511,0.9932865,0.23497456,0.9926061,0.89808035,0.8399105,0.7256386,0.94015235,0.15468073,0.3558183,0.027419806,0.035114706,0.9365792,0.5542023,0.004376143,0.86430573,0.81432754,0.07559392,0.26391196,0.372343,0.142113,0.087062,0.90545845,0.03827408,0.116732925,0.29600024,0.95987916,0.9574311,0.1298306,0.4885786,0.5650197,0.83068895,0.79619306,0.20897809,0.5247834,0.91153234,0.8396492,0.92618686,0.5968552,0.7750487,0.026884735,0.7001206,0.07968119,0.87974024,0.9157064,0.9700451,0.19772914,0.7860239,0.94751245,0.08987409,0.9138365,0.018533349,0.4428407,0.54051924,0.8829957,0.68948233,0.9462825,0.7999405,0.12654561,0.03676665,0.1580646,0.7470465,0.04806733,0.9836757,0.86700356,0.9113722,0.10827419,0.75621915,0.20748344,0.092580914,0.021057308,0.7998855,0.55609655,0.62656116,0.59385586,0.7557213,0.7020415,0.19167429,0.84239686,0.72330934,0.891603,0.12744975,0.011009246,0.8189552,0.19268033,0.69003433,0.35350484
2,0.18645895,0.74501455,0.17711425,0.727458,0.20497543,0.967906,0.4260447,0.9517,0.666128,0.29692477,0.06076899,0.059905857,0.15604377,0.42307115,0.5568213,0.79024833,0.74156153,0.3517598,0.03153059,0.73131907,0.8494319,0.39323363,0.3528986,0.31994748,0.0055944026,0.058303416,0.6670915,0.393798,0.31753463,0.9642447,0.6171705,0.11580217,0.32819372,0.36260766,0.864414,0.9974433,0.85639226,0.0030705035,0.026436776,0.49268764,0.08007485,0.5895516,0.36769098,0.11396694,0.06693998,0.29884085,0.85970265,0.86275864,0.6321401,0.06668618,0.41483617,0.11377257,0.53897613,0.05863318,0.44465637,0.097510904,0.7788913,0.829496,0.6958946,0.47325438,0.8244294,0.090675324,0.8622432,0.41414192,0.06787157,0.5326823,0.39596638,0.42619127,0.9254568,0.3391663,0.56231654,0.28672025,0.35567278,0.5881721,0.7850164,0.59352225,0.06412253,0.033580393,0.5382043,0.55851173,0.03298825,0.050609052,0.15648037,0.5152289,0.67090124,0.31064796,0.9641586,0.35163873,0.20499802,0.5724618,0.40229407,0.49553743,0.42104584,0.88239396,0.087476194,0.21379012,0.8719558,0.39794958,0.7605082,0.44942427
3,0.9089695,0.100440025,0.49913588,0.71546537,0.97849506,0.3175472,0.24206614,0.5705825,0.312097,0.06325963,0.9556997,0.011693209,0.9861187,0.09570184,0.809809,0.50308937,0.9565817,0.37114254,0.36138788,0.9560497,0.9633945,0.20760167,0.41644487,0.80082595,0.33359516,0.6227263,0.4747449,0.44639334,0.1229783,0.63625956,0.8568593,0.87617195,0.037925392,0.43880972,0.86895,0.6036637,0.7976203,0.59296507,0.26418927,0.28204718,0.55718064,0.42856303,0.28153124,0.348145,0.3036309,0.8953957,0.2854849,0.787843,0.91043985,0.17880169,0.19281963,0.52099544,0.05670604,0.16365138,0.7924923,0.21014172,0.882205,0.17375484,0.6323244,0.6926216,0.57221615,0.8644155,0.98649704,0.1763986,0.048329115,0.20834544,0.6459272,0.09356624,0.6418805,0.029271752,0.9881567,0.7698011,0.41653782,0.6381365,0.5818268,0.7520751,0.19790989,0.013109833,0.7060089,0.028805673,0.11139184,0.30920213,0.9884975,0.3869989,0.0012952089,0.7018037,0.91502416,0.33550465,0.19641125,0.8787842,0.9755716,0.75343674,0.5409553,0.7944629,0.8163902,0.20450538,0.07392165,0.71203077,0.35933465,0.9867146
4,0.642547,0.014091879,0.2497963,0.7598202,0.77410865,0.9924937,0.38333565,0.29490608,0.41587228,0.28597203,0.26283413,0.9749086,0.8624729,0.9032866,0.87042433,0.025329798,0.7017031,0.03147444,0.9892856,0.6140528,0.37051123,0.64169127,0.6769872,0.85916007,0.9111227,0.81815374,0.44648242,0.372375,0.3002689,0.3939334,0.40661645,0.6355502,0.060315788,0.70947593,0.88418686,0.20892754,0.56304985,0.9642863,0.6817301,0.9470315,0.45100933,0.87660646,0.26644045,0.035658687,0.795267,0.18496507,0.10533887,0.71224904,0.08112115,0.09368113,0.99211925,0.65350467,0.97942364,0.7541553,0.9851135,0.58985794,0.44682485,0.63920796,0.81417996,0.7042585,0.45876166,0.7009165,0.0888187,0.9115267,0.52481145,0.49284202,0.65345883,0.93118393,0.8674835,0.8785541,0.5228076,0.94786656,0.44565114,0.1879889,0.7829488,0.90241265,0.65941596,0.9060091,0.6148499,0.8567796,0.06514734,0.14088142,0.1386089,0.11622828,0.9743959,0.046693206,0.12020257,0.83521736,0.058890402,0.16865483,0.79765064,0.018612593,0.06013769,0.39747384,0.5551035,0.9259822,0.13261133,0.614672,0.85240775,0.8162579
5,0.042598933,0.4560002,0.65990996,0.5081156,0.9713094,0.9000542,0.17820415,0.75139,0.9553261,0.60528857,0.61963296,0.022550702,0.9557452,0.68596816,0.9540607,0.7739037,0.6640954,0.66335213,8.803606e-05,0.8502718,0.4762823,0.08854261,0.055312008,0.05024329,0.51117784,0.013127834,0.2576626,0.90956825,0.63797444,0.66127247,0.5119512,0.7735975,0.8073976,0.935361,0.17841133,0.04271701,0.13481778,0.7736434,0.4077353,0.8831029,0.031473428,0.81037605,0.5178365,0.4738243,0.3725673,0.80517495,0.26312742,0.9452077,0.46242192,0.95994115,0.9600898,0.0694187,0.98557556,0.3318225,0.29114336,0.02488318,0.72151715,0.27360535,0.7809179,0.66739243,0.6274302,0.8765999,0.62093866,0.20140576,0.70528466,0.9794569,0.619022,0.5440213,0.8130512,0.36574787,0.4320747,0.97436714,0.90197766,0.13825104,0.43114263,0.20917237,0.6796445,0.109716415,0.009574562,0.5966176,0.18618047,0.72422254,0.104474515,0.6932091,0.08053225,0.036215633,0.03607759,0.1411241,0.27139148,0.41733748,0.9692844,0.28976083,0.9472167,0.88477397,0.67509747,0.085344374,0.53040093,0.96950936,0.14845347,0.19578692
6,0.08562967,0.69307685,0.38380116,0.9688082,0.9263041,0.15881684,0.83876157,0.80691355,0.6401393,0.23597702,0.49324295,0.9467258,0.06383428,0.42852837,0.6653752,0.96986043,0.91118956,0.49772328,0.046494693,0.7213807,0.91969573,0.3735317,0.9446894,0.7410971,0.9901714,0.55424094,0.057967693,0.79703987,0.8003028,0.22185752,0.94171274,0.1010707,0.6065877,0.254297,0.44408953,0.11344719,0.027092934,0.055741012,0.89844024,0.59880304,0.9206126,0.043361157,0.21637931,0.10315013,0.9894717,0.36111394,0.9104375,0.71608377,0.7965852,0.7949731,0.5132486,0.9310362,0.041583657,0.12359449,0.34771734,0.63227177,0.32902813,0.18443888,0.5121176,0.1573886,0.4175465,0.5101513,0.47626868,0.5065434,0.110290706,0.9700861,0.2931122,0.025661886,0.9773787,0.2953351,0.84378767,0.8003669,0.043941855,0.73516107,0.19384328,0.63213104,0.89018166,0.2659938,0.59265417,0.08705178,0.28643018,0.7746128,0.08281377,0.8450028,0.034001827,0.037993997,0.84230816,0.35405585,0.35081822,0.37455076,0.049687266,0.027666658,0.06360096,0.44087687,0.22826207,0.022979409,0.87431866,0.27805656,0.062351137,0.775791
7,0.9427308,0.32305455,0.7144527,0.59478223,0.5628152,0.55449617,0.08400142,0.68167007,0.98744965,0.6437584,0.08782479,0.45247707,0.86671555,0.41751468,0.09115258,0.698725,0.50240844,0.21824044,0.1662553,0.7583667,0.81359315,0.7621295,0.4192323,0.45239726,0.13326102,0.09584975,0.9663262,0.016501933,0.11388391,0.81381345,0.7012239,0.41260242,0.15305546,0.7259606,0.37150782,0.18139201,0.63188994,0.245264,0.49864098,0.7665324,0.044476956,0.56196314,0.9073347,0.83445036,0.32042104,0.7164446,0.8411271,0.05702561,0.8294289,0.124733806,0.8761358,0.6708346,0.4629023,0.045553505,0.5202528,0.8167329,0.46830404,0.90494275,0.50713193,0.36958227,0.94104254,0.58791566,0.91987514,0.92920387,0.390931,0.42545456,0.993116,0.025132746,0.8036501,0.1331881,0.76433957,0.9639519,0.94343054,0.34699473,0.7562641,0.6062167,0.33670574,0.5962126,0.39377397,0.61850184,0.5949512,0.76202196,0.9403699,0.46687585,0.06137061,0.21548995,0.113841355,0.47265393,0.8410008,0.7607256,0.14402828,0.04423955,0.08189711,0.32532302,0.340617,0.43503043,0.67265725,0.17251933,0.37652633,0.3228625
8,0.42345172,0.50631535,0.9717758,0.16894996,0.75755847,0.47726315,0.30120286,0.9250783,0.0072067976,0.7737998,0.015944093,0.5256367,0.028044134,0.9732208,0.90810597,0.92333186,0.83743817,0.28295058,0.84785116,0.3391341,0.6856536,0.22432074,0.78880703,0.8376224,0.23778382,0.12054649,0.12514266,0.6666362,0.13506389,0.054201335,0.3484768,0.47167888,0.12700236,0.99154407,0.35756016,0.98192686,0.923681,0.77964765,0.19051626,0.4660547,0.30644423,0.52014726,0.17389908,0.5581237,0.009756893,0.8575798,0.99039024,0.32824275,0.20091516,0.1161516,0.73634744,0.35003942,0.69672227,0.2766819,0.9599467,0.51631916,0.4193955,0.65807533,0.22875962,0.8017798,0.25581586,0.07429519,0.83100986,0.8992474,0.8025136,0.24980858,0.746271,0.1072979,0.0051457286,0.47302318,0.83571047,0.11882591,0.40550327,0.9773836,0.20309752,0.111976326,0.98181826,0.73422784,0.010354817,0.4377151,0.8890162,0.017320782,0.87308705,0.44366968,0.9107089,0.33586314,0.53539383,0.12847698,0.8058328,0.3696385,0.7501184,0.40602767,0.51513255,0.6021149,0.3927984,0.49418366,0.74113417,0.055916607,0.48827776,0.09362036
9,0.63677,0.23238215,0.10111949,0.7959943,0.79827094,0.26765308,0.42698404,0.45011768,0.9576211,0.2376354,0.7313129,0.13612929,0.32828942,0.98323834,0.5969444,0.72609884,0.49964923,0.5938287,0.941162,0.12925681,0.9064605,0.5223479,0.56073,0.86234504,0.82859075,0.66146314,0.11416787,0.5334271,0.40798935,0.40900248,0.7482578,0.5181907,0.14319429,0.8154538,0.068770915,0.7953662,0.17298642,0.68828064,0.92717147,0.14049369,0.21076289,0.019547313,0.6966927,0.89914846,0.7194013,0.7503748,0.15019375,0.97484994,0.9522847,0.96953976,0.08969864,0.9681777,0.84770906,0.26724696,0.2176046,0.44389704,0.051441133,0.30735946,0.074781895,0.84099865,0.18870726,0.3360017,0.7431961,0.16269341,0.28603292,0.16827536,0.2573197,0.99195033,0.61181617,0.31316513,0.047643483,0.9394635,0.9820526,0.07227823,0.09009832,0.08776623,0.19301829,0.302989,0.28623614,0.08141151,0.5451791,0.366793,0.910448,0.12365317,0.64198256,0.9444062,0.6185106,0.56434524,0.8432082,0.036937237,0.81295145,0.37463164,0.7953024,0.8978771,0.8669589,0.65111256,0.9368961,0.9884546,0.7768229,0.23409739
