Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[377.0],[453.0],[705.0],[907.0],[529.0],[642.0],[553.0],[831.0],[846.0],[477.0],[504.0],[453.0],[273.0],[453.0],[377.0],[767.0],[612.0],[273.0],[520.0],[5.0],[575.0],[188.0],[978.0],[933.0],[17.0],[259.0],[739.0],[452.0],[824.0],[823.0],[226.0],[99.0],[832.0],[104.0],[693.0],[642.0],[152.0],[779.0],[957.0],[185.0],[743.0],[860.0],[259.0],[188.0],[340.0],[633.0],[693.0],[642.0],[211.0],[696.0],[532.0],[923.0],[957.0],[367.0],[348.0],[602.0],[714.0],[106.0],[904.0],[377.0],[162.0],[813.0],[226.0],[666.0],[788.0],[243.0],[861.0],[290.0],[933.0],[247.0],[204.0],[619.0],[345.0],[506.0],[452.0],[861.0],[992.0],[840.0],[580.0],[589.0],[204.0],[204.0],[909.0],[42.0],[170.0],[134.0],[189.0],[693.0],[575.0],[889.0],[84.0],[467.0],[377.0],[463.0],[882.0],[517.0],[676.0],[433.0],[866.0],[593.0]
1,[676.0],[138.0],[453.0],[807.0],[330.0],[227.0],[106.0],[433.0],[503.0],[155.0],[113.0],[746.0],[211.0],[925.0],[389.0],[604.0],[905.0],[753.0],[160.0],[249.0],[640.0],[174.0],[248.0],[593.0],[702.0],[905.0],[640.0],[647.0],[298.0],[309.0],[467.0],[754.0],[953.0],[662.0],[986.0],[779.0],[263.0],[409.0],[273.0],[821.0],[965.0],[141.0],[866.0],[866.0],[30.0],[230.0],[738.0],[631.0],[383.0],[673.0],[685.0],[508.0],[738.0],[739.0],[4.0],[693.0],[105.0],[253.0],[593.0],[586.0],[819.0],[392.0],[479.0],[411.0],[139.0],[861.0],[986.0],[261.0],[840.0],[746.0],[633.0],[258.0],[534.0],[754.0],[467.0],[188.0],[630.0],[326.0],[704.0],[510.0],[462.0],[738.0],[17.0],[81.0],[438.0],[981.0],[630.0],[419.0],[389.0],[665.0],[846.0],[650.0],[211.0],[738.0],[159.0],[21.0],[503.0],[889.0],[70.0],[309.0]
2,[769.0],[172.0],[120.0],[715.0],[593.0],[779.0],[141.0],[919.0],[981.0],[791.0],[95.0],[300.0],[981.0],[715.0],[242.0],[81.0],[779.0],[305.0],[697.0],[580.0],[738.0],[70.0],[874.0],[189.0],[884.0],[248.0],[861.0],[467.0],[955.0],[189.0],[840.0],[17.0],[194.0],[921.0],[211.0],[978.0],[298.0],[5.0],[553.0],[773.0],[738.0],[253.0],[409.0],[965.0],[467.0],[60.0],[52.0],[309.0],[141.0],[245.0],[239.0],[640.0],[608.0],[752.0],[650.0],[874.0],[376.0],[141.0],[623.0],[866.0],[615.0],[669.0],[97.0],[139.0],[637.0],[188.0],[965.0],[666.0],[57.0],[249.0],[821.0],[806.0],[866.0],[427.0],[738.0],[866.0],[126.0],[981.0],[806.0],[716.0],[274.0],[840.0],[705.0],[592.0],[235.0],[986.0],[823.0],[524.0],[866.0],[953.0],[273.0],[592.0],[70.0],[139.0],[139.0],[864.0],[510.0],[665.0],[590.0],[770.0]
3,[687.0],[379.0],[909.0],[557.0],[152.0],[791.0],[162.0],[633.0],[575.0],[715.0],[570.0],[652.0],[384.0],[842.0],[986.0],[612.0],[5.0],[141.0],[860.0],[955.0],[499.0],[907.0],[965.0],[660.0],[464.0],[452.0],[965.0],[315.0],[773.0],[378.0],[925.0],[97.0],[590.0],[230.0],[673.0],[981.0],[508.0],[673.0],[484.0],[986.0],[978.0],[1.0],[768.0],[899.0],[433.0],[965.0],[152.0],[596.0],[965.0],[593.0],[868.0],[499.0],[599.0],[223.0],[581.0],[433.0],[877.0],[97.0],[382.0],[612.0],[383.0],[213.0],[238.0],[433.0],[728.0],[965.0],[673.0],[970.0],[365.0],[754.0],[858.0],[645.0],[779.0],[259.0],[348.0],[211.0],[500.0],[570.0],[258.0],[687.0],[98.0],[227.0],[120.0],[170.0],[653.0],[965.0],[522.0],[445.0],[673.0],[729.0],[452.0],[575.0],[173.0],[467.0],[467.0],[219.0],[623.0],[309.0],[333.0],[652.0]
4,[925.0],[465.0],[905.0],[437.0],[955.0],[173.0],[981.0],[824.0],[965.0],[352.0],[52.0],[274.0],[665.0],[652.0],[326.0],[861.0],[673.0],[698.0],[723.0],[522.0],[666.0],[590.0],[389.0],[960.0],[729.0],[586.0],[779.0],[511.0],[647.0],[96.0],[650.0],[1.0],[875.0],[165.0],[389.0],[909.0],[242.0],[866.0],[703.0],[965.0],[593.0],[223.0],[383.0],[612.0],[824.0],[666.0],[243.0],[813.0],[97.0],[423.0],[604.0],[243.0],[650.0],[936.0],[519.0],[496.0],[666.0],[962.0],[231.0],[242.0],[705.0],[285.0],[905.0],[840.0],[581.0],[866.0],[615.0],[492.0],[330.0],[155.0],[916.0],[804.0],[70.0],[70.0],[925.0],[409.0],[433.0],[986.0],[450.0],[840.0],[734.0],[906.0],[975.0],[438.0],[788.0],[673.0],[804.0],[666.0],[70.0],[650.0],[587.0],[652.0],[141.0],[227.0],[536.0],[412.0],[913.0],[950.0],[305.0],[589.0]
5,[330.0],[688.0],[653.0],[653.0],[773.0],[185.0],[253.0],[281.0],[70.0],[170.0],[384.0],[955.0],[715.0],[519.0],[633.0],[113.0],[230.0],[244.0],[706.0],[180.0],[433.0],[950.0],[858.0],[242.0],[936.0],[467.0],[907.0],[56.0],[101.0],[383.0],[746.0],[503.0],[109.0],[58.0],[152.0],[301.0],[523.0],[243.0],[419.0],[673.0],[612.0],[376.0],[975.0],[389.0],[874.0],[794.0],[60.0],[32.0],[96.0],[666.0],[21.0],[986.0],[824.0],[211.0],[558.0],[138.0],[708.0],[871.0],[794.0],[965.0],[259.0],[378.0],[159.0],[633.0],[249.0],[673.0],[70.0],[635.0],[991.0],[807.0],[4.0],[417.0],[236.0],[807.0],[193.0],[558.0],[868.0],[866.0],[432.0],[925.0],[906.0],[714.0],[788.0],[312.0],[567.0],[245.0],[993.0],[437.0],[888.0],[405.0],[384.0],[589.0],[135.0],[874.0],[81.0],[896.0],[904.0],[330.0],[640.0],[861.0]
6,[57.0],[67.0],[819.0],[612.0],[60.0],[57.0],[301.0],[109.0],[173.0],[189.0],[433.0],[211.0],[814.0],[15.0],[558.0],[503.0],[593.0],[424.0],[1.0],[577.0],[794.0],[109.0],[986.0],[743.0],[479.0],[840.0],[724.0],[708.0],[109.0],[807.0],[899.0],[742.0],[756.0],[981.0],[410.0],[223.0],[891.0],[281.0],[453.0],[5.0],[152.0],[113.0],[106.0],[259.0],[888.0],[30.0],[575.0],[601.0],[974.0],[173.0],[365.0],[259.0],[838.0],[833.0],[875.0],[887.0],[266.0],[547.0],[631.0],[510.0],[860.0],[696.0],[452.0],[925.0],[127.0],[245.0],[253.0],[229.0],[532.0],[312.0],[24.0],[930.0],[383.0],[728.0],[955.0],[348.0],[170.0],[245.0],[364.0],[227.0],[911.0],[926.0],[194.0],[235.0],[909.0],[84.0],[602.0],[653.0],[504.0],[261.0],[467.0],[274.0],[719.0],[498.0],[539.0],[567.0],[814.0],[109.0],[975.0],[113.0]
7,[428.0],[532.0],[676.0],[583.0],[804.0],[889.0],[974.0],[647.0],[236.0],[567.0],[794.0],[307.0],[599.0],[656.0],[858.0],[647.0],[503.0],[9.0],[640.0],[804.0],[126.0],[217.0],[428.0],[858.0],[846.0],[981.0],[756.0],[150.0],[567.0],[558.0],[782.0],[305.0],[106.0],[698.0],[666.0],[899.0],[281.0],[211.0],[773.0],[594.0],[389.0],[691.0],[965.0],[673.0],[633.0],[97.0],[666.0],[21.0],[188.0],[60.0],[330.0],[131.0],[633.0],[791.0],[99.0],[24.0],[133.0],[120.0],[603.0],[807.0],[253.0],[54.0],[467.0],[4.0],[452.0],[807.0],[779.0],[414.0],[172.0],[335.0],[76.0],[101.0],[875.0],[586.0],[773.0],[832.0],[496.0],[383.0],[795.0],[831.0],[928.0],[258.0],[246.0],[3.0],[81.0],[207.0],[330.0],[832.0],[390.0],[966.0],[925.0],[500.0],[363.0],[189.0],[592.0],[593.0],[603.0],[185.0],[499.0],[428.0]
8,[986.0],[525.0],[831.0],[194.0],[993.0],[687.0],[899.0],[631.0],[32.0],[794.0],[496.0],[22.0],[925.0],[521.0],[768.0],[95.0],[608.0],[248.0],[702.0],[443.0],[496.0],[453.0],[919.0],[498.0],[652.0],[301.0],[72.0],[861.0],[950.0],[791.0],[529.0],[723.0],[531.0],[462.0],[173.0],[884.0],[321.0],[534.0],[886.0],[84.0],[666.0],[105.0],[17.0],[409.0],[950.0],[925.0],[570.0],[336.0],[253.0],[152.0],[503.0],[428.0],[498.0],[187.0],[276.0],[794.0],[648.0],[305.0],[422.0],[871.0],[866.0],[86.0],[138.0],[947.0],[588.0],[874.0],[807.0],[472.0],[379.0],[769.0],[875.0],[269.0],[259.0],[866.0],[516.0],[71.0],[604.0],[173.0],[178.0],[723.0],[777.0],[364.0],[284.0],[389.0],[801.0],[823.0],[773.0],[71.0],[743.0],[544.0],[227.0],[60.0],[981.0],[960.0],[517.0],[81.0],[618.0],[725.0],[363.0],[211.0]
9,[389.0],[620.0],[383.0],[978.0],[738.0],[365.0],[97.0],[950.0],[329.0],[81.0],[189.0],[402.0],[603.0],[698.0],[791.0],[978.0],[723.0],[30.0],[499.0],[981.0],[105.0],[840.0],[612.0],[633.0],[519.0],[899.0],[612.0],[20.0],[235.0],[715.0],[687.0],[712.0],[195.0],[706.0],[298.0],[503.0],[636.0],[715.0],[233.0],[428.0],[899.0],[237.0],[188.0],[383.0],[506.0],[141.0],[647.0],[55.0],[673.0],[608.0],[445.0],[188.0],[247.0],[521.0],[662.0],[76.0],[74.0],[583.0],[601.0],[547.0],[84.0],[538.0],[650.0],[227.0],[467.0],[599.0],[141.0],[555.0],[465.0],[135.0],[760.0],[733.0],[4.0],[277.0],[602.0],[819.0],[771.0],[887.0],[827.0],[457.0],[260.0],[795.0],[729.0],[593.0],[363.0],[829.0],[573.0],[959.0],[981.0],[578.0],[600.0],[444.0],[975.0],[496.0],[128.0],[814.0],[949.0],[529.0],[909.0],[866.0]
