Iteration,Sim_0,Sim_1,Sim_2
0,[156.0],[921.0],[942.0]
1,[730.0],[837.0],[12.0]
2,[318.0],[57.0],[383.0]
3,[330.0],[458.0],[775.0]
4,[607.0],[63.0],[82.0]
5,[430.0],[291.0],[519.0]
6,[837.0],[23.0],[428.0]
7,[866.0],[977.0],[837.0]
8,[734.0],[607.0],[844.0]
9,[78.0],[768.0],[495.0]
10,[4.0],[168.0],[965.0]
11,[335.0],[300.0],[564.0]
12,[965.0],[701.0],[195.0]
13,[801.0],[827.0],[714.0]
14,[29.0],[514.0],[569.0]
15,[714.0],[58.0],[826.0]
16,[195.0],[347.0],[783.0]
17,[334.0],[334.0],[593.0]
18,[593.0],[29.0],[58.0]
19,[347.0],[610.0],[347.0]
20,[58.0],[145.0],[334.0]
21,[768.0],[628.0],[335.0]
22,[514.0],[729.0],[957.0]
23,[564.0],[856.0],[628.0]
24,[394.0],[285.0],[531.0]
25,[472.0],[958.0],[285.0]
26,[281.0],[42.0],[11.0]
27,[610.0],[764.0],[42.0]
28,[629.0],[254.0],[240.0]
29,[133.0],[31.0],[358.0]
30,[702.0],[100.0],[100.0]
31,[291.0],[290.0],[364.0]
32,[708.0],[342.0],[847.0]
33,[105.0],[317.0],[878.0]
34,[660.0],[878.0],[789.0]
35,[628.0],[901.0],[356.0]
36,[63.0],[239.0],[720.0]
37,[856.0],[356.0],[52.0]
38,[847.0],[515.0],[98.0]
39,[988.0],[847.0],[751.0]
40,[875.0],[902.0],[874.0]
41,[42.0],[237.0],[134.0]
42,[962.0],[867.0],[237.0]
43,[293.0],[925.0],[377.0]
44,[305.0],[620.0],[208.0]
45,[889.0],[10.0],[705.0]
46,[18.0],[640.0],[261.0]
47,[637.0],[167.0],[390.0]
48,[155.0],[208.0],[475.0]
49,[189.0],[689.0],[69.0]
50,[657.0],[493.0],[661.0]
51,[111.0],[855.0],[499.0]
52,[667.0],[234.0],[477.0]
53,[397.0],[297.0],[941.0]
54,[138.0],[973.0],[446.0]
55,[929.0],[796.0],[532.0]
56,[675.0],[668.0],[326.0]
57,[246.0],[256.0],[977.0]
58,[585.0],[247.0],[154.0]
59,[125.0],[178.0],[932.0]
60,[151.0],[592.0],[148.0]
61,[887.0],[784.0],[865.0]
62,[691.0],[71.0],[63.0]
63,[924.0],[182.0],[663.0]
64,[23.0],[540.0],[210.0]
65,[158.0],[98.0],[320.0]
66,[804.0],[324.0],[425.0]
67,[223.0],[312.0],[675.0]
68,[160.0],[807.0],[552.0]
69,[441.0],[1.0],[10.0]
70,[625.0],[830.0],[914.0]
71,[661.0],[387.0],[882.0]
72,[974.0],[213.0],[825.0]
73,[446.0],[621.0],[744.0]
74,[243.0],[488.0],[545.0]
75,[290.0],[882.0],[371.0]
76,[622.0],[998.0],[813.0]
77,[705.0],[411.0],[836.0]
78,[557.0],[936.0],[39.0]
79,[835.0],[171.0],[734.0]
80,[392.0],[33.0],[171.0]
81,[390.0],[563.0],[776.0]
82,[870.0],[917.0],[108.0]
83,[878.0],[332.0],[542.0]
84,[744.0],[789.0],[738.0]
85,[442.0],[840.0],[268.0]
86,[532.0],[670.0],[124.0]
87,[348.0],[898.0],[567.0]
88,[681.0],[366.0],[994.0]
89,[465.0],[470.0],[55.0]
90,[184.0],[945.0],[799.0]
91,[880.0],[305.0],[898.0]
92,[516.0],[407.0],[915.0]
93,[739.0],[140.0],[987.0]
94,[44.0],[313.0],[343.0]
95,[776.0],[128.0],[657.0]
96,[542.0],[469.0],[468.0]
97,[124.0],[72.0],[879.0]
98,[173.0],[226.0],[138.0]
99,[521.0],[139.0],[131.0]
100,[955.0],[934.0],[654.0]
101,[830.0],[717.0],[607.0]
102,[213.0],[907.0],[470.0]
103,[746.0],[522.0],[456.0]
104,[468.0],[93.0],[807.0]
105,[365.0],[11.0],[23.0]
106,[879.0],[553.0],[407.0]
107,[177.0],[858.0],[72.0]
108,[360.0],[281.0],[305.0]
109,[406.0],[451.0],[246.0]
110,[908.0],[39.0],[297.0]
111,[963.0],[310.0],[97.0]
112,[566.0],[221.0],[973.0]
113,[572.0],[567.0],[125.0]
114,[893.0],[533.0],[625.0]
115,[840.0],[187.0],[724.0]
116,[297.0],[765.0],[243.0]
117,[973.0],[326.0],[245.0]
118,[561.0],[477.0],[413.0]
119,[13.0],[863.0],[684.0]
120,[642.0],[915.0],[953.0]
121,[852.0],[819.0],[452.0]
122,[621.0],[987.0],[804.0]
123,[677.0],[413.0],[443.0]
124,[911.0],[753.0],[697.0]
125,[26.0],[26.0],[506.0]
126,[96.0],[749.0],[903.0]
127,[871.0],[343.0],[786.0]
128,[479.0],[725.0],[496.0]
129,[548.0],[425.0],[395.0]
130,[309.0],[173.0],[13.0]
131,[550.0],[165.0],[392.0]
132,[47.0],[524.0],[796.0]
133,[61.0],[376.0],[939.0]
134,[956.0],[134.0],[357.0]
135,[518.0],[999.0],[498.0]
136,[136.0],[219.0],[328.0]
137,[263.0],[891.0],[642.0]
138,[935.0],[485.0],[835.0]
139,[673.0],[808.0],[442.0]
140,[527.0],[396.0],[785.0]
141,[570.0],[198.0],[511.0]
142,[69.0],[88.0],[0.0]
143,[940.0],[427.0],[348.0]
144,[954.0],[879.0],[300.0]
145,[274.0],[82.0],[806.0]
146,[511.0],[131.0],[130.0]
147,[129.0],[561.0],[282.0]
148,[567.0],[642.0],[448.0]
149,[39.0],[397.0],[701.0]
150,[863.0],[246.0],[256.0]
151,[692.0],[97.0],[516.0]
152,[526.0],[583.0],[178.0]
153,[845.0],[852.0],[739.0]
154,[426.0],[606.0],[585.0]
155,[792.0],[854.0],[971.0]
156,[391.0],[924.0],[521.0]
157,[402.0],[804.0],[818.0]
158,[323.0],[679.0],[139.0]
159,[208.0],[904.0],[955.0]
160,[72.0],[135.0],[471.0]
161,[128.0],[80.0],[360.0]
162,[205.0],[7.0],[458.0]
163,[407.0],[280.0],[60.0]
164,[898.0],[569.0],[50.0]
165,[925.0],[831.0],[944.0]
166,[154.0],[536.0],[606.0]
167,[515.0],[861.0],[854.0]
168,[867.0],[336.0],[478.0]
169,[901.0],[529.0],[406.0]
170,[15.0],[272.0],[424.0]
171,[620.0],[249.0],[247.0]
172,[10.0],[252.0],[34.0]
173,[49.0],[328.0],[963.0]
174,[98.0],[835.0],[566.0]
175,[167.0],[954.0],[717.0]
176,[356.0],[511.0],[6.0]
177,[668.0],[706.0],[736.0]
178,[498.0],[130.0],[469.0]
179,[895.0],[641.0],[227.0]
180,[882.0],[532.0],[572.0]
181,[936.0],[166.0],[140.0]
182,[226.0],[475.0],[893.0]
183,[371.0],[931.0],[704.0]
184,[522.0],[12.0],[773.0]
185,[244.0],[526.0],[366.0]
186,[563.0],[845.0],[677.0]
187,[332.0],[391.0],[823.0]
188,[11.0],[375.0],[344.0]
189,[470.0],[261.0],[843.0]
190,[471.0],[363.0],[32.0]
191,[538.0],[48.0],[817.0]
192,[829.0],[210.0],[921.0]
193,[831.0],[482.0],[494.0]
194,[861.0],[253.0],[740.0]
195,[24.0],[359.0],[362.0]
196,[605.0],[675.0],[490.0]
197,[626.0],[432.0],[808.0]
198,[286.0],[490.0],[415.0]
199,[525.0],[260.0],[845.0]
200,[712.0],[510.0],[713.0]
201,[89.0],[932.0],[674.0]
202,[595.0],[20.0],[382.0]
203,[338.0],[695.0],[752.0]
204,[969.0],[146.0],[229.0]
205,[623.0],[499.0],[928.0]
206,[921.0],[30.0],[864.0]
207,[775.0],[803.0],[787.0]
208,[589.0],[204.0],[427.0]
209,[900.0],[24.0],[555.0]
210,[674.0],[541.0],[988.0]
211,[854.0],[661.0],[693.0]
212,[344.0],[961.0],[768.0]
213,[817.0],[979.0],[198.0]
214,[555.0],[441.0],[489.0]
215,[687.0],[849.0],[324.0]
216,[64.0],[976.0],[241.0]
217,[487.0],[69.0],[483.0]
218,[198.0],[678.0],[488.0]
219,[473.0],[520.0],[349.0]
220,[88.0],[646.0],[749.0]
221,[656.0],[424.0],[917.0]
222,[556.0],[674.0],[962.0]
223,[148.0],[28.0],[155.0]
224,[913.0],[169.0],[180.0]
225,[280.0],[518.0],[33.0]
226,[50.0],[289.0],[225.0]
227,[678.0],[993.0],[194.0]
228,[478.0],[565.0],[281.0]
229,[248.0],[787.0],[859.0]
230,[469.0],[864.0],[537.0]
231,[313.0],[817.0],[133.0]
232,[140.0],[471.0],[316.0]
233,[464.0],[478.0],[329.0]
234,[843.0],[652.0],[814.0]
235,[241.0],[791.0],[702.0]
236,[488.0],[357.0],[722.0]
237,[998.0],[344.0],[819.0]
238,[508.0],[773.0],[850.0]
239,[535.0],[704.0],[980.0]
240,[358.0],[893.0],[762.0]
241,[256.0],[572.0],[584.0]
242,[684.0],[873.0],[513.0]
243,[182.0],[316.0],[105.0]
244,[813.0],[227.0],[822.0]
245,[825.0],[106.0],[574.0]
246,[953.0],[736.0],[920.0]
247,[453.0],[83.0],[106.0]
248,[192.0],[566.0],[319.0]
249,[853.0],[912.0],[81.0]
250,[575.0],[963.0],[351.0]
251,[917.0],[844.0],[264.0]
252,[869.0],[32.0],[671.0]
253,[134.0],[489.0],[88.0]
254,[797.0],[859.0],[948.0]
255,[221.0],[406.0],[114.0]
256,[858.0],[60.0],[346.0]
257,[258.0],[760.0],[303.0]
258,[659.0],[722.0],[152.0]
259,[686.0],[665.0],[629.0]
260,[724.0],[369.0],[354.0]
261,[359.0],[875.0],[583.0]
262,[32.0],[436.0],[999.0]
263,[6.0],[645.0],[708.0]
264,[701.0],[118.0],[417.0]
265,[865.0],[483.0],[635.0]
266,[451.0],[752.0],[104.0]
267,[685.0],[382.0],[453.0]
268,[326.0],[229.0],[643.0]
269,[284.0],[839.0],[374.0]
270,[941.0],[161.0],[367.0]
271,[838.0],[362.0],[568.0]
272,[697.0],[505.0],[947.0]
273,[528.0],[580.0],[436.0]
274,[903.0],[682.0],[430.0]
275,[463.0],[476.0],[476.0]
276,[786.0],[605.0],[760.0]
277,[357.0],[788.0],[983.0]
278,[791.0],[730.0],[801.0]
279,[652.0],[77.0],[586.0]
280,[477.0],[68.0],[665.0]
281,[645.0],[4.0],[497.0]
282,[910.0],[586.0],[681.0]
283,[816.0],[209.0],[790.0]
284,[28.0],[626.0],[311.0]
285,[203.0],[740.0],[44.0]
286,[949.0],[667.0],[121.0]
287,[3.0],[497.0],[866.0]
288,[950.0],[177.0],[672.0]
289,[976.0],[193.0],[5.0]
290,[836.0],[928.0],[439.0]
291,[646.0],[525.0],[613.0]
292,[506.0],[728.0],[4.0]
293,[43.0],[102.0],[449.0]
294,[104.0],[439.0],[201.0]
295,[401.0],[346.0],[538.0]
296,[616.0],[712.0],[875.0]
297,[242.0],[5.0],[299.0]
298,[745.0],[613.0],[975.0]
299,[301.0],[895.0],[831.0]
300,[633.0],[960.0],[899.0]
301,[961.0],[251.0],[559.0]
302,[662.0],[341.0],[491.0]
303,[541.0],[595.0],[861.0]
304,[803.0],[955.0],[756.0]
305,[562.0],[338.0],[216.0]
306,[704.0],[46.0],[24.0]
307,[997.0],[434.0],[624.0]
308,[83.0],[731.0],[544.0]
309,[179.0],[786.0],[340.0]
310,[288.0],[521.0],[59.0]
311,[850.0],[440.0],[111.0]
