Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99,Sim_100,Sim_101,Sim_102,Sim_103,Sim_104,Sim_105,Sim_106,Sim_107,Sim_108,Sim_109,Sim_110,Sim_111,Sim_112,Sim_113,Sim_114,Sim_115,Sim_116,Sim_117,Sim_118,Sim_119,Sim_120,Sim_121,Sim_122,Sim_123,Sim_124
0,[142.0],[553.0],[981.0],[142.0],[377.0],[139.0],[866.0],[933.0],[693.0],[580.0],[340.0],[905.0],[248.0],[993.0],[905.0],[524.0],[522.0],[642.0],[411.0],[345.0],[217.0],[888.0],[226.0],[829.0],[601.0],[204.0],[837.0],[426.0],[823.0],[739.0],[627.0],[226.0],[846.0],[273.0],[139.0],[189.0],[377.0],[244.0],[823.0],[354.0],[84.0],[504.0],[642.0],[660.0],[377.0],[390.0],[631.0],[453.0],[248.0],[309.0],[411.0],[142.0],[333.0],[162.0],[193.0],[390.0],[139.0],[832.0],[669.0],[226.0],[139.0],[739.0],[142.0],[676.0],[453.0],[78.0],[631.0],[204.0],[729.0],[631.0],[345.0],[522.0],[463.0],[139.0],[250.0],[453.0],[669.0],[244.0],[905.0],[453.0],[273.0],[196.0],[957.0],[955.0],[345.0],[142.0],[886.0],[823.0],[696.0],[957.0],[846.0],[273.0],[846.0],[129.0],[139.0],[846.0],[746.0],[829.0],[162.0],[696.0],[463.0],[693.0],[905.0],[389.0],[580.0],[204.0],[354.0],[411.0],[479.0],[486.0],[453.0],[629.0],[553.0],[129.0],[580.0],[829.0],[310.0],[501.0],[204.0],[669.0],[642.0],[479.0],[732.0],[390.0],[949.0]
1,[226.0],[443.0],[427.0],[245.0],[821.0],[13.0],[553.0],[798.0],[631.0],[503.0],[348.0],[798.0],[240.0],[807.0],[955.0],[336.0],[593.0],[126.0],[602.0],[56.0],[642.0],[534.0],[185.0],[619.0],[693.0],[273.0],[903.0],[139.0],[519.0],[173.0],[75.0],[829.0],[118.0],[696.0],[503.0],[417.0],[905.0],[881.0],[612.0],[986.0],[957.0],[503.0],[22.0],[383.0],[676.0],[548.0],[101.0],[529.0],[629.0],[684.0],[985.0],[570.0],[453.0],[211.0],[403.0],[936.0],[411.0],[309.0],[382.0],[941.0],[377.0],[273.0],[884.0],[861.0],[538.0],[631.0],[158.0],[753.0],[981.0],[739.0],[477.0],[921.0],[553.0],[126.0],[986.0],[693.0],[453.0],[217.0],[884.0],[56.0],[629.0],[204.0],[210.0],[534.0],[273.0],[393.0],[508.0],[134.0],[70.0],[277.0],[469.0],[185.0],[602.0],[453.0],[965.0],[123.0],[794.0],[273.0],[510.0],[779.0],[423.0],[642.0],[881.0],[692.0],[490.0],[612.0],[986.0],[22.0],[965.0],[453.0],[669.0],[614.0],[630.0],[185.0],[612.0],[801.0],[903.0],[126.0],[226.0],[842.0],[773.0],[580.0],[861.0],[765.0],[676.0]
2,[593.0],[546.0],[965.0],[104.0],[326.0],[75.0],[307.0],[695.0],[910.0],[940.0],[896.0],[216.0],[933.0],[650.0],[259.0],[142.0],[324.0],[790.0],[716.0],[570.0],[866.0],[563.0],[142.0],[510.0],[787.0],[570.0],[602.0],[829.0],[354.0],[37.0],[57.0],[185.0],[557.0],[638.0],[118.0],[666.0],[503.0],[517.0],[30.0],[517.0],[385.0],[346.0],[340.0],[746.0],[866.0],[553.0],[3.0],[593.0],[322.0],[993.0],[631.0],[488.0],[208.0],[524.0],[173.0],[270.0],[203.0],[950.0],[872.0],[823.0],[821.0],[866.0],[139.0],[427.0],[365.0],[319.0],[769.0],[593.0],[672.0],[614.0],[326.0],[693.0],[534.0],[390.0],[722.0],[602.0],[326.0],[106.0],[739.0],[962.0],[687.0],[864.0],[984.0],[383.0],[881.0],[382.0],[302.0],[941.0],[846.0],[652.0],[390.0],[813.0],[219.0],[383.0],[903.0],[363.0],[265.0],[348.0],[412.0],[248.0],[891.0],[301.0],[746.0],[729.0],[612.0],[13.0],[824.0],[479.0],[869.0],[537.0],[381.0],[226.0],[593.0],[950.0],[704.0],[506.0],[606.0],[215.0],[666.0],[765.0],[978.0],[837.0],[185.0],[524.0],[914.0]
3,[103.0],[157.0],[660.0],[593.0],[614.0],[529.0],[384.0],[226.0],[666.0],[435.0],[59.0],[330.0],[953.0],[593.0],[797.0],[230.0],[943.0],[301.0],[630.0],[957.0],[702.0],[526.0],[367.0],[951.0],[106.0],[176.0],[758.0],[332.0],[389.0],[666.0],[919.0],[93.0],[94.0],[81.0],[281.0],[866.0],[691.0],[49.0],[819.0],[565.0],[384.0],[383.0],[630.0],[522.0],[378.0],[152.0],[189.0],[161.0],[326.0],[477.0],[326.0],[365.0],[936.0],[141.0],[300.0],[326.0],[831.0],[141.0],[17.0],[769.0],[899.0],[365.0],[55.0],[780.0],[503.0],[501.0],[899.0],[189.0],[933.0],[964.0],[672.0],[976.0],[143.0],[494.0],[432.0],[852.0],[816.0],[652.0],[189.0],[501.0],[899.0],[362.0],[526.0],[967.0],[581.0],[886.0],[960.0],[170.0],[165.0],[862.0],[769.0],[981.0],[84.0],[435.0],[32.0],[236.0],[985.0],[320.0],[265.0],[593.0],[886.0],[597.0],[399.0],[889.0],[794.0],[905.0],[227.0],[647.0],[427.0],[540.0],[899.0],[950.0],[128.0],[127.0],[802.0],[603.0],[5.0],[670.0],[933.0],[129.0],[798.0],[52.0],[591.0],[227.0],[546.0]
4,[771.0],[652.0],[340.0],[519.0],[741.0],[889.0],[413.0],[433.0],[638.0],[881.0],[519.0],[204.0],[112.0],[435.0],[769.0],[647.0],[292.0],[770.0],[938.0],[478.0],[526.0],[375.0],[381.0],[310.0],[652.0],[586.0],[861.0],[88.0],[919.0],[804.0],[886.0],[660.0],[474.0],[427.0],[383.0],[273.0],[960.0],[427.0],[665.0],[524.0],[155.0],[274.0],[373.0],[326.0],[152.0],[36.0],[158.0],[773.0],[396.0],[118.0],[968.0],[950.0],[575.0],[593.0],[943.0],[798.0],[534.0],[70.0],[880.0],[896.0],[459.0],[547.0],[899.0],[33.0],[368.0],[125.0],[294.0],[444.0],[881.0],[769.0],[129.0],[529.0],[189.0],[770.0],[435.0],[738.0],[842.0],[265.0],[501.0],[155.0],[900.0],[179.0],[722.0],[39.0],[252.0],[718.0],[608.0],[647.0],[755.0],[490.0],[166.0],[236.0],[889.0],[769.0],[653.0],[769.0],[807.0],[851.0],[427.0],[17.0],[207.0],[378.0],[965.0],[300.0],[874.0],[902.0],[292.0],[715.0],[653.0],[788.0],[59.0],[339.0],[874.0],[336.0],[665.0],[899.0],[538.0],[521.0],[422.0],[682.0],[652.0],[755.0],[351.0],[152.0],[889.0]
5,[623.0],[84.0],[903.0],[354.0],[769.0],[773.0],[246.0],[305.0],[427.0],[427.0],[188.0],[70.0],[792.0],[874.0],[236.0],[227.0],[298.0],[943.0],[32.0],[263.0],[22.0],[765.0],[155.0],[190.0],[60.0],[950.0],[715.0],[13.0],[249.0],[612.0],[428.0],[477.0],[524.0],[281.0],[549.0],[206.0],[281.0],[823.0],[190.0],[642.0],[576.0],[298.0],[593.0],[433.0],[120.0],[667.0],[538.0],[754.0],[903.0],[384.0],[251.0],[155.0],[602.0],[416.0],[543.0],[189.0],[18.0],[118.0],[886.0],[13.0],[932.0],[152.0],[769.0],[22.0],[312.0],[647.0],[276.0],[761.0],[211.0],[60.0],[813.0],[503.0],[895.0],[943.0],[549.0],[519.0],[804.0],[889.0],[117.0],[158.0],[312.0],[652.0],[512.0],[126.0],[109.0],[895.0],[66.0],[715.0],[593.0],[242.0],[383.0],[381.0],[769.0],[799.0],[738.0],[704.0],[365.0],[309.0],[778.0],[769.0],[139.0],[517.0],[384.0],[828.0],[278.0],[728.0],[915.0],[798.0],[738.0],[685.0],[189.0],[199.0],[279.0],[562.0],[477.0],[427.0],[560.0],[21.0],[704.0],[227.0],[84.0],[427.0],[954.0],[874.0],[427.0]
6,[272.0],[281.0],[677.0],[347.0],[794.0],[852.0],[542.0],[185.0],[310.0],[383.0],[794.0],[296.0],[152.0],[649.0],[604.0],[307.0],[160.0],[641.0],[866.0],[950.0],[312.0],[866.0],[904.0],[485.0],[654.0],[128.0],[874.0],[312.0],[309.0],[702.0],[593.0],[180.0],[940.0],[159.0],[33.0],[32.0],[70.0],[278.0],[210.0],[207.0],[422.0],[302.0],[816.0],[3.0],[518.0],[434.0],[570.0],[766.0],[754.0],[227.0],[603.0],[61.0],[227.0],[427.0],[146.0],[32.0],[959.0],[227.0],[92.0],[39.0],[427.0],[312.0],[145.0],[807.0],[22.0],[754.0],[783.0],[805.0],[857.0],[456.0],[754.0],[81.0],[240.0],[528.0],[185.0],[731.0],[794.0],[502.0],[228.0],[154.0],[682.0],[599.0],[300.0],[840.0],[658.0],[279.0],[563.0],[13.0],[312.0],[573.0],[336.0],[155.0],[741.0],[504.0],[930.0],[614.0],[874.0],[794.0],[866.0],[415.0],[647.0],[5.0],[433.0],[641.0],[996.0],[665.0],[673.0],[130.0],[473.0],[309.0],[172.0],[333.0],[131.0],[443.0],[659.0],[816.0],[992.0],[134.0],[560.0],[519.0],[593.0],[159.0],[173.0],[895.0],[828.0]
7,[230.0],[55.0],[436.0],[910.0],[965.0],[624.0],[904.0],[155.0],[596.0],[281.0],[921.0],[11.0],[126.0],[704.0],[84.0],[330.0],[758.0],[536.0],[765.0],[319.0],[348.0],[849.0],[742.0],[866.0],[649.0],[955.0],[697.0],[794.0],[185.0],[128.0],[995.0],[155.0],[746.0],[22.0],[524.0],[491.0],[392.0],[548.0],[906.0],[462.0],[97.0],[192.0],[201.0],[92.0],[201.0],[955.0],[120.0],[166.0],[765.0],[874.0],[312.0],[84.0],[820.0],[555.0],[449.0],[104.0],[217.0],[382.0],[769.0],[599.0],[26.0],[22.0],[358.0],[331.0],[281.0],[364.0],[624.0],[788.0],[698.0],[868.0],[794.0],[437.0],[765.0],[794.0],[537.0],[976.0],[965.0],[586.0],[211.0],[773.0],[779.0],[813.0],[196.0],[602.0],[75.0],[39.0],[159.0],[39.0],[672.0],[211.0],[765.0],[583.0],[169.0],[354.0],[992.0],[779.0],[660.0],[131.0],[67.0],[741.0],[530.0],[599.0],[351.0],[146.0],[157.0],[10.0],[157.0],[563.0],[970.0],[979.0],[779.0],[435.0],[925.0],[312.0],[108.0],[228.0],[524.0],[324.0],[638.0],[152.0],[68.0],[109.0],[593.0],[180.0],[396.0]
8,[433.0],[803.0],[247.0],[243.0],[0.0],[754.0],[746.0],[448.0],[860.0],[269.0],[851.0],[842.0],[592.0],[521.0],[510.0],[276.0],[899.0],[17.0],[481.0],[373.0],[794.0],[296.0],[389.0],[765.0],[819.0],[754.0],[278.0],[240.0],[94.0],[324.0],[339.0],[638.0],[400.0],[491.0],[746.0],[529.0],[459.0],[503.0],[170.0],[15.0],[986.0],[385.0],[709.0],[822.0],[746.0],[754.0],[447.0],[445.0],[965.0],[259.0],[794.0],[22.0],[692.0],[997.0],[612.0],[794.0],[765.0],[496.0],[389.0],[428.0],[779.0],[565.0],[242.0],[593.0],[383.0],[918.0],[889.0],[230.0],[32.0],[120.0],[965.0],[184.0],[965.0],[158.0],[173.0],[821.0],[106.0],[6.0],[794.0],[647.0],[242.0],[521.0],[741.0],[265.0],[56.0],[837.0],[797.0],[812.0],[945.0],[32.0],[668.0],[68.0],[500.0],[532.0],[692.0],[765.0],[840.0],[307.0],[749.0],[695.0],[556.0],[513.0],[704.0],[70.0],[211.0],[955.0],[410.0],[201.0],[42.0],[981.0],[599.0],[798.0],[330.0],[14.0],[682.0],[779.0],[849.0],[189.0],[978.0],[874.0],[943.0],[313.0],[773.0],[57.0],[656.0]
9,[592.0],[117.0],[805.0],[284.0],[169.0],[391.0],[915.0],[575.0],[978.0],[677.0],[713.0],[602.0],[67.0],[524.0],[564.0],[811.0],[332.0],[665.0],[106.0],[393.0],[265.0],[106.0],[794.0],[412.0],[276.0],[692.0],[652.0],[115.0],[755.0],[794.0],[727.0],[899.0],[897.0],[320.0],[863.0],[490.0],[837.0],[488.0],[716.0],[239.0],[794.0],[995.0],[704.0],[965.0],[98.0],[503.0],[606.0],[433.0],[524.0],[914.0],[965.0],[259.0],[599.0],[581.0],[702.0],[965.0],[754.0],[670.0],[794.0],[838.0],[599.0],[206.0],[673.0],[696.0],[685.0],[399.0],[428.0],[349.0],[647.0],[330.0],[65.0],[248.0],[482.0],[432.0],[716.0],[505.0],[811.0],[57.0],[349.0],[477.0],[422.0],[402.0],[298.0],[319.0],[673.0],[389.0],[837.0],[385.0],[223.0],[39.0],[163.0],[826.0],[840.0],[276.0],[524.0],[10.0],[805.0],[141.0],[599.0],[832.0],[334.0],[798.0],[840.0],[510.0],[276.0],[644.0],[9.0],[772.0],[274.0],[993.0],[72.0],[592.0],[627.0],[462.0],[517.0],[599.0],[707.0],[5.0],[126.0],[230.0],[687.0],[67.0],[427.0],[352.0],[16.0]
