Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[408.0],[196.0],[374.0],[209.0],[414.0],[144.0],[144.0],[218.0],[414.0],[414.0],[374.0],[380.0],[414.0],[165.0],[380.0],[283.0],[380.0],[283.0],[374.0],[283.0],[189.0],[365.0],[107.0],[412.0],[374.0],[285.0],[380.0],[355.0],[257.0],[283.0],[374.0],[367.0],[275.0],[418.0],[418.0],[414.0],[159.0],[374.0],[444.0],[374.0],[157.0],[257.0],[154.0],[147.0],[283.0],[374.0],[257.0],[414.0],[365.0],[414.0],[286.0],[374.0],[159.0],[374.0],[204.0],[374.0],[283.0],[283.0],[138.0],[412.0],[399.0],[374.0],[404.0],[363.0],[145.0],[283.0],[380.0],[141.0],[163.0],[141.0],[48.0],[374.0],[283.0],[414.0],[380.0],[374.0],[364.0],[374.0],[414.0],[380.0],[354.0],[392.0],[380.0],[355.0],[141.0],[364.0],[212.0],[253.0],[365.0],[414.0],[98.0],[414.0],[380.0],[380.0],[414.0],[374.0],[196.0],[255.0],[410.0],[414.0]
1,[430.0],[344.0],[365.0],[454.0],[380.0],[253.0],[488.0],[374.0],[505.0],[501.0],[364.0],[40.0],[283.0],[138.0],[283.0],[195.0],[364.0],[380.0],[480.0],[299.0],[374.0],[48.0],[414.0],[234.0],[257.0],[374.0],[253.0],[156.0],[300.0],[374.0],[487.0],[354.0],[414.0],[225.0],[483.0],[144.0],[283.0],[418.0],[418.0],[156.0],[374.0],[365.0],[182.0],[158.0],[374.0],[438.0],[365.0],[374.0],[141.0],[41.0],[143.0],[204.0],[137.0],[380.0],[374.0],[380.0],[65.0],[197.0],[410.0],[380.0],[485.0],[418.0],[418.0],[418.0],[380.0],[55.0],[211.0],[257.0],[414.0],[8.0],[163.0],[283.0],[299.0],[433.0],[365.0],[364.0],[414.0],[364.0],[266.0],[225.0],[365.0],[53.0],[283.0],[374.0],[405.0],[503.0],[374.0],[414.0],[426.0],[147.0],[374.0],[477.0],[126.0],[79.0],[162.0],[380.0],[414.0],[204.0],[380.0],[365.0]
2,[417.0],[141.0],[457.0],[367.0],[365.0],[64.0],[329.0],[380.0],[380.0],[249.0],[380.0],[373.0],[273.0],[430.0],[163.0],[365.0],[414.0],[162.0],[283.0],[236.0],[365.0],[204.0],[437.0],[365.0],[268.0],[380.0],[374.0],[424.0],[367.0],[162.0],[148.0],[418.0],[203.0],[365.0],[466.0],[412.0],[221.0],[380.0],[464.0],[412.0],[358.0],[48.0],[374.0],[365.0],[195.0],[151.0],[488.0],[380.0],[410.0],[107.0],[492.0],[39.0],[354.0],[64.0],[199.0],[197.0],[367.0],[163.0],[364.0],[367.0],[374.0],[364.0],[257.0],[283.0],[180.0],[374.0],[353.0],[267.0],[196.0],[364.0],[123.0],[282.0],[219.0],[378.0],[414.0],[54.0],[274.0],[257.0],[412.0],[108.0],[156.0],[300.0],[221.0],[364.0],[163.0],[414.0],[283.0],[285.0],[126.0],[503.0],[341.0],[225.0],[196.0],[55.0],[160.0],[257.0],[303.0],[365.0],[438.0],[380.0]
3,[418.0],[93.0],[410.0],[214.0],[471.0],[367.0],[56.0],[364.0],[317.0],[257.0],[354.0],[64.0],[197.0],[61.0],[216.0],[414.0],[102.0],[490.0],[279.0],[466.0],[156.0],[346.0],[388.0],[398.0],[355.0],[163.0],[247.0],[380.0],[48.0],[221.0],[451.0],[380.0],[365.0],[48.0],[409.0],[380.0],[367.0],[365.0],[98.0],[353.0],[283.0],[150.0],[260.0],[380.0],[365.0],[289.0],[155.0],[457.0],[414.0],[267.0],[163.0],[365.0],[414.0],[183.0],[476.0],[126.0],[147.0],[219.0],[211.0],[214.0],[416.0],[209.0],[0.0],[56.0],[414.0],[368.0],[48.0],[241.0],[154.0],[182.0],[214.0],[202.0],[365.0],[54.0],[352.0],[199.0],[438.0],[155.0],[365.0],[365.0],[414.0],[396.0],[414.0],[277.0],[365.0],[147.0],[490.0],[325.0],[418.0],[490.0],[456.0],[365.0],[104.0],[285.0],[380.0],[365.0],[341.0],[346.0],[253.0],[186.0]
4,[232.0],[279.0],[152.0],[143.0],[120.0],[490.0],[209.0],[490.0],[410.0],[412.0],[156.0],[491.0],[48.0],[233.0],[414.0],[348.0],[353.0],[220.0],[365.0],[163.0],[416.0],[435.0],[283.0],[380.0],[471.0],[410.0],[367.0],[410.0],[418.0],[380.0],[438.0],[257.0],[141.0],[490.0],[225.0],[292.0],[32.0],[74.0],[412.0],[365.0],[438.0],[141.0],[365.0],[306.0],[364.0],[196.0],[209.0],[197.0],[450.0],[160.0],[210.0],[257.0],[418.0],[57.0],[365.0],[297.0],[293.0],[380.0],[145.0],[183.0],[365.0],[488.0],[355.0],[273.0],[365.0],[32.0],[214.0],[354.0],[365.0],[414.0],[354.0],[276.0],[8.0],[365.0],[203.0],[368.0],[310.0],[483.0],[214.0],[268.0],[423.0],[65.0],[202.0],[219.0],[48.0],[374.0],[297.0],[257.0],[155.0],[64.0],[310.0],[48.0],[56.0],[354.0],[368.0],[492.0],[365.0],[364.0],[156.0],[83.0]
5,[257.0],[380.0],[283.0],[380.0],[490.0],[114.0],[355.0],[329.0],[267.0],[259.0],[102.0],[253.0],[214.0],[414.0],[374.0],[355.0],[214.0],[48.0],[145.0],[273.0],[380.0],[181.0],[284.0],[102.0],[380.0],[224.0],[214.0],[368.0],[380.0],[416.0],[162.0],[8.0],[380.0],[102.0],[374.0],[74.0],[135.0],[48.0],[163.0],[120.0],[282.0],[380.0],[380.0],[124.0],[380.0],[228.0],[102.0],[124.0],[380.0],[161.0],[374.0],[380.0],[424.0],[355.0],[195.0],[424.0],[380.0],[365.0],[365.0],[124.0],[257.0],[203.0],[328.0],[282.0],[102.0],[380.0],[253.0],[410.0],[380.0],[91.0],[418.0],[380.0],[490.0],[265.0],[152.0],[257.0],[144.0],[102.0],[364.0],[145.0],[124.0],[355.0],[268.0],[216.0],[160.0],[438.0],[418.0],[374.0],[283.0],[214.0],[380.0],[159.0],[438.0],[365.0],[453.0],[353.0],[380.0],[418.0],[204.0],[364.0]
6,[412.0],[204.0],[102.0],[490.0],[147.0],[418.0],[414.0],[411.0],[97.0],[365.0],[491.0],[188.0],[203.0],[365.0],[365.0],[8.0],[293.0],[438.0],[410.0],[354.0],[253.0],[418.0],[492.0],[283.0],[490.0],[354.0],[416.0],[253.0],[401.0],[482.0],[219.0],[364.0],[155.0],[159.0],[365.0],[353.0],[364.0],[353.0],[274.0],[34.0],[380.0],[364.0],[450.0],[437.0],[124.0],[380.0],[364.0],[247.0],[120.0],[225.0],[380.0],[450.0],[405.0],[123.0],[257.0],[156.0],[490.0],[48.0],[355.0],[144.0],[354.0],[365.0],[8.0],[374.0],[490.0],[492.0],[156.0],[380.0],[145.0],[380.0],[380.0],[257.0],[257.0],[252.0],[209.0],[380.0],[259.0],[214.0],[155.0],[54.0],[410.0],[306.0],[374.0],[380.0],[214.0],[427.0],[380.0],[367.0],[102.0],[380.0],[120.0],[291.0],[490.0],[490.0],[214.0],[483.0],[295.0],[380.0],[163.0],[152.0]
7,[8.0],[488.0],[492.0],[124.0],[282.0],[380.0],[163.0],[155.0],[365.0],[155.0],[204.0],[351.0],[365.0],[54.0],[214.0],[380.0],[159.0],[16.0],[380.0],[155.0],[297.0],[156.0],[144.0],[141.0],[155.0],[488.0],[353.0],[489.0],[152.0],[130.0],[418.0],[152.0],[283.0],[214.0],[204.0],[491.0],[380.0],[126.0],[329.0],[163.0],[367.0],[155.0],[418.0],[492.0],[247.0],[354.0],[374.0],[290.0],[145.0],[168.0],[31.0],[156.0],[380.0],[257.0],[490.0],[490.0],[357.0],[120.0],[373.0],[346.0],[214.0],[145.0],[367.0],[365.0],[214.0],[257.0],[198.0],[204.0],[354.0],[156.0],[357.0],[287.0],[380.0],[221.0],[8.0],[353.0],[374.0],[121.0],[123.0],[214.0],[492.0],[126.0],[410.0],[151.0],[144.0],[165.0],[126.0],[214.0],[492.0],[365.0],[204.0],[353.0],[373.0],[152.0],[358.0],[156.0],[147.0],[491.0],[363.0],[354.0]
8,[293.0],[365.0],[57.0],[197.0],[70.0],[163.0],[273.0],[257.0],[126.0],[48.0],[74.0],[257.0],[380.0],[257.0],[142.0],[492.0],[283.0],[142.0],[258.0],[380.0],[204.0],[93.0],[223.0],[342.0],[209.0],[364.0],[123.0],[126.0],[364.0],[225.0],[358.0],[120.0],[214.0],[353.0],[501.0],[182.0],[61.0],[490.0],[156.0],[274.0],[74.0],[354.0],[175.0],[228.0],[152.0],[48.0],[380.0],[488.0],[259.0],[490.0],[365.0],[490.0],[201.0],[367.0],[102.0],[437.0],[166.0],[329.0],[405.0],[354.0],[9.0],[182.0],[141.0],[159.0],[125.0],[229.0],[414.0],[123.0],[125.0],[490.0],[492.0],[416.0],[293.0],[353.0],[490.0],[125.0],[353.0],[64.0],[283.0],[204.0],[204.0],[365.0],[490.0],[102.0],[454.0],[380.0],[182.0],[380.0],[354.0],[124.0],[491.0],[488.0],[364.0],[209.0],[156.0],[292.0],[329.0],[126.0],[120.0],[293.0]
9,[204.0],[424.0],[145.0],[355.0],[182.0],[374.0],[380.0],[297.0],[364.0],[492.0],[415.0],[414.0],[354.0],[353.0],[125.0],[126.0],[152.0],[125.0],[353.0],[147.0],[61.0],[380.0],[365.0],[156.0],[410.0],[159.0],[156.0],[214.0],[283.0],[358.0],[354.0],[490.0],[364.0],[54.0],[126.0],[354.0],[342.0],[358.0],[492.0],[380.0],[353.0],[450.0],[126.0],[204.0],[490.0],[367.0],[64.0],[159.0],[309.0],[292.0],[204.0],[418.0],[257.0],[159.0],[437.0],[418.0],[353.0],[483.0],[204.0],[82.0],[490.0],[353.0],[120.0],[375.0],[64.0],[152.0],[365.0],[483.0],[102.0],[125.0],[145.0],[410.0],[364.0],[120.0],[120.0],[155.0],[204.0],[490.0],[200.0],[424.0],[293.0],[102.0],[31.0],[367.0],[353.0],[258.0],[365.0],[291.0],[364.0],[156.0],[354.0],[126.0],[282.0],[126.0],[346.0],[411.0],[155.0],[147.0],[492.0],[490.0]
