Iteration,Sim_0,Sim_1,Sim_2
0,[414.0],[414.0],[380.0]
1,[380.0],[380.0],[214.0]
2,[364.0],[364.0],[163.0]
3,[283.0],[214.0],[384.0]
4,[155.0],[142.0],[283.0]
5,[356.0],[369.0],[57.0]
6,[412.0],[418.0],[142.0]
7,[142.0],[8.0],[370.0]
8,[410.0],[365.0],[160.0]
9,[163.0],[370.0],[8.0]
10,[369.0],[204.0],[141.0]
11,[282.0],[372.0],[427.0]
12,[145.0],[162.0],[369.0]
13,[262.0],[145.0],[165.0]
14,[267.0],[144.0],[152.0]
15,[489.0],[160.0],[197.0]
16,[367.0],[195.0],[405.0]
17,[258.0],[163.0],[490.0]
18,[48.0],[427.0],[198.0]
19,[268.0],[367.0],[156.0]
20,[405.0],[438.0],[282.0]
21,[32.0],[102.0],[48.0]
22,[196.0],[253.0],[365.0]
23,[265.0],[374.0],[482.0]
24,[372.0],[196.0],[32.0]
25,[152.0],[151.0],[158.0]
26,[274.0],[405.0],[274.0]
27,[358.0],[353.0],[404.0]
28,[166.0],[282.0],[279.0]
29,[374.0],[166.0],[269.0]
30,[482.0],[404.0],[265.0]
31,[256.0],[158.0],[353.0]
32,[269.0],[48.0],[66.0]
33,[226.0],[267.0],[412.0]
34,[151.0],[154.0],[483.0]
35,[154.0],[262.0],[432.0]
36,[220.0],[280.0],[157.0]
37,[202.0],[225.0],[236.0]
38,[432.0],[211.0],[289.0]
39,[413.0],[157.0],[291.0]
40,[57.0],[202.0],[126.0]
41,[354.0],[290.0],[431.0]
42,[144.0],[265.0],[375.0]
43,[120.0],[432.0],[268.0]
44,[157.0],[224.0],[348.0]
45,[353.0],[269.0],[368.0]
46,[10.0],[409.0],[413.0]
47,[371.0],[351.0],[438.0]
48,[290.0],[261.0],[120.0]
49,[236.0],[413.0],[148.0]
50,[349.0],[54.0],[343.0]
51,[384.0],[371.0],[164.0]
52,[378.0],[232.0],[209.0]
53,[382.0],[306.0],[222.0]
54,[126.0],[375.0],[168.0]
55,[453.0],[57.0],[295.0]
56,[280.0],[189.0],[9.0]
57,[495.0],[220.0],[169.0]
58,[156.0],[165.0],[351.0]
59,[438.0],[94.0],[292.0]
60,[408.0],[286.0],[145.0]
61,[54.0],[159.0],[245.0]
62,[198.0],[147.0],[40.0]
63,[409.0],[362.0],[307.0]
64,[228.0],[481.0],[267.0]
65,[433.0],[156.0],[220.0]
66,[492.0],[495.0],[280.0]
67,[8.0],[358.0],[306.0]
68,[379.0],[408.0],[259.0]
69,[105.0],[216.0],[453.0]
70,[295.0],[168.0],[377.0]
71,[180.0],[503.0],[422.0]
72,[234.0],[229.0],[341.0]
73,[417.0],[233.0],[258.0]
74,[266.0],[491.0],[92.0]
75,[40.0],[64.0],[221.0]
76,[229.0],[490.0],[234.0]
77,[172.0],[431.0],[172.0]
78,[9.0],[217.0],[356.0]
79,[231.0],[460.0],[444.0]
80,[352.0],[347.0],[146.0]
81,[360.0],[61.0],[41.0]
82,[222.0],[134.0],[373.0]
83,[18.0],[30.0],[465.0]
84,[424.0],[0.0],[489.0]
85,[403.0],[350.0],[328.0]
86,[98.0],[260.0],[94.0]
87,[381.0],[406.0],[262.0]
88,[387.0],[377.0],[18.0]
89,[12.0],[148.0],[98.0]
90,[0.0],[341.0],[415.0]
91,[182.0],[140.0],[286.0]
92,[460.0],[56.0],[186.0]
93,[216.0],[218.0],[366.0]
94,[363.0],[330.0],[302.0]
95,[241.0],[356.0],[0.0]
96,[401.0],[234.0],[434.0]
97,[51.0],[352.0],[217.0]
98,[479.0],[360.0],[201.0]
99,[221.0],[373.0],[355.0]
100,[468.0],[288.0],[408.0]
101,[209.0],[434.0],[199.0]
102,[167.0],[180.0],[80.0]
103,[488.0],[366.0],[211.0]
104,[176.0],[97.0],[460.0]
105,[444.0],[79.0],[183.0]
106,[148.0],[411.0],[176.0]
107,[288.0],[164.0],[468.0]
108,[310.0],[298.0],[55.0]
109,[249.0],[241.0],[436.0]
110,[130.0],[399.0],[450.0]
111,[297.0],[287.0],[275.0]
112,[485.0],[52.0],[218.0]
113,[442.0],[344.0],[472.0]
114,[240.0],[245.0],[64.0]
115,[472.0],[182.0],[288.0]
116,[161.0],[92.0],[389.0]
117,[505.0],[172.0],[47.0]
118,[41.0],[252.0],[385.0]
119,[30.0],[62.0],[174.0]
120,[171.0],[117.0],[187.0]
121,[118.0],[177.0],[255.0]
122,[150.0],[101.0],[235.0]
123,[174.0],[3.0],[256.0]
124,[194.0],[426.0],[503.0]
125,[255.0],[451.0],[362.0]
126,[496.0],[199.0],[6.0]
127,[450.0],[98.0],[30.0]
128,[177.0],[477.0],[424.0]
129,[169.0],[74.0],[77.0]
130,[181.0],[95.0],[7.0]
131,[185.0],[391.0],[376.0]
132,[74.0],[47.0],[111.0]
133,[49.0],[473.0],[51.0]
134,[108.0],[114.0],[149.0]
135,[114.0],[76.0],[298.0]
136,[63.0],[424.0],[270.0]
137,[97.0],[292.0],[200.0]
138,[331.0],[505.0],[53.0]
139,[187.0],[270.0],[4.0]
140,[451.0],[83.0],[182.0]
141,[300.0],[122.0],[479.0]
142,[87.0],[186.0],[61.0]
143,[293.0],[390.0],[398.0]
144,[3.0],[255.0],[240.0]
145,[153.0],[388.0],[191.0]
146,[53.0],[402.0],[433.0]
147,[272.0],[213.0],[67.0]
148,[113.0],[343.0],[5.0]
149,[134.0],[446.0],[195.0]
150,[423.0],[210.0],[454.0]
151,[39.0],[93.0],[207.0]
152,[373.0],[303.0],[399.0]
153,[55.0],[106.0],[287.0]
154,[396.0],[313.0],[496.0]
155,[305.0],[153.0],[177.0]
