Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99,Sim_100,Sim_101,Sim_102,Sim_103,Sim_104,Sim_105,Sim_106,Sim_107,Sim_108,Sim_109,Sim_110,Sim_111,Sim_112,Sim_113,Sim_114,Sim_115,Sim_116,Sim_117,Sim_118,Sim_119,Sim_120,Sim_121,Sim_122,Sim_123,Sim_124
0,[380.0],[418.0],[380.0],[380.0],[380.0],[418.0],[418.0],[414.0],[418.0],[418.0],[380.0],[418.0],[418.0],[380.0],[380.0],[380.0],[418.0],[380.0],[380.0],[418.0],[380.0],[418.0],[404.0],[425.0],[380.0],[380.0],[380.0],[418.0],[418.0],[418.0],[380.0],[418.0],[380.0],[418.0],[380.0],[380.0],[380.0],[418.0],[380.0],[418.0],[418.0],[380.0],[380.0],[418.0],[418.0],[418.0],[418.0],[418.0],[418.0],[380.0],[380.0],[380.0],[380.0],[380.0],[418.0],[380.0],[418.0],[418.0],[380.0],[380.0],[380.0],[380.0],[380.0],[380.0],[418.0],[418.0],[380.0],[418.0],[380.0],[380.0],[418.0],[380.0],[418.0],[418.0],[380.0],[418.0],[380.0],[418.0],[380.0],[380.0],[380.0],[380.0],[418.0],[418.0],[418.0],[418.0],[380.0],[418.0],[380.0],[418.0],[380.0],[380.0],[380.0],[418.0],[418.0],[380.0],[380.0],[418.0],[418.0],[418.0],[418.0],[418.0],[418.0],[380.0],[380.0],[418.0],[380.0],[380.0],[418.0],[380.0],[380.0],[380.0],[418.0],[380.0],[380.0],[418.0],[380.0],[380.0],[380.0],[380.0],[380.0],[418.0],[380.0],[380.0],[380.0]
1,[418.0],[380.0],[414.0],[418.0],[418.0],[380.0],[380.0],[450.0],[380.0],[380.0],[102.0],[380.0],[423.0],[418.0],[418.0],[418.0],[380.0],[418.0],[418.0],[380.0],[418.0],[380.0],[450.0],[418.0],[404.0],[450.0],[418.0],[380.0],[380.0],[450.0],[466.0],[380.0],[418.0],[380.0],[418.0],[418.0],[418.0],[380.0],[412.0],[380.0],[380.0],[418.0],[418.0],[380.0],[380.0],[380.0],[380.0],[380.0],[380.0],[418.0],[418.0],[418.0],[418.0],[410.0],[380.0],[418.0],[380.0],[380.0],[410.0],[424.0],[418.0],[427.0],[418.0],[418.0],[380.0],[380.0],[418.0],[450.0],[418.0],[418.0],[450.0],[418.0],[380.0],[380.0],[418.0],[380.0],[418.0],[380.0],[418.0],[418.0],[404.0],[410.0],[380.0],[380.0],[380.0],[380.0],[418.0],[414.0],[418.0],[380.0],[418.0],[410.0],[418.0],[466.0],[380.0],[418.0],[418.0],[450.0],[380.0],[380.0],[380.0],[380.0],[380.0],[418.0],[418.0],[380.0],[102.0],[410.0],[380.0],[418.0],[418.0],[418.0],[380.0],[418.0],[418.0],[380.0],[418.0],[418.0],[418.0],[410.0],[418.0],[380.0],[418.0],[418.0],[418.0]
2,[410.0],[437.0],[398.0],[404.0],[102.0],[450.0],[425.0],[367.0],[425.0],[423.0],[413.0],[424.0],[380.0],[102.0],[398.0],[404.0],[456.0],[102.0],[404.0],[450.0],[414.0],[457.0],[353.0],[380.0],[283.0],[418.0],[353.0],[424.0],[450.0],[380.0],[145.0],[437.0],[404.0],[450.0],[398.0],[404.0],[398.0],[437.0],[404.0],[450.0],[424.0],[404.0],[410.0],[423.0],[423.0],[425.0],[412.0],[450.0],[423.0],[412.0],[398.0],[427.0],[413.0],[102.0],[457.0],[398.0],[437.0],[457.0],[102.0],[404.0],[404.0],[424.0],[145.0],[404.0],[438.0],[424.0],[404.0],[380.0],[427.0],[423.0],[380.0],[404.0],[450.0],[424.0],[427.0],[438.0],[404.0],[457.0],[283.0],[398.0],[146.0],[102.0],[427.0],[450.0],[450.0],[456.0],[398.0],[380.0],[414.0],[450.0],[427.0],[438.0],[404.0],[380.0],[424.0],[398.0],[57.0],[380.0],[450.0],[424.0],[413.0],[450.0],[457.0],[414.0],[404.0],[424.0],[404.0],[102.0],[450.0],[450.0],[398.0],[412.0],[454.0],[414.0],[414.0],[450.0],[414.0],[410.0],[102.0],[450.0],[427.0],[425.0],[404.0],[427.0],[404.0]
3,[398.0],[102.0],[410.0],[412.0],[410.0],[414.0],[398.0],[145.0],[404.0],[404.0],[410.0],[404.0],[146.0],[404.0],[427.0],[414.0],[404.0],[398.0],[353.0],[404.0],[413.0],[404.0],[367.0],[146.0],[413.0],[367.0],[398.0],[146.0],[404.0],[414.0],[414.0],[367.0],[414.0],[398.0],[444.0],[365.0],[450.0],[367.0],[145.0],[404.0],[145.0],[450.0],[413.0],[404.0],[398.0],[398.0],[156.0],[414.0],[413.0],[353.0],[365.0],[102.0],[145.0],[404.0],[398.0],[414.0],[398.0],[145.0],[404.0],[414.0],[414.0],[413.0],[404.0],[427.0],[414.0],[398.0],[414.0],[404.0],[412.0],[404.0],[404.0],[414.0],[146.0],[404.0],[404.0],[414.0],[414.0],[404.0],[427.0],[414.0],[283.0],[413.0],[384.0],[353.0],[146.0],[404.0],[146.0],[413.0],[398.0],[404.0],[404.0],[155.0],[32.0],[404.0],[367.0],[414.0],[404.0],[146.0],[146.0],[404.0],[145.0],[413.0],[404.0],[167.0],[145.0],[414.0],[409.0],[412.0],[367.0],[413.0],[414.0],[367.0],[413.0],[413.0],[146.0],[404.0],[398.0],[404.0],[414.0],[353.0],[413.0],[57.0],[427.0],[413.0],[57.0]
4,[450.0],[414.0],[405.0],[153.0],[167.0],[145.0],[414.0],[353.0],[102.0],[414.0],[414.0],[145.0],[414.0],[410.0],[354.0],[283.0],[409.0],[204.0],[490.0],[145.0],[410.0],[414.0],[204.0],[57.0],[387.0],[414.0],[145.0],[414.0],[145.0],[404.0],[367.0],[398.0],[153.0],[414.0],[414.0],[255.0],[145.0],[145.0],[283.0],[414.0],[404.0],[417.0],[404.0],[145.0],[413.0],[413.0],[414.0],[353.0],[427.0],[404.0],[146.0],[404.0],[203.0],[204.0],[444.0],[460.0],[414.0],[353.0],[417.0],[145.0],[167.0],[102.0],[283.0],[413.0],[413.0],[444.0],[413.0],[145.0],[404.0],[414.0],[414.0],[167.0],[414.0],[353.0],[367.0],[155.0],[353.0],[57.0],[354.0],[355.0],[355.0],[415.0],[417.0],[367.0],[414.0],[32.0],[414.0],[410.0],[410.0],[32.0],[444.0],[253.0],[367.0],[414.0],[145.0],[365.0],[427.0],[204.0],[404.0],[367.0],[414.0],[57.0],[414.0],[413.0],[414.0],[167.0],[365.0],[283.0],[147.0],[146.0],[460.0],[145.0],[146.0],[410.0],[413.0],[146.0],[146.0],[414.0],[404.0],[404.0],[404.0],[155.0],[32.0],[410.0],[146.0]
5,[414.0],[145.0],[32.0],[365.0],[146.0],[404.0],[354.0],[404.0],[414.0],[145.0],[384.0],[414.0],[367.0],[32.0],[413.0],[354.0],[365.0],[257.0],[146.0],[354.0],[155.0],[409.0],[259.0],[414.0],[197.0],[204.0],[414.0],[354.0],[414.0],[353.0],[72.0],[414.0],[375.0],[367.0],[365.0],[167.0],[354.0],[414.0],[414.0],[146.0],[414.0],[354.0],[414.0],[283.0],[32.0],[414.0],[413.0],[204.0],[398.0],[146.0],[414.0],[410.0],[427.0],[417.0],[365.0],[365.0],[145.0],[414.0],[32.0],[435.0],[410.0],[165.0],[414.0],[405.0],[102.0],[414.0],[204.0],[414.0],[163.0],[410.0],[353.0],[365.0],[413.0],[146.0],[413.0],[262.0],[167.0],[367.0],[413.0],[146.0],[418.0],[145.0],[405.0],[414.0],[413.0],[367.0],[490.0],[32.0],[405.0],[156.0],[167.0],[32.0],[414.0],[145.0],[204.0],[153.0],[409.0],[427.0],[414.0],[253.0],[283.0],[145.0],[204.0],[410.0],[365.0],[413.0],[418.0],[404.0],[354.0],[204.0],[155.0],[353.0],[283.0],[146.0],[102.0],[427.0],[413.0],[167.0],[167.0],[145.0],[412.0],[413.0],[367.0],[414.0],[414.0]
6,[165.0],[413.0],[417.0],[410.0],[405.0],[413.0],[365.0],[165.0],[367.0],[413.0],[145.0],[283.0],[353.0],[146.0],[167.0],[374.0],[427.0],[167.0],[414.0],[365.0],[204.0],[365.0],[418.0],[413.0],[418.0],[352.0],[293.0],[413.0],[413.0],[145.0],[34.0],[353.0],[413.0],[410.0],[156.0],[214.0],[365.0],[354.0],[413.0],[410.0],[413.0],[197.0],[405.0],[414.0],[353.0],[145.0],[358.0],[145.0],[145.0],[204.0],[168.0],[413.0],[354.0],[257.0],[414.0],[156.0],[410.0],[102.0],[167.0],[353.0],[413.0],[410.0],[102.0],[412.0],[200.0],[365.0],[153.0],[374.0],[413.0],[283.0],[409.0],[413.0],[410.0],[414.0],[155.0],[167.0],[413.0],[32.0],[404.0],[413.0],[365.0],[418.0],[253.0],[404.0],[410.0],[155.0],[413.0],[102.0],[32.0],[414.0],[417.0],[404.0],[354.0],[204.0],[414.0],[490.0],[354.0],[413.0],[413.0],[353.0],[267.0],[398.0],[145.0],[404.0],[413.0],[404.0],[145.0],[145.0],[204.0],[398.0],[148.0],[414.0],[414.0],[405.0],[410.0],[413.0],[365.0],[102.0],[257.0],[414.0],[405.0],[364.0],[204.0],[384.0],[365.0]
7,[405.0],[165.0],[353.0],[57.0],[398.0],[354.0],[156.0],[204.0],[410.0],[410.0],[404.0],[374.0],[283.0],[437.0],[141.0],[413.0],[32.0],[405.0],[352.0],[102.0],[404.0],[124.0],[214.0],[410.0],[414.0],[167.0],[413.0],[410.0],[141.0],[204.0],[413.0],[460.0],[214.0],[409.0],[197.0],[490.0],[410.0],[404.0],[365.0],[413.0],[410.0],[490.0],[384.0],[214.0],[414.0],[353.0],[410.0],[180.0],[405.0],[414.0],[410.0],[417.0],[404.0],[214.0],[146.0],[355.0],[155.0],[490.0],[374.0],[292.0],[405.0],[404.0],[367.0],[414.0],[410.0],[155.0],[32.0],[413.0],[18.0],[354.0],[204.0],[410.0],[283.0],[134.0],[203.0],[204.0],[102.0],[156.0],[18.0],[410.0],[413.0],[404.0],[375.0],[145.0],[283.0],[414.0],[354.0],[367.0],[417.0],[214.0],[405.0],[355.0],[490.0],[490.0],[404.0],[410.0],[450.0],[18.0],[410.0],[364.0],[102.0],[414.0],[367.0],[444.0],[490.0],[145.0],[214.0],[413.0],[427.0],[414.0],[204.0],[410.0],[398.0],[417.0],[405.0],[204.0],[410.0],[413.0],[154.0],[365.0],[165.0],[141.0],[354.0],[405.0],[134.0]
8,[412.0],[410.0],[409.0],[491.0],[414.0],[167.0],[413.0],[418.0],[413.0],[102.0],[405.0],[152.0],[126.0],[384.0],[204.0],[167.0],[329.0],[414.0],[32.0],[414.0],[405.0],[353.0],[410.0],[165.0],[405.0],[214.0],[410.0],[165.0],[165.0],[374.0],[410.0],[410.0],[120.0],[354.0],[490.0],[145.0],[204.0],[165.0],[102.0],[165.0],[18.0],[156.0],[102.0],[490.0],[204.0],[165.0],[167.0],[404.0],[460.0],[410.0],[384.0],[405.0],[32.0],[354.0],[204.0],[490.0],[413.0],[197.0],[418.0],[413.0],[384.0],[405.0],[364.0],[367.0],[146.0],[8.0],[346.0],[165.0],[167.0],[155.0],[367.0],[403.0],[355.0],[283.0],[405.0],[364.0],[410.0],[490.0],[160.0],[32.0],[375.0],[253.0],[414.0],[352.0],[170.0],[145.0],[375.0],[384.0],[374.0],[490.0],[437.0],[414.0],[156.0],[413.0],[165.0],[413.0],[374.0],[286.0],[374.0],[155.0],[154.0],[410.0],[410.0],[405.0],[410.0],[102.0],[410.0],[190.0],[404.0],[410.0],[410.0],[93.0],[410.0],[404.0],[364.0],[165.0],[253.0],[444.0],[364.0],[367.0],[410.0],[414.0],[148.0],[417.0],[354.0]
9,[406.0],[404.0],[163.0],[414.0],[32.0],[18.0],[410.0],[410.0],[405.0],[387.0],[367.0],[413.0],[404.0],[414.0],[365.0],[253.0],[257.0],[155.0],[413.0],[8.0],[444.0],[410.0],[413.0],[444.0],[444.0],[155.0],[165.0],[404.0],[353.0],[413.0],[353.0],[291.0],[410.0],[145.0],[410.0],[414.0],[414.0],[410.0],[375.0],[422.0],[374.0],[410.0],[490.0],[102.0],[154.0],[410.0],[405.0],[413.0],[102.0],[102.0],[253.0],[444.0],[490.0],[437.0],[410.0],[410.0],[167.0],[413.0],[450.0],[365.0],[417.0],[367.0],[410.0],[167.0],[367.0],[490.0],[257.0],[410.0],[102.0],[490.0],[253.0],[364.0],[163.0],[413.0],[410.0],[410.0],[145.0],[410.0],[257.0],[385.0],[167.0],[165.0],[374.0],[204.0],[489.0],[354.0],[410.0],[417.0],[409.0],[410.0],[409.0],[413.0],[410.0],[410.0],[410.0],[375.0],[102.0],[352.0],[102.0],[414.0],[167.0],[102.0],[354.0],[417.0],[374.0],[410.0],[364.0],[354.0],[214.0],[286.0],[413.0],[413.0],[355.0],[102.0],[32.0],[18.0],[373.0],[405.0],[413.0],[418.0],[286.0],[490.0],[120.0],[412.0],[410.0]
