Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[380.0],[283.0],[405.0],[380.0],[374.0],[414.0],[414.0],[414.0],[414.0],[159.0],[374.0],[380.0],[414.0],[160.0],[380.0],[283.0],[380.0],[283.0],[414.0],[283.0],[364.0],[414.0],[364.0],[412.0],[414.0],[282.0],[380.0],[380.0],[257.0],[374.0],[414.0],[414.0],[364.0],[380.0],[380.0],[374.0],[152.0],[405.0],[405.0],[374.0],[54.0],[414.0],[155.0],[142.0],[283.0],[414.0],[412.0],[414.0],[380.0],[414.0],[163.0],[414.0],[163.0],[374.0],[356.0],[414.0],[283.0],[283.0],[154.0],[163.0],[416.0],[414.0],[405.0],[155.0],[380.0],[418.0],[380.0],[374.0],[163.0],[374.0],[380.0],[414.0],[283.0],[401.0],[380.0],[374.0],[364.0],[365.0],[414.0],[257.0],[354.0],[415.0],[380.0],[355.0],[370.0],[364.0],[155.0],[283.0],[374.0],[414.0],[380.0],[405.0],[380.0],[380.0],[414.0],[414.0],[283.0],[283.0],[418.0],[418.0]
1,[145.0],[364.0],[257.0],[211.0],[405.0],[367.0],[155.0],[155.0],[380.0],[414.0],[380.0],[283.0],[380.0],[283.0],[283.0],[197.0],[364.0],[380.0],[364.0],[364.0],[57.0],[364.0],[170.0],[380.0],[387.0],[370.0],[414.0],[414.0],[364.0],[283.0],[142.0],[365.0],[414.0],[365.0],[283.0],[162.0],[163.0],[155.0],[364.0],[380.0],[418.0],[380.0],[418.0],[162.0],[142.0],[410.0],[163.0],[374.0],[364.0],[369.0],[142.0],[283.0],[152.0],[380.0],[374.0],[283.0],[354.0],[353.0],[405.0],[414.0],[144.0],[144.0],[418.0],[418.0],[364.0],[283.0],[414.0],[364.0],[418.0],[405.0],[445.0],[380.0],[353.0],[414.0],[414.0],[418.0],[414.0],[364.0],[162.0],[216.0],[365.0],[356.0],[283.0],[364.0],[427.0],[414.0],[418.0],[257.0],[283.0],[147.0],[284.0],[142.0],[142.0],[154.0],[380.0],[257.0],[163.0],[418.0],[253.0],[365.0]
2,[367.0],[354.0],[162.0],[204.0],[418.0],[380.0],[380.0],[405.0],[155.0],[405.0],[364.0],[414.0],[156.0],[365.0],[163.0],[450.0],[195.0],[354.0],[276.0],[353.0],[414.0],[365.0],[380.0],[454.0],[405.0],[380.0],[253.0],[196.0],[57.0],[364.0],[410.0],[354.0],[405.0],[55.0],[273.0],[283.0],[369.0],[372.0],[418.0],[418.0],[374.0],[283.0],[456.0],[367.0],[414.0],[380.0],[363.0],[380.0],[152.0],[142.0],[418.0],[370.0],[380.0],[8.0],[225.0],[126.0],[380.0],[163.0],[412.0],[380.0],[418.0],[364.0],[257.0],[283.0],[142.0],[199.0],[211.0],[380.0],[155.0],[257.0],[414.0],[283.0],[155.0],[365.0],[365.0],[363.0],[274.0],[211.0],[380.0],[283.0],[415.0],[257.0],[364.0],[414.0],[412.0],[380.0],[412.0],[353.0],[353.0],[364.0],[374.0],[414.0],[364.0],[283.0],[282.0],[364.0],[414.0],[365.0],[142.0],[48.0]
3,[276.0],[142.0],[374.0],[384.0],[152.0],[145.0],[367.0],[364.0],[262.0],[282.0],[355.0],[410.0],[283.0],[166.0],[369.0],[225.0],[258.0],[414.0],[283.0],[282.0],[161.0],[157.0],[142.0],[283.0],[418.0],[414.0],[283.0],[367.0],[372.0],[142.0],[364.0],[48.0],[262.0],[155.0],[197.0],[212.0],[144.0],[214.0],[283.0],[152.0],[283.0],[152.0],[405.0],[414.0],[418.0],[142.0],[365.0],[353.0],[354.0],[405.0],[380.0],[410.0],[414.0],[355.0],[142.0],[163.0],[291.0],[152.0],[162.0],[209.0],[481.0],[209.0],[155.0],[355.0],[273.0],[374.0],[353.0],[212.0],[365.0],[145.0],[367.0],[163.0],[365.0],[405.0],[354.0],[367.0],[145.0],[214.0],[283.0],[291.0],[380.0],[414.0],[155.0],[154.0],[405.0],[367.0],[364.0],[369.0],[364.0],[410.0],[349.0],[283.0],[57.0],[201.0],[142.0],[211.0],[152.0],[456.0],[162.0],[380.0]
4,[142.0],[380.0],[365.0],[450.0],[365.0],[410.0],[48.0],[211.0],[209.0],[184.0],[155.0],[155.0],[364.0],[414.0],[155.0],[418.0],[277.0],[220.0],[427.0],[142.0],[156.0],[209.0],[156.0],[221.0],[265.0],[410.0],[219.0],[454.0],[418.0],[405.0],[368.0],[143.0],[365.0],[142.0],[416.0],[380.0],[380.0],[365.0],[155.0],[354.0],[380.0],[365.0],[182.0],[380.0],[364.0],[145.0],[418.0],[155.0],[283.0],[262.0],[365.0],[160.0],[200.0],[370.0],[415.0],[374.0],[367.0],[418.0],[364.0],[152.0],[414.0],[368.0],[353.0],[163.0],[365.0],[368.0],[48.0],[419.0],[147.0],[418.0],[140.0],[154.0],[364.0],[364.0],[306.0],[380.0],[155.0],[102.0],[145.0],[365.0],[145.0],[283.0],[410.0],[282.0],[283.0],[419.0],[214.0],[142.0],[159.0],[64.0],[364.0],[365.0],[490.0],[365.0],[488.0],[490.0],[380.0],[412.0],[274.0],[438.0]
5,[374.0],[365.0],[156.0],[418.0],[369.0],[123.0],[203.0],[144.0],[492.0],[42.0],[423.0],[354.0],[220.0],[209.0],[414.0],[365.0],[64.0],[214.0],[353.0],[126.0],[380.0],[380.0],[159.0],[55.0],[355.0],[283.0],[214.0],[276.0],[142.0],[156.0],[283.0],[364.0],[141.0],[357.0],[365.0],[48.0],[253.0],[64.0],[365.0],[365.0],[212.0],[364.0],[374.0],[354.0],[365.0],[364.0],[380.0],[209.0],[410.0],[283.0],[145.0],[483.0],[423.0],[414.0],[418.0],[102.0],[253.0],[365.0],[354.0],[214.0],[365.0],[283.0],[374.0],[357.0],[418.0],[32.0],[214.0],[55.0],[158.0],[152.0],[373.0],[144.0],[145.0],[212.0],[152.0],[145.0],[454.0],[380.0],[212.0],[162.0],[373.0],[152.0],[145.0],[48.0],[156.0],[152.0],[225.0],[410.0],[418.0],[283.0],[152.0],[211.0],[355.0],[147.0],[358.0],[483.0],[365.0],[364.0],[380.0],[225.0]
6,[204.0],[159.0],[283.0],[354.0],[120.0],[365.0],[370.0],[253.0],[410.0],[365.0],[489.0],[209.0],[365.0],[483.0],[147.0],[290.0],[141.0],[450.0],[365.0],[410.0],[152.0],[219.0],[183.0],[64.0],[283.0],[145.0],[374.0],[258.0],[365.0],[16.0],[57.0],[204.0],[492.0],[54.0],[310.0],[144.0],[180.0],[412.0],[8.0],[105.0],[365.0],[490.0],[358.0],[283.0],[126.0],[283.0],[126.0],[424.0],[365.0],[374.0],[355.0],[490.0],[156.0],[197.0],[352.0],[380.0],[364.0],[257.0],[214.0],[283.0],[426.0],[155.0],[277.0],[365.0],[438.0],[125.0],[450.0],[414.0],[353.0],[125.0],[265.0],[431.0],[292.0],[490.0],[209.0],[283.0],[368.0],[143.0],[214.0],[438.0],[124.0],[490.0],[211.0],[380.0],[214.0],[145.0],[354.0],[380.0],[294.0],[365.0],[410.0],[490.0],[102.0],[257.0],[156.0],[353.0],[147.0],[329.0],[490.0],[369.0]
7,[259.0],[120.0],[126.0],[156.0],[353.0],[162.0],[472.0],[365.0],[364.0],[123.0],[283.0],[166.0],[267.0],[355.0],[209.0],[355.0],[412.0],[155.0],[380.0],[380.0],[354.0],[490.0],[365.0],[147.0],[370.0],[490.0],[102.0],[364.0],[120.0],[365.0],[156.0],[492.0],[212.0],[209.0],[490.0],[490.0],[211.0],[418.0],[253.0],[121.0],[364.0],[354.0],[354.0],[503.0],[353.0],[286.0],[145.0],[490.0],[414.0],[141.0],[488.0],[257.0],[354.0],[410.0],[502.0],[156.0],[147.0],[125.0],[490.0],[354.0],[214.0],[490.0],[214.0],[141.0],[197.0],[380.0],[283.0],[214.0],[34.0],[364.0],[354.0],[8.0],[221.0],[252.0],[490.0],[293.0],[380.0],[492.0],[8.0],[158.0],[492.0],[198.0],[273.0],[262.0],[488.0],[353.0],[124.0],[414.0],[368.0],[380.0],[490.0],[355.0],[414.0],[490.0],[328.0],[380.0],[492.0],[354.0],[204.0],[277.0]
8,[292.0],[8.0],[490.0],[353.0],[293.0],[354.0],[145.0],[141.0],[365.0],[353.0],[365.0],[490.0],[253.0],[147.0],[125.0],[151.0],[457.0],[296.0],[155.0],[156.0],[8.0],[155.0],[490.0],[214.0],[211.0],[353.0],[155.0],[489.0],[8.0],[353.0],[354.0],[380.0],[214.0],[491.0],[353.0],[183.0],[74.0],[161.0],[257.0],[370.0],[353.0],[209.0],[365.0],[214.0],[257.0],[257.0],[488.0],[365.0],[490.0],[163.0],[283.0],[123.0],[488.0],[283.0],[126.0],[257.0],[155.0],[32.0],[283.0],[492.0],[257.0],[450.0],[488.0],[102.0],[64.0],[489.0],[142.0],[365.0],[126.0],[61.0],[488.0],[489.0],[380.0],[353.0],[283.0],[354.0],[204.0],[155.0],[126.0],[147.0],[204.0],[354.0],[342.0],[410.0],[257.0],[283.0],[204.0],[297.0],[214.0],[216.0],[257.0],[8.0],[329.0],[354.0],[214.0],[204.0],[353.0],[491.0],[125.0],[414.0]
9,[295.0],[410.0],[197.0],[125.0],[40.0],[488.0],[126.0],[329.0],[204.0],[491.0],[214.0],[293.0],[126.0],[364.0],[353.0],[490.0],[214.0],[490.0],[489.0],[354.0],[126.0],[214.0],[414.0],[365.0],[214.0],[365.0],[490.0],[165.0],[423.0],[490.0],[64.0],[410.0],[120.0],[122.0],[155.0],[73.0],[414.0],[184.0],[492.0],[490.0],[490.0],[257.0],[491.0],[490.0],[54.0],[141.0],[283.0],[126.0],[8.0],[253.0],[121.0],[380.0],[410.0],[120.0],[203.0],[365.0],[211.0],[253.0],[257.0],[257.0],[488.0],[257.0],[54.0],[257.0],[125.0],[214.0],[156.0],[147.0],[283.0],[283.0],[214.0],[367.0],[120.0],[102.0],[145.0],[126.0],[161.0],[354.0],[365.0],[293.0],[214.0],[214.0],[490.0],[204.0],[354.0],[418.0],[365.0],[253.0],[405.0],[492.0],[503.0],[120.0],[121.0],[120.0],[353.0],[152.0],[124.0],[144.0],[214.0],[253.0]
