Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[6.0],[59.0],[95.0],[394.0],[28.0],[160.0],[7.0],[395.0],[334.0],[6.0],[6.0],[299.0],[95.0],[95.0],[394.0],[95.0],[300.0],[59.0],[6.0],[6.0],[28.0],[19.0],[138.0],[95.0],[6.0],[19.0],[7.0],[6.0],[95.0],[288.0],[390.0],[6.0],[277.0],[6.0],[394.0],[286.0],[394.0],[394.0],[6.0],[299.0],[394.0],[329.0],[203.0],[95.0],[59.0],[95.0],[23.0],[95.0],[95.0],[8.0],[6.0],[95.0],[6.0],[297.0],[95.0],[8.0],[6.0],[361.0],[95.0],[6.0],[394.0],[59.0],[59.0],[253.0],[95.0],[394.0],[45.0],[6.0],[13.0],[394.0],[394.0],[277.0],[8.0],[326.0],[362.0],[6.0],[394.0],[299.0],[8.0],[299.0],[8.0],[7.0],[59.0],[300.0],[209.0],[275.0],[123.0],[19.0],[166.0],[394.0],[8.0],[14.0],[6.0],[394.0],[6.0],[293.0],[7.0],[13.0],[394.0],[7.0]
1,[334.0],[6.0],[362.0],[8.0],[9.0],[95.0],[299.0],[28.0],[154.0],[364.0],[139.0],[203.0],[259.0],[304.0],[23.0],[347.0],[341.0],[13.0],[59.0],[28.0],[131.0],[25.0],[299.0],[394.0],[195.0],[211.0],[23.0],[28.0],[364.0],[203.0],[300.0],[364.0],[19.0],[385.0],[7.0],[195.0],[71.0],[293.0],[160.0],[242.0],[7.0],[23.0],[7.0],[333.0],[8.0],[299.0],[343.0],[203.0],[19.0],[394.0],[394.0],[332.0],[394.0],[341.0],[50.0],[59.0],[160.0],[131.0],[298.0],[369.0],[55.0],[11.0],[7.0],[394.0],[394.0],[54.0],[54.0],[394.0],[76.0],[350.0],[6.0],[95.0],[298.0],[6.0],[364.0],[210.0],[332.0],[347.0],[299.0],[131.0],[366.0],[72.0],[95.0],[394.0],[14.0],[95.0],[59.0],[397.0],[13.0],[381.0],[394.0],[364.0],[300.0],[7.0],[122.0],[33.0],[394.0],[203.0],[52.0],[361.0]
2,[326.0],[362.0],[59.0],[334.0],[394.0],[395.0],[390.0],[59.0],[13.0],[28.0],[18.0],[300.0],[19.0],[366.0],[53.0],[333.0],[6.0],[300.0],[23.0],[394.0],[394.0],[14.0],[19.0],[390.0],[28.0],[300.0],[335.0],[300.0],[394.0],[211.0],[49.0],[44.0],[95.0],[394.0],[28.0],[4.0],[211.0],[131.0],[334.0],[300.0],[196.0],[56.0],[394.0],[334.0],[362.0],[361.0],[17.0],[59.0],[328.0],[44.0],[56.0],[56.0],[334.0],[23.0],[364.0],[28.0],[123.0],[200.0],[1.0],[203.0],[364.0],[28.0],[23.0],[7.0],[105.0],[275.0],[333.0],[53.0],[158.0],[28.0],[123.0],[390.0],[81.0],[300.0],[394.0],[395.0],[55.0],[333.0],[44.0],[6.0],[299.0],[111.0],[111.0],[6.0],[28.0],[333.0],[54.0],[123.0],[334.0],[19.0],[377.0],[395.0],[59.0],[80.0],[364.0],[299.0],[20.0],[299.0],[364.0],[53.0]
3,[23.0],[364.0],[360.0],[211.0],[275.0],[303.0],[23.0],[23.0],[394.0],[394.0],[23.0],[341.0],[54.0],[367.0],[333.0],[351.0],[34.0],[11.0],[300.0],[364.0],[7.0],[381.0],[133.0],[300.0],[123.0],[95.0],[28.0],[10.0],[333.0],[28.0],[277.0],[59.0],[210.0],[364.0],[19.0],[360.0],[364.0],[334.0],[375.0],[395.0],[395.0],[6.0],[78.0],[59.0],[71.0],[11.0],[360.0],[42.0],[394.0],[277.0],[306.0],[299.0],[53.0],[95.0],[375.0],[23.0],[28.0],[394.0],[394.0],[28.0],[275.0],[53.0],[13.0],[395.0],[18.0],[378.0],[326.0],[300.0],[298.0],[19.0],[4.0],[394.0],[383.0],[203.0],[53.0],[394.0],[28.0],[18.0],[19.0],[23.0],[56.0],[333.0],[195.0],[131.0],[23.0],[376.0],[277.0],[23.0],[23.0],[300.0],[203.0],[7.0],[203.0],[299.0],[28.0],[308.0],[376.0],[211.0],[53.0],[11.0]
4,[187.0],[353.0],[13.0],[293.0],[364.0],[334.0],[44.0],[7.0],[23.0],[33.0],[2.0],[6.0],[334.0],[59.0],[19.0],[103.0],[394.0],[375.0],[28.0],[203.0],[56.0],[263.0],[211.0],[28.0],[390.0],[82.0],[324.0],[383.0],[372.0],[59.0],[131.0],[353.0],[394.0],[59.0],[13.0],[334.0],[19.0],[19.0],[44.0],[13.0],[155.0],[395.0],[56.0],[375.0],[242.0],[300.0],[395.0],[29.0],[44.0],[364.0],[14.0],[290.0],[187.0],[394.0],[299.0],[131.0],[394.0],[379.0],[18.0],[333.0],[12.0],[334.0],[27.0],[56.0],[300.0],[154.0],[23.0],[78.0],[394.0],[275.0],[28.0],[4.0],[28.0],[358.0],[11.0],[364.0],[211.0],[195.0],[300.0],[363.0],[103.0],[28.0],[242.0],[333.0],[333.0],[288.0],[203.0],[13.0],[394.0],[242.0],[28.0],[376.0],[231.0],[333.0],[333.0],[334.0],[28.0],[334.0],[333.0],[379.0]
5,[364.0],[277.0],[28.0],[59.0],[334.0],[139.0],[27.0],[53.0],[368.0],[333.0],[333.0],[71.0],[297.0],[28.0],[13.0],[28.0],[335.0],[14.0],[83.0],[19.0],[71.0],[13.0],[395.0],[31.0],[275.0],[394.0],[333.0],[289.0],[34.0],[54.0],[29.0],[347.0],[26.0],[28.0],[154.0],[131.0],[347.0],[103.0],[53.0],[19.0],[12.0],[364.0],[28.0],[103.0],[103.0],[347.0],[13.0],[343.0],[71.0],[11.0],[13.0],[333.0],[28.0],[51.0],[28.0],[360.0],[293.0],[12.0],[347.0],[0.0],[28.0],[46.0],[375.0],[211.0],[19.0],[390.0],[28.0],[333.0],[11.0],[4.0],[76.0],[13.0],[360.0],[12.0],[28.0],[28.0],[44.0],[13.0],[375.0],[19.0],[26.0],[364.0],[103.0],[19.0],[394.0],[103.0],[394.0],[299.0],[53.0],[28.0],[44.0],[13.0],[211.0],[44.0],[166.0],[28.0],[353.0],[103.0],[211.0],[300.0]
6,[54.0],[131.0],[23.0],[44.0],[54.0],[26.0],[198.0],[383.0],[28.0],[19.0],[28.0],[27.0],[23.0],[333.0],[376.0],[71.0],[11.0],[362.0],[211.0],[14.0],[59.0],[359.0],[28.0],[341.0],[42.0],[113.0],[292.0],[211.0],[28.0],[306.0],[397.0],[18.0],[300.0],[395.0],[49.0],[13.0],[353.0],[13.0],[28.0],[53.0],[44.0],[11.0],[13.0],[131.0],[28.0],[19.0],[28.0],[230.0],[49.0],[28.0],[28.0],[275.0],[295.0],[44.0],[18.0],[334.0],[131.0],[13.0],[12.0],[13.0],[13.0],[300.0],[154.0],[375.0],[11.0],[44.0],[44.0],[24.0],[44.0],[13.0],[395.0],[28.0],[3.0],[13.0],[13.0],[77.0],[154.0],[391.0],[38.0],[28.0],[13.0],[299.0],[308.0],[44.0],[44.0],[326.0],[160.0],[71.0],[28.0],[13.0],[326.0],[56.0],[13.0],[53.0],[19.0],[13.0],[333.0],[131.0],[13.0],[103.0]
7,[375.0],[44.0],[369.0],[123.0],[44.0],[326.0],[375.0],[394.0],[353.0],[392.0],[343.0],[211.0],[44.0],[334.0],[277.0],[20.0],[375.0],[26.0],[375.0],[163.0],[0.0],[23.0],[394.0],[211.0],[298.0],[103.0],[19.0],[48.0],[382.0],[17.0],[13.0],[23.0],[23.0],[44.0],[389.0],[44.0],[44.0],[23.0],[306.0],[352.0],[275.0],[28.0],[18.0],[76.0],[34.0],[277.0],[81.0],[364.0],[12.0],[51.0],[0.0],[44.0],[59.0],[28.0],[333.0],[13.0],[211.0],[113.0],[13.0],[166.0],[333.0],[13.0],[394.0],[333.0],[347.0],[55.0],[353.0],[343.0],[53.0],[7.0],[375.0],[375.0],[56.0],[360.0],[95.0],[44.0],[95.0],[211.0],[54.0],[333.0],[300.0],[375.0],[362.0],[355.0],[13.0],[395.0],[44.0],[44.0],[55.0],[53.0],[18.0],[275.0],[28.0],[347.0],[44.0],[22.0],[300.0],[19.0],[376.0],[113.0]
8,[55.0],[26.0],[109.0],[375.0],[13.0],[244.0],[155.0],[44.0],[44.0],[213.0],[277.0],[13.0],[333.0],[13.0],[375.0],[139.0],[14.0],[347.0],[215.0],[297.0],[380.0],[144.0],[364.0],[13.0],[278.0],[13.0],[44.0],[13.0],[59.0],[13.0],[203.0],[37.0],[131.0],[131.0],[276.0],[49.0],[306.0],[397.0],[13.0],[291.0],[165.0],[123.0],[395.0],[28.0],[305.0],[13.0],[364.0],[28.0],[326.0],[347.0],[375.0],[28.0],[195.0],[200.0],[13.0],[144.0],[59.0],[71.0],[333.0],[49.0],[18.0],[180.0],[45.0],[59.0],[36.0],[8.0],[377.0],[360.0],[116.0],[333.0],[264.0],[306.0],[333.0],[297.0],[59.0],[328.0],[49.0],[28.0],[345.0],[334.0],[348.0],[231.0],[27.0],[367.0],[299.0],[13.0],[8.0],[12.0],[211.0],[377.0],[19.0],[333.0],[54.0],[13.0],[395.0],[394.0],[328.0],[27.0],[375.0],[19.0]
9,[341.0],[343.0],[195.0],[364.0],[359.0],[13.0],[364.0],[300.0],[14.0],[195.0],[218.0],[54.0],[13.0],[256.0],[28.0],[299.0],[13.0],[211.0],[394.0],[347.0],[13.0],[33.0],[347.0],[59.0],[57.0],[203.0],[56.0],[297.0],[13.0],[329.0],[341.0],[28.0],[44.0],[157.0],[352.0],[19.0],[17.0],[325.0],[250.0],[211.0],[325.0],[277.0],[333.0],[13.0],[364.0],[28.0],[19.0],[47.0],[360.0],[341.0],[315.0],[23.0],[13.0],[375.0],[264.0],[115.0],[383.0],[59.0],[49.0],[19.0],[375.0],[286.0],[395.0],[44.0],[44.0],[123.0],[71.0],[195.0],[325.0],[345.0],[29.0],[298.0],[113.0],[244.0],[376.0],[375.0],[376.0],[277.0],[23.0],[394.0],[353.0],[44.0],[367.0],[30.0],[383.0],[76.0],[384.0],[332.0],[123.0],[328.0],[277.0],[47.0],[394.0],[3.0],[18.0],[44.0],[13.0],[352.0],[195.0],[25.0]
