Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99,Sim_100,Sim_101,Sim_102,Sim_103,Sim_104,Sim_105,Sim_106,Sim_107,Sim_108,Sim_109,Sim_110,Sim_111,Sim_112,Sim_113,Sim_114,Sim_115,Sim_116,Sim_117,Sim_118,Sim_119,Sim_120,Sim_121,Sim_122,Sim_123,Sim_124
0,[299.0],[394.0],[394.0],[299.0],[299.0],[6.0],[95.0],[7.0],[28.0],[19.0],[8.0],[6.0],[6.0],[6.0],[299.0],[6.0],[383.0],[7.0],[6.0],[56.0],[394.0],[95.0],[6.0],[95.0],[23.0],[299.0],[28.0],[6.0],[299.0],[6.0],[394.0],[6.0],[6.0],[160.0],[95.0],[8.0],[59.0],[333.0],[23.0],[8.0],[95.0],[394.0],[394.0],[59.0],[299.0],[6.0],[6.0],[6.0],[394.0],[6.0],[95.0],[6.0],[299.0],[95.0],[95.0],[6.0],[394.0],[394.0],[6.0],[364.0],[6.0],[394.0],[95.0],[394.0],[394.0],[394.0],[19.0],[13.0],[299.0],[7.0],[333.0],[299.0],[28.0],[299.0],[6.0],[7.0],[394.0],[299.0],[6.0],[394.0],[394.0],[394.0],[6.0],[6.0],[7.0],[394.0],[95.0],[6.0],[23.0],[6.0],[7.0],[334.0],[59.0],[23.0],[6.0],[364.0],[28.0],[95.0],[6.0],[6.0],[299.0],[8.0],[6.0],[6.0],[59.0],[299.0],[59.0],[394.0],[28.0],[95.0],[7.0],[53.0],[7.0],[7.0],[95.0],[299.0],[394.0],[7.0],[333.0],[53.0],[6.0],[23.0],[59.0],[6.0],[7.0]
1,[264.0],[300.0],[7.0],[160.0],[252.0],[394.0],[394.0],[28.0],[395.0],[13.0],[326.0],[28.0],[28.0],[299.0],[28.0],[28.0],[24.0],[28.0],[28.0],[299.0],[7.0],[300.0],[264.0],[394.0],[394.0],[252.0],[299.0],[28.0],[300.0],[59.0],[23.0],[264.0],[394.0],[23.0],[394.0],[28.0],[394.0],[394.0],[59.0],[71.0],[59.0],[28.0],[6.0],[394.0],[19.0],[300.0],[394.0],[59.0],[19.0],[23.0],[394.0],[299.0],[298.0],[299.0],[394.0],[28.0],[364.0],[7.0],[394.0],[394.0],[394.0],[364.0],[394.0],[28.0],[160.0],[59.0],[299.0],[28.0],[19.0],[28.0],[23.0],[13.0],[4.0],[383.0],[28.0],[394.0],[333.0],[364.0],[19.0],[6.0],[203.0],[28.0],[23.0],[28.0],[28.0],[384.0],[160.0],[28.0],[160.0],[394.0],[195.0],[7.0],[299.0],[28.0],[28.0],[353.0],[395.0],[394.0],[394.0],[394.0],[19.0],[299.0],[299.0],[394.0],[394.0],[28.0],[394.0],[160.0],[394.0],[394.0],[299.0],[7.0],[262.0],[299.0],[286.0],[13.0],[300.0],[28.0],[364.0],[381.0],[28.0],[59.0],[14.0],[394.0],[123.0]
2,[364.0],[347.0],[343.0],[333.0],[19.0],[22.0],[28.0],[23.0],[359.0],[28.0],[22.0],[298.0],[299.0],[23.0],[95.0],[299.0],[28.0],[232.0],[394.0],[18.0],[364.0],[395.0],[19.0],[375.0],[131.0],[333.0],[287.0],[299.0],[19.0],[28.0],[7.0],[103.0],[28.0],[394.0],[28.0],[334.0],[55.0],[59.0],[300.0],[28.0],[28.0],[59.0],[53.0],[13.0],[300.0],[394.0],[28.0],[28.0],[333.0],[28.0],[375.0],[19.0],[23.0],[333.0],[28.0],[290.0],[131.0],[56.0],[28.0],[23.0],[23.0],[53.0],[28.0],[203.0],[95.0],[195.0],[195.0],[36.0],[52.0],[394.0],[13.0],[19.0],[326.0],[306.0],[299.0],[293.0],[375.0],[13.0],[334.0],[19.0],[131.0],[6.0],[28.0],[394.0],[394.0],[364.0],[287.0],[59.0],[333.0],[264.0],[23.0],[28.0],[28.0],[54.0],[19.0],[53.0],[394.0],[28.0],[264.0],[300.0],[286.0],[139.0],[23.0],[28.0],[203.0],[333.0],[195.0],[102.0],[59.0],[19.0],[203.0],[334.0],[23.0],[17.0],[28.0],[325.0],[375.0],[287.0],[299.0],[28.0],[298.0],[11.0],[11.0],[364.0],[300.0]
3,[103.0],[19.0],[19.0],[23.0],[123.0],[0.0],[364.0],[292.0],[333.0],[299.0],[334.0],[333.0],[251.0],[160.0],[131.0],[364.0],[300.0],[23.0],[333.0],[59.0],[131.0],[13.0],[31.0],[28.0],[28.0],[131.0],[300.0],[298.0],[333.0],[54.0],[28.0],[23.0],[300.0],[53.0],[353.0],[21.0],[131.0],[28.0],[333.0],[395.0],[4.0],[364.0],[300.0],[328.0],[11.0],[28.0],[300.0],[333.0],[299.0],[299.0],[28.0],[28.0],[19.0],[28.0],[23.0],[299.0],[28.0],[360.0],[364.0],[333.0],[19.0],[28.0],[4.0],[71.0],[347.0],[300.0],[333.0],[360.0],[300.0],[292.0],[375.0],[360.0],[364.0],[53.0],[157.0],[131.0],[23.0],[56.0],[54.0],[347.0],[385.0],[300.0],[0.0],[19.0],[23.0],[23.0],[394.0],[264.0],[299.0],[103.0],[28.0],[299.0],[300.0],[394.0],[23.0],[28.0],[364.0],[19.0],[23.0],[19.0],[28.0],[4.0],[103.0],[364.0],[117.0],[71.0],[379.0],[24.0],[18.0],[375.0],[19.0],[23.0],[54.0],[263.0],[11.0],[59.0],[19.0],[300.0],[28.0],[394.0],[377.0],[53.0],[394.0],[28.0],[28.0]
4,[13.0],[28.0],[364.0],[19.0],[28.0],[28.0],[377.0],[123.0],[19.0],[195.0],[28.0],[54.0],[160.0],[28.0],[102.0],[292.0],[53.0],[123.0],[59.0],[203.0],[368.0],[394.0],[103.0],[333.0],[79.0],[384.0],[395.0],[263.0],[13.0],[334.0],[160.0],[334.0],[395.0],[6.0],[300.0],[53.0],[300.0],[300.0],[11.0],[117.0],[13.0],[8.0],[28.0],[28.0],[246.0],[395.0],[19.0],[21.0],[28.0],[160.0],[131.0],[154.0],[13.0],[300.0],[55.0],[300.0],[6.0],[18.0],[131.0],[375.0],[0.0],[95.0],[160.0],[19.0],[28.0],[18.0],[108.0],[144.0],[195.0],[242.0],[166.0],[306.0],[292.0],[387.0],[160.0],[28.0],[28.0],[333.0],[28.0],[28.0],[300.0],[51.0],[333.0],[292.0],[19.0],[19.0],[59.0],[71.0],[28.0],[23.0],[394.0],[364.0],[51.0],[13.0],[44.0],[13.0],[263.0],[13.0],[19.0],[28.0],[207.0],[195.0],[55.0],[54.0],[11.0],[300.0],[299.0],[364.0],[13.0],[28.0],[300.0],[28.0],[28.0],[27.0],[376.0],[28.0],[28.0],[23.0],[0.0],[13.0],[395.0],[160.0],[306.0],[264.0],[211.0]
5,[19.0],[333.0],[395.0],[13.0],[347.0],[131.0],[11.0],[222.0],[299.0],[375.0],[198.0],[0.0],[19.0],[333.0],[13.0],[362.0],[333.0],[394.0],[18.0],[333.0],[23.0],[277.0],[394.0],[0.0],[325.0],[28.0],[13.0],[203.0],[364.0],[328.0],[59.0],[394.0],[59.0],[333.0],[19.0],[211.0],[244.0],[19.0],[54.0],[23.0],[275.0],[55.0],[383.0],[56.0],[360.0],[376.0],[289.0],[54.0],[360.0],[84.0],[333.0],[23.0],[28.0],[11.0],[300.0],[44.0],[380.0],[28.0],[265.0],[234.0],[103.0],[13.0],[13.0],[376.0],[56.0],[359.0],[277.0],[211.0],[13.0],[364.0],[28.0],[277.0],[195.0],[13.0],[19.0],[333.0],[19.0],[352.0],[23.0],[23.0],[306.0],[23.0],[395.0],[36.0],[264.0],[81.0],[36.0],[131.0],[261.0],[245.0],[264.0],[332.0],[395.0],[334.0],[394.0],[368.0],[52.0],[289.0],[28.0],[292.0],[154.0],[364.0],[395.0],[286.0],[328.0],[242.0],[395.0],[376.0],[300.0],[4.0],[333.0],[394.0],[333.0],[364.0],[333.0],[360.0],[13.0],[4.0],[383.0],[23.0],[0.0],[394.0],[23.0],[36.0],[203.0]
6,[361.0],[277.0],[60.0],[28.0],[44.0],[297.0],[13.0],[144.0],[275.0],[154.0],[300.0],[378.0],[23.0],[387.0],[275.0],[347.0],[277.0],[300.0],[0.0],[13.0],[160.0],[28.0],[28.0],[19.0],[299.0],[395.0],[386.0],[44.0],[28.0],[264.0],[333.0],[59.0],[0.0],[28.0],[13.0],[12.0],[297.0],[123.0],[394.0],[394.0],[300.0],[195.0],[333.0],[95.0],[13.0],[289.0],[376.0],[103.0],[395.0],[333.0],[300.0],[44.0],[264.0],[19.0],[13.0],[333.0],[209.0],[160.0],[78.0],[59.0],[333.0],[361.0],[203.0],[333.0],[13.0],[52.0],[6.0],[155.0],[53.0],[36.0],[54.0],[300.0],[54.0],[203.0],[333.0],[382.0],[13.0],[95.0],[394.0],[375.0],[18.0],[211.0],[103.0],[4.0],[209.0],[13.0],[28.0],[394.0],[57.0],[28.0],[55.0],[367.0],[364.0],[166.0],[264.0],[23.0],[95.0],[347.0],[297.0],[379.0],[333.0],[23.0],[300.0],[59.0],[195.0],[341.0],[300.0],[333.0],[360.0],[300.0],[81.0],[364.0],[59.0],[145.0],[19.0],[395.0],[306.0],[133.0],[111.0],[396.0],[360.0],[13.0],[56.0],[59.0],[44.0]
7,[373.0],[13.0],[28.0],[17.0],[21.0],[71.0],[59.0],[395.0],[389.0],[108.0],[213.0],[315.0],[44.0],[44.0],[360.0],[375.0],[332.0],[59.0],[203.0],[195.0],[264.0],[59.0],[300.0],[13.0],[343.0],[33.0],[19.0],[344.0],[31.0],[300.0],[17.0],[28.0],[347.0],[364.0],[289.0],[394.0],[4.0],[244.0],[13.0],[277.0],[332.0],[203.0],[103.0],[23.0],[28.0],[44.0],[0.0],[4.0],[275.0],[293.0],[292.0],[368.0],[362.0],[292.0],[375.0],[395.0],[36.0],[203.0],[44.0],[13.0],[28.0],[209.0],[30.0],[46.0],[211.0],[53.0],[297.0],[80.0],[360.0],[4.0],[394.0],[28.0],[23.0],[28.0],[329.0],[364.0],[347.0],[28.0],[44.0],[297.0],[360.0],[131.0],[56.0],[203.0],[103.0],[341.0],[13.0],[15.0],[6.0],[360.0],[375.0],[51.0],[11.0],[211.0],[53.0],[277.0],[297.0],[333.0],[41.0],[4.0],[13.0],[292.0],[264.0],[44.0],[60.0],[13.0],[334.0],[6.0],[117.0],[247.0],[372.0],[293.0],[4.0],[333.0],[394.0],[95.0],[23.0],[78.0],[131.0],[103.0],[333.0],[264.0],[28.0],[395.0],[299.0]
8,[133.0],[387.0],[71.0],[363.0],[108.0],[332.0],[53.0],[375.0],[95.0],[78.0],[375.0],[44.0],[333.0],[19.0],[306.0],[44.0],[59.0],[275.0],[44.0],[263.0],[28.0],[376.0],[333.0],[300.0],[102.0],[19.0],[211.0],[33.0],[306.0],[44.0],[364.0],[83.0],[44.0],[209.0],[246.0],[103.0],[28.0],[52.0],[211.0],[103.0],[20.0],[277.0],[359.0],[11.0],[195.0],[333.0],[44.0],[218.0],[300.0],[24.0],[4.0],[24.0],[17.0],[23.0],[0.0],[36.0],[367.0],[343.0],[24.0],[28.0],[300.0],[379.0],[297.0],[13.0],[297.0],[242.0],[141.0],[108.0],[22.0],[395.0],[59.0],[25.0],[299.0],[160.0],[111.0],[23.0],[263.0],[144.0],[293.0],[44.0],[13.0],[359.0],[57.0],[44.0],[13.0],[297.0],[4.0],[362.0],[301.0],[59.0],[300.0],[23.0],[196.0],[332.0],[345.0],[264.0],[13.0],[84.0],[361.0],[44.0],[395.0],[28.0],[28.0],[328.0],[378.0],[148.0],[387.0],[28.0],[299.0],[13.0],[28.0],[19.0],[359.0],[19.0],[13.0],[300.0],[211.0],[44.0],[315.0],[333.0],[154.0],[17.0],[8.0],[327.0],[341.0]
9,[11.0],[84.0],[328.0],[111.0],[264.0],[364.0],[333.0],[4.0],[108.0],[11.0],[209.0],[59.0],[17.0],[277.0],[144.0],[160.0],[363.0],[4.0],[292.0],[117.0],[241.0],[359.0],[131.0],[352.0],[11.0],[71.0],[203.0],[389.0],[360.0],[384.0],[360.0],[353.0],[387.0],[277.0],[0.0],[59.0],[299.0],[306.0],[17.0],[364.0],[394.0],[154.0],[59.0],[298.0],[355.0],[363.0],[359.0],[394.0],[264.0],[347.0],[395.0],[277.0],[300.0],[211.0],[352.0],[363.0],[333.0],[298.0],[397.0],[33.0],[81.0],[203.0],[288.0],[300.0],[375.0],[364.0],[78.0],[78.0],[242.0],[328.0],[222.0],[332.0],[277.0],[277.0],[364.0],[264.0],[297.0],[98.0],[376.0],[84.0],[28.0],[44.0],[300.0],[364.0],[333.0],[28.0],[333.0],[44.0],[277.0],[4.0],[44.0],[277.0],[289.0],[35.0],[300.0],[100.0],[343.0],[277.0],[81.0],[54.0],[4.0],[36.0],[387.0],[203.0],[13.0],[131.0],[298.0],[359.0],[137.0],[341.0],[229.0],[160.0],[44.0],[160.0],[276.0],[60.0],[315.0],[333.0],[133.0],[17.0],[108.0],[28.0],[386.0],[277.0],[181.0]
