Simulation,Passive Learning,GSx,GSy,iGS,Uncertainty Sampling,EGAL,EMCM,WiGS (Static w_x=0.25),WiGS (Static w_x=0.5),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=0.5)","WiGS (MAB-UCB1, c=2.0)","WiGS (MAB-UCB1, c=5.0)",WiGS (SAC),QBC
0,5.029175519943237,5.269759178161621,5.416342496871948,5.538503408432007,5.290532112121582,5.664752721786499,5.237645387649536,5.567115068435669,5.585541725158691,5.639775037765503,5.574338912963867,5.570748567581177,5.587859869003296,5.743497133255005,5.625243186950684,8.015255689620972,7.837153196334839
1,6.054513931274414,6.294024705886841,6.531861305236816,6.7891623973846436,6.531403303146362,6.923574686050415,6.428097486495972,6.880322217941284,6.876722574234009,6.879264831542969,6.875168085098267,6.904811859130859,6.904660940170288,6.9809863567352295,6.8627729415893555,9.891726016998291,9.766055345535278
2,5.054908514022827,5.253021955490112,5.390451669692993,5.510392427444458,5.323907852172852,5.643737077713013,5.159308433532715,5.616764545440674,5.562452554702759,5.556042909622192,5.607218503952026,5.573948621749878,5.54637885093689,5.7093894481658936,5.609840393066406,8.057052373886108,8.020771980285645
3,4.96758508682251,5.209435939788818,5.349192142486572,5.467998504638672,5.2626354694366455,5.638476133346558,5.152556896209717,5.536265134811401,5.555514335632324,5.5730414390563965,5.550379753112793,5.546803712844849,5.535317420959473,5.557150602340698,5.692131996154785,8.524652481079102,7.865485668182373
4,4.95923113822937,5.15740704536438,5.310736656188965,5.392802715301514,5.551436424255371,5.697014570236206,5.072892189025879,5.460513114929199,5.46231746673584,5.482528209686279,5.485394239425659,5.663714408874512,5.451172590255737,5.4837071895599365,5.602604866027832,20.107366800308228,7.900254487991333
5,5.494890928268433,5.658335447311401,5.6707422733306885,5.856373071670532,5.725578784942627,6.174665927886963,5.4222190380096436,5.978234052658081,6.002604722976685,5.872015476226807,6.009348154067993,6.118712663650513,5.999684810638428,6.167431354522705,6.074060678482056,8.697450876235962,8.399752140045166
6,5.030954122543335,5.255728006362915,5.392543077468872,5.513530254364014,5.321446180343628,5.622508525848389,5.1529200077056885,5.5921852588653564,5.537459850311279,5.551992893218994,5.595268249511719,5.584784984588623,5.537244558334351,5.696071147918701,5.589018821716309,8.070133447647095,7.938683986663818
7,6.016948699951172,6.268141508102417,6.513775110244751,6.733572959899902,6.4764134883880615,6.892038822174072,6.366209268569946,6.843043565750122,6.836498975753784,6.839114665985107,6.852579593658447,6.880721807479858,6.87468147277832,6.974257469177246,6.831791639328003,9.90743613243103,9.713274478912354
8,5.557142019271851,5.711802959442139,5.719585418701172,5.930714845657349,5.78519868850708,6.208328723907471,5.531964302062988,6.056562662124634,6.0511085987091064,5.931933403015137,6.095184087753296,6.142836809158325,6.045591592788696,6.253494024276733,6.132636308670044,8.767080545425415,8.541980028152466
9,4.9611194133758545,5.161383628845215,5.309413909912109,5.398337364196777,5.539036989212036,5.668519020080566,5.063525438308716,5.450503587722778,5.451182126998901,5.482442855834961,5.4805474281311035,5.717189788818359,5.455203056335449,5.61471700668335,5.459758520126343,20.129089832305908,7.921607971191406
10,5.428222179412842,5.6090333461761475,5.64092230796814,5.839428901672363,5.694077491760254,6.079359531402588,5.403423547744751,5.9068779945373535,5.9862220287323,5.866253614425659,5.951084852218628,6.093345403671265,5.9959471225738525,6.0895116329193115,6.0596489906311035,8.52558422088623,8.347468137741089
11,4.92887020111084,5.176115036010742,5.342478275299072,5.428673267364502,5.469837188720703,5.750069856643677,5.1037917137146,5.52190375328064,5.521646499633789,5.5333030223846436,5.540527105331421,5.525569438934326,5.52426815032959,5.68266749382019,5.546069145202637,19.9715473651886,7.826151371002197
