Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,[124.0],[432.0],[36.0],[249.0],[117.0],[15.0],[236.0],[124.0],[193.0],[236.0],[149.0],[193.0],[276.0],[266.0],[15.0],[276.0],[82.0],[352.0],[320.0],[277.0],[15.0],[398.0],[282.0],[193.0],[15.0],[15.0],[320.0],[445.0],[429.0],[193.0],[90.0],[320.0],[320.0],[148.0],[15.0],[320.0],[445.0],[320.0],[459.0],[286.0],[47.0],[365.0],[100.0],[320.0],[267.0],[148.0],[249.0],[242.0],[249.0],[276.0],[236.0],[320.0],[485.0],[242.0],[485.0],[148.0],[276.0],[242.0],[276.0],[148.0],[193.0],[493.0],[124.0],[149.0],[445.0],[320.0],[124.0],[276.0],[80.0],[320.0],[116.0],[236.0],[236.0],[306.0],[282.0],[320.0],[320.0],[15.0],[236.0],[236.0],[124.0],[236.0],[15.0],[320.0],[276.0],[236.0],[267.0],[276.0],[493.0],[267.0],[94.0],[267.0],[320.0],[236.0],[249.0],[148.0],[15.0],[236.0],[445.0],[485.0]
1,[320.0],[124.0],[320.0],[359.0],[249.0],[148.0],[359.0],[320.0],[320.0],[320.0],[236.0],[267.0],[149.0],[117.0],[249.0],[445.0],[267.0],[249.0],[359.0],[320.0],[149.0],[110.0],[124.0],[249.0],[320.0],[236.0],[102.0],[320.0],[82.0],[249.0],[149.0],[352.0],[359.0],[445.0],[320.0],[236.0],[320.0],[249.0],[320.0],[236.0],[320.0],[149.0],[249.0],[110.0],[249.0],[249.0],[320.0],[320.0],[236.0],[320.0],[320.0],[390.0],[236.0],[124.0],[267.0],[282.0],[320.0],[249.0],[320.0],[117.0],[124.0],[249.0],[36.0],[359.0],[320.0],[398.0],[149.0],[124.0],[359.0],[236.0],[249.0],[282.0],[320.0],[320.0],[320.0],[249.0],[236.0],[149.0],[320.0],[320.0],[313.0],[320.0],[117.0],[89.0],[313.0],[352.0],[249.0],[390.0],[442.0],[249.0],[249.0],[213.0],[352.0],[149.0],[149.0],[110.0],[148.0],[249.0],[148.0],[320.0]
2,[249.0],[498.0],[189.0],[47.0],[149.0],[149.0],[249.0],[390.0],[352.0],[452.0],[359.0],[498.0],[313.0],[249.0],[359.0],[110.0],[313.0],[498.0],[102.0],[282.0],[249.0],[249.0],[15.0],[498.0],[47.0],[110.0],[313.0],[352.0],[313.0],[124.0],[249.0],[267.0],[267.0],[36.0],[119.0],[149.0],[359.0],[359.0],[249.0],[249.0],[249.0],[110.0],[459.0],[282.0],[359.0],[313.0],[359.0],[276.0],[46.0],[12.0],[276.0],[110.0],[498.0],[110.0],[249.0],[313.0],[282.0],[313.0],[267.0],[498.0],[359.0],[269.0],[267.0],[15.0],[249.0],[266.0],[359.0],[359.0],[249.0],[146.0],[189.0],[15.0],[267.0],[249.0],[359.0],[313.0],[249.0],[146.0],[249.0],[249.0],[110.0],[46.0],[352.0],[36.0],[249.0],[282.0],[452.0],[110.0],[192.0],[359.0],[452.0],[498.0],[189.0],[448.0],[117.0],[282.0],[498.0],[498.0],[249.0],[117.0]
3,[148.0],[249.0],[224.0],[269.0],[452.0],[242.0],[110.0],[117.0],[117.0],[249.0],[352.0],[276.0],[320.0],[15.0],[452.0],[352.0],[113.0],[313.0],[313.0],[124.0],[267.0],[224.0],[249.0],[442.0],[493.0],[320.0],[110.0],[276.0],[249.0],[439.0],[359.0],[249.0],[146.0],[266.0],[148.0],[148.0],[398.0],[146.0],[146.0],[269.0],[82.0],[148.0],[47.0],[352.0],[224.0],[235.0],[388.0],[390.0],[320.0],[282.0],[313.0],[148.0],[282.0],[249.0],[193.0],[249.0],[267.0],[235.0],[110.0],[249.0],[148.0],[387.0],[320.0],[225.0],[236.0],[276.0],[320.0],[352.0],[149.0],[485.0],[224.0],[116.0],[46.0],[359.0],[47.0],[496.0],[267.0],[89.0],[485.0],[146.0],[247.0],[148.0],[124.0],[47.0],[320.0],[193.0],[167.0],[236.0],[189.0],[276.0],[117.0],[15.0],[267.0],[267.0],[320.0],[146.0],[388.0],[161.0],[15.0],[236.0]
4,[313.0],[306.0],[148.0],[15.0],[236.0],[110.0],[447.0],[15.0],[452.0],[148.0],[485.0],[441.0],[236.0],[100.0],[320.0],[359.0],[493.0],[320.0],[360.0],[313.0],[269.0],[149.0],[398.0],[459.0],[32.0],[146.0],[170.0],[249.0],[276.0],[47.0],[313.0],[307.0],[276.0],[267.0],[266.0],[313.0],[124.0],[224.0],[313.0],[15.0],[146.0],[359.0],[452.0],[466.0],[282.0],[459.0],[179.0],[313.0],[146.0],[15.0],[282.0],[313.0],[124.0],[320.0],[102.0],[320.0],[398.0],[498.0],[313.0],[487.0],[267.0],[36.0],[381.0],[115.0],[276.0],[459.0],[242.0],[15.0],[236.0],[186.0],[282.0],[498.0],[15.0],[69.0],[286.0],[119.0],[445.0],[453.0],[276.0],[266.0],[320.0],[487.0],[249.0],[113.0],[146.0],[432.0],[313.0],[69.0],[276.0],[236.0],[485.0],[442.0],[196.0],[320.0],[276.0],[320.0],[267.0],[266.0],[359.0],[224.0]
5,[113.0],[36.0],[313.0],[267.0],[445.0],[276.0],[15.0],[224.0],[307.0],[276.0],[249.0],[146.0],[146.0],[276.0],[149.0],[249.0],[307.0],[282.0],[267.0],[276.0],[276.0],[189.0],[117.0],[15.0],[236.0],[186.0],[236.0],[236.0],[161.0],[155.0],[116.0],[359.0],[485.0],[313.0],[47.0],[267.0],[282.0],[247.0],[267.0],[36.0],[498.0],[242.0],[320.0],[269.0],[100.0],[267.0],[247.0],[124.0],[306.0],[352.0],[267.0],[82.0],[46.0],[148.0],[224.0],[267.0],[149.0],[47.0],[249.0],[313.0],[249.0],[115.0],[282.0],[249.0],[313.0],[236.0],[236.0],[377.0],[498.0],[313.0],[236.0],[266.0],[124.0],[107.0],[110.0],[420.0],[110.0],[110.0],[102.0],[124.0],[224.0],[115.0],[225.0],[267.0],[124.0],[313.0],[320.0],[313.0],[100.0],[110.0],[282.0],[117.0],[249.0],[276.0],[148.0],[445.0],[249.0],[282.0],[352.0],[377.0]
6,[90.0],[313.0],[359.0],[282.0],[102.0],[36.0],[432.0],[236.0],[236.0],[313.0],[313.0],[282.0],[129.0],[459.0],[445.0],[369.0],[266.0],[307.0],[82.0],[110.0],[89.0],[148.0],[146.0],[448.0],[146.0],[498.0],[282.0],[117.0],[117.0],[146.0],[100.0],[493.0],[358.0],[116.0],[124.0],[110.0],[493.0],[110.0],[269.0],[320.0],[89.0],[80.0],[117.0],[113.0],[313.0],[155.0],[102.0],[359.0],[359.0],[149.0],[193.0],[407.0],[313.0],[225.0],[313.0],[498.0],[249.0],[459.0],[148.0],[110.0],[149.0],[224.0],[452.0],[320.0],[15.0],[124.0],[46.0],[197.0],[100.0],[267.0],[110.0],[124.0],[224.0],[100.0],[459.0],[493.0],[148.0],[249.0],[124.0],[282.0],[148.0],[445.0],[441.0],[365.0],[352.0],[242.0],[276.0],[224.0],[267.0],[383.0],[193.0],[89.0],[498.0],[247.0],[193.0],[485.0],[44.0],[148.0],[117.0],[365.0]
7,[359.0],[359.0],[117.0],[407.0],[485.0],[117.0],[320.0],[146.0],[378.0],[493.0],[445.0],[235.0],[365.0],[256.0],[267.0],[498.0],[117.0],[398.0],[89.0],[117.0],[110.0],[100.0],[320.0],[117.0],[42.0],[359.0],[21.0],[224.0],[110.0],[450.0],[247.0],[189.0],[282.0],[320.0],[249.0],[146.0],[432.0],[251.0],[102.0],[102.0],[359.0],[269.0],[236.0],[470.0],[276.0],[498.0],[452.0],[277.0],[148.0],[249.0],[249.0],[235.0],[320.0],[146.0],[276.0],[110.0],[236.0],[453.0],[119.0],[36.0],[498.0],[320.0],[146.0],[267.0],[146.0],[441.0],[352.0],[189.0],[193.0],[36.0],[313.0],[146.0],[249.0],[148.0],[80.0],[448.0],[359.0],[36.0],[452.0],[56.0],[452.0],[82.0],[224.0],[107.0],[119.0],[80.0],[266.0],[352.0],[115.0],[148.0],[320.0],[441.0],[69.0],[189.0],[498.0],[498.0],[161.0],[117.0],[89.0],[146.0]
8,[277.0],[107.0],[44.0],[119.0],[432.0],[320.0],[146.0],[47.0],[313.0],[17.0],[269.0],[453.0],[224.0],[124.0],[269.0],[100.0],[53.0],[170.0],[493.0],[359.0],[400.0],[146.0],[107.0],[236.0],[267.0],[124.0],[124.0],[466.0],[407.0],[432.0],[466.0],[282.0],[100.0],[189.0],[498.0],[359.0],[100.0],[360.0],[359.0],[80.0],[36.0],[282.0],[445.0],[124.0],[146.0],[276.0],[236.0],[155.0],[89.0],[359.0],[359.0],[249.0],[452.0],[282.0],[110.0],[276.0],[470.0],[110.0],[498.0],[445.0],[282.0],[498.0],[236.0],[45.0],[352.0],[498.0],[100.0],[116.0],[452.0],[193.0],[390.0],[47.0],[448.0],[170.0],[17.0],[110.0],[485.0],[115.0],[282.0],[352.0],[191.0],[189.0],[236.0],[2.0],[179.0],[115.0],[498.0],[448.0],[359.0],[146.0],[359.0],[462.0],[82.0],[213.0],[359.0],[249.0],[442.0],[452.0],[100.0],[267.0]
9,[100.0],[148.0],[100.0],[146.0],[89.0],[358.0],[276.0],[36.0],[80.0],[359.0],[117.0],[149.0],[15.0],[313.0],[161.0],[15.0],[242.0],[442.0],[100.0],[224.0],[441.0],[36.0],[281.0],[313.0],[53.0],[149.0],[242.0],[485.0],[493.0],[313.0],[42.0],[231.0],[15.0],[155.0],[407.0],[450.0],[277.0],[485.0],[189.0],[100.0],[236.0],[82.0],[360.0],[359.0],[320.0],[82.0],[100.0],[299.0],[493.0],[193.0],[148.0],[267.0],[276.0],[313.0],[148.0],[58.0],[102.0],[115.0],[359.0],[161.0],[53.0],[276.0],[485.0],[282.0],[124.0],[148.0],[189.0],[390.0],[288.0],[498.0],[100.0],[377.0],[58.0],[282.0],[193.0],[236.0],[189.0],[485.0],[224.0],[102.0],[189.0],[36.0],[359.0],[28.0],[161.0],[377.0],[21.0],[100.0],[439.0],[498.0],[15.0],[100.0],[466.0],[115.0],[15.0],[276.0],[100.0],[193.0],[493.0],[313.0]
