Iteration,Sim_0,Sim_1,Sim_2,Sim_3,Sim_4,Sim_5,Sim_6,Sim_7,Sim_8,Sim_9,Sim_10,Sim_11,Sim_12,Sim_13,Sim_14,Sim_15,Sim_16,Sim_17,Sim_18,Sim_19,Sim_20,Sim_21,Sim_22,Sim_23,Sim_24,Sim_25,Sim_26,Sim_27,Sim_28,Sim_29,Sim_30,Sim_31,Sim_32,Sim_33,Sim_34,Sim_35,Sim_36,Sim_37,Sim_38,Sim_39,Sim_40,Sim_41,Sim_42,Sim_43,Sim_44,Sim_45,Sim_46,Sim_47,Sim_48,Sim_49,Sim_50,Sim_51,Sim_52,Sim_53,Sim_54,Sim_55,Sim_56,Sim_57,Sim_58,Sim_59,Sim_60,Sim_61,Sim_62,Sim_63,Sim_64,Sim_65,Sim_66,Sim_67,Sim_68,Sim_69,Sim_70,Sim_71,Sim_72,Sim_73,Sim_74,Sim_75,Sim_76,Sim_77,Sim_78,Sim_79,Sim_80,Sim_81,Sim_82,Sim_83,Sim_84,Sim_85,Sim_86,Sim_87,Sim_88,Sim_89,Sim_90,Sim_91,Sim_92,Sim_93,Sim_94,Sim_95,Sim_96,Sim_97,Sim_98,Sim_99
0,0.10010353,0.37758648,0.29390144,0.06537041,0.8915528,0.10625473,0.0027093291,0.26553467,0.84014297,0.33266577,0.43671954,0.050128996,0.93095434,0.11373195,0.8597783,0.33928874,0.41313088,0.46817634,0.33547872,0.466232,0.6073239,0.0637072,0.27056032,0.88842165,0.4412689,0.24885172,0.4398951,0.77854306,0.9674371,0.7147351,0.18188745,0.8276351,0.26784134,0.103114665,0.24011883,0.19162321,0.30223638,0.029281557,0.9806924,0.8182272,0.2157461,0.88113993,0.15944281,0.7052749,0.9150137,0.57565886,0.011657894,0.6957505,0.9858433,0.18691605,0.67544305,0.48049304,0.67311144,0.65363324,0.7813326,0.8792606,0.67979413,0.19124168,0.8640276,0.8912355,0.018763244,0.07750198,0.38841748,0.048202336,0.9691876,0.05770582,0.7117003,0.9591562,0.4046114,0.052438557,0.92931086,0.8914492,0.27376232,0.04048249,0.0004543364,0.35714132,0.9136646,0.8097564,0.8709037,0.08334416,0.08001983,0.90880907,0.73382705,0.3683946,0.7363949,0.53833395,0.9892303,0.29245114,0.7330417,0.60507715,0.90769756,0.08177817,0.22014847,0.27470914,0.790287,0.8724083,0.28362262,0.09277183,0.28890675,0.86747384
1,0.3250165,0.45270646,0.7029035,0.43157315,0.35650346,0.57548773,0.3573867,0.7262499,0.12914094,0.15987265,0.16909552,0.56721324,0.005561322,0.86128575,0.93334585,0.3898631,0.35979894,0.23793945,0.18741062,0.56953484,0.63638836,0.8798324,0.34160855,0.09118357,0.38359597,0.5502703,0.7278948,0.025429785,0.4332558,0.08774945,0.10692006,0.30102444,0.088647395,0.9451355,0.026197463,0.51229185,0.7174193,0.9097667,0.020209372,0.66291356,0.98860955,0.85660017,0.62924665,0.18137631,0.026168585,0.08113989,0.97034746,0.40744007,0.9599213,0.86940986,0.28171277,0.653081,0.09018862,0.87546885,0.7411555,0.6966611,0.4933194,0.7447907,0.84094614,0.17911473,0.8818437,0.17801788,0.5850622,0.99484444,0.7063204,0.8926691,0.8140131,0.09887624,0.3011812,0.020209342,0.50605613,0.06870884,0.4840036,0.86674,0.4330647,0.8531798,0.6384684,0.34687114,0.045894682,0.2692365,0.22672802,0.69020134,0.9682133,0.021054775,0.6070757,0.4953747,0.14174142,0.058941543,0.152848,0.97265077,0.9033095,0.7407652,0.06399596,0.629668,0.72234905,0.3095097,0.7975341,0.98705304,0.008625865,0.13428673
2,0.064189225,0.75207365,0.707021,0.7520137,0.37648568,0.98461175,0.5287094,0.22654384,0.93398124,0.963498,0.0502187,0.0010111332,0.34152186,0.8885347,0.84913814,0.7083944,0.78555465,0.28894854,0.18217364,0.34637305,0.42548963,0.791134,0.26288134,0.7930242,0.14331654,0.06990239,0.5233865,0.46964613,0.50474006,0.9933117,0.99110854,0.98016924,0.4608273,0.123647004,0.14735407,0.23031813,0.6034101,0.016877115,0.98158,0.79032356,0.254717,0.8149731,0.95440495,0.63325185,0.1704363,0.52109194,0.14360675,0.79223305,0.9518453,0.69710666,0.52355915,0.9156325,0.0064471364,0.7585012,0.14949143,0.048803657,0.21437636,0.028889716,0.65036,0.09886521,0.15002567,0.64896345,0.087800115,0.49394774,0.34815288,0.8127507,0.99666727,0.81825316,0.19712612,0.34140205,0.17392257,0.6339623,0.31324577,0.99506557,0.056158155,0.27934206,0.095143855,0.66885465,0.06338507,0.35679823,0.9015966,0.1390219,0.57188374,0.028725177,0.6081159,0.7539028,0.9739306,0.039213598,0.76214576,0.37706202,0.86523616,0.55665165,0.91655827,0.44716778,0.6880703,0.5985098,0.041917235,0.44177943,0.3986504,0.103370756
3,0.99237114,0.6362092,0.20410284,0.9202403,0.027822614,0.074956596,0.9834813,0.08229068,0.9625063,0.65234053,0.8538023,0.26044393,0.98907864,0.58254176,0.37684175,0.24319476,0.023862362,0.162756,0.25268888,0.6633347,0.9556006,0.16950828,0.04324442,0.14622581,0.095790476,0.2822794,0.49823132,0.35402414,0.8515739,0.73904264,0.054557264,0.5807205,0.18928996,0.076619506,0.22274196,0.9332087,0.52279776,0.7713064,0.20412973,0.61472315,0.12975428,0.20322931,0.85426086,0.0727295,0.5158252,0.948433,0.7120503,0.13770595,0.9799516,0.039987087,0.96272814,0.13458538,0.81357765,0.59476936,0.58988416,0.76703924,0.82382596,0.14746267,0.7731735,0.8534607,0.21663117,0.57005626,0.5746004,0.13559565,0.106113195,0.9686181,0.99451864,0.54336953,0.42494804,0.15897611,0.855158,0.178134,0.048060775,0.012981445,0.9518715,0.0014739633,0.025072962,0.9705337,0.32642087,0.9225433,0.03948182,0.20358893,0.9352059,0.984264,0.60308814,0.26343167,0.5103119,0.118840665,0.31250164,0.49941114,0.2954154,0.017567843,0.9840843,0.12468374,0.11775079,0.12232986,0.16799885,0.834251,0.5779591,0.15152171
4,0.4862276,0.5882526,0.81210196,0.78762716,0.475774,0.47470555,0.7337033,0.044579,0.8168222,0.43259606,0.15536049,0.006205648,0.4391804,0.7126262,0.13555345,0.4006952,0.95904046,0.24099639,0.9739604,0.7016119,0.1046499,0.5688882,0.12115139,0.7805316,0.20500764,0.39705607,0.18663415,0.62695503,0.56621236,0.062123924,0.41872662,0.826704,0.72887766,0.9991746,0.424914,0.6581011,0.965559,0.9567418,0.42219174,0.9462508,0.24372992,0.5900326,0.9180916,0.9680524,0.26738733,0.058847725,0.7927414,0.4715668,0.29053712,0.7967841,0.40001744,0.9911891,0.8764821,0.9237446,0.002091229,0.03813219,0.6712353,0.92917466,0.9756062,0.71249336,0.09443015,0.92830276,0.18566376,0.8728353,0.09510377,0.03455782,0.33717847,0.3127151,0.47029543,0.29386878,0.9204047,0.02805075,0.7089015,0.48784292,0.39915794,0.47521168,0.3950322,0.05048856,0.8131646,0.3675973,0.29777953,0.16063529,0.2434637,0.4826544,0.18247074,0.07357007,0.0748246,0.015856951,0.058238745,0.8281343,0.9748272,0.065077335,0.02695033,0.0805707,0.41203403,0.47686166,0.36243284,0.42727962,0.34871858,0.8483475
5,0.9541235,0.3634215,0.8262241,0.064085454,0.17873156,0.06803578,0.6422257,0.697173,0.99114907,0.15141088,0.13950062,0.0952059,0.73956954,0.03221813,0.80182886,0.4870729,0.9134134,0.3887266,0.13287827,0.6489912,0.7058704,0.44682983,0.5578446,0.707609,0.54100114,0.24653587,0.87086177,0.1191456,0.8407424,0.7416873,0.4357584,0.42657125,0.3040908,0.39214447,0.61973774,0.9386494,0.6998692,0.225694,0.37074363,0.84375215,0.7309522,0.2108629,0.29451984,0.89876604,0.86284274,0.44321436,0.90909547,0.6125315,0.1661185,0.28824413,0.9615278,0.762679,0.5301485,0.93034923,0.07945293,0.9640503,0.51222664,0.82611537,0.5659409,0.037072986,0.507869,0.2874344,0.17575666,0.3607647,0.9555642,0.11766055,0.5345115,0.9483538,0.34628016,0.086482346,0.11575058,0.32499754,0.46223047,0.5284003,0.6417793,0.29320174,0.89852417,0.13036263,0.27559084,0.43735787,0.8439156,0.5863481,0.16783985,0.61701304,0.9416287,0.87750816,0.92647946,0.20484537,0.5046604,0.9615236,0.6603721,0.6536182,0.084934086,0.9819423,0.06201935,0.32642525,0.06001365,0.77976525,0.93486476,0.9318385
6,0.10550672,0.664294,0.29756218,0.8861089,0.14662239,0.9944606,0.14539415,0.15006134,0.5283899,0.48978594,0.81619066,0.10396528,0.831457,0.33151513,0.21484432,0.20718107,0.07081166,0.21337813,0.98911643,0.009212732,0.894717,0.35007328,0.19242841,0.16716468,0.17227802,0.4563705,0.9567875,0.92572653,0.4583214,0.03540942,0.80194396,0.048833758,0.8581251,0.89045,0.28785777,0.48875606,0.44576895,0.5240221,0.058128744,0.9760762,0.41281837,0.36119896,0.99406993,0.85536665,0.29542494,0.64905226,0.6489358,0.6736293,0.49452326,0.2911896,0.37051365,0.7088006,0.038543403,0.9424218,0.39890498,0.81043494,0.32049507,0.8084297,0.06812468,0.013867527,0.23508322,0.9809625,0.908396,0.3884861,0.6528978,0.68716085,0.91503763,0.41276473,0.56455886,0.43665013,0.13984624,0.41971382,0.09465408,0.01907143,0.12379274,0.9099288,0.027065367,0.071000606,0.84930634,0.3974953,0.96419084,0.20571297,0.3275584,0.16015962,0.5202937,0.9836625,0.5064446,0.323408,0.31444913,0.30231622,0.12773514,0.3729434,0.79276735,0.062042385,0.44776806,0.030920237,0.049238652,0.2869115,0.1224325,0.364533
7,0.64985156,0.60654813,0.35334522,0.9294159,0.5967069,0.78736675,0.16932878,0.03262627,0.027302474,0.36619294,0.6387654,0.89171296,0.5159128,0.56457436,0.8607289,0.96999073,0.7505557,0.27345145,0.0556781,0.27924985,0.42517114,0.97019947,0.8498486,0.43467462,0.01091069,0.8404715,0.012470633,0.062647104,0.9372432,0.19264662,0.96990895,0.29884204,0.36628652,0.05647263,0.8388822,0.37302202,0.20937005,0.23231542,0.512716,0.53246266,0.16549754,0.57768095,0.64233434,0.6682938,0.6871633,0.009318978,0.6289394,0.7872819,0.39326668,0.27494824,0.81153727,0.050872236,0.21533707,0.33026236,0.076446354,0.39750367,0.11439994,0.807488,0.1628249,0.8974718,0.9336691,0.06663805,0.27079582,0.079872966,0.97036946,0.02176857,0.9603425,0.81945527,0.89027447,0.15659791,0.77159196,0.906221,0.967071,0.4040417,0.37990493,0.77119666,0.8351976,0.011524469,0.800437,0.4359389,0.9506111,0.8223236,0.46696532,0.91628194,0.048411757,0.041732192,0.95035994,0.76921356,0.45235422,0.075534165,0.7556561,0.6286815,0.97019064,0.14595807,0.2772481,0.67633575,0.3291387,0.49546888,0.8589405,0.119888574
8,0.98175055,0.45504683,0.89284563,0.98097765,0.83092695,0.7297475,0.7685518,0.8558954,0.16516799,0.9766297,0.9032502,0.7059233,0.9628835,0.013135552,0.06563866,0.72461355,0.4557206,0.4016165,0.61528736,0.085919976,0.4606255,0.33460882,0.6644302,0.61998576,0.5382502,0.38352734,0.7063793,0.71736515,0.3151167,0.12552756,0.022450626,0.16621736,0.22409123,0.12082854,0.15649337,0.7817197,0.1568959,0.19117537,0.92107606,0.6509813,0.9718512,0.0791446,0.860083,0.2870372,0.26375946,0.61233646,0.10181418,0.83568525,0.8691797,0.72893107,0.720096,0.05537948,0.4256865,0.960613,0.5004253,0.95542365,0.3413745,0.17278987,0.39756614,0.23843515,0.18445125,0.63463575,0.4435476,0.43113458,0.22317073,0.8022957,0.26513255,0.39967543,0.6595284,0.36383206,0.30615157,0.6492665,0.89175457,0.5340321,0.72600293,0.47731552,0.2255423,0.78187656,0.009105563,0.15511388,0.6334852,0.5903615,0.77611786,0.48291096,0.7422269,0.7907144,0.06950906,0.99227256,0.7234335,0.13556907,0.41569108,0.6663185,0.942473,0.11327329,0.46088862,0.039177954,0.6092773,0.89510703,0.42004293,0.89661324
9,0.7690712,0.39232188,0.9060117,0.05834797,0.8606175,0.0729084,0.77174795,0.6981354,0.4425947,0.3392585,0.77481174,0.93442357,0.85977817,0.948705,0.033070475,0.3883061,0.07372743,0.4411899,0.70793694,0.54368645,0.5062715,0.83688366,0.7445952,0.09933433,0.15474328,0.97774434,0.659184,0.36611456,0.9822886,0.3233317,0.54739743,0.62338114,0.5225255,0.9725946,0.9483723,0.25086212,0.9560822,0.53303236,0.224686,0.84977704,0.16482031,0.5944346,0.936298,0.9373759,0.7377959,0.4426178,0.9048132,0.90486157,0.17073074,0.32647818,0.25704646,0.022930294,0.92782223,0.024620026,0.5688522,0.55425787,0.18975645,0.41018754,0.40227693,0.657223,0.80107075,0.4201058,0.9291123,0.71383977,0.9138782,0.23513821,0.95815974,0.48893496,0.9312223,0.051003307,0.09629336,0.40247172,0.21021277,0.29467547,0.5080957,0.92964697,0.035161436,0.02320522,0.45200276,0.90555274,0.95201254,0.82499796,0.84737146,0.14517188,0.7744624,0.024938107,0.92387354,0.17131293,0.95779026,0.9854919,0.5432859,0.02871713,0.23534516,0.44397834,0.3384862,0.10304728,0.93268996,0.1382032,0.3142537,0.8739918
10,0.8136622,0.48385796,0.9323027,0.3383957,0.68388915,0.17446628,0.9222489,0.985005,0.09918743,0.7725271,0.18732691,0.03694299,0.70205456,0.30889964,0.8206584,0.3640527,0.55109435,0.8931906,0.74250513,0.40514874,0.10951224,0.6459084,0.102975905,0.7916224,0.19736016,0.074825466,0.5350574,0.18109658,0.51974756,0.8654298,0.5824002,0.27075338,0.74422073,0.63336086,0.6688539,0.10675517,0.55241364,0.7928798,0.77388227,0.44017184,0.8403175,0.07838315,0.70218384,0.04327151,0.9012917,0.42553365,0.8955964,0.11992857,0.21785778,0.7579062,0.5097074,0.953743,0.5683967,0.004469186,0.8705285,0.30613866,0.900828,0.79550815,0.06449804,0.8939445,0.5945186,0.7288936,0.22435379,0.13966632,0.57563937,0.61562854,0.16039324,0.085727245,0.812456,0.04924208,0.075586766,0.32143462,0.265534,0.4709061,0.9765506,0.9402667,0.7716235,0.13580379,0.2566803,0.28062564,0.99254054,0.8794514,0.4889608,0.028377563,0.9710237,0.6451743,0.025289953,0.0018011034,0.7541503,0.94123626,0.84906334,0.19835779,0.51811194,0.019296348,0.3024497,0.024460971,0.42964983,0.51662385,0.46763262,0.28912872
11,0.30955815,0.79671687,0.90139306,0.9685774,0.95620847,0.6989596,0.10380146,0.80388856,0.28956807,0.97887826,0.17229307,0.0015339255,0.0565314,0.95378417,0.10523531,0.79262197,0.8059741,0.1698313,0.12636772,0.92122436,0.80646724,0.4489777,0.0077723563,0.094468474,0.012385428,0.06297946,0.7687729,0.37829962,0.6918324,0.54727936,0.36781862,0.32053187,0.48603377,0.09557822,0.22558141,0.72295,0.98905295,0.12898806,0.15083584,0.97574675,0.5438802,0.13010192,0.7361826,0.50235355,0.37896824,0.3176164,0.541782,0.36549303,0.49373928,0.82645035,0.12977916,0.8798847,0.005688578,0.045640647,0.012492597,0.4742218,0.37733567,0.31288356,0.64610076,0.3892564,0.019097626,0.010124862,0.27996373,0.190292,0.23829326,0.12924916,0.50481105,0.85241973,0.66911995,0.7225906,0.6077362,0.94512415,0.4973558,0.9686184,0.9513109,0.75492096,0.76815516,0.2161048,0.9793428,0.1094186,0.09670201,0.8680575,0.1117267,0.73059267,0.8500794,0.87026995,0.96789837,0.016035855,0.9308412,0.25929004,0.09910625,0.81440735,0.29786086,0.30188295,0.24568695,0.2076199,0.3280486,0.8319978,0.325973,0.23773372
12,0.9508362,0.50116223,0.53605443,0.24532396,0.45239055,0.06156668,0.80688965,0.52963567,0.31924468,0.48190993,0.21804267,0.00149858,0.43556407,0.79186106,0.59618247,0.24115098,0.28652793,0.43249065,0.112149,0.2233024,0.11756298,0.6649877,0.025717467,0.20386052,0.23313615,0.8306962,0.3595531,0.797818,0.6589339,0.532039,0.81388277,0.45244035,0.9249489,0.8431292,0.4490071,0.85873723,0.9176314,0.8701643,0.5439362,0.24058956,0.89353776,0.73639125,0.26103067,0.27480614,0.6579869,0.036156,0.042175293,0.06661478,0.36524785,0.41472834,0.92961204,0.46205693,0.023345977,0.564863,0.5267543,0.80896336,0.48975837,0.43629268,0.69687873,0.016866893,0.062373787,0.8673966,0.0870859,0.40195188,0.008900344,0.19425967,0.04741916,0.78240067,0.40986234,0.0036008358,0.621342,0.9115073,0.5361984,0.843801,0.7494755,0.44562566,0.43095383,0.7560672,0.34527528,0.49482027,0.06795165,0.98098874,0.3233565,0.88461626,0.35343653,0.17608562,0.45310766,0.8230544,0.4077906,0.9793782,0.95064497,0.6085545,0.98721457,0.14295334,0.20326498,0.95715344,0.56710327,0.028004318,0.2333987,0.12696716
13,0.29250604,0.9633726,0.74302924,0.28046513,0.9432666,0.39470637,0.1217452,0.9848754,0.34163433,0.30527097,0.8510101,0.007895142,0.5481547,0.39180493,0.9860189,0.63229066,0.03494042,0.41223451,0.24635562,0.016260922,0.7922533,0.15638644,0.4927556,0.26391342,0.11131245,0.012322038,0.11777899,0.16755399,0.8546419,0.015710086,0.6183039,0.81328726,0.6048234,0.5164084,0.8355858,0.827566,0.6979618,0.1667194,0.8306664,0.7894776,0.655338,0.1645506,0.8853971,0.10879049,0.7489923,0.59358215,0.92946315,0.011885613,0.93937635,0.7122357,0.92870057,0.02421856,0.9624176,0.31837922,0.8272841,0.8680308,0.9340368,0.64059615,0.08668867,0.09889126,0.058977813,0.93045336,0.85864353,0.25421786,0.35231614,0.9971336,0.36188707,0.87915456,0.57849747,0.5997206,0.4662441,0.92871094,0.83176744,0.81861,0.85248387,0.15073723,0.93753076,0.030359983,0.19644436,0.31513456,0.89676225,0.09415901,0.74536365,0.56689626,0.6792575,0.81467617,0.7956406,0.0990119,0.77992034,0.16180146,0.054341793,0.42638004,0.22957572,0.81346846,0.43596777,0.8481166,0.113610506,0.096140444,0.21125099,0.9909307
14,0.21748388,0.16790238,0.5813769,0.31392193,0.92580074,0.6806685,0.24918407,0.09018308,0.9746624,0.28823814,0.63769996,0.059246004,0.9671568,0.8110317,0.44189557,0.006691426,0.034077138,0.51656777,0.33403605,0.23892438,0.8584031,0.7998165,0.25107855,0.7301868,0.9360527,0.75222933,0.23973423,0.57318187,0.8712504,0.5416181,0.45138666,0.96429455,0.2808646,0.03874132,0.54515773,0.68449116,0.47119635,0.9493859,0.78851765,0.98340684,0.61811113,0.70573103,0.5838967,0.8589288,0.12839586,0.8379459,0.10099587,0.6712209,0.60863197,0.08831063,0.43106136,0.29725417,0.9068635,0.5650034,0.036626846,0.7196463,0.26374453,0.65274197,0.112867266,0.5501434,0.9366945,0.7952688,0.9485098,0.99262255,0.91792965,0.6354066,0.88333017,0.16855627,0.062479377,0.89471114,0.73074394,0.63047457,0.16223758,0.71811247,0.38721496,0.21900076,0.7131702,0.69673216,0.51356465,0.39592373,0.9332925,0.81764376,0.57774705,0.93032485,0.04459548,0.07671803,0.96614474,0.288798,0.076143205,0.68745375,0.3044091,0.7654772,0.76570606,0.6550002,0.92945564,0.8915105,0.024656653,0.022996455,0.037236005,0.7679266
15,0.5089452,0.6379604,0.88385093,0.6218847,0.18621102,0.9649172,0.08602288,0.18152452,0.24196261,0.8695448,0.16166988,0.029178053,0.008496493,0.6576762,0.112443894,0.9674077,0.06075546,0.48723152,0.39776412,0.9261909,0.56937945,0.13478893,0.09626433,0.1686956,0.7497027,0.7528273,0.12077683,0.4574428,0.53440344,0.98623425,0.5027417,0.9314341,0.11935842,0.7318025,0.4576274,0.912604,0.3027138,0.30137876,0.17468268,0.9620302,0.5028585,0.5445236,0.2227979,0.95174235,0.8598335,0.70241684,0.7131852,0.9885373,0.72494805,0.7563739,0.50363266,0.07217562,0.8781868,0.5131268,0.2734645,0.18317375,0.3479746,0.20568177,0.7305946,0.21390766,0.9408839,0.028265685,0.06403899,0.42272574,0.7709916,0.91745037,0.38493505,0.5902669,0.8884798,0.22537786,0.67049503,0.018075049,0.43485206,0.63657314,0.95190144,0.08188978,0.040735096,0.16882795,0.32297605,0.78244966,0.368225,0.19324845,0.5499284,0.30192238,0.4164719,0.89540565,0.7285198,0.36081842,0.6377345,0.40315,0.34324792,0.71981734,0.95483255,0.1847136,0.75659907,0.22879767,0.043722153,0.8619585,0.65046465,0.89427245
16,0.49883467,0.26618227,0.6803989,0.20407799,0.61018777,0.64259255,0.47455853,0.9728087,0.67576355,0.2752756,0.75914466,0.36890402,0.64100754,0.36769307,0.057483792,0.9684426,0.7893011,0.15204784,0.5294666,0.06652397,0.054960877,0.16741547,0.013105124,0.89282644,0.86637163,0.031000584,0.0066197515,0.13372278,0.2047702,0.9769006,0.072748154,0.35860282,0.9558077,0.2398203,0.6739181,0.22948888,0.9865813,0.7452511,0.98576975,0.71465945,0.83497965,0.76383173,0.48954234,0.77265334,0.6892022,0.3431146,0.8321297,0.014465421,0.063828886,0.80182487,0.62650555,0.9499871,0.6351896,0.9567665,0.051583976,0.110437274,0.023836762,0.4958532,0.8108771,0.48733324,0.00050988793,0.8730956,0.30675393,0.03611794,0.6601204,0.058738887,0.523491,0.9675435,0.35818416,0.40533534,0.63929695,0.66210353,0.57660896,0.8361355,0.51442957,0.015761793,0.9006343,0.1434929,0.21953565,0.30037642,0.060158163,0.9993947,0.53922844,0.9343891,0.25008225,0.49924195,0.94025016,0.8725976,0.9720821,0.6049202,0.6284733,0.16635433,0.5606229,0.412808,0.7806125,0.32655606,0.5972823,0.4219766,0.38463357,0.7857563
