Simulation,Passive Learning,GSx,GSy,iGS,WiGS (Static w_x=0.25),WiGS (Static w_x=0.75),"WiGS (Time-Decay, Linear)","WiGS (Time-Decay, Exponential)","WiGS (MAB-UCB1, c=2.0)",WiGS (SAC),QBC,Uncertainty Sampling,Information Density,EMCM
0,16.56405758857727,17.250523567199707,18.273695707321167,18.931549549102783,19.29812717437744,19.58706760406494,19.746824979782104,19.639037370681763,19.398921012878418,152.8754222393036,25.640466690063477,17.067814111709595,17.95476198196411,16.84409999847412
1,14.27561902999878,15.10106873512268,15.46681547164917,15.874252557754517,16.22698402404785,16.173511028289795,16.306568145751953,16.316221952438354,16.152082920074463,490.9920697212219,22.613218784332275,15.019237756729126,16.06855320930481,14.875920534133911
2,16.962379455566406,17.93367075920105,18.422638654708862,19.073933839797974,19.58291220664978,19.58424735069275,19.48248314857483,19.609051942825317,19.50047755241394,386.6154959201813,28.24198865890503,18.387598752975464,19.684297561645508,18.342546463012695
3,14.620764970779419,15.201990127563477,15.604645729064941,16.039060831069946,16.402299642562866,16.357868671417236,16.44788670539856,16.444027423858643,16.02732229232788,488.48866868019104,22.759289741516113,15.129282474517822,16.155653715133667,14.895119428634644
4,16.419484615325928,17.294098377227783,17.76551914215088,18.54058814048767,18.845020294189453,18.826530933380127,18.950589656829834,18.753893852233887,18.746943712234497,401.8382399082184,25.7077956199646,16.99533462524414,18.662842750549316,16.9722318649292
5,14.488129138946533,15.179460048675537,15.561339378356934,15.959877252578735,16.33833646774292,16.276670932769775,16.389752626419067,16.40310263633728,16.114784717559814,492.6807518005371,22.768258571624756,15.131361961364746,16.134507417678833,14.865076541900635
6,16.16492509841919,17.28268265724182,17.952542304992676,18.492010354995728,19.15342879295349,19.268239498138428,19.22783374786377,19.225789308547974,19.047495365142822,450.69119668006897,26.493808031082153,17.182082653045654,18.488637924194336,17.020168781280518
7,17.42768692970276,18.28429627418518,19.015692710876465,19.487195253372192,19.9525945186615,19.910430908203125,19.883657217025757,19.99269413948059,19.4317467212677,383.37217116355896,28.76535201072693,18.71461033821106,20.04736065864563,18.559669733047485
8,16.82548213005066,17.729098796844482,18.07216787338257,18.72898554801941,19.15072274208069,19.226359605789185,19.24242091178894,19.259960174560547,18.910951137542725,436.4150197505951,26.382627487182617,17.47552227973938,18.611475229263306,16.78059434890747
9,16.675878524780273,17.498692274093628,18.11072278022766,18.882612228393555,19.39993143081665,19.277016162872314,19.24299931526184,19.129574060440063,18.40130352973938,453.03750681877136,26.129417896270752,17.177618265151978,18.270044326782227,16.68046236038208
